clause_text,clause_type
"Reliance. Agent shall be entitled to rely, and shall be fully protected in relying, upon any note, writing, resolution, notice, statement, certificate, telex, teletype or telecopier message, cablegram, order or other document or telephone message believed by it to be genuine and correct and to have been signed, sent or made by the proper person or entity, and, with respect to all legal matters pertaining to this Agreement and the Other Documents and its duties hereunder, upon advice of counsel selected by it. Agent may employ agents and attorneys-in-fact and shall not be liable for the default or misconduct of any such agents or attorneys-in-fact selected by Agent with reasonable care.",reliance
"Reliance. In rendering such opinion, such counsel may rely: (i) as to matters involving the application of laws other than the laws of the United States and jurisdictions in which they are admitted, to the extent such counsel deems proper and to the extent specified in such opinion, if at all, upon an opinion or opinions (in form and substance reasonably satisfactory to the Representative) of other counsel reasonably acceptable to the Representative, familiar with the applicable laws; and (ii) as to matters of fact, to the extent they deem proper, on certificates or other written statements of officers of the Company and officers of departments of various jurisdictions having custody of documents respecting the corporate existence or good standing of the Company, provided that copies of any such statements or certificates shall be delivered to the Underwriters’ counsel if requested. The opinion of counsel for the Company and any opinion relied upon by such counsel for the Company shall include a statement to the effect that it may be relied upon by counsel for the Underwriters in its opinion delivered to the Underwriters.",reliance
"Reliance. The Administrative Agent shall be entitled to rely, and shall be fully protected in relying, upon any note, writing, resolution, notice, statement, certificate, telex, teletype or telecopier message, cablegram, radiogram, order or other document or telephone message signed, sent or made by any Person that the Administrative Agent believed to be the proper Person, and, with respect to all legal matters pertaining to this Agreement and any other Loan Document and its duties hereunder and thereunder, upon advice of counsel selected by the Administrative Agent.",reliance
"Reliance. It is not necessary for any Guaranteed Creditor to inquire into the capacity or powers of Holdings or any of its Subsidiaries or the officers, directors, partners or agents acting or purporting to act on their behalf, and any Guaranteed Obligations made or created in reliance upon the professed exercise of such powers shall be guaranteed hereunder.",reliance
"Reliance. It is not necessary for the Administrative Agent, the Lenders or any Hedging Agreement Provider to inquire into the capacity or powers of the Borrower or the officers, directors, members, partners or agents acting or purporting to act on its behalf, and any Credit Party Obligations made or created in reliance upon the professed exercise of such powers shall be guaranteed hereunder.",reliance
"Reliance. The Agent shall be entitled to rely, and shall be fully protected in relying, upon any writing, resolution, notice, statement, certificate, telex, teletype or telecopier message, cablegram, radiogram, order or other document or telephone message signed, sent or made by the proper person or entity, and, with respect to all legal matters pertaining to the Agreement and the other Transaction Documents and its duties thereunder, upon advice of counsel selected by it and upon all other matters pertaining to this Agreement and the other Transaction Documents and its duties thereunder, upon advice of other experts selected by it. Anything to the contrary notwithstanding, the Agent shall have no obligation whatsoever to any Secured Party to assure that the Collateral exists or is owned by the Debtors or is cared for, protected or insured or that the liens granted pursuant to the Agreement have been properly or sufficiently or lawfully created, perfected, or enforced or are entitled to any particular priority.",reliance
"Reliance. In rendering such opinions, such counsel may rely: (i) as to matters involving the application of laws other than the laws of the United States and jurisdictions in which they are admitted, to the extent such counsel deems proper and to the extent specified in such opinion, if at all, upon an opinion or opinions (in form and substance reasonably satisfactory to the Representative) of other counsel reasonably acceptable to the Representative, familiar with the applicable laws; and (ii) as to matters of fact, to the extent they deem proper, on certificates or other written statements of officers of the Company and officers of departments of various jurisdictions having custody of documents respecting the corporate existence or good standing of the Company, provided that copies of any such statements or certificates shall be delivered to Representative Counsel if requested.",reliance
"Reliance. The Administrative Agent shall be entitled to rely upon, and shall not incur any liability for relying upon, any notice, request, certificate, consent, statement, instrument, document or other writing believed by it to be genuine and to have been signed or sent by the proper Person. The Administrative Agent also may rely upon any statement made to it orally or by telephone and believed by it to be made by the proper Person, and shall not incur any liability for relying thereon. The Administrative Agent may consult with legal counsel (who may be counsel for the Borrower), independent accountants and other experts selected by it, and shall not be liable for any action taken or not taken by it in accordance with the advice of any such counsel, accountants or experts.",reliance
"Reliance. In rendering such opinions, such counsels may rely as to matters of fact, to the extent they deem proper, on certificates or other written statements of officers of the Company and officers of departments of various jurisdictions having custody of documents respecting the corporate existence or good standing of the Company, provided that copies of any such statements or certificates shall be delivered to the Representative’s counsel if requested.",reliance
"Reliance. Each Funding Agent shall in all cases be entitled to rely, and shall be fully protected in relying, upon any document or conversation believed by it to be genuine and correct and to have been signed, sent or made by the proper Person or Persons and upon advice and statements of the Administrative Agent and legal counsel (including, without limitation, counsel to the Co-Issuers), independent accountants and other experts selected by such Funding Agent. Each Funding Agent shall in all cases be fully justified in failing or refusing to take any action under this Agreement or any other document furnished in connection herewith unless it shall first receive such advice or concurrence of the related Investor Group as it deems appropriate or it shall first be indemnified to its satisfaction by the related Investor Group; provided that unless and until such Funding Agent shall have received such advice, such Funding Agent may take or refrain from taking any action, as such Funding Agent shall deem advisable and in the best interests of the related Investor Group. Each Funding Agent shall in all cases be fully protected in acting, or in refraining from acting, in accordance with a request of the related Investor Group and such request and any action taken or failure to act pursuant thereto shall be binding upon the related Investor Group.",reliance
"Reliance. In rendering such opinion, counsel may rely: (i) as to matters involving the application of laws other than the laws of the United States and jurisdictions in which they are admitted, to the extent such counsel deems proper and to the extent specified in such opinion, if at all, upon an opinion or opinions (in form and substance reasonably satisfactory to the Representative) of other counsel reasonably acceptable to the Representative, familiar with the applicable laws; and (ii) as to matters of fact, to the extent they deem proper, on certificates or other written statements of officers of the Company and officers of departments of various jurisdictions having custody of documents respecting the corporate existence or good standing of the Company; provided that copies of any such statements or certificates shall be delivered to Representative Counsel if requested. The opinion of Pearlman Law Group, LLP and any opinion relied upon by Pearlman Law Group, LLP shall include a statement to the effect that it may be relied upon by Representative Counsel in its opinion delivered to the Underwriters.",reliance
"Reliance. Such Purchaser understands and acknowledges that (i) the Securities are being offered and sold to it without registration under the Securities Act in a private placement that is exempt from the registration provisions of the Securities Act and (ii) the availability of such exemption, depends in part on, and the Company will rely upon the accuracy and truthfulness of, the foregoing representations and such Purchaser hereby consents to such reliance. The Company acknowledges and agrees that no Purchaser makes or has made any representations or warranties with respect to the transactions contemplated hereby other than those specifically set forth in this Section 2.2.",reliance
Reliance. The Company acknowledges that the Placement Agent will rely upon the accuracy and truthfulness of the foregoing representations and warranties and hereby consents to such reliance.,reliance
"Reliance. Such Investor understands and acknowledges that: (i) the Securities are being offered and sold to it without registration under the Securities Act in a private placement that is exempt from the registration provisions of the Securities Act and (ii) the availability of such exemption depends in part on, and the Company will rely upon the accuracy and truthfulness of, the foregoing representations and such Investor hereby consents to such reliance.",reliance
"Reliance. Each Guarantor hereby assumes responsibility for keeping itself informed of the financial condition of the Borrower, each other Guarantor and any other guarantor, maker or endorser of any Guaranteed Obligation or any part thereof, and of all other circumstances bearing upon the risk of nonpayment of any Guaranteed Obligation or any part thereof that diligent inquiry would reveal, and each Guarantor hereby agrees that no Secured Party shall have any duty to advise any Guarantor of information known to it regarding such condition or any such circumstances. In the event any Secured Party, in its sole discretion, undertakes at any time or from time to time to provide any such information to any Guarantor, such Secured Party shall be under no obligation to (a) undertake any investigation not a part of its regular business routine, (b) disclose any information that such Secured Party, pursuant to accepted or reasonable commercial finance or banking practices, wishes to maintain confidential or (c) make any future disclosures of such information or any other information to any Guarantor.",reliance
