clause_text,clause_type
"Remedies Cumulative. In the event that the Company fails to observe or perform any covenant or agreement to be observed or performed under this Agreement, the Investor or any other holder of Registrable Securities may proceed to protect and enforce its rights by suit in equity or action at law, whether for specific performance of any term contained in this Agreement or for an injunction against the breach of any such term or in aid of the exercise of any power granted in this Agreement or to enforce any other legal or equitable right, or to take any one or more of such actions, without being required to post a bond. None of the rights, powers or remedies conferred under this Agreement shall be mutually exclusive, and each such right, power or remedy shall be cumulative and in addition to any other right, power or remedy, whether conferred by this Agreement or now or hereafter available at law, in equity, by statute or otherwise.",remedies-cumulative
"Remedies Cumulative. Except as provided in this Agreement, the rights, powers, remedies and privileges provided in this Agreement are cumulative and not exclusive of any rights, powers, remedies and privileges provided by law.",remedies-cumulative
"Remedies Cumulative. All rights, powers and remedies provided under this Agreement or otherwise available in respect hereof at law or in equity shall be cumulative and not alternative, and the exercise of any thereof by any party shall not preclude the simultaneous or later exercise of any other such right, power or remedy by such party.",remedies-cumulative
"Remedies Cumulative. Each and every right, power and remedy given to the Trustees, the Liquidity Providers, the Controlling Party or the Subordination Agent specifically or otherwise in this Agreement shall be cumulative and shall be in addition to every other right, power and remedy herein specifically given or now or hereafter existing at law, in equity or by statute, and each and every right, power and remedy whether specifically herein given or otherwise existing may, subject always to the terms and conditions hereof, be exercised from time to time and as often and in such order as may be deemed expedient by any Trustee, any Liquidity Provider, the Controlling Party or the Subordination Agent, as appropriate, and the exercise or the beginning of the exercise of any power or remedy shall not be construed to be a waiver of the right to exercise at the same time or thereafter any other right, power or remedy. No delay or omission by any Trustee, any Liquidity Provider, the Controlling Party or the Subordination Agent in the exercise of any right, remedy or power or in the pursuit of any remedy shall impair any such right, power or remedy or be construed to be a waiver of any default or to be an acquiescence therein.",remedies-cumulative
"Remedies Cumulative. The rights and remedies of the Lender Group under this Agreement, the other Loan Documents, and all other agreements shall be cumulative. The Lender Group shall have all other rights and remedies not inconsistent herewith as provided under the Code, by law, or in equity. No exercise by the Lender Group of one right or remedy shall be deemed an election, and no waiver by the Lender Group of any Event of Default shall be deemed a continuing waiver. No delay by the Lender Group shall constitute a waiver, election, or acquiescence by it.",remedies-cumulative
"Remedies Cumulative. Bank’s rights and remedies under this Agreement, the Loan Documents, and all other agreements shall be cumulative. Bank shall have all other rights and remedies not inconsistent herewith as provided under the Code, by law, or in equity. No exercise by Bank of one right or remedy shall be deemed an election, and no waiver by Bank of any Event of Default on Borrower’s part shall be deemed a continuing waiver. No delay by Bank shall constitute a waiver, election, or acquiescence by it. No waiver by Bank shall be effective unless made in a written document signed on behalf of Bank and then shall be effective only in the specific instance and for the specific purpose for which it was given. Borrower expressly agrees that this Section 9.7 may not be waived or modified by Bank by course of performance, conduct, estoppel or otherwise.",remedies-cumulative
"Remedies Cumulative. The remedies provided in this Article IV shall be cumulative and, subject to the provisions of Article VIII, shall not preclude assertion by any Indemnitee of any other rights or the seeking of any and all other remedies against any Indemnifying Party.",remedies-cumulative
"Remedies Cumulative. Except as otherwise provided herein, any and all remedies herein expressly conferred upon a party will be deemed cumulative with and not exclusive of any other remedy conferred hereby, or by law or equity upon such party, and the exercise by a party of any one remedy will not preclude the exercise of any other remedy.",remedies-cumulative
"Remedies Cumulative. To the maximum extent permitted by law, each legal, equitable or contractual right, power and remedy of Landlord or Tenant, now or hereafter provided either in this Agreement or by statute or otherwise, shall be cumulative and concurrent and shall be in addition to every other right, power and remedy and the exercise or beginning of the exercise by Landlord or Tenant (as applicable) of any one or more of such rights, powers and remedies shall not preclude the simultaneous or subsequent exercise by Landlord of any or all of such other rights, powers and remedies.",remedies-cumulative
"Remedies Cumulative. No right, remedy or election given by any term of this Agreement shall be deemed exclusive but each shall be cumulative with all other rights, remedies and elections available at law or in equity.",remedies-cumulative
