clause_text,clause_type
"Remedies. In addition to being entitled to exercise all rights provided herein or granted by law, including recovery of damages, each of the Purchasers and the Company will be entitled to specific performance under the Transaction Documents. The parties agree that monetary damages may not be adequate compensation for any loss incurred by reason of any breach of obligations contained in the Transaction Documents and hereby agree to waive and not to assert in any Action for specific performance of any such obligation the defense that a remedy at law would be adequate.",remedies
"Remedies. In the event of a breach by the Company or by a Holder, of any of their obligations under this Agreement, each Holder or the Company, as the case may be, in addition to being entitled to exercise all rights granted by law and under this Agreement, including recovery of damages, will be entitled to specific performance of its rights under this Agreement. The Company and each Holder agree that monetary damages would not provide adequate compensation for any losses incurred by reason of a breach by it of any of the provisions of this Agreement and hereby further agrees that, in the event of any action for specific performance in respect of such breach, it shall waive the defense that a remedy at law would be adequate.",remedies
"Remedies. The Company acknowledges that a breach by it of its obligations hereunder will cause irreparable harm to the Buyer by vitiating the intent and purpose of the transaction contemplated hereby. Accordingly, the Company acknowledges that the remedy at law for a breach of its obligations under this Agreement will be inadequate and agrees, in the event of a breach or threatened breach by the Company of the provisions of this Agreement, that the Buyer shall be entitled, in addition to all other available remedies at law or in equity, and in addition to the penalties assessable herein, to an injunction or injunctions restraining, preventing or curing any breach of this Agreement and to enforce specifically the terms and provisions hereof, without the necessity of showing economic loss and without any bond or other security being required.",remedies
"Remedies. The Holder, in addition to being entitled to exercise all rights granted by law, including recovery of damages, will be entitled to specific performance of its rights under this Warrant. The Company agrees that monetary damages would not be adequate compensation for any loss incurred by reason of a breach by it of the provisions of this Warrant and hereby agrees to waive and not to assert the defense in any action for specific performance that a remedy at law would be adequate.",remedies
"Remedies. Each of the parties to this Agreement will be entitled to enforce its rights under this Agreement specifically, to recover damages and costs (including attorney’s fees) caused by any breach of any provision of this Agreement and to exercise all other rights existing in its favor. The parties hereto agree and acknowledge that money damages may not be an adequate remedy for any breach of the provisions of this Agreement and that any party may in its sole discretion apply to any court of law or equity of competent jurisdiction (without posting any bond or deposit) for specific performance and/or other injunctive relief in order to enforce or prevent any violations of the provisions of this Agreement.",remedies
"Remedies. The Issuer stipulates that the remedies at law of the Holder of this Warrant in the event of any default or threatened default by the Issuer in the performance of or compliance with any of the terms of this Warrant are not and will not be adequate and that, to the fullest extent permitted by law, such terms may be specifically enforced by a decree for the specific performance of any agreement contained herein or by an injunction against a violation of any of the terms hereof or otherwise.",remedies
"Remedies. Each Buyer and each holder of the Securities shall have all rights and remedies set forth in the Transaction Documents and all rights and remedies which such holders have been granted at any time under any other agreement or contract and all of the rights which such holders have under any law. Any Person having any rights under any provision of this Agreement shall be entitled to enforce such rights specifically (without posting a bond or other security), to recover damages by reason of any breach of any provision of this Agreement and to exercise all other rights granted by law. Furthermore, the Company recognizes that in the event that it fails to perform, observe, or discharge any or all of its obligations under the Transaction Documents, any remedy at law may prove to be inadequate relief to the Buyers. The Company therefore agrees that the Buyers shall be entitled to seek temporary and permanent injunctive relief in any such case without the necessity of proving actual damages and without posting a bond or other security.",remedies
"Remedies. The Guarantors jointly and severally agree that, as between the Guarantors and the Lenders, the obligations of the Borrower under this Agreement and the Notes, if any, may be declared to be forthwith due and payable as provided in Section 8.02 (and shall be deemed to have become automatically due and payable in the circumstances provided in Section 8.02) for purposes of Section 11.01, notwithstanding any stay, injunction or other prohibition preventing such declaration (or such obligations from becoming automatically due and payable) as against the Borrower and that, in the event of such declaration (or such obligations being deemed to have become automatically due and payable), such obligations (whether or not due and payable by the Borrower) shall forthwith become due and payable by the Guarantors for purposes of Section 11.01.",remedies
Remedies. Any Person having rights under any provision of this Agreement shall be entitled to enforce such rights specifically to recover damages caused by reason of any breach of any provision of this Agreement and to exercise all other rights granted by law. The parties hereto agree and acknowledge that money damages may not be an adequate remedy for any breach of the provisions of this Agreement and that any party may in its sole discretion apply to any court of law or equity of competent jurisdiction (without posting any bond or other security) for specific performance and for other injunctive relief in order to enforce or prevent violation of the provisions of this Agreement.,remedies
"Remedies. In addition to being entitled to exercise all rights provided herein or granted by law, including recovery of damages, the Purchaser and the Company will be entitled to specific performance under the Transaction Documents. The parties agree that monetary damages may not be adequate compensation for any loss incurred by reason of any breach of obligations described in the foregoing sentence and hereby agrees to waive in any action for specific performance of any such obligation the defense that a remedy at law would be adequate.",remedies
