clause_text,clause_type
"Rent. Subtenant will pay to Tenant the total sum of $ for the Term, payable in advance in monthly installments of $ due on the day of each month during the Term (“Rent”). The first Rent payment is payable to Tenant when Subtenant signs this Sublease. Rent will be paid directly to Tenant at the address stated in the Notices section herein (or to such other places or persons as directed ☐ ☐ ☐ ☐ ☐ ☐ by Tenant) by mail or in person by one of the following methods: (Check one) ☐ Cash Personal check Money order Cashier’s check Credit card PayPal Electronic transfer ☐ Other: , and will be payable in U.S. Dollars. Tenant will be responsible for paying Rent on the Original Lease to the Landlord. ☐ Rent will be a pro rata portion of the monthly installment in the amount of $ for the:(Check one) ☐ ☐ first month of the Term. last month of the Term. ☐ Rent will NOT be prorated.",rent
"Rent. Tenant agrees to pay to Landlord, without demand, deduction or offset except as otherwise set forth in this Lease, Base Rent, Excess Operating Expenses, Excess Property Taxes and all other Additional Rent for the Term. Tenant shall pay the Monthly Rent, in advance, on the first day of each calendar month during the Term, at Landlord’s address designated in Section 1 above unless Landlord designates otherwise with at least thirty (30) days advance notice in writing to Tenant of such changed designation; provided that Monthly Rent for the first full month shall be paid at the signing of this Lease. If the Commencement Date is not the first day of the month, the Monthly Rent for that partial month shall be apportioned on a per diem basis and shall be paid on or before the Commencement Date. Tenant shall pay Landlord a service and handling charge equal to the lesser of 5% of any Rent not paid within 5 days after the date due or the maximum amount permitted by applicable Laws. In addition, any Rent, including such charge, not paid within 5 days after the due date will bear interest at the Interest Rate from the date due to the date paid. Tenant shall pay before delinquency all taxes levied or assessed upon, measured by, or arising from the conduct of Tenant’s business, use or occupancy of the Premises, Tenant’s leasehold estate or Tenant’s property. Additionally, and notwithstanding anything to the contrary, Tenant shall pay to Landlord all sales, use, transaction privilege, or other excise tax that may at any time be levied or imposed upon, or measured by, any Rent or other amount payable by Tenant or any subtenant or occupant under this Lease.",rent
"Rent. (a) The rent reserved under this Lease for the Term hereof shall be and consist of (a) the Fixed Rent payable in equal monthly installments in advance, on the first day of each and every calendar month during the Term (subject to Paragraphs (e) and (f) of this Paragraph 2); plus (b) such additional rent (“Additional Rent”) in an amount equal to Tenant’s Proportionate Share of Expenses (as such terms are defined in Paragraph 3 of this Lease) as may be payable pursuant to the terms of this Lease and all charges for services and utilities pursuant to Paragraph 15 hereof, and any other charges as shall become due and payable hereunder, which Additional Rent shall be payable as hereinafter provided, all to be paid to Landlord at its office stated above, or such other place as Landlord may designate, in lawful money of the United States of America; provided, however, that if the Rent Commencement Date shall occur on a date other than the first calendar day of a month, the rent for the partial month commencing on the Rent Commencement Date shall be appropriately pro-rated on the basis of the monthly rent payable during the first year of the Term.",rent
"Rent. Tenant shall pay, in lawful money of the United States of America which shall be legal tender for the payment of public and private debts, without offset, abatement, demand or deduction (unless otherwise expressly provided in this Agreement), Minimum Rent and Additional Rent to Landlord and Additional Charges to the party to whom such Additional Charges are payable, during the Term. All payments to Landlord shall be made by wire transfer of immediately available federal funds or by other means acceptable to Landlord in its sole discretion. Rent for any partial calendar month shall be prorated on a per diem basis.",rent
Rent. Sublessee shall pay to Sublessor as rent for the Premises equal monthly payments of $ in advance. on the day of each month of the term hereof. Sublessee shall pay Sublessor upon the execution hereof $ as rent for . Rent for any period during the term hereof which is for less than one month shall be a prorata portion of the monthly installment. Rent shall be payable in lawful money of the United States to Sublessor at the address stated herein or to such other persons or at such other places as Sublessor may designate in writing.,rent
Rent. 1. Tenant shall pay the rent as above and as hereinafter provided.,rent
"Rent. Tenant shall, without deduction, abatement or setoff of any nature whatsoever, except as elsewhere herein provided, pay to Landlord as fixed minimum rent for the Leased Premises Four Hundred Thirty-Six Thousand Four Hundred Forty and 00/100 Dollars ($436,440.00) per annum, payable in equal monthly installments of Thirty Six Thousand Three Hundred Seventy and 00/100 Dollars ($36,370.00) each, in advance and without demand on the first day of each and every month during the term of this Lease, at the office of the Landlord or at such other place or to such other person as Landlord may from time to time designate in writing, except that Tenant shall pay the first monthly installment on the execution of this Lease. If the term of this Lease shall commence on a date other than the first day of a calendar month, such first installment shall be prorated for the period between the date of commencement of the term of this Lease and the first day of the following month. This minimum rent is calculated at $15.00 per square foot per annum based upon the Leased Premises comprising 29,096 square feet of rentable area determined as set forth on Exhibit ""C"" attached hereto based upon the Leased Premises comprising [25,978] usable square feet calculated in accordance with BOMA standards and a common area factor of twelve percent (12%). Tenant may, at its option, either: (a) annually in advance provide the manager of the Premises, as same may be appointed and designated by Landlord from time to time (the ""Manager""), with twelve (12) post-dated checks for the monthly installments due hereunder for said annual fixed minimum rent, each monthly installment to be applied to the obligations of Tenant by the Manager as same become due (the ""Check Payment Option""), or (b) arrange for automatic monthly wire transfers to the Manager in the amount of the monthly installments due hereunder (the ""Automatic Wire Option"") (the Check Payment Option and the Automatic Wire Option are hereinafter referred to collectively as the ""Automatic Payment Plan""). In the event Tenant elects not to use an Automatic Payment Plan or does elect to use an Automatic Payment Plan and the rental obligations of Tenant are not timely met for any reason, other than failure of the Manager to apply a payment under the Check Payment Option by depositing the appropriate check, including but not limited to there being insufficient funds in the account of Tenant from which an Automatic Payment Plan is to be paid, any r...",rent
"Rent. Lessee will pay to Lessor in lawful money of the United States of America which shall be legal tender for the payment of public and private debts, in immediately available funds, at Lessor’s address set forth in Article 26 hereof or at such other place or to such other Person as Lessor from time to time may designate in a Notice, all Base Rent, Percentage Rent and Additional Charges, during the Term, as follows:",rent
"Rent. 3.1 Tenant agrees to pay to Landlord the Annual Rent in effect from time to time by paying the Monthly Installment of Rent then in effect on or before the first day of each full calendar month during the Term, except that the first full month’s rent shall be paid upon the execution of this Lease. The Monthly Installment of Rent in effect at any time shall be one-twelfth (1/12) of the Annual Rent in effect at such time. Rent for any period during the Term which is less than a full month shall be a prorated portion of the Monthly Installment of Rent based upon the number of days in such month. Said rent shall be paid to Landlord, without deduction or offset and without notice or demand, at the Rent Payment Address, as set forth on the Reference Pages, or to such other person or at such other place as Landlord may from time to time designate in writing. If an Event of Default occurs, Landlord may require by notice to Tenant that all subsequent rent payments be made by an automatic payment from Tenant’s bank account to Landlord’s account, without cost to Landlord. Tenant must implement such automatic payment system prior to the next scheduled rent payment or within ten (10) days after Landlord’s notice, whichever is later. Unless specified in this Lease to the contrary, all amounts and sums payable by Tenant to Landlord pursuant to this Lease shall be deemed additional rent.",rent
"Rent. Tenant shall pay rent at an annual rate of $776,304.00 (""Base Rent""), in equal monthly installments of $64,692.00, in advance on the first day of each calendar month included in the Term, without offset, deduction or demand, except as otherwise provided in this Lease. Tenant shall make all payments of Base Rent to Landlord at the address set forth in Section 21 of this Lease or to such other party or to such other address as Landlord may designate from time to time by notice to Tenant. If the Term begins on a day other than the first day of a calendar month or ends on any day other than the last day of a calendar month, the installment of Base Rent due from Tenant for any partial calendar month at the beginning or end of the Term shall be prorated at a rate of 1/30 of such installment for each day of such calendar month falling within the Term. All sums due under this Lease other than Base Rent shall be deemed ""Additional Rent"" and the term ""Rent"", as used herein, shall mean Base Rent and Additional Rent.",rent
