clause_text,clause_type
"Reporting. At least annually and more frequently as mutually agreed between the parties, the Delegate shall provide to the Board written reports specifying placement of the Fund's Assets with each Eligible Foreign Custodian selected by the Delegate pursuant to Section 3 of this Delegation Schedule and shall promptly report on any material changes to such foreign custody arrangements. Delegate will prepare such a report with respect to any Eligible Foreign Custodian that the Delegate has been instructed to use pursuant to Section 7 of this Delegation Schedule only to the extent specifically agreed with respect to the particular situation.",reporting
"Reporting. Each L/C Issuer will report in writing to the Administrative Agent (i) on the first Business Day of each calendar month, the aggregate face amount of Letters of Credit issued by it and outstanding as of the last Business Day of the preceding calendar month (and on such other dates as the Administrative Agent may request), (ii) on or prior to each Business Day on which such L/C Issuer expects to issue, amend, renew or extend any Letter of Credit, the date of such issuance or amendment, and the aggregate face amount of Letters of Credit to be issued, amended, renewed or extended by it and outstanding after giving effect to such issuance, amendment, renewal or extension (and such L/C Issuer shall advise the Administrative Agent on such Business Day whether such issuance, amendment, renewal or extension occurred and whether the amount thereof changed), (iii) on each Business Day on which such L/C Issuer makes any L/C Disbursement, the date and amount of such L/C Disbursement and (iv) on any Business Day on which the Borrower fails to reimburse an L/C Disbursement required to be reimbursed to such L/C Issuer on such day, the date and amount of such failure.",reporting
"Reporting. Unless otherwise requested by the Administrative Agent, each Issuing Bank shall (i) provide to the Administrative Agent copies of any notice received from the Borrower pursuant to Section 2.05(b) no later than the next Business Day after receipt thereof and (ii) report in writing to the Administrative Agent (A) on or prior to each Business Day on which such Issuing Bank expects to issue, amend, renew or extend any Letter of Credit, the date of such issuance, amendment, renewal or extension, and the aggregate face amount of the Letters of Credit to be issued, amended, renewed or extended by it and outstanding after giving effect to such issuance, amendment, renewal or extension occurred (and whether the amount thereof changed), and the Issuing Bank shall be permitted to issue, amend, renew or extend such Letter of Credit if the Administrative Agent shall not have advised the Issuing Bank that such issuance, amendment renewal or extension would not be in conformity with the requirements of this Agreement, (B) on each Business Day on which such Issuing Bank makes any L/C Disbursement, the date of such L/C Disbursement and the amount of such L/C Disbursement and (C) on any other Business Day, such other information as the Administrative Agent shall reasonably request, including but not limited to prompt verification of such information as may be requested by the Administrative Agent.",reporting
Reporting. Each Borrower hereby agrees that such Borrower shall furnish promptly after each fiscal month to the Borrower Representative a copy of its Borrowing Base Certificate and any other certificate or report required hereunder or requested by the Borrower Representative on which the Borrower Representative shall rely to prepare the Borrowing Base Certificates and Compliance Certificate required pursuant to the provisions of this Agreement.,reporting
Reporting. (Section 5.3): Borrower shall provide Silicon with the following:,reporting
"Reporting. Borrowers (a) will deliver to Agent (and if so requested by Agent, with copies for each Lender) each of the reports set forth on Schedule 5.2 at the times specified therein, and (b) agree to use commercially reasonable efforts in cooperation with Agent to facilitate and implement a system of electronic collateral reporting in order to provide electronic reporting of each of the items set forth on such Schedule.",reporting
"Reporting. At any time when the Issuer and/or the Co-Issuer is not subject to Section 13 or 15(d) of the Exchange Act and is not exempt from reporting pursuant to Rule 12g3-2(b) under the Exchange Act, upon the request of a Holder or beneficial owner of a Note, the Issuer and/or the Co-Issuer shall promptly furnish or cause to be furnished “Rule 144A Information” (as defined below) to such Holder or beneficial owner, to a prospective purchaser of such Note designated by such Holder or beneficial owner or to the Note Administrator for delivery to such Holder or beneficial owner or a prospective purchaser designated by such Holder or beneficial owner, as the case may be, in order to permit compliance by such Holder or beneficial owner with Rule 144A under the Securities Act in connection with the resale of such Note by such Holder or beneficial owner. “Rule 144A Information” shall be such information as is specified pursuant to Rule 144A(d)(4) under the Securities Act (or any successor provision thereto). The Note Administrator shall reasonably cooperate with the Issuer and/or the Co-Issuer in mailing or otherwise distributing (at the Issuer’s expense) to such Noteholders or prospective purchasers, at and pursuant to the Issuer’s and/or the Co-Issuer’s written direction the foregoing materials prepared by or on behalf of the Issuer and/or the Co-Issuer; provided, however, that the Note Administrator shall be entitled to prepare and affix thereto or enclose therewith reasonable disclaimers to the effect that such Rule 144A Information was not assembled by the Note Administrator, that the Note Administrator has not reviewed or verified the accuracy thereof, and that it makes no representation as to such accuracy or as to the sufficiency of such information under the requirements of Rule 144A or for any other purpose.",reporting
Reporting. RPS shall:,reporting
"Reporting. (a) The Custodian shall render to the Company a monthly report of (i) all deposits to and withdrawals from the Cash Account during the month, and the outstanding balance (as of the last day of the preceding monthly report and as of the last day of the subject month) and (ii) an itemized statement of the Securities held pursuant to this Agreement as of the end of each month, all transactions in the Securities during the month, as well as a list of all Securities transactions that remain unsettled at that time, and (iii) such other matters as the parties may agree from time to time.",reporting
"Reporting. The HSP will report on its community engagement and integration activities, using any templates provided by the LHIN, as requested by the LHIN and in any event, in its year-end report to the LHIN.",reporting
Reporting. Price Services shall:,reporting
Reporting. The Borrower shall:,reporting
"Reporting. Not later than the third Business Day following the last day of each month (or at such other intervals as the Administrative Agent and the applicable L/C Issuer shall agree), each L/C Issuer shall provide to the Administrative Agent a schedule of the Letters of Credit issued by it, in form and substance reasonably satisfactory to the Administrative Agent, showing the date of issuance of each Letter of Credit, the account party, the original face amount (if any), the expiration date, and the reference number of any Letter of Credit outstanding at any time during such month, and showing the aggregate amount (if any) payable by the Borrower to such L/C Issuer during such month.",reporting
Reporting. $[ ] per fund per standard reporting package* § Additional 15c reporting is subject to additional charges *Standard reporting packages for annual 15(c) meeting - Expense reporting package: 2 peer comparison reports (adviser fee) and (net expense ratio w classes on one report) OR Full 15(c) report - Performance reporting package: Peer Comparison Report § Standard data source – Morningstar; additional charges will apply for other data services,reporting
"Reporting. On or before the 5th calendar day (or, if such day is not a Business Day, on the immediately succeeding Business Day) of each month during the term hereof, the Servicer shall deliver to the Purchaser monthly accounting reports in the form of Exhibits 6.02(a) through 6.02(g) attached hereto with respect to the most recently ended Monthly Period. Such monthly accounting reports shall include information as to the aggregate Unpaid Principal Balance of all Mortgage Loans, the scheduled amortization of all Mortgage Loans, any delinquencies and the amount of any Principal Prepayments as of the most recently ended Record Date. The Purchaser may assess penalty fees in accordance with FNMA guidelines for late or incorrect reporting. The Servicer shall provide the Purchaser with such information concerning the Mortgage Loans as is necessary for the Purchaser to prepare its federal income tax return as the Purchaser may reasonably request from time to time.",reporting
"Reporting. The Parties will promptly report to each other in writing each CRADA Subject Invention reported by their respective personnel, and any Patent Applications filed thereon, resulting from the research and development activities conducted under this CRADA. Each Party will report all CRADA Subject Inventions to the other Party in sufficient detail to determine inventorship, which will be determined in accordance with U.S. patent law. These reports will be treated as Confidential Information in accordance with Article 8. Formal reports will be made by and to the Patenting and Licensing Offices identified on the Contacts Information Page herein.",reporting
"Reporting. At such time or times as may be required by the Board of Directors, acting reasonably, the Executive will provide the Board of Directors with such information concerning the results of the Executive's General Services and activities hereunder for the previous month as the Board of Directors may reasonably require.",reporting
"Reporting a) The Service Provider shall monitor, audit, and record in an auditable manner, its own implementation and compliance with the B-BBEE Improvement Plan and the Supplier Development Implementation Plan and provide the Contract Manager with such information as the Contract Manager may reasonably request concerning the implementation of the B-BBEE Improvement Plan and the Supplier Development Implementation Plan.",reporting
"Reporting. Each L/C Issuer shall furnish to the Administrative Agent a report detailing the daily L/C Obligations outstanding under all Letters of Credit issued by it, such report to be in a form and at reporting intervals as shall be agreed between the Administrative Agent and such L/C Issuer; provided that in no event shall such reports be furnished at less than weekly intervals.",reporting
"Reporting. Add the following for fund administration services and data charges necessary to compile SEC required “peer reporting” information. § $[ ] per fund per report Add the following for legal administration services in support of external legal counsel, including annual registration statement update and drafting of supplements: (Final Fee(s) subject to USBFS legal team review and approval) § $[ ] first fund § $[ ] each additional fund up to 5 funds § Fees negotiated for funds 6+ Including but not limited to, SWIFT processing, customized reporting, third-party data provider costs (including GICS, MSCI, Lipper, etc.), postage, stationary, programming, special reports, proxies, insurance, EDGAR/XBRL filing, retention of records, federal and state regulatory filing fees, expenses related to and including travel to and from Board of Trustee meetings, third party auditing and legal expenses, wash sales reporting (GainsKeeper), tax e-filing, PFIC monitoring, conversion expenses (if necessary), and CCO team travel related costs to perform due diligence reviews at advisor and sub-advisor facilities.",reporting
"Reporting. The Company will file with the Trustee within 15 days after filing with the SEC, copies of its annual reports and of the information, documents, and other reports (or copies of such portions of any of the foregoing as the SEC may by rules and regulations prescribe) which the Company is required to file with the SEC pursuant to Section 13 or 15(d) of the Exchange Act. The Company also will comply with the other provisions of TIA Section 314(a). Delivery of such reports, information and documents to the Trustee is for informational purposes only and the Trustee’s receipt of such shall not constitute constructive notice of any information contained therein or determinable from information contained therein, including the Company’s compliance with any of its covenants hereunder (as to which the Trustee is entitled to rely exclusively on Officers’ Certificates).",reporting
"Reporting. UMBFS agrees to provide to the Trust (i) prompt notification of any transaction or combination of transactions that UMBFS believes, based on the AML Procedures, evidence money laundering activity in connection with the Trust or any shareholder of the Trust, (ii) prompt notification of any true and complete match of a Fund’s shareholder(s) to the names included on the Office of Foreign Asset Controls (OFAC) list or any Section 314(a) search list, (iii) any reports received by UMBFS from any government agency or applicable industry self-regulatory organization pertaining to UMBFS’ anti-money laundering monitoring on behalf of the Trust as provided in this Article VII, (iv) any action taken in response to anti-money laundering violations as described in (i) or (ii) and (iii) a quarterly reports of its monitoring and verification activities on behalf of the Trust. UMBFS shall provide such other reports on the verification activities conducted at the direction of the Trust as may be agreed to from time to time by UMBFS and the Trust’s anti-money laundering compliance officer.",reporting
"Reporting. The Manager shall furnish to TIP upon reasonable request such information that TIP may reasonably require to complete documents, reports, or regulatory filings.",reporting
Reporting. The Company shall:,reporting
"Reporting. The Grantee agrees to provide the following reports to the Commonwealth representative in accordance with the reporting requirements (Schedule 2). <reporting table> During the Agreement period, the Commonwealth may ask the Grantee for ad-hoc reports on the project. The Grantee must provide these reports in the timeframes notified by the Commonwealth.",reporting
"Reporting. On or before the 5th Business Day of each month during the term hereof, the Servicer shall deliver to the Purchaser monthly accounting reports in the form of Exhibits 6.02(a) through 6.02(g) attached hereto with respect to the most recently ended Due Period. Such monthly accounting reports shall include information as to the aggregate Unpaid Principal Balance of all Mortgage Loans, the scheduled amortization of all Mortgage Loans, any delinquencies and the amount of any Principal Prepayments as of the most recently ended Record Date. Such monthly reports shall be available by the Servicer for the Purchaser on Servicer's secured web site. The Servicer shall provide training, secured access and password(s) to the Purchaser on the operation of the website. Utilizing resources reasonably available to the Servicer and to the extent the requested data is contained within the Servicer's electronic systems without incurring any cost except the Servicer's overhead and employees' salaries, the Servicer shall furnish to the Purchaser during the term of this Agreement such periodic, special or other reports, information or documentation, whether or not provided for herein, as shall be reasonably requested by the Purchaser with respect to Mortgage Loans or REO Properties (provided, the Purchaser shall have given the Servicer reasonable notice and opportunity to prepare such reports, information or documentation), including any reports, information or documentation reasonably required to comply with any regulations of any governmental agency or body having jurisdiction over the Purchaser, all such reports or information to be as provided by and in accordance with such applicable instructions and directions as the Purchaser may reasonably request. If any of such reports are not customarily prepared by the Servicer or require that the Servicer program data processing systems to create the reports, then the Purchaser shall pay to the Servicer a fee mutually agreed to by the Purchaser and the Servicer taking into account the Servicer's actual time and cost in preparing such reports. The Servicer agrees to execute and deliver all such instruments and take all such action as the Purchaser, from time to time, may reasonably request in order to effectuate the purposes and to carry out the terms of this Agreement.",reporting
"Reporting. The National Focal Point shall ensure that the Programme Operator provides financial reports, annual programme reports and a final programme report in accordance with Chapter 9 and Articles 6.11 and 6.12 of the Regulation as well as statistical reporting in accordance with guidelines adopted by the FMC.",reporting
Reporting. The Advisor will promptly communicate to the officers and the trustees of the Trust such information relating to portfolio transactions as they may reasonably request.,reporting
"Reporting. Client will notify Red Hat (or the Business Partner from whom Client purchased Software or Services) promptly if the actual number of Units of Software or Services utilized by Client exceeds the number of Units for which Client has paid the applicable Fees. In its notice, Client will include the number of additional Units and the date(s) on which such Units were first utilized. Red Hat (or the Business Partner) will invoice Client for the applicable Services for such Units and Client will pay for such Services no later than thirty (30) days from the date of the invoice.",reporting
Reporting. The AML Compliance Officer shall report to each Fund's Board of Directors no less frequently than annually regarding the delegation by the Fund of the implementation of this AML Program to any Service Provider and the AML Compliance Officer's evaluation of each such Service Provider's anti-money laundering program.,reporting
"Reporting. The HSP will report on its community engagement and integration activities, using any templates provided by the Funder, as requested by the Funder.",reporting
"Reporting. Contractor agrees to report to the SDSTA any event encountered in the course of performance of this Agreement which results in injury to any person or property, or which may otherwise subject Contractor, the SDSTA or the SDSTA’s officers, agents or employees to liability. Contractor shall report any such event to the SDSTA immediately upon discovery. Contractor’s obligation under this section shall only be to report the occurrence of any event to the SDSTA and to make any other report provided for by Contractor’s duties or applicable law. Contractor’s obligation to report shall not require disclosure of any information subject to privilege or confidentiality under law (e.g., attorney-client communications.) Reporting to the SDSTA under this Article shall not excuse or satisfy any obligation of Contractor to report any event to law enforcement or other entities under the requirements of any applicable law.",reporting
"Reporting. HII and SpinCo shall (i) timely file any appropriate information and statements (including as required by Section 6045B of the Code and Section 1.355-5 and, to the extent applicable, Section 1.368-3 of the Regulations) to report each of the applicable Transactions as qualifying for its Intended Tax Treatment and (ii) absent a change of Law or an applicable Determination, otherwise not take any position on any Tax Return that is inconsistent with such qualification.",reporting
"Reporting. The Grantee agrees to provide the following reports to the Commonwealth representative in accordance with the reporting requirements (Schedule 2). Report type Period start date Period end date Agreed evidence Due date <report type> <dd/mm/yyyy> <dd/mm/yyyy> <agreed evidence> <report due date> <report type> <dd/mm/yyyy] <dd/mm/yyyy> <agreed evidence> <report due date> During the Agreement period, the Commonwealth may ask the Grantee for ad-hoc reports on the project. The Grantee must provide these reports in the timeframes notified by the Commonwealth.",reporting
"Reporting. The Grantee agrees to provide the following reports to the Commonwealth representative in accordance with the reporting requirements (Schedule 2). <reporting table> During the Agreement period, the Commonwealth may ask the Grantee for ad-hoc reports on the project. The Grantee must provide these reports in the timeframes notified by the Commonwealth. Party representatives and address for notices Grantee's representative and address Grantee’s representative name <primary contact name> Position <primary contact position> Address <primary contact address> Business hours telephone <phone number> Mobile <mobile phone> Email <email address> Commonwealth representative and address Name of representative <CSM name> Position <CSM position> Postal address GPO Box 2013 CANBERRA ACT 2601 Physical address <CSM physical address> If blank 10 Binara Street CANBERRA ACT 2600 Business hours telephone <CSM phone> Email <Program email address> The Parties' representatives will be responsible for liaison and the day-to-day management of the Grant, as well as accepting and issuing any written notices in relation to the Grant. Activity Material Not applicable Supplementary Terms Other Contributions",reporting
"Reporting a) The Supplier/Service Provider shall monitor, audit, and record in an auditable manner, its own implementation and compliance with its Local Content obligations (if applicable) and provide the Contract Manager with such information as the Contract Manager may reasonably request concerning its Local Content obligations.",reporting
