clause_text,clause_type
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer that:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller makes the following representations and warranties as of the Closing Date on which the Issuer will be deemed to have relied in acquiring the Transferred Assets. The representations and warranties speak as of the execution and delivery of this Agreement and will survive the conveyance of the Transferred Assets to the Issuer and the pledge thereof by the Issuer to the Indenture Trustee pursuant to the Indenture:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Purchaser that:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller makes the following representations and warranties as of the date hereof and as of the Closing Date on which Purchaser relies in purchasing the Receivables and the Other Conveyed Property and in transferring the Receivables and the Other Conveyed Property to the Issuer under the Sale and Servicing Agreement. Such representations are made as of the execution and delivery of this Agreement, but shall survive the sale, transfer and assignment of the Receivables and the Other Conveyed Property hereunder, and the sale, transfer and assignment thereof by Purchaser to the Issuer under the Sale and Servicing Agreement. Seller and Purchaser agree that Purchaser will assign to Issuer all Purchaser’s rights under this Agreement and that the Trustee will thereafter be entitled to enforce this Agreement against Seller in the Trustee’s own name on behalf of the Noteholders.",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller makes the following representations and warranties as to the Receivables on which the Issuing Entity is deemed to have relied in acquiring the Receivables. Such representations and warranties speak as of the Closing Date, but shall survive the sale, transfer and assignment of the Receivables to the Issuing Entity and the pledge thereof to the Indenture Trustee pursuant to the Indenture.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer as of the date hereof and as of the Closing Date that:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer as of the date hereof as follows:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents, warrants and covenants to Purchaser as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Except as set forth in the correspondingly numbered Section of the Disclosure Schedules, Seller represents and warrants to Buyer that the statements contained in this Article IV are true and correct as of the date hereof.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller hereby represents and warrants to the Buyer on the date hereof and as of the Closing Date as follows:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer, as of the date of this Agreement and as of the Closing, as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. As an inducement to Buyer to enter into this Agreement and to consummate the transactions contemplated hereby, Seller represents and warrants to Buyer and agrees as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. (a) The Seller hereby represents and warrants that each of the representations and warranties regarding the Receivables that are set forth in Schedule B-1 is true and correct and that the Issuer is deemed to have relied on such representations and warranties in acquiring the Receivables. Such representations and warranties speak as of the execution and delivery of this Agreement and as of the Closing Date, but shall survive the sale, transfer and assignment of the Receivables to the Issuer and the pledge thereof to the Trust Collateral Agent pursuant to the Indenture and shall not be waived.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller represents and warrants to Buyer as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyer as of the Effective Date as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby makes the following representations and warranties to Purchaser:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. To induce the Purchaser to enter into this Agreement, the Seller represents and warrants to the Purchaser as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. (a) Seller represents and warrants to Depositor as of the date hereof, as follows:",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby warrants and represents:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller, as sole director and officer of Corporation, hereby represents and warrants to Purchaser that:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. As an inducement to Purchaser to enter into this Agreement, Seller represents and warrants to Purchaser as of the Agreement Date and the Closing Date (or as of the date specified below, as applicable):",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller makes the following representations and warranties to Buyer:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. SELLER hereby represents and warrants to PURCHASER that:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer that the statements contained in this Article IV are true and correct as of the date hereof.,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to the Company as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer the following:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyer that the statements contained in this ARTICLE II are true and correct as of the date of this Agreement and as of the Effective Time (except for any such representation and warranty that expressly is made as of a specific date, in which case such representation and warranty shall be true and correct as of such date), subject to such qualifications as are set forth in the disclosure schedule delivered by Seller to Buyer concurrently with the execution of this Agreement (the “Seller Disclosure Schedule”). The Seller Disclosure Schedule shall be arranged according to specific Sections in this ARTICLE II and shall provide exceptions to, or otherwise qualify in reasonable detail, only the corresponding Section in this ARTICLE II.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyers as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants as follows:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby makes the following representations and warranties to Purchaser as of the Effective Date:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. As an inducement to Purchaser to enter into this Agreement and to consummate the transactions contemplated herein, Seller represents and warrants to Purchaser as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer and Sub that the statements contained in this Article III are true and correct, except as set forth herein or in the disclosure schedule delivered by Seller to Buyer on or before the date of this Agreement (the ""Seller Disclosure Schedule""). The Seller Disclosure Schedule shall be arranged in paragraphs corresponding to the numbered and lettered paragraphs contained in this Article III and the disclosure in any paragraph shall qualify other paragraphs in this Article III only to the extent that it is reasonably apparent from a reading of such disclosure that it also qualifies or applies to such other paragraphs.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller hereby represents and warrants to the Purchaser as follows:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser, as of the Effective Date and as of the Closing Date, as follows:",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser that the following matters are true and correct as of the execution of this Agreement and will also be true and correct as of the Closing:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants that the following are true and correct as of this date and will be true and correct through the Closing Date as if made on that date:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer that the statements contained in this Section 4 are true, correct and complete as of the date of this Agreement and will be true, correct and complete as of the Closing Date (as though made on and as of such Closing Date as if such Closing Date were substituted for the date of this Agreement throughout this Section 4).",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Purchaser as follows that, as of the Effective Date and as of the Closing:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer that the statements contained in this Article III are true and correct as of the date hereof. For purposes of this Article III, ""Seller's knowledge,"" ""knowledge of Seller"" and any similar phrases shall mean the actual or constructive knowledge of any director or officer of Seller, after due inquiry.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants that:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby makes the following representations and warranties to Purchaser as of the Effective Date, which representations and warranties shall be deemed to have been made again as of the Closing, subject to Section 4.2(f) hereof:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Subject to Sections 3.09, the Seller makes the following representations and warranties, as of the Closing Date, and the Seller acknowledges that the Issuer has relied thereon in acquiring the Transition Property. The representations and warranties shall survive the sale and transfer of Transition Property to the Issuer and the pledge thereof to the Indenture Trustee pursuant to the Indenture. The Seller agrees that (i) the Issuer may assign the right to enforce the following representations and warranties to the Indenture Trustee and (ii) the representations and warranties inure to the benefit of the Issuer and the Indenture Trustee.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser as follows as of the date hereof and as of the Closing:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Except as set forth in the Seller SEC Documents filed prior to the execution of this Agreement (provided, that, for the purpose of qualifying any representations and warranties contained in this Agreement, (i) only the most recent version of any particular Seller SEC Document shall act to qualify any representation or warranty, and (ii) any “Risk Factors"" section, forward looking statement or similar disclaimer included in such Seller SEC Document shall not be taken into account) or as set forth in the disclosure schedules delivered concurrently with the execution of this Agreement to Parent and Purchaser (the “Seller Disclosure Schedule”), which schedules shall identify any exceptions to the representations, warranties and covenants contained in this Agreement (with reference to the particular Section to which such information relates; provided that an item disclosed in any Section shall be deemed to have been disclosed for each other Section of this Agreement to the extent the relevance of such disclosure to such other Section of this Agreement is reasonably apparent on the face of such disclosure); Seller hereby represents and warrants to Parent and Purchaser as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser as follows, as of the date hereof and as of the Closing Date (provided that references in representations and warranties to a particular date (including references to “the date hereof”, “the date of this Agreement” or words of similar import) will be given effect whenever such representations and warranties are made), with each such representation and warranty subject to such exceptions, if any, as are set forth in the disclosure schedule of Seller delivered to Purchaser contemporaneously with the execution of this Agreement (the “Seller Disclosure Schedule”). Disclosures in any section or subsection of the Seller Disclosure Schedule shall only address the corresponding Section or subsection of this Article III and such other Sections or subsections of the Seller Disclosure Schedule to the extent to which applicability of such disclosures is reasonably apparent on its face.",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Buyer as of the Closing Date as follows:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. In connection with the following representations and warranties, attached to this Agreement is a disclosure schedule (the ""Disclosure Schedule"") arranged in numbered parts corresponding to the Section numbering in this Agreement of the following representations and warranties. The information disclosed in any numbered part of the Disclosure Schedule shall be deemed to relate to and to qualify only the particular representation or warranty set forth in the corresponding numbered Section in this Agreement and shall not be deemed to relate to or qualify any other representation or warranty unless so stated otherwise, specifying each other representation and warranty to which it relates. No reference to or disclosure of any item in the Disclosure Schedule shall be construed as an admission or indication that such item or other matter is material or that such item or other matter is required to be referred to or disclosed in the Disclosure Schedule. Sellers jointly and severally hereby represent and warrant to Buyer that, as of the Agreement Date and as of the Closing Date (except with respect to representations and warranties made as of a particular date, which shall be deemed to be made only as of such date), except as set forth on the Disclosure Schedule:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents and warrants to Purchaser that, except as set forth in the Seller Disclosure Schedule (but subject to the immediately following sentence), the statements contained in this ARTICLE 3 are true and correct (a) as of the date hereof; and (b) as of the Closing (unless in each case the particular statement speaks expressly as of a particular date, in which case it is true and correct only as of such date). Notwithstanding the foregoing, it is expressly understood and acknowledged that any information disclosed in the Disclosure Schedule under any numbered or lettered section or subsection shall be deemed to relate to and qualify such section or subsection, as well as any other sections or subsections of the Seller Disclosure Schedule, but only where the relevance of such disclosure to such other section or subsection is reasonably apparent from the text of such disclosure; provided, that the mere listing of an agreement shall not provide reasonably apparent disclosure, except to the extent that only a listing is required by the representation and warranty.",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller represents, warrants and covenants to the Purchaser that as of the Closing Date or as of such date specifically provided herein:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. (a) The Seller hereby makes the following representations and warranties as of the Closing Date on which the Depositor relies in accepting the Purchased Assets and in transferring the Purchased Assets to the Issuer under the Sale and Servicing Agreement, and on which the Issuer relies in pledging the same to the Indenture Trustee. Such representations and warranties speak as of the Closing Date, but shall survive the sale, transfer and assignment of the Purchased Assets to the Depositor, the subsequent sale, transfer and assignment of the Purchased Assets by the Depositor to the Issuer pursuant to the Sale and Servicing Agreement and the pledge of the same by the Issuer to the Indenture Trustee pursuant to the Indenture:",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyer:,representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby warrants and represents that:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyer that the following statements are true, correct and complete as of the execution date of this Agreement and as of the date of the Closing:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Except as set forth in the Disclosure Letter, Seller represents and warrants to Buyer as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Purchaser, as of the date of this Agreement and the Closing Date, as follows:",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. The Seller represents and Warrants to the Buyer that, subject to the specific qualifications and limitations set forth below, the statements contained in this SECTION 3(a) are correct and complete as of the date of this Agreement and will be correct and complete as of the Closing Date (as though made then and as though the Closing Date were substituted for the date of this Agreement throughout this SECTION 3(a) with respect to itself. (I)",representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Except as set forth in the disclosure letter delivered by Seller to Purchaser (the “Seller Disclosure Letter”) concurrently with the execution of this Agreement (it being agreed that any matter disclosed pursuant to any section of the Seller Disclosure Letter shall be deemed disclosed for purposes of any other section of the Seller Disclosure Letter to the extent the applicability of the disclosure to such other section is reasonably apparent on the face of such disclosure), Seller hereby represents and warrants to Purchaser as follows:",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants to Buyer as of the Removal Date:,representations-and-warranties-of-seller
"REPRESENTATIONS AND WARRANTIES OF SELLER. Seller represents, warrants and covenants to and with Buyer as follows:",representations-and-warranties-of-seller
REPRESENTATIONS AND WARRANTIES OF SELLER. Seller hereby represents and warrants as follows:,representations-and-warranties-of-seller
