clause_text,clause_type
"Representations and Warranties of the Company. Except as set forth in the Disclosure Schedules, which Disclosure Schedules shall be deemed a part hereof and shall qualify any representation or otherwise made herein to the extent of the disclosure contained in the corresponding section of the Disclosure Schedules, the Company hereby makes the following representations and warranties to each Purchaser:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. As a material inducement to the Purchaser to enter into this Agreement and purchase the Private Placement Warrants, the Company hereby represents and warrants to the Purchaser (which representations and warranties shall survive each Closing Date) that:",representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to the Buyer that:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to each Underwriter that:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to the Underwriters as follows:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to the Purchaser as follows:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to and agrees with each of the Underwriters that:,representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company represents and warrants to, and agrees with, the several Underwriters that:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company represents and warrants to the Underwriters as of the Applicable Time (as defined below), as of the Closing Date and as of the Option Closing Date, if any, as follows:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company hereby represents and warrants to the Purchaser, as of the date hereof and as of the Closing Date, as follows:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company hereby represents, warrants and covenants to each Underwriter, as of the date of this Agreement, as of the First Closing Date (as hereinafter defined) and as of each Option Closing Date (as hereinafter defined), if any, as follows:",representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants as follows:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to the Buyer that as of the date hereof and as of the Commencement Date:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company hereby makes the following representations and warranties to each Purchaser:,representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company represents and warrants to Parent and Sub as follows:,representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company represents and warrants to, and agrees with, each Underwriter that:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. Except (x) as set forth in any report, schedule, form, statement or other document filed with, or furnished to, the Securities and Exchange Commission (the “SEC”) since January 1, 2013 by the Company or WPZ and publicly available on EDGAR prior to the date of this Agreement (collectively, the “Company Filed SEC Documents”) (without giving effect to any amendment to any such Company Filed SEC Documents filed on or after the date of this Agreement and excluding any disclosures set forth in any “risk factor” section to the extent such disclosures are cautionary, predictive or forward-looking in nature) or (y) as set forth in the Company Disclosure Letter (it being understood that any information set forth in one Section or subsection of the Company Disclosure Letter shall be deemed to apply to and qualify the Section or subsection of this Agreement to which it corresponds in number and each other Section or subsection of this Agreement to the extent that it is reasonably apparent on its face in light of the context and content of the disclosure that such information is relevant to such other Section or subsection), the Company represents and warrants to TopCo and Parent as follows:",representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company represents and warrants to, and agrees with, each of the Underwriters that:",representations-and-warranties-of-the-company
Representations and Warranties of the Company. The Company hereby represents and warrants to the Investor as follows:,representations-and-warranties-of-the-company
"Representations and Warranties of the Company. The Company represents and warrants to Subscriber that the following representations and warranties are true and complete in all material respects as of the date of each Closing Date, except as otherwise indicated. For purposes of this Agreement, an individual shall be deemed to have “knowledge” of a particular fact or other matter if such individual is actually aware of such fact. The Company will be deemed to have “knowledge” of a particular fact or other matter if one of the Company’s current officers has, or at any time had, actual knowledge of such fact or other matter.",representations-and-warranties-of-the-company
