clause_text,clause_type
Representations and Warranties. The representations and warranties of the Purchaser contained in Section 3 shall be true and correct at and as of such Closing Date as though then made.,representations-and-warranties
"Representations and Warranties. Any representation, warranty, certification or statement of fact made or deemed made by or on behalf of the Borrower or any other Loan Party herein, in any other Loan Document, or in any document delivered in connection herewith or therewith shall be incorrect or misleading in any material respect when made or deemed made; or",representations-and-warranties
Representations and Warranties. The Borrower represents and warrants to the Lenders that:,representations-and-warranties
"Representations and Warranties. The representations and warranties of the Company contained herein shall be true and correct on the date hereof and on and as of the Closing Date or the Additional Closing Date, as the case may be; and the statements of the Company and its officers made in any certificates delivered pursuant to this Agreement shall be true and correct on and as of the Closing Date or the Additional Closing Date, as the case may be.",representations-and-warranties
Representations and Warranties. The Borrower represents and warrants to the Administrative Agent and the Lenders that:,representations-and-warranties
Representations and Warranties. Borrower represents and warrants as follows:,representations-and-warranties
"Representations and Warranties. The Company represents and warrants to, and agrees with, each Underwriter as set forth below in this Section 1.",representations-and-warranties
Representations and Warranties. (a) Registry Operator represents and warrants to ICANN as follows:,representations-and-warranties
"Representations and Warranties. To induce the Administrative Agent and the Lenders to enter into this Agreement and to make the Loans and issue or participate in the Letters of Credit, the Borrower hereby represents and warrants to the Administrative Agent and each Lender that:",representations-and-warranties
Representations and Warranties. The representations and warranties of the Company contained herein shall be true and correct in all material respects as of the date when made and as of the Closing as though made on and as of such date;,representations-and-warranties
Representations and Warranties. The representations and warranties of the Company contained in Section 2 shall be true on and as of the Closing with the same effect as though such representations and warranties had been made on and as of the date of such Closing.,representations-and-warranties
"Representations and Warranties. A. The Trust hereby represents and warrants to USBFS, which representations and warranties shall be deemed to be continuing throughout the term of this Agreement, that:",representations-and-warranties
Representations and Warranties. The representations and warranties of the Company contained in Section 2 shall be true and correct in all material respects on and as of the Closing with the same effect as though such representations and warranties had been made on and as of the date of the Closing.,representations-and-warranties
Representations and Warranties. The Company represents and warrants to and agrees with each of the Underwriters that:,representations-and-warranties
"Representations and Warranties. Each of the representations and warranties made by any Loan Party in or pursuant to the Loan Documents shall be true and correct in all material respects on and as of such date as if made on and as of such date, except for representations and warranties expressly stated to relate to a specific earlier date, in which case such representations and warranties shall be true and correct in all material respects as of such earlier date.",representations-and-warranties
"Representations and Warranties. To induce Bank to enter into this Amendment, Borrower hereby represents and warrants to Bank as follows:",representations-and-warranties
"Representations and Warranties. 1.1 Assignor[s]. [The][Each] Assignor (a) represents and warrants that (i) it is the legal and beneficial owner of [the][the relevant] Assigned Interest, (ii) [the][such] Assigned Interest is free and clear of any lien, encumbrance or other adverse claim, (iii) it has full power and authority, and has taken all action necessary, to execute and deliver this Assignment and Assumption and to consummate the transactions contemplated hereby and (iv) it is [not] a Defaulting Lender; and (b) assumes no responsibility with respect to (i) any statements, warranties or representations made in or in connection with the Credit Agreement or any other Loan Document, (ii) the execution, legality, validity, enforceability, genuineness, sufficiency or value of the Loan Documents or any collateral thereunder, (iii) the financial condition of the Borrower, any of its Subsidiaries or Affiliates or any other Person obligated in respect of any Loan Document, or (iv) the performance or observance by the Borrower, any of its Subsidiaries or Affiliates or any other Person of any of their respective obligations under any Loan Document.",representations-and-warranties
Representations and Warranties. The representations and warranties of the Investor contained in Section 3 shall be true on and as of the Closing with the same effect as though such representations and warranties had been made on and as of the Closing.,representations-and-warranties
Representations and Warranties. The Borrower represents and warrants to the Lender as follows:,representations-and-warranties
Representations and Warranties. The Borrower represents and warrants that:,representations-and-warranties
"Representations and Warranties. The representations and warranties of the Company and the Guarantors contained herein shall be true and correct on the date hereof and on and as of the Closing Date; and the statements of the Company, the Guarantors and their respective officers made in any certificates delivered pursuant to this Agreement shall be true and correct on and as of the Closing Date.",representations-and-warranties
"Representations and Warranties. The Company represents and warrants to, and agrees with, the Holder as follows:",representations-and-warranties
"Representations and Warranties. The Owner Trustee hereby represents and warrants to the Depositor, for the benefit of the Certificateholders, that:",representations-and-warranties
Representations and Warranties. The Company hereby represents and warrants to the Holder as follows:,representations-and-warranties
Representations and Warranties. The representations and warranties made by Borrower to Lender in this Section 4.01 are made as of the Effective Date and are true and correct except as disclosed on the Exceptions to Representations and Warranties Schedule.,representations-and-warranties
"Representations and Warranties. 2.1 The Company represents and warrants that the Contracts are or will be registered under the 1933 Act; that the Contracts will be issued and sold in compliance in all material respects with all applicable federal and state laws, and that the sale of the Contracts shall comply in all material respects with state insurance suitability requirements. The Company further represents and warrants that it is an insurance company duly organized and in good standing under applicable law and that it has legally and validly established the Account prior to any issuance or sale thereof as a segregated asset account under the Iowa insurance laws and has registered or, prior to any issuance or sale of the Contracts, will register the Account as a unit investment trust in accordance with the provisions of the 1940 Act to serve as a segregated investment account for the Contracts.",representations-and-warranties
"Representations and Warranties. The representations and warranties of the Company contained herein shall be true and correct in all material respects (except for those representations and warranties which are qualified as to materiality, in which case such representations and warranties shall be true and correct in all respects) as of the date when made and as of the Closing Date, as though made on and as of such date, except for such representations and warranties that speak as of a specific date.",representations-and-warranties
Representations and Warranties. Each of the representations and warranties made by any Loan Party in or pursuant to the Loan Documents shall be true and correct in all material respects on and as of such date as if made on and as of such date.,representations-and-warranties
