clause_text,clause_type
"Representations, Warranties and Covenants. The Grantors jointly and severally represent, warrant and covenant to and with the Collateral Agent, for the benefit of the Secured Parties, that:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (i) The representations and warranties of Parent and Merger Sub in this Agreement shall be true and correct in all material respects (except for such representations and warranties that are qualified by their terms by a reference to materiality which representations and warranties as so qualified shall be true and correct in all respects) both when made and on and as of the Effective Time as though such representations and warranties were made on and as of such time (provided that those representations and warranties which address matters only as of a particular date shall be true and correct as of such date) and (ii) Parent and Merger Sub shall have performed and complied in all material respects with all covenants, obligations and conditions of this Agreement required to be performed and complied with by them as of the Effective Time.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (i) Each of the representations and warranties of the Purchaser contained in this Agreement that is qualified by materiality shall have been true and correct as of the date of this Agreement and shall be true and correct as of the Closing and each of the representations and warranties that is not so qualified shall have been true and correct in all material respects as of the date of this Agreement and shall be true and correct in all material respects as of the Closing, with the same force and effect as if made as of the Closing Date (other than such representations and warranties as are made as of another date, which shall be so true and correct as of such date), (ii) the covenants and agreements contained in this Agreement to be complied with by the Purchaser on or before the Closing shall have been complied with in all material respects and (iii) the Seller shall have received a certificate from the Purchaser as to the matters set forth in clauses (i) and (ii) above signed by a duly authorized officer of the Purchaser;",representations-warranties-and-covenants
"Representations, Warranties and Covenants. Each Pledgor represents, warrants and covenants as follows:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of the Company in this Agreement shall be true and correct in all material respects (except for such representations and warranties that are qualified by their terms by a reference to materiality or material adverse effect, which representations and warranties as so qualified shall be true and correct in all respects) both when made and on and as of the Closing Date, and (ii) the Company shall have performed and complied in all material respects with all covenants, obligations and conditions of this Agreement required to be performed and complied with by each of them prior to the Effective Time.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of Purchaser contained in this Agreement shall be true and correct on and as of the Closing Date with the same force and effect as though made on and as of the Closing Date, except that any such representations and warranties that are given as of a particular date and relate solely to a particular date or period shall be true and correct as of such date or period, and except where the failure to be true and correct (without regard to any materiality qualifiers therein) would not impair the ability of Purchaser to perform its obligations under this Agreement and the Related Agreements. Purchaser shall have performed and complied in all material respects with all covenants and agreements required by this Agreement to be performed or complied with by Purchaser on or prior to the Closing Date. On the Closing Date, Purchaser shall have delivered to VFL a certificate dated as of the Closing Date, and signed by a senior officer of Purchaser, to the effect contemplated by this Section 7.01.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (i) the representations and warranties of the Purchaser contained in this Agreement (A) that are not qualified as to “materiality” shall be true and correct in all material respects as of the Closing and (B) that are qualified as to “materiality” shall be true and correct as of the Closing, except to the extent such representations and warranties are made as of another date, in which case such representations and warranties shall be true and correct in all material respects or true and correct, as the case may be, as of such other date, and (ii) the covenants and agreements contained in this Agreement to be complied with by the Purchaser on or before the Closing shall have been complied with in all material respects;",representations-warranties-and-covenants
"Representations, Warranties and Covenants. All representations and warranties of Buyer contained in this Agreement shall be true and correct in all material respects at and as of the date of this Agreement and at and as of the Closing Date, except as and to the extent that the facts and conditions upon which such representations and warranties are based are expressly required or permitted to be changed by the terms hereof, and Buyer shall have performed and satisfied in all material respects all agreements and covenants required hereby to be performed by it prior to or on the Closing Date.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of Seller contained herein shall be true and correct in all material respects at and as of the Closing (except for representations and warranties expressly and specifically relating to a time or times other than the Closing, which shall be true and correct in all material respects at and as of the time or times specified except for such inaccuracies as do not, individually or in the aggregate, have a material effect on any of the Stations, Seller's ability to consummate the transactions contemplated by this Agreement, or Seller's business as a whole) with the same effect as though all such representations and warranties were made at and as of the Closing and Seller shall have complied with all its covenants contained herein; and Seller shall have delivered to Citadel and License Sub a certificate to that effect, dated the date of the Closing, signed by Charles H. Wilson on behalf of Seller.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations ----------------------------------------- and warranties of Parent and Sub in this Agreement shall be true and correct in all material respects on and as of the Effective Time as though such representations and warranties were made on and as of such time and each of Parent and Sub shall have performed and complied in all material respects with all covenants and obligations of this Agreement required to be performed and complied with by it as of the Effective Time.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The Company represents, warrants and covenants to the Advisor that all Information it makes available to the Advisor by or on behalf of the Company in connection with the performance of its obligations hereunder will not contain any untrue statement of a material fact or omit to state a material fact necessary in order to make statements made, in light of the circumstances under which they were made, not misleading as of the date thereof and as of the consummation of the Business Combination.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (i) The representations ----------------------------------------- and warranties of Company in this Agreement shall be true and correct in all material respects (except for such representations and warranties that are qualified by their terms by a reference to materiality which representations and warranties as so qualified shall be true and correct in all respects) both when made and on and as of the Effective Time as though such representations and warranties were made on and as of such time, except (A) for those representations and warranties which address matters only as of a particular date, which shall be true and correct as of such date) and (B) where the failure to be so true and correct, without regard to any materiality qualifications contained therein, individually or in the aggregate does not constitute a Material Adverse Effect on Company or Surviving Corporation, or in the case of Sections 2.26 and 2.33 an adverse effect in any material respect on the consummation of the Merger (it being understood that, for the purposes of determining the accuracy of such representations and warranties, any change or purported update of the Company Disclosure Schedule after the date of this Agreement, shall be disregarded) and (ii) Company shall have performed and complied in all material respects with all covenants, obligations and conditions of this Agreement required to be performed and complied with by it as of the Effective Time.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. Each Pledgor hereby represents, warrants and covenants, as to itself and the Collateral pledged by it hereunder, to and with the Collateral Agent that:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties made by the Company in Article II hereof and in the other Transaction Documents shall be true and correct when made, and shall be true and correct as of the Closing Date with the same force and effect as if they had been made on and as of that date. The Company shall have performed and complied in all respects with all covenants and agreements required by this Agreement to be performed or complied with by it on or prior to the Closing Date. As of each of the Closing Dates, Company shall have delivered a certificate to the foregoing effect for the benefit of the Bridge Investors participating in such Closing.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of Seller made in this Agreement shall be true and correct in all material respects as of the Closing Date except for changes permitted or contemplated by the terms of this Agreement, and the covenants and agreements to be complied with and performed by Seller at or prior to Closing shall have been complied with or performed in all material respects. Buyer shall have received a certificate dated as of the Closing Date from Seller, executed by an authorized officer of Seller to the effect that the conditions set forth in this Section have been satisfied.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. This Warrant is issued and delivered by the Company and accepted by each Holder on the basis of the following representations, warranties and covenants made by the Company:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. Each Grantor represents, warrants and covenants to and with the Collateral Agent, for the benefit of the Secured Parties, that:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of Buyer contained in the Agreement shall be true in all material respects on and as of the Closing with the same force and effect as though made on and as of such Closing. Buyer shall have performed and complied with all covenants and agreements required by this Agreement to be performed or complied with by it on or prior to the Closing.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of Seller in this Agreement shall be true and correct in all material respects on and as of the Closing Date as though such representations and warranties were made on and as of such time (except to the extent such representations and warranties relate to an earlier date, in which case such representations and warranties shall be true and correct in all material respects as of such earlier date), and Seller shall have performed and complied with all covenants, obligations and conditions of this Agreement required to be performed and complied with by them as of the Closing Date.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. Each of the Guarantors represents and warrants (which representations and warranties shall be deemed to have been renewed at the time of the making, conversion or continuation of any Loan or issuance of any Letter of Credit) that:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (i) All representations and warranties of the Company contained in this Agreement shall be true and correct in all material respects at and as of the Closing Date as if such representations and warranties were made at and as of the Closing Date, except (i) for any changes specifically permitted by this Agreement and (ii) to the extent that any such representations and warranties were made as of a specified date, which representations and warranties shall continue on the Closing Date to be true in all material respects as of such specified date.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The representations and warranties of the Company contained in this Agreement shall have been true and correct when made and true and correct in all material respects as of the Closing Date, with the same force and effect as if made as of the Closing Date, other than such representations and warranties as are made as of another date, which shall be true and correct as of such date, if earlier than the Closing Date (provided, however, that if any portion of any representation or warranty is already qualified by materiality, for purposes of determining whether this Section 5.03(a) has been satisfied with respect to such portion of such representation or warranty, such portion of such representation or warranty as so qualified must be true and correct in all respects), and the covenants and agreements contained in this Agreement to be complied with by the Company on or before the Closing Date shall have been complied with in all material respects;",representations-warranties-and-covenants
"Representations, Warranties and Covenants. In addition to the continuing representations, warranties and covenants heretofore or hereafter made by LPC to Congress pursuant to the Financing Agreements, LPC hereby represents, warrants and covenants with and to Congress as follows (which representations, warranties and covenants are continuing and shall survive the execution and delivery hereof and shall be incorporated into and made a part of the Financing Agreements):",representations-warranties-and-covenants
"Representations, Warranties and Covenants. All representations and ----------------------------------------- warranties of Buyer made in this Agreement or in any Exhibit, Schedule or document delivered pursuant hereto, shall be true and complete in all material respects as of the date hereof and on and as of the Closing Date as if made on and as of that date, except for changes expressly permitted or contemplated by the terms of this Agreement and except those given as of a specified date.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. Borrowers and Guarantors represent, warrant and covenant with and to Lender as follows, which representations, warranties and covenants are continuing and shall survive the execution and delivery hereof, the truth and accuracy of, or compliance with each, together with the representations, warranties and covenants in the other Financing Agreements, being a condition of the effectiveness of this Amendment and a continuing condition of the making or providing of any Revolving Loans or Letter of Credit Accommodations by Lender to Borrowers:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. In addition to the continuing representations, warranties and covenants heretofore or hereafter made by Borrower and Guarantors to Agent and Lenders pursuant to the Loan Agreement and the other Loan Documents, Borrower hereby represents, warrants and covenants with and to Agent and Lenders as follows (which representations, warranties and covenants are continuing and shall survive the execution and delivery hereof and shall be incorporated into and made a part of the Loan Documents):",representations-warranties-and-covenants
"Representations, Warranties and Covenants. (a) Each Guarantor hereby represents and warrants as of the date first written above as follows:",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The Company represents, warrants, and covenants that (a) it is duly incorporated, validly existing, and in good standing under the laws of its jurisdiction of incorporation, (b) the making and consummation of the Rights Offering and the execution, delivery, and performance of all transactions contemplated thereby (including without limitation this Agreement) have been duly authorized by all necessary corporate action and will not result in a breach of or constitute a default under the certificate of incorporation or bylaws of the Company or any indenture, agreement, or instrument to which either is a party or is bound, (c) this Agreement has been duly executed and delivered by the Company and constitutes a legal, valid, binding obligation of the Company, enforceable against the Company in accordance with its terms, (d) the Rights Offering will comply in all material respects with all material applicable requirements of law, and (e) to the best of its knowledge, there is no litigation pending as of the date hereof in connection with the Rights Offering.",representations-warranties-and-covenants
"Representations, Warranties and Covenants. The Company represents and warrants to, and agrees with, the Underwriters that:",representations-warranties-and-covenants
