clause_text,clause_type
"Representations. Each party represents to the other party (which representations will be deemed to be repeated by each party on each date on which a Transaction is entered into and, in the case of the representations in Section 3(f), at all times until the termination of this Agreement) that:—",representations
"Representations. Any representation, warranty or statement made or deemed to be made by any Credit Party herein, in any of the other Credit Documents, or in any statement or certificate delivered or required to be delivered pursuant hereto or thereto shall prove untrue in any material respect on the date as of which it was deemed to have been made; or",representations
"Representations. The representations and warranties in this Section 7 shall be deemed to be made on the date this Agreement is executed and at the time of delivery of the quarterly compliance report required by Section 3(a), whether or not specifically referenced in such report.",representations
"Representations. I agree to execute any proper oath or verify any proper document required to carry out the terms of this Agreement. I represent that my performance of all the terms of this Agreement will not breach any agreement to keep in confidence proprietary information acquired by me in confidence or in trust prior to my employment by the Company. I have not entered into, and I agree I will not enter into, any oral or written agreement in conflict herewith.",representations
"Representations. In order to induce the Bank to execute and deliver this Amendment, the Borrower hereby represents to the Bank that as of the date hereof (a) the representations and warranties set forth in Section 6 of the Credit Agreement are and shall be and remain true and correct (except that the representations contained in Section 6.5 shall be deemed to refer to the most recent financial statements of the Borrower delivered to the Bank) and (b) the Borrower is in compliance with the terms and conditions of the Credit Agreement and no Default or Event of Default has occurred and is continuing under the Credit Agreement or shall result after giving effect to this Amendment.",representations
"Representations. 1. The Fund hereby represents that: (a) this Agreement has been duly authorized, executed and delivered by the Fund, constitutes a valid and legally binding obligation of the Fund enforceable in accordance with its terms, and no statute, regulation, rule, order, judgment or contract binding on the Fund prohibits the Fund’s execution or performance of this Agreement; (b) this Agreement has been approved and ratified by the Board at a meeting duly called and at which a quorum was at all times present, and (c) the Board or the Fund’s investment advisor has considered the Country Risks associated with investment in each Specified Country and will have considered such risks prior to any settlement instructions being given to the Custodian with respect to any other country.",representations
Representations. (a) Each party hereto represents and warrants to the other that as of the date hereof:,representations
"Representations. The Delegate hereby represents and warrants that it is a U.S. Bank and that this Delegation Schedule has been duly authorized, executed and delivered by the Delegate and is a legal, valid and binding agreement of the Delegate. The Fund hereby represents and warrants that its Board of Directors has determined that it is reasonable to rely on the Delegate to perform the delegated responsibilities provided for herein and that this Delegation Schedule has been duly authorized, executed and delivered by the Fund and is a legal, valid and binding agreement of the Fund.",representations
"Representations. Each party represents to the other party that all representations contained in the Agreement are true and accurate as of the date of this Amendment and that such representations are deemed to be given or repeated by each party, as the case may be, on the date of this Amendment.",representations
"Representations. Each party represents to the other party (which representations will be deemed to be repeated as of each date on which it, as the Pledgor, Transfers Eligible Collateral) that:",representations
