clause_text,clause_type
"Restricted Payments. (a) The Company will not, and will not permit any of its Restricted Subsidiaries to, directly or indirectly:",restricted-payments
"Restricted Payments. Declare or make, directly or indirectly, any Restricted Payment, or incur any obligation (contingent or otherwise) to do so, except that:",restricted-payments
"Restricted Payments. Declare or make, directly or indirectly, any Restricted Payment, or incur any obligation (contingent or otherwise) to do so, except that, so long as no Default shall have occurred and be continuing at the time of any action described below or would result therefrom:",restricted-payments
"Restricted Payments. Declare or pay any dividend (other than dividends payable solely in common stock of the Person making such dividend) on, or make any payment on account of, or set apart assets for a sinking or other analogous fund for, the purchase, redemption, defeasance, retirement or other acquisition of, any Capital Stock of any Group Member, whether now or hereafter outstanding, or make any other distribution in respect thereof, either directly or indirectly, whether in cash or property or in obligations of any Group Member (collectively, “Restricted Payments”), except that:",restricted-payments
"Restricted Payments. The Borrower will not, and will not permit any of its Subsidiaries to, declare or make, or agree to pay or make, directly or indirectly, any Restricted Payment, except:",restricted-payments
"Restricted Payments. The Issuer shall not, directly or indirectly, (i) pay any dividend or make any distribution (by reduction of capital or otherwise), whether in cash, property, securities or a combination thereof, to the Servicer, the Owner Trustee or the Certificateholder or otherwise with respect to any ownership or equity interest or security in or of the Issuer, (ii) redeem, purchase, retire or otherwise acquire for value any such ownership or equity interest or security or (iii) set aside or otherwise segregate any amounts for any such purpose; provided, however, that the Issuer may make, or cause to be made, distributions or payments to the Servicer, the Owner Trustee and the Certificateholder as contemplated by, and to the extent funds are available for such purpose under, the Basic Documents. The Issuer will not, directly or indirectly, make payments to or distributions from the Collection Account except in accordance with the Basic Documents.",restricted-payments
"Restricted Payments. Declare or make, directly or indirectly, any Restricted Payment, except:",restricted-payments
"Restricted Payments. The Issuer shall not, directly or indirectly, (i) make any distribution (by reduction of capital or otherwise), whether in cash, property, securities or a combination thereof, to the Owner Trustee or any owner of a beneficial interest in the Issuer or otherwise with respect to any ownership or equity interest or security in or of the Issuer or to the Servicer or the Administrator, (ii) redeem, purchase, retire or otherwise acquire for value any such ownership or equity interest or security or (iii) set aside or otherwise segregate any amounts for any such purpose; provided, however, that the Issuer may make, or cause to be made, (x) payments to the Servicer, the Administrator, the Owner Trustee, the Indenture Trustee, the Noteholders and the Certificateholders as contemplated by, and to the extent funds are available for such purpose under, this Indenture and the other Basic Documents and (y) payments to the Indenture Trustee pursuant to Section 2(a)(ii) of the Administration Agreement. The Issuer shall not, directly or indirectly, make payments to or distributions from the Collection Account or the Principal Distribution Account except in accordance with this Indenture and the other Basic Documents.",restricted-payments
"Restricted Payments. The Company shall not, and shall not permit any of its Restricted Subsidiaries to, directly or indirectly: (a) declare or pay any dividend or make any other payment or distribution on account of the Company's or any of its Restricted Subsidiaries' Equity Interests (including, without limitation, any payment in connection with any merger or consolidation involving the Company or any of its Restricted Subsidiaries) or to the direct or indirect Holders of the Company's or any of its Restricted Subsidiaries' Equity Interests in their capacity as such (other than dividends or distributions payable in Equity Interests (other than Disqualified Stock) of the Company or any Restricted Subsidiary of the Company or payable to the Company or a Restricted Subsidiary of the Company); (b) purchase, redeem or otherwise acquire or retire for value (including, without limitation, in connection with any merger or consolidation involving the Company) any Equity Interests of the Company or any Restricted Subsidiary of the Company held by any Person (other than the Company or any of its Wholly Owned Restricted Subsidiaries); (c) make any payment on or with respect to, or purchase, redeem, defease or otherwise acquire or retire for value any Indebtedness that is subordinated to the Notes or the Note Guarantees, except a payment of interest or principal and premium, if any, at the Stated Maturity thereof; or (d) make any Restricted Investment (all such payments and other actions set forth in these clauses (a) through (d) being collectively referred to as ""Restricted Payments""), unless, at the time of and after giving effect to such Restricted Payment:",restricted-payments
"Restricted Payments. The Issuer shall not, directly or indirectly, (i) pay any dividend or make any distribution (by reduction of capital or otherwise), whether in cash, property, securities or a combination thereof, to the Eligible Lender Trustee or any owner of a beneficial interest in the Issuer or otherwise with respect to any ownership or equity interest or security in or of the Issuer or to the Servicer or the Administrator, (ii) redeem, purchase, retire or otherwise acquire for value any such ownership or equity interest or security or (iii) set aside or otherwise segregate any amounts for any such purpose; provided, however, that the Issuer may make, or cause to be made, distributions to the Servicer, the Eligible Lender Trustee, the Indenture Trustee, the Noteholders, the Administrator and the Depositor as contemplated by, and to the extent funds are available for such purpose under, this Indenture and the other Basic Documents. The Issuer will not, directly or indirectly, make payments to or distributions from the Collection Account except in accordance with this Indenture and the other Basic Documents.",restricted-payments
"Restricted Payments. Declare or make, directly or indirectly, any Restricted Payment, except that:",restricted-payments
"Restricted Payments. Declare or pay any dividends, purchase, redeem, retire, defease or otherwise acquire for value any of its Equity Interests now or hereafter outstanding, return any capital to its stockholders, partners or members (or the equivalent Persons thereof) as such, make any distribution of assets, Equity Interests, obligations or securities to its stockholders, partners or members (or the equivalent Persons thereof) as such, or permit any of its Subsidiaries to do any of the foregoing, or permit any of its Subsidiaries to purchase, redeem, retire, defease or otherwise acquire for value any Equity Interests in the Borrower or to issue or sell any Equity Interests therein, except that so long as no Default shall have occurred and be continuing at the time of any action described below or would result therefrom:",restricted-payments
"Restricted Payments. (i) Declare or pay any dividend or other distribution, direct or indirect, on account of any Equity Interests of any Loan Party or any of its Subsidiaries, now or hereafter outstanding, (ii) make any repurchase, redemption, retirement, defeasance, sinking fund or similar payment, purchase or other acquisition for value, direct or indirect, of any Equity Interests of any Loan Party or any of its Subsidiaries or any direct or indirect parent of any Loan Party, now or hereafter outstanding, (iii) make any payment to retire, or to obtain the surrender of, any outstanding warrants, options or other rights for the purchase or acquisition of shares of any class of Equity Interests of any Loan Party or any of its Subsidiaries, now or hereafter outstanding, (iv) return any Equity Interests to any shareholders or other equity holders of any Loan Party or any of its Subsidiaries, or make any other distribution of property, assets, shares of Equity Interests, warrants, rights, options, obligations or securities thereto as such or (v) pay any management fees or any other fees or expenses (including the reimbursement thereof by any Loan Party or any of its Subsidiaries) pursuant to any management, consulting or other services agreement to any of the shareholders or other equity holders of any Loan Party or any of its Subsidiaries or other Affiliates, or to any other Subsidiaries or Affiliates of any Loan Party; provided, however, that (A) (I) the Loan Parties may make payments to or on behalf Parent or Ultimate Parent in an amount sufficient to pay franchise taxes and other costs and expenses required to be paid to maintain the legal existence of Parent and Ultimate Parent, solely to the extent such payments are actually applied to pay such franchise taxes, costs and expenses, (II) the Loan Parties may make payments to or on behalf of Parent and Ultimate Parent in an amount sufficient to pay out-of-pocket legal, accounting and filing costs and other expenses in the nature of overhead in the ordinary course of business of Parent and Ultimate Parent, in the case of this subclause (A)(II), in an aggregate amount not to exceed $100,000 in any Fiscal Year and (III) the Loan Parties may make tax distributions to or on behalf of the Ultimate Parent in amounts sufficient to enable Ultimate Parent to make all tax distributions required pursuant to the Funko LLC Agreement (it being understood that, if an Event of Default has occurred and is continuing, to the extent any such tax ...",restricted-payments
"Restricted Payments. Declare or make any dividend payment or other distribution of assets, properties, cash, rights, obligations or securities on account of any shares of any class of its capital stock, or purchase, redeem or otherwise acquire for value any shares of its capital stock or any warrants, rights or options to acquire such shares, now or hereafter outstanding; except that the Borrower and any wholly-owned Subsidiary may:",restricted-payments
"Restricted Payments. (i) Except pursuant to clause (ii) below, the Seller will not: (A) purchase or redeem any shares of its capital stock, (B) declare or pay any dividend or set aside any funds for any such purpose, (C) prepay, purchase or redeem any Debt, (D) lend or advance any funds or (E) repay any loans or advances to, for or from any of its Affiliates (the amounts described in clauses (A) through (E) being referred to as “Restricted Payments”).",restricted-payments
"Restricted Payments. (a) The Borrower will not, and will not permit or cause any of its Subsidiaries to, directly or indirectly, declare or make any dividend payment, or make any other distribution of cash, property or assets, in respect of any of its Capital Stock or any warrants, rights or options to acquire its Capital Stock, or purchase, redeem, retire or otherwise acquire for value any shares of its Capital Stock or any warrants, rights or options to acquire its Capital Stock, or set aside funds for any of the foregoing, except that:",restricted-payments
"Restricted Payments. The Parent Borrower will not, and will not permit any Subsidiary to, declare or make, or agree to pay or make, directly or indirectly, any Restricted Payment, or Incur any obligation (contingent or otherwise) to do so, except:",restricted-payments
"Restricted Payments. The Borrower will not, and will not permit any of its Subsidiaries to, declare or make, or agree to pay or make, directly or indirectly, any Restricted Payment, except (a) the Borrower or any Subsidiary may declare and pay dividends or other distributions with respect to its Equity Interests payable solely in additional shares of its Qualified Equity Interests or options to purchase Qualified Equity Interests; (b) Subsidiaries may declare and make Restricted Payments ratably with respect to their Equity Interests; (c) the Borrower or any Subsidiary may make Restricted Payments pursuant to and in accordance with stock option plans or other benefit plans for present or former officers, directors, consultants or employees of the Borrower and its Subsidiaries in an amount not to exceed $20,000,000 in any fiscal year (with any unused amount of such base amount available for use in the next succeeding fiscal year); (d) the Borrower or any Subsidiary may make Restricted Payments so long as no Event of Default has occurred and is continuing; (e) repurchases of Equity Interests in any Loan Party or any Subsidiary deemed to occur upon exercise of stock options or warrants if such Equity Interests represent a portion of the exercise price of such options or warrants; (f) the payment of cash in lieu of the issuance of fractional shares in connection with the exercise of warrants, options or other securities convertible into or exercisable for Qualified Equity Interests of the Borrower; (g) payments made to exercise, settle or terminate any Permitted Warrant Transaction (A) by delivery of the Borrower’s common stock, (B) by set-off against the related Permitted Bond Hedge Transaction, or (C) with cash payments in an aggregate amount not to exceed the aggregate amount of any payments received by the Borrower or any of its Subsidiaries pursuant to the exercise, settlement or termination of any related Permitted Bond Hedge Transaction; (h) payments made in connection with any Permitted Bond Hedge Transaction; and (i) the Borrower or any Subsidiary may make Restricted Payments pursuant to the arrangements set forth in Schedule 6.04.",restricted-payments
