clause_text,clause_type
"Restrictions on Transfer. Subscriber acknowledges and understands the Units are being offered in a transaction not involving a public offering in the United States within the meaning of the Securities Act. The Securities have not been registered under the Securities Act and, if in the future Subscriber decides to offer, resell, pledge or otherwise transfer the Securities, such Securities may be offered, resold, pledged or otherwise transferred only (A) pursuant to an effective registration statement filed under the Securities Act, (B) pursuant to an exemption from registration under Rule 144 promulgated under the Securities Act, if available, or (C) pursuant to any other available exemption from the registration requirements of the Securities Act, and in each case in accordance with any applicable securities laws of any state or any other jurisdiction. Notwithstanding the foregoing, Subscriber acknowledges and understands the Securities are subject to transfer restrictions as described in Section 8 hereof. Subscriber agrees that if any transfer of its Securities or any interest therein is proposed to be made, as a condition precedent to any such transfer, Subscriber may be required to deliver to the Company an opinion of counsel satisfactory to the Company with respect to such transfer. Absent registration or another available exemption from registration, Subscriber agrees it will not resell the Securities (unless otherwise permitted pursuant to the Insider Letter, as described in the Registration Statement). Subscriber further acknowledges that because the Company is a shell company, Rule 144 may not be available to Subscriber for the resale of the Securities until the one year anniversary following consummation of the initial Business Combination of the Company, despite technical compliance with the requirements of Rule 144 and the release or waiver of any contractual transfer restrictions.",restrictions-on-transfer
"Restrictions on Transfer. (a) The Preferred Stock and the Registrable Securities shall not be sold, pledged, or otherwise transferred, and the Company shall not recognize and shall issue stop-transfer instructions to its transfer agent with respect to any such sale, pledge, or transfer, except upon the conditions specified in this Agreement, which conditions are intended to ensure compliance with the provisions of the Securities Act. A transferring Holder will cause any proposed purchaser, pledgee, or transferee of the Preferred Stock and the Registrable Securities held by such Holder to agree to take and hold such securities subject to the provisions and upon the conditions specified in this Agreement.",restrictions-on-transfer
"Restrictions on Transfer. The Recipient shall not sell, assign, transfer, pledge, hypothecate or otherwise dispose of, by operation of law or otherwise (collectively “transfer”) any Restricted Shares, or any interest therein, until such Restricted Shares have vested, except that the Recipient may transfer such Restricted Shares: (a) to or for the benefit of any spouse, children, parents, uncles, aunts, siblings, grandchildren and any other relatives approved by the Compensation Committee (collectively, “Approved Relatives”) or to a trust established solely for the benefit of the Recipient and/or Approved Relatives, provided that such Restricted Shares shall remain subject to this Agreement (including without limitation the forfeiture provisions set forth in Section 3 and the restrictions on transfer set forth in this Section 4) and such permitted transferee shall, as a condition to such transfer, deliver to the Company a written instrument confirming that such transferee shall be bound by all of the terms and conditions of this Agreement; or (b) as part of the sale of all or substantially all of the shares of capital stock of the Company (including pursuant to a merger or consolidation). The Company shall not be required (i) to transfer on its books any of the Restricted Shares which have been transferred in violation of any of the provisions of this Agreement or (ii) to treat as owner of such Restricted Shares or to pay dividends to any transferee to whom such Restricted Shares have been transferred in violation of any of the provisions of this Agreement.",restrictions-on-transfer
"Restrictions on Transfer. During the Escrow Period, no sale, transfer or other disposition may be made of any or all of the Escrow Shares except (i) by gift to a member of Initial Stockholder's immediate family or to a trust, the beneficiary of which is an Initial Stockholder or a member of an Initial Stockholder's immediate family, (ii) by virtue of the laws of descent and distribution upon death of any Initial Stockholder, or (iii) pursuant to a qualified domestic relations order; provided, however, that such permissive transfers may be implemented only upon the respective transferee's written agreement to be bound by the terms and conditions of this Agreement and of the Insider Letter signed by the Initial Stockholder transferring the Escrow Shares. During the Escrow Period, the Initial Stockholders shall not pledge or grant a security interest in the Escrow Shares or grant a security interest in their rights under this Agreement.",restrictions-on-transfer
Restrictions on Transfer. (a) Each Holder agrees not to make any disposition of all or any portion of the Shares or Registrable Securities unless and until:,restrictions-on-transfer
"Restrictions on Transfer. During the Escrow Period, the only permitted transfers of the Escrow Shares will be (i) to the Founders and the Company’s officers, directors, consultants or their affiliates, (ii) to a Founder’s stockholders, partners or members upon such Founder’s liquidation, (iii) by bona fide gift to a member of the Founders’ immediate family or to a trust, the beneficiary of which is a Founder or a member of a Founder’s immediate family for estate planning purposes, (iv) by virtue of the laws of descent and distribution upon death of a Founder, (v) pursuant to a qualified domestic relations order binding on a Founder, (vi) to the Company for no value for cancellation in connection with the consummation of a Business Combination or (vii) by private sales of the Escrow Shares made at or prior to the consummation of a Business Combination at prices no greater than the price at which the Escrow Shares were originally purchased; provided, however, that except for clause (vi) or with the Company’s prior written consent, such permitted transfers may be implemented only upon the respective transferee’s written agreement to be bound by the terms and conditions of this Agreement and of the Insider Letter signed by the Founder transferring the shares.",restrictions-on-transfer
"Restrictions on Transfer. (a) The holder of each certificate representing Registrable Securities by acceptance thereof agrees to comply in all respects with the provisions of this Section 2.8. Each Holder agrees not to make any sale, assignment, transfer, pledge or other disposition of all or any portion of the Restricted Securities, or any beneficial interest therein, unless and until the transferee thereof has agreed in writing for the benefit of the Company to take and hold such Restricted Securities subject to, and to be bound by, the terms and conditions set forth in this Agreement, including, without limitation, this Section 2.8 and Section 2.10, and:",restrictions-on-transfer
"Restrictions on Transfer. Neither the Award, nor any interest therein or amount or shares payable in respect thereof may be sold, assigned, transferred, pledged or otherwise disposed of, alienated or encumbered, either voluntarily or involuntarily. The transfer restrictions in the preceding sentence shall not apply to (a) transfers to the Corporation, or (b) transfers by will or the laws of descent and distribution.",restrictions-on-transfer
"Restrictions on Transfer. None of the Award LTIP Units granted hereunder shall be sold, assigned, transferred, pledged, hypothecated, given away or in any other manner disposed of, encumbered, whether voluntarily or by operation of law (each such action a “Transfer”), or redeemed in accordance with the LP Agreement (i) prior to vesting, (ii) for a period of two (2) years beginning on the Grant Effective Date other than in connection with a Change of Control, and (iii) unless such Transfer is in compliance with all applicable securities’ laws (including, without limitation, the Securities Act of 1933, as amended (the “Securities Act”)), and such Transfer is in accordance with the applicable terms and conditions of the LP Agreement; provided that, upon the approval of, and subject to the terms and conditions specified by, the Committee, Non-Vested LTIP Units that have been held for a period of at least two (2) years beginning on the Grant Effective Date specified above may be Transferred to (w) the spouse, children or grandchildren of the Grantee (“Immediate Family Members”), (x) a trust or trusts for the exclusive benefit of the Grantee and such Immediate Family Members, (y) a partnership in which the Grantee and such Immediate Family Members are the only partners, or (z) one or more entities in which the Grantee has a 10% or greater equity interest, provided that the transferee agrees in writing with the Company and the Partnership to be bound by all the terms and conditions of this Agreement and that subsequent transfers by such transferees of Non-Vested LTIP Units shall be prohibited except those in accordance with this Section 6. In connection with any Transfer of Award LTIP Units granted hereunder, the Partnership may require the Grantee to provide an opinion of counsel, satisfactory to the Partnership, that such Transfer is in compliance with all federal and state securities laws (including, without limitation, the Securities Act). Upon any such transfer, the Grantee’s Capital Account (as defined in the LP Agreement) in the Partnership will be reduced, and the transferee’s Capital Account in the Partnership will be credited, with such portion of the Grantee’s Capital Account as is properly allowable to the transferred Award LTIP Units. Any attempted Transfer of Award LTIP Units granted hereunder not in accordance with the terns and conditions of this Section 6 shall be null and void, and the Partnership shall not reflect on its records any change in record ownership of any Awa...",restrictions-on-transfer
"Restrictions on Transfer. Investor may not attempt to sell, transfer, assign, pledge or otherwise dispose of all or any portion of the Securities or any component thereof in the absence of either an effective registration statement or an exemption from the registration requirements of the Act and applicable state securities laws;",restrictions-on-transfer
