clause_text,clause_type
"Restrictions. The Owner Trustee shall not take any action (a) that is inconsistent with the purposes of the Trust set forth in Section 2.3 or (b) that, to the actual knowledge of the Owner Trustee, would result in the Trust’s becoming taxable as a corporation for federal income tax purposes. The Certificateholder shall not direct the Owner Trustee to take action that would violate the provisions of this Section.",restrictions
"Restrictions. The Holder acknowledges that the Warrant Shares acquired upon the exercise of this Warrant, if not registered, and the Holder does not utilize cashless exercise, will have restrictions upon resale imposed by state and federal securities laws.",restrictions
"Restrictions. (a) Any notice of cancellation or prepayment given by any Party under this Clause 7 shall be irrevocable and, unless a contrary indication appears in this Agreement, shall specify the date or dates upon which the relevant cancellation or prepayment is to be made and the amount of that cancellation or prepayment.",restrictions
"Restrictions. The Owner Trustee shall not take any action (i) that is inconsistent with the purposes of the Trust set forth in Section 2.3 or (ii) that, to the actual knowledge of the Owner Trustee, would (A) affect the treatment of the Notes as indebtedness for federal income or Virginia income or franchise tax purposes, (B) be deemed to cause a taxable exchange of the Notes for federal income or Virginia income or franchise tax purposes or (C) cause the Trust or any portion thereof to be taxable as an association or publicly traded partnership taxable as a corporation for federal income or Virginia income or franchise tax purposes. The Certificateholders, the Depositor, the Administrator and the Servicer shall not direct the Owner Trustee to take action that would violate the provisions of this Section 6.6.",restrictions
"Restrictions. The holder hereof acknowledges that the Warrant Shares acquired upon the exercise of this Warrant, if not registered, will have restrictions upon resale imposed by state and federal securities laws.",restrictions
Restrictions. The Interim Eligible Lender Trustee shall not take any action that is inconsistent with the purposes of the Trust set forth in the Basic Documents.,restrictions
"Restrictions. (a) The Owner Trustee or the Depositor (or an Affiliate thereof) shall not take any action (x) that is inconsistent with the purposes of the Trust set forth in Section 2.03, (y) that, to the actual knowledge of the Owner Trustee based on an Opinion of Counsel rendered by a law firm generally recognized to be qualified to opine concerning the tax aspects of asset securitization, would result in the Trust becoming taxable as a corporation for federal income tax purposes or (z) would result in the amendment or modification of the Basic Documents or this Trust Agreement. The Certificateholders shall not direct the Owner Trustee to take action that would violate the provisions of this Section 4.05.",restrictions
"Restrictions. You agree not to (a) make more copies than the Number of Units (except for a reasonable number of copies for archival and disaster recovery purposes) or use any unlicensed versions of the Software; (b) use any Software not listed in an Order Form, even if such unlicensed software is made available to you as part of the general delivery mechanism for the Products; (c) provide access to the Products to anyone other than employees, contractors, or consultants who agree in writing to be bound by terms at least as protective of TIBCO as those in this Agreement; (d) sublicense, transfer, assign, distribute to any third party, pledge, lease, rent, or commercially share the Products or any of your rights under this Agreement (for the purposes of the foregoing a change in control of your company is deemed to be an assignment); (e) use the Products for purposes of providing a service bureau, including, without limitation, providing third-party hosting, or third-party application integration or application service provider-type services, or any similar services; (f) use the Products in connection with ultrahazardous activities, or any activity for which failure of the Products might result in death or serious bodily injury to you or a third party; or (g) directly or indirectly, in whole or in part, modify, translate, reverse engineer, decrypt, decompile, disassemble, make error corrections to, create derivative works based on, or otherwise attempt to discover the source code or underlying ideas or algorithms of the Products. You may engage in such conduct as is necessary to ensure the interoperability of the Software as required by law, provided that prior to commencing any decompilation or reverse engineering of any Software, you agree to observe strict obligations of confidentiality and provide us reasonable advance written notice and the opportunity to assist with and/or conduct such activity on your behalf and at your expense. Any additional license parameters applicable to Products are set forth at http://www.tibco.com/software/parametersdefinitions.jsp.",restrictions
"Restrictions. Subject to any exceptions set forth in this Agreement or the Plan, during the Restricted Period, the Restricted Stock or the rights relating thereto may not be assigned, alienated, pledged, attached, sold or otherwise transferred or encumbered by the Grantee. Any attempt to assign, alienate, pledge, attach, sell or otherwise transfer or encumber the Restricted Stock or the rights relating thereto during the Restricted Period shall be wholly ineffective and, if any such attempt is made, the Restricted Stock will be forfeited by the Grantee and all of the Grantee’s rights to such shares shall immediately terminate without any payment or consideration by the Company.",restrictions
"Restrictions. You and Company agree that any arbitration shall be limited to the Dispute between Company and you individually. To the full extent permitted by law, (1) no arbitration shall be joined with any other; (2) there is no right or authority for any Dispute to be arbitrated on a class-action basis or to utilize class action procedures; and (3) there is no right or authority for any Dispute to be brought in a purported representative capacity on behalf of the general public or any other persons.",restrictions
"Restrictions. Customer will protect QuoVadis’s intellectual property, and the value, good will, and reputation associated therewith when accessing or using the Services. Customer will not: (i) attempt to interfere with, or disrupt the operations of, the Services or attempt to gain access to any systems or networks that connect thereto, except as required to access and use the Portal (including the Portal API) as permitted hereunder, (ii) re-engineer, reverse engineer, decompile or disassemble any portion of the Services; (iii) use, copy or modify the Services for any purpose other than as expressly permitted herein; (iv) transfer, sublicense, rent, lease, lend, distribute or otherwise make available the Services to any third party other than as expressly permitted herein; (v) replicate, frame or mirror the Services; (vi) remove, erase or tamper with any copyright or other proprietary notice encoded or recorded in the Services; (vii) introduce into the Services any computer virus, malware, software lock or other such harmful program or data which destroys, erases, damages or otherwise disrupts the normal operation of the Services or allows for unauthorized access to the Services, (viii) access, or allow another party to access or use, the Services for any benchmarking purposes or to develop or improve a product or service that competes with QuoVadis, (ix) impersonate or misrepresent Customer’s affiliation with any entity, or (x) encourage or authorize a third party to do any of the foregoing. QuoVadis may terminate this Agreement or Customer’s Portal Accounts, restrict Customer’s access to the Services, or revoke the Certificates if QuoVadis reasonably believes that Customer is using the Services, to post or make accessible any material that infringes QuoVadis’s or any third party’s rights or is in breach of this Agreement. Customer will not use any marketing material or documentation that refers to QuoVadis or its products or services without receiving written prior approval from QuoVadis, except as outlined in Section 3.4 (Mark License).",restrictions
"Restrictions. Neither the Depositor nor the Excess Distribution Certificateholder shall direct the Eligible Lender Trustee to take or refrain from taking any action if such action or inaction would be contrary to any obligation of the Trust or the Eligible Lender Trustee under this Agreement or any of the other Basic Documents or would be contrary to Section 2.3 nor shall the Eligible Lender Trustee be permitted to follow any such direction, if given.",restrictions
Restrictions. The licenses granted herein are only valid if:,restrictions
"Restrictions. Neither any Borrower nor any of its Subsidiaries is a party or subject to any contract or agreement which restricts its right or ability to incur Indebtedness, other than as set forth on Exhibit 7.1.19 hereto, none of which prohibit the execution of or compliance with this Agreement or the other Loan Documents by any Borrower or any of its Subsidiaries, as applicable.",restrictions
"Restrictions. Software is copyrighted. Title to Software and all associated intellectual property rights is retained by Oracle and/or its licensors. Unless enforcement is prohibited by applicable law, you may not modify, decompile, or reverse engineer Software. You acknowledge that the Software is developed for general use in a variety of information management applications; it is not developed or intended for use in any inherently dangerous applications, including applications that may create a risk of personal injury. If you use the Software in dangerous applications, then you shall be responsible to take all appropriate fail-safe, backup, redundancy, and other measures to ensure its safe use. Oracle disclaims any express or implied warranty of fitness for such uses. No right, title or interest in or to any trademark, service mark, logo or trade name of Oracle or its licensors is granted under this Agreement. Additional restrictions for developers and/or publishers licenses are set forth in the Supplemental License Terms.",restrictions
"Restrictions. You shall not: (i) modify, revise or create any derivative works of the Software; (ii) decompile, reverse engineer or otherwise attempt to derive the source code for the Software; (iii) redistribute, sell, rent, lease, sublicense, or otherwise transfer rights to the Software; or (iv) remove or alter any proprietary notices, legends, symbols or labels in the Software, including, but not limited to, any trademark, logo or copyright.",restrictions
"Restrictions. You shall not (i) permit any third party to access the Services except as permitted herein or in an Order Form, (ii) create derivate works based on the Services except as authorized herein, (iii) copy, frame or mirror any part or content of the Services, other than copying or framing on Your own intranets or otherwise for Your own internal business purposes, (iv) reverse engineer the Services, or (v) access the Services in order to (a) build a competitive product or service, or (b) copy any features, functions or graphics of the Services.",restrictions
"Restrictions. The Shares may not be sold, transferred, exchanged, assigned, pledged, hypothecated or otherwise encumbered unless and until such restriction has expired as provided in Section 3 hereof. Any Shares as to which such restriction has not yet expired are referred to herein as the ""Restricted Shares."" If the Grantee's employment with the Corporation or any Subsidiary terminates for any reason other than as set forth in any of paragraphs (b) through (d) of Section 3 hereof, then the Grantee shall forfeit all of the Grantee's right, title and interest in and to the Restricted Shares as of the date of employment termination. The restrictions imposed under this Section shall apply to all shares of capital stock or other securities that may be issued with respect to Restricted Shares hereunder in connection with any merger, reorganization, consolidation, recapitalization, stock dividend or other change in corporate structure affecting the common stock of the Corporation.",restrictions
"Restrictions. Any notice of prepayment given under this Clause 6 shall be irrevocable and, unless a contrary indication appears in this Agreement, shall specify the date or dates upon which the relevant prepayment is to be made and the amount of that prepayment. Any prepayment under this Agreement shall be made together with accrued interest on the amount prepaid and, subject to any Break Costs, without premium or penalty. If the Agent receives a notice under this Clause 6 it shall promptly forward a copy of that notice to the Borrower or the Lenders, as appropriate.",restrictions
Restrictions. Optionee:,restrictions
Restrictions. (a) The Owner Trustee shall not take any action that is inconsistent with the purposes of the Trust set forth in Section 2.03. The Ownership Certificate Holder shall not direct the Owner Trustee to take action that would violate the provisions of this Section 5.05.,restrictions
"Restrictions. Until the restrictions on transfer of the Restricted Shares lapse as provided in Section 2(a) hereof, or as otherwise provided in the Plan, no transfer of the Restricted Shares or any of the Participant's rights with respect to the Restricted Shares, whether voluntary or involuntary, by operation of law or otherwise, shall be permitted. Unless the Administrator determines otherwise, upon any attempt to transfer Restricted Shares or any rights in respect of Restricted Shares before the lapse of such restrictions, such Restricted Shares, and all of the rights related thereto, shall be immediately forfeited by the Participant and transferred to, and reacquired by, the Company without consideration of any kind.",restrictions
"Restrictions. During the Term and for [*] thereafter, Receiving Party shall keep completely confidential all Disclosing Party’s Confidential Information. Receiving Party shall not use Disclosing Party’s Confidential Information except to the extent necessary to perform its obligations and exercise its rights under this Agreement. Receiving Party has the right to disclose Disclosing Party’s Confidential Information without Disclosing Party’s prior written consent, to the extent and only to the extent reasonably necessary, to Receiving Party’s Affiliates and their employees, subcontractors, consultants or agents who have a need to know such Confidential Information in order to perform its obligations and exercise its rights under this Agreement and who are required to comply with the restrictions on use and disclosure in this Section 9.1.2 (Restrictions). Receiving Party shall use diligent efforts to cause those entities and persons to comply with the restrictions on use and disclosure in this Section 9.1.2 (Restrictions). Receiving Party assumes responsibility for those entities and persons maintaining Disclosing Party’s Confidential Information in confidence and using same only for the purposes described herein.",restrictions
"Restrictions. The Shares are subject to vesting over a five-year period. The Shares shall vest ratably over a five-year period with 20% of the Shares paid in each payment vesting on each of the first through fifth anniversary of the date hereof. Prior to the vesting of the ownership of the Shares in the Advisor, the Shares may not be transferred by the Advisor.",restrictions
"Restrictions. The Owner Trustee shall not take any action that is inconsistent with the stated purposes of the Trust in Section 2.03. The Certificateholders, by their acceptance of their Transferor Certificates, agree not to direct the Owner Trustee to take action that would violate the Agreement or any other Transaction Document.",restrictions
"Restrictions. Neither the Owner Trustee, the Co-Owner Trustee nor the Trust Eligible Lender Trustee shall take any action (i) that is inconsistent with the purposes of the Trust set forth in Section 2.3 or (ii) that, to the actual knowledge of the Owner Trustee, the Co-Owner Trustee or the Trust Eligible Lender Trustee would result in the Trust's becoming taxable as a corporation for Federal income tax purposes. The Certificateholder shall not direct the Owner Trustee, the Co-Owner Trustee or the Trust Eligible Lender Trustee to take action that would violate the provisions of this Section.",restrictions
