clause_text,clause_type
"Restrictive Covenants. The Indenture imposes certain limitations on the ability of the Company and its Restricted Subsidiaries to, among other things, incur additional Indebtedness, make payments in respect of its Capital Stock or certain Indebtedness, enter into transactions with Affiliates, create dividend or other payment restrictions affecting Subsidiaries, merge or consolidate with any other Person, sell, assign, transfer, lease, convey or otherwise dispose of all or substantially all of its assets or adopt a plan of liquidation. Such limitations are subject to a number of important qualifications and exceptions. The Company must annually report to the Trustee on compliance with such limitations.",restrictive-covenants
"Restrictive Covenants. The Indenture contains certain covenants that, among other things, limit the ability of the Issuer and its Restricted Subsidiaries to make restricted payments, to incur indebtedness, to create liens, to sell assets, to permit restrictions on dividends and other payments by Restricted Subsidiaries of the Issuer, to consolidate, merge or sell all or substantially all of its assets or to engage in transactions with affiliates. The limitations are subject to a number of important qualifications and exceptions. The Issuer must annually report to the Trustee on compliance with such limitations and other provisions in the Indenture.",restrictive-covenants
"Restrictive Covenants. Employee acknowledges and agrees that (A) the agreements and covenants contained in this Section 10 are (i) reasonable and valid in geographical and temporal scope and in all other respects, and (ii) essential to protect the value of the Company’s business and assets, and (B) by his employment with the Company, Employee will obtain knowledge, contacts, know-how, training and experience and there is a substantial probability that such knowledge, know-how, contacts, training and experience could be used to the substantial advantage of a competitor of the Company and to the Company’s substantial detriment. For purposes of this Section 10, references to the Company shall be deemed to include its subsidiaries.",restrictive-covenants
"Restrictive Covenants. Each of the Company and Executive agrees that the Executive will have a prominent role in the management of the business, and the development of the goodwill of the Company and its Affiliates, and will establish and develop relations and contacts with the principal franchisees, customers and suppliers of the Company and its Affiliates throughout the world, all of which constitute valuable goodwill of, and could be used by Executive to compete unfairly with, the Company and its Affiliates. In addition, Executive recognizes that Executive will have access to and become familiar with or be exposed to Confidential Information (as such term is defined below), in particular, trade secrets, proprietary information, customer lists, and other valuable business information of the Company pertaining or related to the quick service restaurant business. Executive agrees that Executive could cause grave harm to the Company if Executive, among other things, worked for the Company’s competitors, solicited the Company’s employees away from the Company or solicited the Company’s franchisees upon the termination of Executive’s employment with the Company or misappropriated or divulged the Company’s Confidential Information, and that as such, the Company has legitimate business interests in protecting its goodwill and Confidential Information, and these legitimate business interests therefore justify the following restrictive covenants:",restrictive-covenants
Restrictive Covenants. Executive acknowledges that the restrictions contained in this Section 8 are reasonable and necessary to protect the legitimate business interests of the Company and will not impair or infringe upon Executive’s right to work or earn a living after Executive’s employment with the Company terminates.,restrictive-covenants
"Restrictive Covenants. The Executive acknowledges and agrees that: (i) the Executive has a major responsibility for the operation, development and growth of the Corporation's business; (ii) the Executive's work for the Corporation has brought him and will continue to bring him into close contact with confidential information of the Corporation, Thane and each of their respective customers; and (iii) the agreements and covenants contained in this paragraph 4 and in the Merger Agreement are essential to protect the business interests of the Corporation and Thane and that the Corporation and Thane would not enter into the Employment Agreement but for such agreements and covenants. Accordingly, the Executive covenants and agrees to the following:",restrictive-covenants
"Restrictive Covenants. The Indenture contains certain covenants, including covenants with respect to the following matters: (i) Restricted Payments; (ii) incurrence of Indebtedness and Issuance of Disqualified Stock; (iii) Liens; (iv) transactions with Affiliates; (v) dividend and other payment restrictions affecting Restricted Subsidiaries; (vi) guarantees of Indebtedness by Restricted Subsidiaries; (vii) merger and certain transfers of assets; (viii) purchase of Notes upon a Change in Control; and (ix) disposition of proceeds of Asset Sales. Within 120 days (or the successor time period then in effect under the rules and regulations of the Exchange Act) after the end of each fiscal year, the Company must report to the Trustee on compliance with such limitations.",restrictive-covenants
"Restrictive Covenants. In consideration for (i) the Company's promise to provide Confidential Information to the Executive, (ii) the substantial economic investment made by the Company in the Confidential Information and goodwill of the Company, and/or the business opportunities disclosed or entrusted to the Executive, (iii) access to the Company's customers and clients, and (iv) the Company's employment of the Executive pursuant to the Agreement and the compensation and other benefits provided by the Company to the Executive, to protect the Company's Confidential Information and business goodwill of the Company, the Executive agrees to the following restrictive covenants.",restrictive-covenants
"Restrictive Covenants. Executive acknowledges that the restrictive covenants contained in Section 6 of the Agreement will survive the termination of his employment. Executive affirms that those restrictive covenants are reasonable and necessary to protect the legitimate interests of the Company, that he received adequate consideration in exchange for agreeing to those restrictions and that he will abide by those restrictions.",restrictive-covenants
"Restrictive Covenants. Section 6 of the Employment Agreement (entitled “Restrictive Covenants”), shall continue in full force and effect as if fully restated herein.",restrictive-covenants
"Restrictive Covenants. The Indenture imposes certain limitations on the ability of the Company and its Restricted Subsidiaries, among other things, to Incur additional Indebtedness, make Restricted Payments, suffer to exist restrictions on the ability of Restricted Subsidiaries to make certain payments to the Company, issue Capital Stock of Restricted Subsidiaries, Guarantee Indebtedness of the Company, engage in transactions with Affiliates, suffer to exist or incur Liens, enter into sale-leaseback transactions, use the proceeds from Asset Sales, or merge, consolidate or transfer substantially all of its assets. Within 45 days after the end of each fiscal quarter (90 days after the end of the last fiscal quarter of each year), the Company shall deliver to the Trustee an Officers' Certificate stating whether or not the signers thereof know of any Default or Event of Default under such restrictive covenants.",restrictive-covenants
"Restrictive Covenants. As a condition to the effectiveness of this Agreement, Executive will have executed and delivered to the Company no later than contemporaneously herewith the Employee Proprietary Information and Inventions Assignment Agreement attached as Exhibit B (the “Restrictive Covenant Agreement”). Executive agrees to abide by the terms of the Restrictive Covenant Agreement, which are hereby incorporated by reference into this Agreement. Executive acknowledges that the provisions of the Restrictive Covenant Agreement will survive the termination of Executive’s employment and the termination of the Term for the periods set forth in the Restrictive Covenant Agreement.",restrictive-covenants
"Restrictive Covenants. If the Participant engages in any conduct in breach of any noncompetition, nonsolicitation or confidentiality obligations to the Company under any agreement, policy or plan of the Company, then such conduct shall also be deemed to be a breach of the terms of the Plan and this Agreement. Upon such breach, this RSU shall be cancelled and, to the extent some or all of this RSU vested within a period of 12 months prior to such breach, the Participant shall be required to forfeit to the Company, upon demand, any Shares acquired by the Participant upon such vesting or cash acquired upon sale.",restrictive-covenants
"Restrictive Covenants. (a) The Executive shall not, at any time during the Restricted Period, directly or indirectly engage in, have any equity interest in, or manage or operate any person, firm, corporation, partnership, business or entity (whether as director, officer, employee, agent, representative, partner, security holder, consultant or otherwise) that engages in (either directly or through any subsidiary or Affiliate thereof) any business or activity (i) relating to midstream assets (including, without limitation, the gathering, processing and transportation of natural gas and the transportation and storage of refined products other than natural gas) in North America, which competes with the business of the Company or any entity owned by the Company, or (ii) which the Company or any of its Affiliates has taken active steps to engage in or acquire, but only if the Executive directly or indirectly engages in, has any equity interest in, or manages or operates, such business or activity (whether as director, officer, employee, agent, representative, partner, security holder, consultant or otherwise). Notwithstanding the foregoing, the Executive shall be permitted to acquire a passive stock or equity interest in such a business; provided that such stock or other equity interest acquired is not more than five percent (5%) of the outstanding interest in such business.",restrictive-covenants
"Restrictive Covenants. The Indenture imposes certain limitations on the ability of the Company and its Restricted Subsidiaries, among other things, to Incur additional Indebtedness, make Restricted Payments, use the proceeds from Asset Sales, engage in transactions with Affiliates or merge, consolidate or transfer substantially all of its assets. Within 45 days after the end of each fiscal quarter (90 days after the end of the last fiscal quarter of each year), the Company must report to the Trustee on compliance with such limitations.",restrictive-covenants
"Restrictive Covenants. (a) The Executive shall hold in a fiduciary capacity for the benefit of the Company all secret or confidential information, knowledge or data relating to the Company and its subsidiaries and affiliates, which shall have been obtained by the Executive in connection with the Executive’s employment by the Company and which shall not be or become public knowledge (other than by acts by the Executive or representatives of the Executive in violation of this Agreement). After termination of the Executive’s employment with the Company, the Executive shall not, without the prior written consent of the Company or as may otherwise be required by law or legal process, communicate or divulge any such information, knowledge or data, to anyone other than the Company and those designated by it; provided, however, that if the Executive receives actual notice that the Executive is or may be required by law or legal process to communicate or divulge any such information, knowledge or data, the Executive shall promptly so notify the Company.",restrictive-covenants
"Restrictive Covenants. The Indenture imposes certain limitations on, among other things, the ability of the Company to consolidate or merge with or into, or sell, assign, transfer, lease, convey or otherwise dispose of all or substantially all of its properties or assets, the ability of the Company or its Restricted Subsidiaries to dispose of certain assets, to declare or pay dividends or make certain other distributions and payments, to make certain investments or purchase, redeem, or otherwise acquire or retire for value Equity Interests, to incur additional Indebtedness or incur Liens and to enter into certain transactions with Affiliates, all subject to certain limitations described in the Indenture.",restrictive-covenants
"Restrictive Covenants. (a) In consideration of the Company and EFH Co. entering into this Agreement with Executive and hereby promising and committing themselves to provide Executive with Confidential Information and/or specialized training after Executive executes this Agreement, Executive shall not, directly or indirectly:",restrictive-covenants
