clause_text,clause_type
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender and each of its Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other obligations at any time owing by such Lender or Affiliate to or for the credit or the account of the Borrower against any of and all the obligations of the Borrower now or hereafter existing under this Agreement held by such Lender, irrespective of whether or not such Lender shall have made any demand under this Agreement and although such obligations may be unmatured. The rights of each Lender under this Section are in addition to other rights and remedies (including other rights of setoff) which such Lender may have.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender and each of its Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other obligations at any time owing by such Lender or Affiliate to or for the credit or the account of any Loan Party against any of and all the Secured Obligations held by such Lender, irrespective of whether or not such Lender shall have made any demand under the Loan Documents and although such obligations may be unmatured. The applicable Lender shall notify the Borrower and the Administrative Agent of such set-off or application, provided that any failure to give or any delay in giving such notice shall not affect the validity of any such set-off or application under this Section. The rights of each Lender under this Section are in addition to other rights and remedies (including other rights of setoff) which such Lender may have.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender and each of their respective Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by applicable law, to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held and other obligations (in whatever currency) at any time owing by such Lender or any such Affiliate to or for the credit or the account of the Borrower against any and all of the obligations of the Borrower now or hereafter existing under this Agreement or any other Loan Document to such Lender, irrespective of whether or not such Lender shall have made any demand under this Agreement or any other Loan Document and although such obligations of the Borrower may be contingent or unmatured or are owed to a branch or office of such Lender different from the branch or office holding such deposit or obligated on such indebtedness. The rights of each Lender and their respective Affiliates under this Section are in addition to other rights and remedies (including other rights of setoff) that such Lender or their respective Affiliates may have. Each Lender agrees to notify the Borrower and the Administrative Agent promptly after any such setoff and application, provided that the failure to give such notice shall not affect the validity of such setoff and application.",right-of-setoff
"Right of Setoff. In addition to any rights now or hereafter granted under applicable law or otherwise, and not by way of limitation of any such rights, upon the occurrence and during the continuance of an Event of Default, each Lender is hereby authorized at any time or from time to time, without presentment, demand, protest or other notice of any kind to any Subsidiary or the Borrower or to any other Person, any such notice being hereby expressly waived, to set off and to appropriate and apply any and all deposits (general or special) and any other Indebtedness at any time held or owing by such Lender (including, without limitation, by branches and agencies of such Lender wherever located) to or for the credit or the account of the Borrower or any Subsidiary but in any event excluding assets held in trust for any such Person against and on account of the Obligations and liabilities of the Borrower or such Subsidiary, as applicable, to such Lender under this Agreement or under any of the other Credit Documents, including, without limitation, all interests in Obligations purchased by such Lender pursuant to Section 13.06(b), and all other claims of any nature or description arising out of or connected with this Agreement or any other Credit Document, irrespective of whether or not such Lender shall have made any demand hereunder and although said Obligations, liabilities or claims, or any of them, shall be contingent or unmatured.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender is hereby authorized at any time and from time to time, except to the extent prohibited by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other indebtedness at any time owing by such Lender to or for the credit or the account of the Borrower or Holdings against any of and all the obligations of the Borrower or Holdings now or hereafter existing under this Agreement and other Loan Documents held by such Lender, irrespective of whether or not such Lender shall have made any demand under this Agreement or such other Loan Document and although such obligations may be unmatured. The rights of each Lender under this Section 9.06 are in addition to other rights and remedies (including other rights of setoff) which such Lender may have.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender, the L/C Issuer and each of their respective Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by applicable law, to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held and other obligations (in whatever currency) at any time owing by such Lender, the L/C Issuer or any such Affiliate to or for the credit or the account of the Borrower against any and all of the obligations of the Borrower now or hereafter existing under this Agreement or any other Loan Document to such Lender or the L/C Issuer, irrespective of whether or not such Lender or the L/C Issuer shall have made any demand under this Agreement or any other Loan Document and although such obligations of the Borrower may be contingent or unmatured or are owed to a branch or office of such Lender or the L/C Issuer different from the branch or office holding such deposit or obligated on such indebtedness. The rights of each Lender, the L/C Issuer and their respective Affiliates under this Section are in addition to other rights and remedies (including other rights of setoff) that such Lender, the L/C Issuer or their respective Affiliates may have. Each Lender and the L/C Issuer agrees to notify the Borrower and the Administrative Agent promptly after any such setoff and application, provided that the failure to give such notice shall not affect the validity of such setoff and application.",right-of-setoff
"Right of Setoff. To the extent permitted by applicable law, Lender reserves a right of setoff in all Borrower’s accounts with Lender (whether checking, savings, or some other account). This includes all accounts Borrower holds jointly with someone else and all accounts Borrower may open in the future. However, this does not include any IRA or Keogh accounts, or any trust accounts for which setoff would be prohibited by law. Borrower authorizes Lender, to the extent permitted by applicable law, to charge or setoff all sums owing on the Indebtedness against any and all such accounts, and, at Lender’s option, to administratively freeze all such accounts to allow Lender to protect Lender’s charge and setoff rights provided in this paragraph.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender, the L/C Issuer and each of their respective Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by applicable Law, to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held and other obligations (in whatever currency) at any time owing by such Lender, the L/C Issuer or any such Affiliate to or for the credit or the account of the Borrower or any other Loan Party against any and all of the obligations of the Borrower or such Loan Party now or hereafter existing under this Agreement or any other Loan Document to such Lender or the L/C Issuer or their respective Affiliates, irrespective of whether or not such Lender, the L/C Issuer or Affiliate shall have made any demand under this Agreement or any other Loan Document and although such obligations of the Borrower or such Loan Party may be contingent or unmatured, secured or unsecured, or are owed to a branch, office or Affiliate of such Lender or the L/C Issuer different from the branch, office or Affiliate holding such deposit or obligated on such indebtedness; provided that in the event that any Defaulting Lender shall exercise any such right of setoff, (a) all amounts so set off shall be paid over immediately to the Administrative Agent for further application in accordance with the provisions of Section 2.15 and, pending such payment, shall be segregated by such Defaulting Lender from its other funds and deemed held in trust for the benefit of the Administrative Agent, the L/C Issuer and the Lenders, and (b) the Defaulting Lender shall provide promptly to the Administrative Agent a statement describing in reasonable detail the Secured Obligations owing to such Defaulting Lender as to which it exercised such right of setoff. The rights of each Lender, the L/C Issuer and their respective Affiliates under this Section are in addition to other rights and remedies (including other rights of setoff) that such Lender, the L/C Issuer or their respective Affiliates may have. Each Lender and the L/C Issuer agrees to notify the Borrower and the Administrative Agent promptly after any such setoff and application, provided that the failure to give such notice shall not affect the validity of such setoff and application.",right-of-setoff
"Right of Setoff. Borrower grants to Lender a contractual possessory security interest in, and hereby assigns, conveys, delivers, pledges, and transfers to Lender all Borrower's right, title and interest in and to, Borrower's accounts with Lender (whether checking, savings, or some other account), including without limitation all accounts held jointly with someone else and all accounts Borrower may open in the future, excluding however all IRA and Keogh accounts, and all trust accounts for which the grant of a security interest would be prohibited by law. Borrower authorizes Lender, to the extent permitted by applicable law, to charge or setoff all sums owing on the Indebtedness against any and all such accounts.",right-of-setoff
"Right of Setoff. If an Event of Default shall have occurred and be continuing, each Lender, each L/C Issuer and each of their respective Affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by applicable Requirements of Law to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held and other obligations (in whatever currency) at any time owing by such Lender, such L/C Issuer or any such Affiliate to or for the credit or the account of the Borrower against any and all of the obligations of the Borrower now or hereafter existing under this Agreement or any other Loan Document to such Lender or such L/C Issuer or their respective Affiliates, irrespective of whether or not such Lender, such L/C Issuer or such Affiliate shall have made any demand under this Agreement or any other Loan Document and although such obligations of the Borrower may be contingent or unmatured or are owed to a branch, office or Affiliate of such Lender or such L/C Issuer different from the branch, office or Affiliate holding such deposit or obligated on such indebtedness; provided that in the event that any Defaulting Lender shall exercise any such right of setoff, (x) all amounts so set off shall be paid over immediately to the Administrative Agent for further application in accordance with the provisions of Section 2.16 and, pending such payment, shall be segregated by such Defaulting Lender from its other funds and deemed held in trust for the benefit of the Administrative Agent, the L/C Issuers and the Lenders, and (y) the Defaulting Lender shall provide promptly to the Administrative Agent a statement describing in reasonable detail the Obligations owing to such Defaulting Lender as to which it exercised such right of setoff. The rights of each Lender, each L/C Issuer and their respective Affiliates under this Section are in addition to other rights and remedies (including other rights of setoff) that such Lender, such L/C Issuer or their respective Affiliates may have. Each Lender and each L/C Issuer agrees to notify the Borrower and the Administrative Agent promptly after any such setoff and application, provided that the failure to give such notice shall not affect the validity of such setoff and application.",right-of-setoff
