clause_text,clause_type
Rules of Construction. Unless the context otherwise requires:,rules-of-construction
"Rules of Construction. The parties hereto agree that they have been represented by counsel during the negotiation and execution of this Agreement and, therefore, waive the application of any law, regulation, holding or rule of construction providing that ambiguities in an agreement or other document will be construed against the party drafting such agreement or document.",rules-of-construction
"Rules of Construction. Unless the context or use indicates another or different meaning or intent, the following rules shall apply to the construction of this Agreement:",rules-of-construction
"Rules of Construction. For all purposes of this Indenture, except as otherwise expressly provided or unless the context otherwise requires:",rules-of-construction
Rules of Construction. Except as otherwise expressly provided in this Agreement or unless the context clearly requires otherwise,rules-of-construction
Rules of Construction. (a) Unless the context otherwise requires:,rules-of-construction
"Rules of Construction. Unless the context otherwise requires or except as otherwise expressly provided,",rules-of-construction
Rules of Construction. The following rules shall apply to the construction and interpretation of this Agreement:,rules-of-construction
"Rules of Construction. The use in this Agreement of the term “including” means “including, without limitation.” The words “herein,” “hereof,” “hereunder” and other words of similar import refer to this Agreement as a whole, including the schedules and exhibits, as the same may from time to time be amended, modified, supplemented or restated, and not to any particular Section, subsection, paragraph, subparagraph or clause contained in this Agreement. All references to Sections, schedules and exhibits mean the Sections of this Agreement and the schedules and exhibits attached to this Agreement, except where otherwise stated. The title of and the Section and paragraph headings in this Agreement are for convenience of reference only and shall not govern or affect the interpretation of any of the terms or provisions of this Agreement. The use herein of the masculine, feminine or neuter forms shall also denote the other forms, as in each case the context may require. Where specific language is used to clarify by example a general statement contained herein, such specific language shall not be deemed to modify, limit or restrict in any manner the construction of the general statement to which it relates. The language used in this Agreement has been chosen by the parties to express their mutual intent, and no rule of strict construction shall be applied against any party. Unless expressly provided otherwise, the measure of a period of one month or year for purposes of this Agreement shall be that date of the following month or year corresponding to the starting date, provided that if no corresponding date exists, the measure shall be that date of the following month or year corresponding to the next day following the starting date. For example, one month following February 18 is March 18, and one month following March 31 is May 1 (or in the case of January 29, 30 or 31, the following month shall be March 1).",rules-of-construction
"Rules of Construction. Unless the context otherwise requires, references to sections or subsections refer to sections or subsections of this Agreement.",rules-of-construction
"Rules of Construction. All Schedules, Addenda, Annexes and Exhibits hereto or expressly identified to this Agreement are incorporated herein by reference and taken together with this Agreement constitute but a single agreement. The words ""herein"", ""hereof"" and ""hereunder"" or other words of similar import refer to this Agreement as a whole, including the Exhibits, Addenda, Annexes and Schedules thereto, as the same may be from time to time amended, modified, restated or supplemented, and not to any particular section, subsection or clause contained in this Agreement. Wherever from the context it appears appropriate, each term stated in either the singular or plural shall include the singular and the plural, and pronouns stated in the masculine, feminine or neuter gender shall include the masculine, the feminine and the neuter. The term ""or"" is not exclusive. The term ""including"" (or any form thereof) shall not be limiting or exclusive. All references to statutes and related regulations shall include any amendments of same and any successor statutes and regulations. All references in this Agreement or in the Schedules, Addenda, Annexes and Exhibits to this Agreement to sections, schedules, disclosure schedules, exhibits, and attachments shall refer to the corresponding sections, schedules, disclosure schedules, exhibits, and attachments of or to this Agreement. All references to any instruments or agreements, including references to any of this Agreement or the Ancillary Agreements shall include any and all modifications or amendments thereto and any and all extensions or renewals thereof.",rules-of-construction
"Rules of Construction. (a) All article, section, schedule and exhibit references used in this Agreement are to articles, sections, schedules and exhibits to this Agreement unless otherwise specified. The schedules and exhibits attached to this Agreement constitute a part of this Agreement and are incorporated herein for all purposes.",rules-of-construction
"Rules of Construction. Interpretation of this Agreement shall be governed by the following rules of construction: (a) words in the singular shall be held to include the plural and vice versa, and words of one gender shall be held to include the other gender as the context requires; (b) references to the terms Article, Section, paragraph, Exhibit and Schedule are references to the Articles, Sections, paragraphs, Exhibits and Schedules to this Agreement unless otherwise specified; (c) references to ""$"" shall mean U.S. dollars; (d) the word ""including"" and words of similar import when used in this Agreement shall mean ""including without limitation,"" unless otherwise specified; (e) the word ""or"" shall not be exclusive; (f) references to ""insurance policy"" shall include all related riders and amendments; (g) provisions shall apply, when appropriate, to successive events and transactions; (h) the headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement; and (i) this Agreement shall be construed without regard to any presumption or rule requiring construction or interpretation against the party drafting or causing any instrument to be drafted.",rules-of-construction
"Rules of Construction. Unless the context of this Agreement clearly requires otherwise, references to the plural include the singular, references to the singular include the plural, the term “including” is not limiting and shall be deemed to be followed by the phrase “without limitation,” and the term “or” has, except where otherwise indicated, the inclusive meaning represented by the phrase “and/or.” The words “hereof,” “herein,” “hereby,” “hereunder,” and similar terms in this Agreement refer to this Agreement as a whole and not to any particular provision of this Agreement. Article, section, subsection, clause, schedule and exhibit references herein are to this Agreement unless otherwise specified. Any reference in this Agreement to any agreement, instrument, or document shall include all alterations, amendments, changes, restatements, extensions, modifications, renewals, replacements, substitutions, joinders, and supplements thereto and thereof, as applicable (subject to any restrictions on such alterations, amendments, changes, restatements, extensions, modifications, renewals, replacements, substitutions, joinders, and supplements set forth herein). Any reference herein to any Person shall be construed to include such Person’s successors and assigns. Any reference herein to the repayment in full of an obligation shall mean the payment in full in cash of such obligation, or in such other manner as may be approved in writing by the requisite holders or representatives in respect of such obligation, or in such other manner as may be approved by the requisite holders or representatives in respect of such obligation.",rules-of-construction
"Rules of Construction. Whenever the context so requires, the use of the singular shall be deemed to include the plural and vice versa.",rules-of-construction
Rules of Construction. Unless the context otherwise --------------------- requires:,rules-of-construction
"Rules of Construction. The parties have participated jointly in the negotiation and drafting of this Agreement. In the event an ambiguity or question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the Parties and no presumption or burden of proof shall arise favoring or disfavoring any Party by virtue of the authorship of any provisions of this Agreement.",rules-of-construction
"Rules of Construction. Each of the parties hereto acknowledges that it has been represented by counsel of its choice throughout all negotiations that have preceded the execution of this Agreement, and that it has executed the same with the advice of said independent counsel. Each party and its counsel cooperated and participated in the drafting and preparation of this Agreement and the documents referred to herein, and any and all drafts relating thereto exchanged among the parties shall be deemed the work product of all of the parties and may not be construed against any party by reason of its drafting or preparation. Accordingly, any rule of law or any legal decision that would require interpretation of any ambiguities in this Agreement against any party that drafted or prepared it is of no application and is hereby expressly waived by each of the parties hereto, and any controversy over interpretations of this Agreement shall be decided without regards to events of drafting or preparation.",rules-of-construction
"Rules of Construction. Interpretation of this Agreement shall be governed by the following rules of construction: (a) words in the singular shall be held to include the plural and vice versa, and words of one gender shall be held to include the other gender as the context requires; (b) references to the terms Article, Section, paragraph, and Schedule are references to the Articles, Sections, paragraphs and Schedules to this Agreement unless otherwise specified; (c) the word “including” and words of similar import shall mean “including, without limitation,”; (d) provisions shall apply, when appropriate, to successive events and transactions; (e) the headings contained herein are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement; (f) a reference to a statute includes all regulations and rules made pursuant to the statute and, unless otherwise specified, the provisions of any statute, regulation or rule which amends, supplements or supersedes any such statute, regulation or rule; and (g) this Agreement shall be construed without regard to any presumption or rule requiring construction or interpretation against the party drafting or causing any instrument to be drafted.",rules-of-construction
"Rules of Construction. The definitions of terms herein shall apply equally to the singular and plural forms of the terms defined. Whenever the context may require, any pronoun shall include the corresponding masculine, feminine and neuter forms. The words “include”, “includes” and “including” shall be deemed to be followed by the phrase “without limitation”. The word “will” shall be construed to have the same meaning and effect as the word “shall”. Unless the context requires otherwise (a) any definition of or reference to any agreement, instrument or other document herein shall be construed as referring to such agreement, instrument or other document as from time to time amended, supplemented or otherwise modified (subject to any restrictions on such amendments, supplements or modifications set forth herein), (b) any reference herein to any Person shall be construed to include such Person’s successors and assigns, (c) the words “herein”, “hereof” and “hereunder”, and words of similar import, shall be construed to refer to this Agreement in its entirety and not to any particular provision hereof, (d) all references herein to Articles, Sections, Exhibits and Schedules shall be construed to refer to Articles and Sections of, and Exhibits and Schedules to, this Agreement and (e) the words “asset” and “property” shall be construed to have the same meaning and effect and to refer to any and all tangible and intangible assets and properties, including cash, securities, accounts and contract rights.",rules-of-construction
"Rules of Construction. Unless the context otherwise requires, ""or"" is not exclusive, and references to sections or subsections refer to sections or subsections of this Agreement.",rules-of-construction
"Rules of Construction. For purposes of this Agreement, the rules of construction set forth in Section 2 of Annex A shall govern. All Annexes, Exhibits and Schedules hereto, are incorporated herein by reference and, taken together with this Agreement, shall constitute but a single agreement.",rules-of-construction
Rules of Construction. The Parties to this Agreement waive the application of any Law or rule of construction providing that ambiguities in any agreement or other document shall be construed against the party drafting such agreement or other document.,rules-of-construction
"Rules of Construction. Definitions in this Agreement apply equally to both the singular and plural forms of the defined terms. The words “include” and “including” shall be deemed to be followed by the phrase “without limitation.” The terms “herein,” “hereof” and “hereunder” and other words of similar import refer to this Agreement as a whole and not to any particular Section, paragraph or subdivision. The Section titles appear as a matter of convenience only and shall not affect the interpretation of this Agreement. All Section, paragraph, clause, or Schedule references not attributed to a particular document shall be references to such parts of this Agreement.",rules-of-construction
Rules of Construction. Unless the context otherwise requires,rules-of-construction
"Rules of Construction. In this Agreement, words in the singular number include the plural, and in the plural include the singular; words of the masculine gender include the feminine and the neuter, and when the sense so indicates words of the neuter gender may refer to any gender and the word “or” is disjunctive but not exclusive. The captions and section numbers appearing in this Agreement are inserted only as a matter of convenience. They do not define, limit or describe the scope or intent of the provisions of this Agreement.",rules-of-construction
"Rules of Construction. The following rules of construction shall be applied in the interpretation, construction, and enforcement of this Agreement and of the other Loan Documents:",rules-of-construction
"Rules of Construction. Unless the context clearly indicates to the contrary, the following rules apply to the construction of this Agreement:",rules-of-construction
"Rules of Construction. The parties hereto have been represented by counsel during the negotiation, preparation and execution of this Agreement and, therefore, hereby waive, with respect to this Agreement, each Schedule and each Exhibit attached hereto, the application of any Applicable Law or rule of construction providing that ambiguities in an agreement or other document shall be construed against the party drafting such agreement or document.",rules-of-construction
"Rules of Construction. For all purposes of any Basic Document, except as otherwise expressly provided or unless the context otherwise requires, (i) terms used therein include, as appropriate, all genders and the plural as well as the singular, (ii) references to words such as “herein,” “hereof” and the like shall refer to that Basic Document as a whole and not to any particular part, article or section within such Basic Document, (iii) references to a schedule, appendix or section such as “Section 1.01” and the like shall refer to the applicable schedule, appendix or section of such Basic Document, (iv) the term “include” and all variations thereof shall mean “include without limitation,” (v) the term “or” is not exclusive and shall include “and/or,” (vi) words in the singular include the plural and words in the plural include the singular, (vii) unless “Business Days” is specified, any reference to a number of days shall be a reference to that number of consecutive calendar days, (viii) any agreement, instrument or statute defined or referred to herein or in any instrument or certificate delivered in connection herewith means such agreement, instrument or statute as from time to time amended, modified or supplemented and includes (in the case of agreements or instruments) references to all attachments thereto and instruments incorporated therein, (ix) the term “proceeds” shall have the meaning set forth in the applicable UCC and (x) accounting terms not defined in such Basic Document or in any such certificate or other document, and accounting terms partly defined in such Basic Document or in any such certificate or other document to the extent not defined, shall have the respective meanings given to them under generally accepted accounting principles. To the extent that the definitions of accounting terms in this Agreement or in any such certificate or other document are inconsistent with the meanings of such terms under generally accepted accounting principles, the definitions contained in this Agreement or in any such certificate or other document shall control.",rules-of-construction
"Rules of Construction. In this Debenture, unless the context otherwise requires, words in the singular number include the plural, and in the plural include the singular, and words of the masculine gender include the feminine and the neuter, and when the sense so indicates, words of the neuter gender may refer to any gender. The numbers and titles of sections contained in the Debenture are inserted for convenience of reference only, and they neither form a part of this Debenture nor are they to be used in the construction or interpretation hereof. Wherever, in this Debenture, a determination of the Company is required or allowed, such determination shall be made by a majority of the Board of Directors of the Company and if it is made in good faith, it shall be conclusive and binding upon the Company and the Holder of this Debenture.",rules-of-construction
"Rules of Construction. In construing this Agreement, the following principles shall be followed:",rules-of-construction
Rules of Construction. For purposes of this Indenture:,rules-of-construction
"Rules of Construction. When used in this Agreement: (1) “or” is not exclusive; (2) a reference to a Law includes any amendment or modification to such Law; (3) a reference to a Person includes its permitted successors and permitted assigns; (4) except as provided otherwise, all references to the singular shall include the plural and vice versa; (5) except as provided in this Agreement, a reference to an agreement, instrument or document shall include such agreement, instrument or document as the same may be amended, modified or supplemented from time to time in accordance with its terms and as permitted by the Loan Documents; (6) all references to Articles or Sections shall be to Articles and Sections of this Agreement unless otherwise indicated; and (7) all Exhibits to this Agreement shall be incorporated into this Agreement.",rules-of-construction
"Rules of Construction. Descriptive headings as to the contents of particular sections are for convenience only and do not control or affect the meaning, construction or interpretation of this Agreement or any particular section. Whenever the words “include,” “includes” or “including” are used in this Agreement, they are deemed to be followed by the words “without limitation.” The words “hereof,” “herein” and “hereunder” and words of similar import when used in this Agreement refer to this Agreement as a whole and not to any particular provision in this Agreement. Each use herein of the masculine, neuter or feminine gender is deemed to include the other genders. Each use herein of the plural includes the singular and vice versa, in each case as the context requires or as is otherwise appropriate. The word “or” is used in the inclusive sense. Any agreement or instrument defined or referred to herein or in any agreement or instrument that is referred to herein means such agreement or instrument as from time to time amended, modified or supplemented, including by waiver or consent. References to a Person are also to its permitted successors or assigns. In the event that an ambiguity or a question of intent or interpretation arises, this Agreement shall be construed as if drafted jointly by the parties, and no presumption or burden of proof shall arise favoring or disfavoring any party by virtue of the authorship of any provision of this Agreement.",rules-of-construction
Rules of Construction. Unless the text otherwise requires:,rules-of-construction
Rules of Construction. Unless otherwise specified herein:,rules-of-construction
"Rules of Construction. Except as may be otherwise specifically provided in this Agreement and unless the context otherwise requires, in this Agreement:",rules-of-construction
"Rules of Construction. For all purposes of this Agreement, except as otherwise expressly provided or unless the context otherwise requires (i) singular words shall connote the plural as well as the singular, and vice versa (except as indicated), as may be appropriate, (ii) the words “herein,” “hereof” and “hereunder” and other words of similar import used in this Agreement refer to this Agreement as a whole and not to any particular appendix, article, schedule, section, paragraph, clause, exhibit or other subdivision, (iii) the headings, subheadings and table of contents set forth in this Agreement are solely for convenience of reference and shall not constitute a part of this Agreement nor shall they affect the meaning, construction or effect of any provision hereof, (iv) references in this Agreement to “including” shall mean including without limiting the generality of any description preceding such term, and for purposes hereof the rule of ejusdem generis shall not be applicable to limit a general statement, followed by or referable to an enumeration of specific matters, to matters similar to those specifically mentioned, and (v) each of the parties to this Agreement and its counsel have reviewed and revised, or requested revisions to, this Agreement, and the usual rule of construction that any ambiguities are to be resolved against the drafting party shall be inapplicable in the construction and interpretation of this Agreement.",rules-of-construction
Rules of Construction. The parties agree that they have participated equally in the formation of this Agreement and that the language and terms of this Agreement shall not be construed against either party by reason of the extent to which such party or its professional advisors participated in the preparation of this Agreement.,rules-of-construction
"Rules of Construction. Unless the context otherwise requires, (a) words in the singular include the plural, and words in the plural include the singular and (b) “including” means, where not already so indicated, “including without limitation.” Unless otherwise stated in this Agreement, in the computation of a period of time from a specified date to a later specified date, the word “from” means “from and including” and the words “to” and “until” each mean “to but excluding.” “Herein,” “hereof” and other words of similar import refer to this Agreement as a whole and not to any particular Article, Section or other subdivision. Unless otherwise specified, references in this Agreement to any Article, Section, Schedule, Annex or Exhibit are references to such Article or Section of, or Schedule, Annex or Exhibit to, this Agreement, and references in any Article, Section, Schedule, Annex, Exhibit or definition to any subsection or clause are references to such subsection or clause of such Article, Section, Schedule, Annex, Exhibit or definition. All references in this Agreement to an agreement, instrument or other document shall be construed as a reference to that agreement, instrument or document as the same may be amended, modified, varied, supplemented or novated from time to time.",rules-of-construction
"Rules of Construction. This Agreement is the product of negotiations among the Company Parties and the Consenting Stakeholders, and in the enforcement or interpretation hereof, is to be interpreted in a neutral manner, and any presumption with regard to interpretation for or against any Party by reason of that Party having drafted or caused to be drafted this Agreement, or any portion hereof, shall not be effective in regard to the interpretation hereof. The Company Parties and the Consenting Stakeholders were each represented by counsel during the negotiations and drafting of this Agreement and continue to be represented by counsel.",rules-of-construction
"Rules of Construction. The term “Borrower” as used herein shall include both the named Borrower and any other person at any time assuming or otherwise becoming primarily liable for all or any part of the obligations of the named Borrower under the Note and the other Loan Documents. The term “person” as used herein shall include any individual, company, trust or other legal entity of any kind whatsoever. If this Guaranty is executed by more than one person, the term “Guarantor” shall include all such persons. When the context and construction so require, all words used in the singular herein shall be deemed to have been used in the plural and vice versa. All headings appearing in this Guaranty are for convenience only and shall be disregarded in construing this Guaranty.",rules-of-construction
Rules of Construction. The following rules of construction shall apply to this Agreement:,rules-of-construction
"Rules of Construction. The parties hereto hereby waive the application of any law, regulation, holding or rule of construction providing that ambiguities in an agreement or other document will be construed against the party drafting such agreement or document.",rules-of-construction
"Rules of Construction. (a) Unless the context requires otherwise: (i) any pronoun used in this Agreement shall include the corresponding masculine, feminine or neuter forms; (ii) references to Articles and Sections refer to articles and sections of this Agreement; (iii) the terms “include,” “includes,” “including” and words of like import shall be deemed to be followed by the words “without limitation”; (iv) the terms “hereof,” “hereto,” “herein” or “hereunder” refer to this Agreement as a whole and not to any particular provision of this Agreement; (v) unless the context otherwise requires, the term “or” is not exclusive and shall have the inclusive meaning of “and/or”; (vi) defined terms herein will apply equally to both the singular and plural forms and derivative forms of defined terms will have correlative meanings; (vii) references to any law or statute shall include all rules and regulations promulgated thereunder, and references to any law or statute shall be construed as including any legal and statutory provisions consolidating, amending, succeeding or replacing the applicable law or statute; (viii) references to any Person include such Person’s successors and permitted assigns; and (ix) references to “days” are to calendar days unless otherwise indicated.",rules-of-construction
"Rules of Construction. The capitalized terms listed in this Article 1 shall have the meanings set forth herein whenever the terms appear in this Agreement, whether in the singular or the plural or in the present or past tense. Other terms used in this Agreement but not listed in this Article shall have meanings as commonly used in the English language and, where applicable, in generally accepted construction and design-build industry standards. Words not otherwise defined herein that have well known and generally accepted technical or trade meanings are used herein in accordance with such recognized meanings. In addition, the following rules of interpretation shall apply:",rules-of-construction
Rules of Construction. Unless the context otherwise clearly requires:,rules-of-construction
"Rules of Construction. For all purposes of this Agreement, except as otherwise expressly provided or unless the context otherwise requires, the following rules of construction apply in construing the provisions of this Agreement:",rules-of-construction
"Rules of Construction. Unless otherwise specified, references in any Related Document or any of the Appendices thereto to a Section, subsection or clause refer to such Section, subsection or clause as contained in such Related Document. The words ""herein,"" ""hereof"" and ""hereunder"" and other words of similar import used in any Related Document refer to such Related Document as a whole, including all annexes, exhibits and schedules, as the same may from time to time be amended, restated, modified or supplemented, and not to any particular section, subsection or clause contained in such Related Document or any such annex, exhibit or schedule. Any reference to or definition of any document, instrument or agreement shall, unless expressly noted otherwise, include the same as amended, restated, supplemented or otherwise modified from time to time. Wherever from the context it appears appropriate, each term stated in either the singular or plural shall include the singular and the plural, and pronouns stated in the masculine, feminine or neuter gender shall include the masculine, feminine and neuter genders. The words ""including,"" ""includes"" and ""include"" shall be deemed to be followed by the words ""without limitation""; the word ""or"" is not exclusive; references to Persons include their respective successors and assigns (to the extent and only to the extent permitted by the Related Documents) or, in the case of Governmental Authorities, Persons succeeding to the relevant functions of such Persons; and all references to statutes and related regulations shall include any amendments of the same and any successor statutes and regulations.",rules-of-construction
"Rules of Construction. The captions or headings in this Agreement are strictly for convenience and shall not be considered in interpreting this Agreement or as amplifying or limiting any of its content. Words in this Agreement which import the singular connotation shall be interpreted as plural, and words which import the plural connotation shall be interpreted as singular, as the identity of the parties or objects referred to may require.",rules-of-construction
"Rules of Construction. Unless otherwise indicated, all references herein to “REIT,” “REIT Requirements,” “REIT Shares” and “REIT Shares Amount” with respect to the General Partner shall apply only with reference to the Company.",rules-of-construction
"Rules of Construction. (a) The singular form of any word used herein, including the terms defined in Section 1.01 hereof, shall include the plural, and vice versa. The use herein of a word of any gender shall include correlative words of all genders.",rules-of-construction
