clause_text,clause_type
"Salary. The Company shall pay Executive a base salary (""Base Salary"") during the period of the Executive's employment hereunder, which shall be at an initial rate of five-hundred-thousand dollars ($500,000) per annum. The Base Salary may be adjusted from time to time as provided in the next paragraph and shall be paid in accordance with the Company's standard payroll procedure. Prior to the third anniversary of the Effective Date, the Base Salary shall be reviewed for increase effective on such third anniversary in the discretion of the Board. Thereafter, the Base Salary shall be reviewed at least annually for increase in the discretion of the Board. The Executive's Base Salary may not be decreased at any time during the Term of Employment.",salary
"Salary. For Executive’s services hereunder, Employer shall pay as base salary to Executive the amount of $200,000 during each year of the Employment Term. Said salary shall be payable in equal installments in conformity with Employer’s normal payroll period. Executive shall receive such salary increases, if any, as Employer, in its sole discretion, shall determine.",salary
"Salary. As compensation for the performance of the Executive's services hereunder, during the Term, the Company shall pay to the Executive a salary at an annual rate of Three Hundred Thousand Dollars ($300,000), payable in accordance with the Company's standard payroll policies but not less frequently than monthly installments and such salary shall be reviewed annually and may be adjusted upward by the Compensation Committee (the ""Committee"") of the Board in its sole discretion (as adjusted, the ""Base Salary"").",salary
"Salary. As compensation for all services to be rendered pursuant to this Agreement, RCPC agrees to pay the Executive during the Term a base salary, payable in bi-weekly arrears, at the annual rate of not less than that currently in effect on the Effective Date (the “Base Salary”). All payments of Base Salary or other compensation hereunder shall be less such deductions or withholdings as are required by applicable law and regulations. The Executive will be considered for merit increases in connection with the Executive’s performance evaluations, which are performed in accordance with the Company’s salary administration policies and procedures. In the event that RCPC, in its sole discretion, from time to time determines to increase the Base Salary, such increased amount shall, from and after the effective date of the increase, constitute “Base Salary” for purposes of this Agreement and shall not thereafter be decreased.",salary
"Salary. The Company shall pay the Executive during the Term a base salary at the rate of $350,000 per annum (the “Annual Salary”), in accordance with the customary payroll practices of the Company applicable to senior executives generally. The Annual Salary may be increased annually by an amount as may be approved by the Board or the Compensation Committee, and, upon such increase, the increased amount shall thereafter be deemed to be the Annual Salary for purposes of this Agreement.",salary
"Salary. The Company shall pay the Employee as compensation for his services a base salary at a gross annual rate of not less than $160,000 (One Hundred and Sixty Thousand Dollars). Such salary shall be payable in accordance with the Company’s standard payroll procedures. (The annual compensation specified in this Subsection (a), together with any increases in such compensation that the Company may grant from time to time, is referred to in this Agreement as “Base Salary.”)",salary
Salary. No salary will be paid to a Member for the performance of his or her duties under this Agreement unless the salary has been approved in writing by a Majority of the Members.,salary
"Salary. During the Employment Term, the Company shall pay the Employee an annual base salary, before deducting all applicable withholdings, of $300,000 per year, payable at the time and in the manner dictated by the Company's standard payroll policies. Such minimum annual base salary may be periodically reviewed and increased at the discretion of the Compensation Committee of the Board (the ""Committee"") to reflect, among other matters, cost of living increases and performance results (such annual base salary, including any increases pursuant to this Section 3, the ""Annual Base Salary"").",salary
Salary. Employees appointed to a position as a result of a layoff action will have their salary determined as follows:,salary
"Salary. During the Employment Period, the Company shall pay to the Executive, as compensation for the performance of his duties and obligations under this Agreement, a base salary at the rate of $150,000 per annum, payable in arrears not less frequently than monthly in accordance with the normal payroll practices of the Company. Such base salary shall be subject to review each year for possible increase by the President, but shall in no event be decreased from its then-existing level during the Employment Period.",salary
"Salary. As compensation for the performance by the Employee of the services to be performed by the Employee hereunder during the Employment Term, the Company shall pay the Employee a base salary at the annual rate of Two Hundred and Forty Thousand Dollars ($240,000) (said amount, together with any increases thereto as may be determined from time to time by the Board of Directors in its sole discretion, being hereinafter referred to as ""Salary""). Any Salary payable hereunder shall be paid in regular intervals in accordance with the Company's payroll practices from time to time in effect.",salary
"Salary. The Company shall pay the Executive during the Term a salary at a minimum rate of $225,000 per annum (the ""Annual Salary""), in accordance with the customary payroll practices of the Company applicable to senior executives. At least annually, the Board shall review the Executive's Annual Salary and may provide for such increases therein as it may in its discretion deem appropriate. (Any such increased salary shall constitute the ""Annual Salary"" as of the time of the increase.)",salary
"Salary. The Executive shall be paid an annual base salary at an annual rate at least equal to the annual rate being paid or payable to the Executive by the Company in the month in which the Effective Date occurs, with such increases thereafter as shall be determined from time to time to be fair and reasonable by the Board of Directors or by the Executive Compensation and Development Committee of the Board of Directors (the “Committee”) in its discretion after taking into account, among other things, the authority, duties, powers and responsibilities of the Executive’s position, the Executive’s performance, the Company’s performance, the compensation of persons in comparable positions at the Company and at other comparable companies, and the effect of inflation. The Executive’s annual base salary shall not be reduced after any such increase. The Executive’s annual base salary shall be payable in equal installments in accordance with the Company’s general salary payment policies, but no less frequently than bi-weekly.",salary
"Salary. An annual salary (“Base Salary”) at the highest rate in effect for the Executive at any time during the 120-day period immediately preceding the Change of Control, payable to the Executive at such intervals no less frequent than the most frequent intervals in effect at any time during the 120-day period immediately preceding the Change of Control or, if more favorable to the Executive, the intervals in effect at any time after the Change of Control for other most senior executives of the Post-Transaction Corporation and its Affiliates.",salary
"Salary. The EMPLOYEE shall receive during the TERM an annual salary payable in equal installments not less often than monthly. The amount of such annual salary shall be $78,500 until changed by the Board of Directors of the EMPLOYER in accordance with Section 3(b) of this AGREEMENT.",salary
"Salary. Employee shall receive for Employee’s services to be rendered hereunder an initial annualized base salary of $400,000 per year, subject to review and adjustment from time to time by the Company in its sole discretion, payable subject to standard federal and state payroll withholding requirements in accordance with Company’s standard payroll practices (“Base Salary”).",salary
"Salary. At all times while Employee is employed by the Company, the Company shall pay to Employee a salary as base compensation for the services to be rendered by Employee hereunder. The initial amount of such salary shall be equal to the annual base salary paid by the Company to Employee as of the date hereof. Such salary shall be reviewed no less frequently than annually by the Board and may be increased upon the approval of the Board in its sole discretion. Such salary shall accrue and be payable in accordance with the payroll practices of the Company in effect from time to time. All such payments shall be subject to deduction and withholding as required by applicable law.",salary
"Salary. The Executive shall receive an annual base salary (the “Annual Base Salary”), at least equal to the annual salary established by the Board or the Compensation Committee of the Board (the “Compensation Committee”) or the Chief Executive Officer for the fiscal year in which the Change of Control Date occurs. The Annual Base Salary shall be paid in substantially equal installments and at the same intervals as the salaries of other executives of the Company are paid. The Board or the Compensation Committee or the Chief Executive Officer shall review the Annual Base Salary at least annually and shall determine in good faith and consistent with any generally applicable Company policy any increases for future years.",salary
