clause_text,clause_type
"Scope. Notwithstanding any other provision of this Agreement, the Company hereby agrees to indemnify the Indemnitee to the fullest extent permitted by law, notwithstanding that such indemnification is not specifically authorized by the other provisions of this Agreement, the Company’s Certificate of Incorporation, the Company’s Bylaws or by statute. In the event of any change, after the date of this Agreement, in any applicable law, statute, or rule which expands the right of a Delaware corporation to indemnify a member of its board of directors or an officer, such changes shall be deemed to be within the purview of Indemnitee’s rights and the Company’s obligations under this Agreement. In the event of any change in any applicable law, statute or rule which narrows the right of a Delaware corporation to indemnify a member of its board of directors or an officer, such changes, to the extent not otherwise required by such law, statute or rule to be applied to this Agreement shall have no effect on this Agreement or the parties’ rights and obligations hereunder.",scope
"Scope. The Company hereby agrees to indemnify the Indemnitee to the fullest extent permitted by law, notwithstanding that such indemnification is not specifically authorized by the other provisions of this Agreement, the Company's Certificate of Incorporation, the Company's Bylaws or by statute. In the event of any change after the date of this Agreement in any applicable law, statute or rule which expands the right of a Delaware corporation to indemnify a member of its board of directors or an officer, employee, agent or fiduciary, it is the intent of the parties hereto that Indemnitee shall enjoy by this Agreement the greater benefits afforded by such change. In the event of any change in any applicable law, statute or rule which narrows the right of a Delaware corporation to indemnify a member of its board of directors or an officer, employee, agent or fiduciary, such change, to the extent not otherwise required by such law, statute or rule to be applied to this Agreement, shall have no effect on this Agreement or the parties' rights and obligations hereunder except as set forth in Section 10(a) hereof.",scope
Scope. 1. The Parties affirm the importance of all forms of cooperation in contributing towards implementation of the objectives and principles of this Agreement. 2. Cooperation between the Parties under this Chapter will supplement the cooperation and cooperative activities between the Parties set out in other Chapters of this Agreement.,scope
"Scope. Confidential Information shall not include information that the receiving Party can demonstrate: (1) is generally available to the public other than as a result of a disclosure by the receiving Party; (2) was in the lawful possession of the receiving Party on a non-confidential basis before receiving it from the disclosing Party; (3) was supplied to the receiving Party without restriction by a third party, who, to the knowledge of the receiving Party after due inquiry, was under no obligation to the disclosing Party to keep such information confidential;",scope
Scope. The Parties shall provide Number Portability (NP) in accordance with rules and regulations as from time to time prescribed by the FCC.,scope
"Scope. Notwithstanding any other provision of this Agreement but subject to Section 14(b), the Company shall indemnify the Indemnitee to the fullest extent permitted by law, notwithstanding that such indemnification is not specifically authorized by other provisions of this Agreement, the Company’s Articles of Incorporation, the Company’s Bylaws or by statute.",scope
"Scope. If any portion of any Covenant or its application is construed to be invalid, illegal or unenforceable, then the other portions and their application shall not be affected thereby and shall be enforceable without regard thereto. If any of the Covenants is determined to be unenforceable because of its scope, duration, geographical area or similar factor, then the court making such determination shall have the power to reduce or limit such scope, duration, area or other factor, and such Covenant shall then be enforceable in its reduced or limited form.",scope
"Scope. Confidential Information shall not include information that the receiving Party can demonstrate: (1) is generally available to the public other than as a result of a disclosure by the receiving Party; (2) was in the lawful possession of the receiving Party on a non-confidential basis before receiving it from the disclosing Party; (3) was supplied to the receiving Party without restriction by a third party, who, to the knowledge of the receiving Party after due inquiry, was under no obligation to the disclosing Party to keep such information confidential; (4) was independently developed by the receiving Party without reference to Confidential Information of the disclosing Party; (5) is, or becomes, publicly known, through no wrongful act or omission of the receiving Party or Breach of this Agreement; or (6) is required, in accordance with Article 22.1.8 of this Agreement, Order of Disclosure, to be disclosed by any Governmental Authority or is otherwise required to be disclosed by law or subpoena, or is necessary in any legal proceeding establishing rights and obligations under this Agreement. Information designated as Confidential Information will no longer be deemed confidential if the Party that designated the information as confidential notifies the other Party that it no longer is confidential.",scope
"Scope. For purposes of this Agreement, unless the language or context clearly indicates that a different meaning is intended, capitalized terms have the meanings specified in this Article.",scope
"Scope. If, at the time of enforcement of this Section 7, a court shall hold that the duration, scope, area or other restrictions stated herein are unreasonable under circumstances then existing, the parties agree that the maximum duration, scope, area or other restrictions reasonable under such circumstances shall be substituted for the stated duration, scope, area or other restrictions.",scope
"Scope. A. This Agreement sets forth the terms and conditions pursuant to which BST agrees to store in its LIDB certain information at the request of the Local Exchange Company and pursuant to which BST, its LIDB customers and Local Exchange Carrier shall have access to such information. Local Exchange Carrier understands that BST provides access to information in its LIDB to various telecommunications service providers pursuant to applicable tariffs and agrees that information stored at the request of Local Exchange Carrier, pursuant to this Agreement, shall be available to those telecommunications service providers. The terms and conditions contained in the attached Addendum(s) are hereby made a part of this Agreement as if fully incorporated herein.",scope
"Scope. For purposes of this Agreement, the “Proprietary Information” shall mean any and all information disclosed relating to the Property, the documents and information included in the Offering Package of which this Agreement is a part, or any other oral, written, graphical, and electronic information disclosed to the Principal or any of its Affiliates (the Principal and its Affiliates shall hereinafter sometimes be referred to as the “Recipient”) by Seller or any agent of Seller (including, without limitation, Eastern Consolidated).",scope
"Scope. This First Supplemental Indenture constitutes a supplement to the Base Indenture and an integral part of the Indenture and shall be read together with the Base Indenture as though all the provisions thereof are contained in one instrument. Except as expressly amended by the First Supplemental Indenture, the terms and provisions of the Base Indenture shall remain in full force and effect. Notwithstanding the foregoing, this First Supplemental Indenture shall only apply to the 2026 Notes.",scope
"Scope. The Member has full power, authority and discretion to manage and direct the Company’s business, affairs and properties, including, without limitation, the specific powers referred to in Article 3.01(b).",scope
"Scope. The parties hereby agree that any and all claims (except only for requests for injunctive or other equitable relief) whether existing now, in the past or in the future as to which the parties or any affiliates may be adverse parties, and whether arising out of this agreement or from any other cause, will be resolved by arbitration before the American Arbitration Association within the District of Columbia.",scope
"Scope. By mutual agreement, the parties may refer a grievance to the following expedited arbitration process.*",scope
"Scope. This obligation of confidentiality shall not extend to data and information that, at no fault of a recipient Party, is or was: (a) in the public domain or generally available or known to the public; (b) disclosed to a recipient by a non-Party who had a legal right to do so; (c) independently developed by a Party or known to such Party prior to its disclosure hereunder; and (d) which is required to be disclosed by subpoena, law, or other directive of a Governmental Authority.",scope
"Scope. The terms of this Agreement apply to all Residents, for the entire duration of their stay, regardless if the dates of residency are outside of those listed in tables 1 or 2.",scope
"Scope. This Chapter shall apply to all sanitary and phytosanitary measures of a Party that may, directly or indirectly, affect trade between the Parties.",scope
"Scope. A. This Agreement sets forth the terms and conditions pursuant to which BellSouth agrees to store in its LIDB certain information at the request of Interlink Network Resources and pursuant to which BellSouth, its LIDB customers and Interlink Network Resources shall have access to such information. Interlink Network Resources understands that BellSouth provides access to information in its LIDB to various telecommunications service providers pursuant to applicable tariffs and agrees that information stored at the request of Interlink Network Resources, pursuant to this Agreement, shall be available to those telecommunications service providers. The terms and conditions contained herein shall hereby be made a part of this Interconnection/Resale Agreement upon notice to Interlink Network Resources’ account team to activate this LIDB Storage Agreement. The General Terms and Conditions of the Interconnection/Resale Agreement shall govern this LIDB Storage Agreement. The terms and conditions contained in the attached Addendum are hereby made a part of this LIDB Storage Agreement as if fully incorporated herein.",scope
Scope. 1. This Agreement shall apply to measures adopted or maintained by a Party relating to:,scope
"Scope. The prohibition against assigning or subletting contained in this Article 15 shall be construed to include a prohibition against any assignment or subletting by operation of law. If this Lease be assigned, or if the underlying beneficial interest of Tenant is transferred, or if the Premises or any part thereof be sublet or occupied by anybody other than Tenant, Landlord may collect Rent from the assignee, subtenant or occupant and apply the net amount collected to the Rent herein reserved and apportion any excess Rent so collected in accordance with the terms of the immediately preceding paragraph, but no such assignment, subletting, occupancy or collection shall be deemed a waiver of this covenant, or the acceptance of the assignee, subtenant or occupant as tenant, or a release of Tenant from the further performance by Tenant of covenants on the part of Tenant herein contained. No assignment or subletting shall affect the continuing primary liability of Tenant (which, following assignment, shall be joint and several with the assignee), and Tenant shall not be released from performing any of the terms, covenants and conditions of this Lease.",scope
