clause_text,clause_type
Section Headings. The Section headings used in this Agreement are for convenience of reference only and are not to affect the construction hereof or be taken into consideration in the interpretation hereof.,section-headings
Section Headings. The Section headings in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement.,section-headings
"Section Headings. Headings and numbers have been set forth herein for convenience only. Unless the contrary is compelled by the context, everything contained in each Section applies equally to this entire Agreement.",section-headings
Section Headings. The section headings in this Agreement are for convenience only; they form no part of this Agreement and shall not affect its interpretation.,section-headings
"Section Headings. The various headings of this Amendment are included for convenience only and shall not affect the meaning or interpretation of this Amendment, the Agreement or any provision hereof or thereof.",section-headings
"Section Headings. The section headings are for the convenience of the parties and in no way alter, modify, amend, limit, or restrict the contractual obligations of the parties.",section-headings
Section Headings. The section headings of this Agreement are for convenience of reference only and shall not be deemed to alter or affect any provision hereof.,section-headings
"Section Headings. The headings of the sections and subsections of this Agreement are inserted for convenience only and shall not be deemed to constitute a part thereof, affect the meaning or interpretation of this Agreement or of any term or provision hereof.",section-headings
"Section Headings. The section headings used in this Agreement are included solely for convenience and shall not affect, or be used in connection with, the interpretation of this Agreement.",section-headings
Section Headings. The section headings contained in this Agreement are inserted for reference purposes only and shall not affect the meaning or interpretation of this Agreement.,section-headings
Section Headings. The headings of the sections and subsections of this Agreement are inserted for convenience only and shall not be deemed to constitute a part thereof.,section-headings
"Section Headings. The section headings herein are for convenience of reference only, and shall not affect in any way the interpretation of any of the provisions hereof.",section-headings
"Section Headings. The section headings of, and titles of paragraphs and subparagraphs contained in, this Agreement are for the purpose of convenience only, and they neither form a part of this Agreement nor are they to be used in the construction or interpretation thereof.",section-headings
"Section Headings. The headings of the several sections in this Agreement are inserted solely for the convenience of the parties and are not a part of and are not intended to govern, limit or aid in the construction of any term or provision hereof.",section-headings
"Section Headings. The section headings herein are for convenience of reference only, and shall not limit or otherwise affect the meaning hereof.",section-headings
Section Headings. Section headings contained herein are for reference purposes only and shall not affect the meaning or interpretation of this Agreement.,section-headings
