clause_text,clause_type
"Security Deposit. Lessee shall deposit with Lessor upon execution hereof the Security Deposit as security for Lessee’s faithful performance of its obligations under this Lease. If Lessee fails to pay Rent, or otherwise Defaults under this Lease, Lessor may use, apply or retain all or any portion of said Security Deposit for the payment of any amount due Lessor or to reimburse or compensate Lessor for any liability, expense, loss or damage which Lessor may suffer or incur by reason thereof. If Lessor uses or applies all or any portion of the Security Deposit, Lessee shall within 10 days after written request therefor deposit monies with Lessor sufficient to restore said Security Deposit to the full amount required by this Lease. If the Base Rent increases during the term of this Lease, Lessee shall, upon written request from Lessor, deposit additional monies with Lessor so that the total amount of the Security Deposit shall at all times bear the same proportion to the increased Base Rent as the initial Security Deposit bore to the initial Base Rent. Should the Agreed Use be amended to accommodate a material change in the business of Lessee or to accommodate a sublessee or assignee, Lessor shall have the right to increase the Security Deposit to the extent necessary, in Lessor’s reasonable judgment, to account for any increased wear and tear that the Premises may suffer as a result thereof. If a change in control of Lessee occurs during this Lease and following such change the financial condition of Lessee is, in Lessor’s reasonable judgment, significantly reduced, Lessee shall deposit such additional monies with Lessor as shall be sufficient to cause the Security Deposit to be at a commercially reasonable level based on such change in financial condition. Lessor shall not be required to keep the Security Deposit separate from its general accounts. Within 14 days after the expiration or termination of this Lease, if Lessor elects to apply the Security Deposit only to unpaid Rent, and otherwise within 30 days after the Premises have been vacated pursuant to Paragraph 7.4(c) below, Lessor shall return that portion of the Security Deposit not used or applied by Lessor. No part of the Security Deposit shall be considered to be held in trust, to bear interest or to be prepayment for any monies to be paid by Lessee under this Lease.",security-deposit
"Security Deposit. Tenant shall deposit with Landlord, upon delivery of an executed copy of this Lease to Landlord, a security deposit (the “Security Deposit”) for the performance of all of Tenant’s obligations hereunder in the amount set forth on page 1 of this Lease, which Security Deposit shall be in the form of an unconditional and irrevocable letter of credit (the “Letter of Credit”): (i) in form and substance reasonably satisfactory to Landlord, (ii) naming Landlord as beneficiary, (iii) expressly allowing Landlord to draw upon it at any time from time to time by delivering to the issuer notice that Landlord is entitled to draw thereunder, (iv) issued by an FDIC-insured financial institution satisfactory to Landlord, and (v) redeemable by presentation of a sight draft in the Commonwealth of Massachusetts. If Tenant does not provide Landlord with a substitute Letter of Credit complying with all of the requirements hereof at least 10 days before the stated expiration date of any then current Letter of Credit, Landlord shall have the right to draw the full amount of the current Letter of Credit and hold the funds drawn in cash without obligation for interest thereon as the Security Deposit. The Security Deposit shall be held by Landlord as security for the performance of Tenant’s obligations under this Lease. The Security Deposit is not an advance rental deposit or a measure of Landlord’s damages in case of Tenant’s default. Upon each occurrence of a Default (as defined in Section 20), Landlord may use all or any part of the Security Deposit to pay delinquent payments due under this Lease, future rent damages, and the cost of any damage, injury, expense or liability caused by such Default, without prejudice to any other remedy provided herein or provided by law. Landlord’s right to use the Security Deposit under this Section 6 includes the right to use the Security Deposit to pay future rent damages following the termination of this Lease pursuant to Section 21(c) below. Upon any use of all or any portion of the Security Deposit, Tenant shall pay Landlord on demand the amount that will restore the Security Deposit to the amount set forth on Page 1 of this Lease. Tenant hereby waives the provisions of any law, now or hereafter in force which provide that Landlord may claim from a security deposit only those sums reasonably necessary to remedy defaults in the payment of Rent, to repair damage caused by Tenant or to clean the Premises, it being agreed that Landlord may, in a...",security-deposit
"Security Deposit. The Landlord herewith acknowledges receipt of the amount set forth in Section 1.01 (U) which it is to retain as security for the faithful performance of all the covenants, conditions and agreements of this Lease, but in no event shall the Landlord be obliged to apply the same upon rents or other charges in arrears or upon damages for the Tenant’s failure to perform the said covenants, conditions and agreements; the Landlord may so apply the Security Deposit, at its option; and the Landlord’s right to the possession of the Leased Premises for non-payment of rents or for other reasons shall not in any event be affected by reason of the fact that the Landlord holds this Security Deposit. The said sum, if not applied toward the payment of rents in arrears or toward the payment of damages suffered by the Landlord by reason of the Tenant’s breach of the covenants, conditions and agreements of this Lease, is to be returned to Tenant without interest when this Lease is terminated, according to these terms, and in no event is the said Security Deposit to be returned until Tenant has vacated the Leased Premises and delivered possession to the Landlord. In the event that the Landlord repossesses Leased Premises because of the Tenant’s default or because of the Tenant’s failure to carry out the covenants, conditions and agreements of this Lease, Landlord may apply the said Security Deposit toward damages as may be suffered or shall accrue thereafter by reason of the Tenant’s default or breach. In the event of bankruptcy or other debtor-creditor proceedings against Tenant as specified in Article XX, the Security Deposit shall be deemed to be applied first to the payment of Rents and other charges due Landlord for the earliest possible periods prior to the filing of such proceedings. The Landlord shall not be obliged to keep the said Security Deposit as a separate fund, but may mix the same with its own funds.",security-deposit
"Security Deposit. Lessee shall deposit with Lessor upon Lessee's execution hereof the Security Deposit set forth in Paragraph 1.7 as security for Lessee's faithful performance of Lessee's obligations under this Lease. If Lessee fails to pay Base Rent or other rent or charges due hereunder, or otherwise Defaults under this Lease (as defined in Paragraph 13.1), Lessor may use, apply or retain all or any portion of said Security Deposit for the payment of any amount due Lessor or to reimburse or compensate Lessor for any liability, cost, expense, loss or damage (including attorneys' fees) which Lessor may suffer or incur by reason thereof. If Lessor uses or applies all or any portion of said Security Deposit, Lessee shall within ten (10) days after written request therefore deposit monies with Lessor sufficient to restore said Security Deposit to the full amount required by this Lease. Any time the Base Rent increases during the term of this Lease, Lessee shall, upon written request from Lessor, deposit additional monies with Lessor as an addition to the Security Deposit so that the total amount of the Security Deposit shall at all times bear the same proportion to the then current Base Rent as the initial Security Deposit bears to the initial Base Rent set forth in Paragraph 1.5. Lessor shall not be required to keep all or any part of the Security Deposit separate from its general accounts. Lessor shall, at the expiration or earlier termination of the term hereof and after Lessee has vacated the Premises, return to Lessee (or, at Lessor's option, to the last assignee, if any, of Lessee's interest herein), that portion of the Security Deposit not used or applied by Lessor. Unless otherwise expressly agreed in writing by Lessor, no part of the Security Deposit shall be considered to be held in trust, to bear interest or other increment for its use, or to be prepayment for any monies to be paid by Lessee under this Lease.",security-deposit
"Security Deposit. Subject to Section 28.2 below, Tenant has deposited with Landlord the Security Deposit described in Article 1 hereof as security for the faithful performance and observance by Tenant of the terms, provisions, covenants and conditions of this Lease, and it is agreed that if an Event of Default by Tenant exists in respect of any of the terms, provisions, covenants and conditions of this Lease, including, but not limited to, the payment of Rent, Landlord may use, apply or retain the whole or any part of the security so deposited to the extent required for the payment of any Rent or any other sum as to which there exists an Event of Default by Tenant or for any sum which Landlord may expend or may be required to expend by reason of Tenant’s Event of Default in respect of any of the terms, provisions, covenants and conditions of this Lease, including, but not limited to, any damages or deficiency accrued before or after summary proceedings or other re- entry by Landlord. Upon the expiration or earlier termination of this Lease, and providing there exists no default or Event of Default hereunder, any remaining balance of the Security Deposit (including, without limitation, any and all interest accrued thereon) and the Letter of Credit (as defined below) shall be returned by Landlord to Tenant after the date fixed as the end of the Term and not later than thirty (30) days after delivery of entire possession of the Premises to Landlord as provided hereunder. In the event of a sale of the Land and Building or leasing of the Building, of which the Premises form a part, Landlord shall have the right to transfer the security to the vendee or lessee and Landlord shall thereupon be released by Tenant from all liability for the return of such security, and Tenant agrees to look solely to the new Landlord for the return of said security, and it is agreed that the provisions hereof shall apply to every transfer or assignment made of the security to a new Landlord. Tenant further covenants that it will not assign or encumber or attempt to assign or encumber the monies deposited herein as security and that neither Landlord nor its successors or assigns shall be bound by any such assignment, encumbrance, attempted assignment or attempted encumbrance. In the event Landlord applies or retains any portion or all of the security deposited pursuant to the terms of this Section 28.1, Tenant shall forthwith restore the amount so applied or retained so that at all times the amount de...",security-deposit
"Security Deposit. At the time of signing this Lease, Tenant shall deposit with Landlord the Security Deposit to be retained by Landlord as cash security for the faithful performance and observance by Tenant of the provisions of this Lease. Tenant shall not be entitled to any interest on the Security Deposit. Landlord shall have the right to commingle the Security Deposit with its other funds. Landlord may use the whole or any part of the Security Deposit for the payment of any amount as to which Tenant is in default or to compensate Landlord for any loss or damage it may suffer by reason of Tenant’s default under this Lease. If Landlord uses all or any portion of the Security Deposit as herein provided, within 10 days after demand, Tenant shall pay Landlord cash in an amount equal to that portion of the Security Deposit used by Landlord. If Tenant complies fully and faithfully with all of the provisions of this Lease, the Security Deposit shall be returned to Tenant after the Expiration Date and surrender of the Premises to Landlord.",security-deposit
"Security Deposit. Lessee shall deposit with Lessor upon execution hereof the security deposit set forth in paragraph 1.9 of the Basic Lease Provisions as security for Lessee's faithful performance of Lessee's obligations hereunder. If Lessee fails to pay rent or other charges due hereunder, or otherwise defaults with respect to any provision of this Lease, Lessor may use, apply or retain all or any portion of said deposit for the payment of any rent or other charge in default for the payment of any other sum to which Lessor may become obligated by reason of Lessee's default, or to compensate Lessor for any loss or damage which Lessor may suffer thereby. If Lessor so uses or applies all or any portion of said deposit, Lessee shall within ten (10) days after written demand therefor deposit cash with Lessor in an amount sufficient to restore said deposit to the full amount then required of Lessee. If the monthly Base Rent shall, from time to time, increase during the term of this Lease, Lessee shall, at the time of such increase, deposit with Lessor additional money as a security deposit so that the total amount of the security deposit held by Lessor shall at all times bear the same proportion to the then current Base Rent as the initial security deposit bears to the initial Base Rent set forth in paragraph 1.6 of the Basic Lease Provisions. Lessor shall not be required to keep said security deposit separate from its general accounts. If Lessee performs all of Lessee's obligations hereunder, said deposit, or so much thereof as has not heretofore been applied by Lessor, shall be returned, without payment of interest or other increment for its use, to Lessee (or, at Lessor's option, to the last assignee, if any, of Lessee's interest hereunder) at the expiration of the term hereof, and after Lessee has vacated the Premises. No trust relationship is created herein between Lessor and Lessee with respect to said Security Deposit.",security-deposit
"Security Deposit. Concurrently with Subtenant’s execution of this Sublease, Subtenant shall provide to Sublandlord a cash Security Deposit (“Security Deposit”) in the amount of Fifty-Nine Thousand One Hundred Sixty-Eight and 60/100 Dollars ($59,168.60). If Subtenant fails to pay Rent or any other sums as and when due hereunder, or otherwise defaults with respect to any provision of this Sublease beyond the applicable notice and cure period, Sublandlord may (but shall not be obligated to) use, apply or retain all or any portion of the Security Deposit for payment of any sum for which Subtenant is obligated or which will compensate Sublandlord for any costs, loss or damage which Sublandlord may suffer thereby. Any draw or partial draw of the Security Deposit shall not constitute a waiver by Sublandlord of its right to enforce its other remedies hereunder, at",security-deposit
"Security Deposit. Concurrently with Tenant’s execution of this Lease, Tenant shall deposit with Landlord the additional sum of Thirty Four Thousand One Hundred Thirty Five 60/100 Dollars ($34,135.60). Said sum shall be held by Landlord as a Security Deposit for the full and faithful performance by Tenant of all of the terms, covenants, and conditions of this Lease to be kept and performed by Tenant during the term hereof. If Tenant breaches or defaults with respect to any provision of this Lease, Landlord may (but shall not be required to) use, apply or retain all or any part of this Security Deposit for the payment of any rent, any breach or default, or for any amount which Landlord may incur or spend by reason of Tenant’s breach or default, or to reimburse or compensate Landlord for any other loss, damage, liability, breach or expense or cost which Landlord may incur or suffer by reason of Tenant’s breach or default, including, without limitation, reimbursement for any real estate commissions paid or costs incurred for preparation for Tenant’s occupancy. If any portion of said Security Deposit is so used, applied or retained, then Tenant shall, within ten (10) days after written demand therefor, deposit cash with Landlord in the amount sufficient to restore the Security Deposit to its original amount. Tenant’s failure to do so shall be a material breach of this Lease. Landlord shall not be required to keep this Security Deposit separate from its general funds, and Tenant shall not be entitled to interest on such Deposit. If Tenant fully and faithfully performs and observes every provision of this Lease to be performed and observed by Tenant, the Security Deposit or any then unused balance thereof shall be returned to Tenant (or at Landlord’s option, to the last assignee of Tenant’s interest hereunder) after the expiration of the Lease term and after Tenant has vacated and surrendered the Premises in accordance with the terms hereof. Tenant shall not have the right to apply this Security Deposit or any part thereof toward the payment of any rent or sums due hereunder. In the event of termination of Landlord’s interest in this Lease, Landlord shall transfer the unused balance of said Deposit to Landlord’s successor in interest whereupon Tenant hereby agrees to release Landlord from liability for the return of such Deposit.",security-deposit
"Security Deposit. Tenant has deposited with Landlord a security deposit (the “Security Deposit”) for the performance of all of Tenant’s obligations hereunder in the amount set forth in the Letter of Credit section in the Basic Lease Information, which Security Deposit shall be in the form of an unconditional and irrevocable stand-by letter of credit (the “Letter of Credit”): (i) in form and substance reasonably satisfactory to Landlord, (ii) naming Landlord as beneficiary, (iii) expressly allowing Landlord to draw upon it at any time from time to time by delivering to the issuer notice that Landlord is entitled to draw thereunder pursuant to the terms of this Lease, (iv) issued by an FDIC-insured financial institution reasonably satisfactory to Landlord (“LC Issuing Bank”), (v) redeemable by presentation of LC Issuing Bank’s sight draft in person, by nationally recognized overnight courier or by facsimile; and (vi) having an expiration date not earlier than ninety (90) days after the Expiration Date or, in the alternative, have a term of not less than one (1) year and be automatically renewable for an additional one (1) year periods (provided, however, that the final Letter of Credit shall not expire earlier than ninety (90) days after the Expiration Date) unless, on or before the date forty-five (45) days prior to the expiration of the term of such Letter of Credit, the LC Issuer gives notice to Landlord of its election not to renew such Letter of Credit for any additional period pursuant thereto. If Tenant does not provide Landlord with a substitute Letter of Credit complying with all of the requirements hereof at least 10 days before the stated expiration date of any then current Letter of Credit, Landlord shall have the right to draw the full amount of the current Letter of Credit and hold the funds drawn in cash without obligation for interest thereon as the Security Deposit. The Security Deposit shall be held by Landlord as security for the performance of Tenant’s obligations under this Lease. The Security Deposit is not an advance rental deposit or a measure of Landlord’s damages in case of Tenant’s default. Upon each occurrence of a Default (as defined in Paragraph 24) by Tenant under this Lease, Landlord may use all or any part of the Security Deposit to pay delinquent payments due under this Lease, future rent damages under California Civil Code Section 1951.2, and the cost of any damage, injury, expense or liability caused by such Default, without prejudice to an...",security-deposit
