clause_text,clause_type
"Security Interest. (a) As security for the payment or performance, as the case may be, in full of the Obligations, each Grantor hereby assigns and pledges to the Collateral Agent, its successors and assigns, for the ratable benefit of the Secured Parties, and hereby grants to the Collateral Agent, its successors and assigns, for the ratable benefit of the Secured Parties, a security interest (the “Security Interest”), in all right, title or interest in or to any and all of the following assets and properties now owned or at any time hereafter acquired by such Grantor or in which such Grantor now has or at any time in the future may acquire any right, title or interest (collectively, the “Article 9 Collateral”):",security-interest
"Security Interest. Each Fund hereby grants to the Custodian, to secure the payment and performance of the Fund’s obligations under this Agreement, whether contingent or otherwise, a security interest in and right of recoupment and setoff against all cash and all securities and other financial assets at any time held for the account of a Portfolio by or through the Custodian. The obligations include, without limitation, the Fund’s obligations to reimburse the Custodian if the Custodian or any of its affiliates, subsidiaries or agents advances cash or securities or other financial assets to the Fund for any purpose (including but not limited to settlements of securities or other financial assets, foreign exchange contracts and assumed settlement), or in the event that the Custodian or its nominee shall incur or be assessed any taxes, charges, expenses, assessments, claims or liabilities in connection with the performance of this Agreement, except such as may arise from its or its nominee’s own negligence, as well as the Fund’s obligation to compensate the Custodian pursuant to Section 15.1 or indemnify the Custodian pursuant to Section 15.2. Should the Fund fail to reimburse or otherwise pay the Custodian any obligation under this Agreement promptly, the Custodian shall have the rights and remedies of a secured party under this Agreement, the UCC and other applicable law, including the right to utilize available cash and to sell or otherwise dispose of the Portfolio’s assets to the extent necessary to obtain payment or reimbursement. The Custodian may at any time decline to follow Proper Instructions to deliver out cash, securities or other financial assets if the Custodian determines in its reasonable discretion that, after giving effect to the Proper Instructions, the cash, securities or other financial assets remaining will not have sufficient value fully to secure the Fund's payment or reimbursement obligations, whether contingent or otherwise.",security-interest
"Security Interest. Notwithstanding Section 7, Party A hereby agrees and consents to the assignment by way of security by Party B of its interests under this Agreement (without prejudice to, and after giving effect to, any contractual netting provision contained in this Agreement) to the Note Trustee (or any successor thereto) pursuant to and in accordance with the Current Issuer Deed of Charge and acknowledges notice of such assignment. Each of the parties hereby confirms and agrees that the Note Trustee shall not be liable for any of the obligations of Party B hereunder.",security-interest
"Security Interest. You grant the Credit Union a security interest under the Uniform Commercial Code and under any common law rights the Credit Union may have in any goods You purchase. If You give the Credit Union a specific pledge of shares by signing a separate pledge of shares, Your pledged shares will secure Your Account. You may not withdraw amounts that have been specifically pledged to secure Your Account until the Credit Union agrees to release all or part of the pledged amount. Unless otherwise prohibited by federal and/or state law, collateral securing other loans You have with the Credit Union may also secure this loan, except that a dwelling will never be considered as security for this Account, notwithstanding anything to the contrary in any other Agreement.",security-interest
"Security Interest. To secure the payment and performance of all of the Obligations when due, Borrower hereby grants to Silicon a security interest in all of Borrower's interest in the following, whether now owned or hereafter acquired, and wherever located: All Inventory, Equipment, Receivables, and General Intangibles, including, without limitation, all of Borrower's Deposit Accounts, and all money, and all property now or at any time in the future in Silicon's possession (including claims and credit balances), and all proceeds (including proceeds of any insurance policies, proceeds of proceeds and claims against third parties), all products and all books and records related to any of the foregoing (all of the foregoing, together with all other property in which Silicon may now or in the future be granted a lien or security interest, is referred to herein, collectively, as the ""Collateral"").",security-interest
"Security Interest. Each party, as the Pledgor, hereby pledges to the other party, as the Secured Party, as security for its Obligations, and grants to the Secured Party a first priority continuing security interest in, lien on and right of Set-off against all Posted Collateral Transferred to or received by the Secured Party hereunder. Upon the Transfer by the Secured Party to the Pledgor of Posted Collateral, the security interest and lien granted hereunder on that Posted Collateral will be released immediately and, to the extent possible, without any further action by either party.",security-interest
"Security Interest. (i) This Agreement creates a valid and continuing security interest (as defined in the applicable UCC) in the Collateral Portfolio in favor of the Collateral Agent, on behalf of the Secured Parties, which security interest is prior to all other Liens (except for Permitted Liens), and is enforceable as such against creditors of and purchasers from the Borrower;",security-interest
"Security Interest. The Indenture creates a valid and continuing security interest (as defined in the applicable UCC) in the Receivables in favor of the Indenture Trustee, which security interest is prior to all other Liens, and is enforceable as such as against creditors of and purchasers from the Issuer.",security-interest
"Security Interest. 3.1 As security for the prompt and complete payment when due (whether on the payment dates or otherwise) of all the Secured Obligations, Borrower grants to Agent a security interest in all of Borrower’s right, title, and interest in, to and under all of Borrower’s personal property and other assets including without limitation the following (except as set forth herein) whether now owned or hereafter acquired (collectively, the “Collateral”): (a) Receivables; (b) Equipment; (c) Fixtures; (d) General Intangibles (other than Intellectual Property); (e) Inventory; (f) Investment Property; (g) Deposit Accounts; (h) Cash; (i) Goods; and all other tangible and intangible personal property of Borrower whether now or hereafter owned or existing, leased, consigned by or to, or acquired by, Borrower and wherever located, and any of Borrower’s property in the possession or under the control of Agent; and, to the extent not otherwise included, all Proceeds of each of the foregoing and all accessions to, substitutions and replacements for, and rents, profits and products of each of the foregoing; provided, however, that the Collateral shall include all Accounts and General Intangibles that consist of rights to payment and proceeds from the sale, licensing or disposition of all or any part, or rights in, the Intellectual Property (the “Rights to Payment”). Notwithstanding the foregoing, if a judicial authority (including a U.S. Bankruptcy Court) holds that a security interest in the underlying Intellectual Property is necessary to have a security interest in the Rights to Payment, then the Collateral shall automatically, and effective as of the date of this Agreement, include the Intellectual Property to the extent necessary to permit perfection of Agent’s security interest in the Rights to Payment.",security-interest
"Security Interest. As security for the payment or performance, as the case may be, in full of the Obligations, each Grantor hereby bargains, sells, conveys, assigns, sets over, mortgages, pledges, hypothecates and transfers to the Collateral Agent, its successors and assigns, for the ratable benefit of the Secured Parties, and hereby grants to the Collateral Agent, its successors and assigns, for the ratable benefit of the Secured Parties, a security interest in, all of such Grantor's right, title and interest in, to and under the Collateral (the ""Security Interest""). Without limiting the foregoing, the Collateral Agent is hereby authorized to file one or more financing statements (including fixture filings), continuation statements, filings with the United States Patent and Trademark Office or United States Copyright Office (or any successor office or any similar office in any other country) or other documents for the purpose of perfecting, confirming, continuing, enforcing or protecting the Security Interest granted by each Grantor, without the signature of any Grantor, and naming any Grantor or the Grantors as debtors and the Collateral Agent as secured party.",security-interest
"Security Interest. The Servicer will take all steps necessary to ensure that the Borrower has granted a security interest (as defined in the UCC) to the Collateral Agent, for the benefit of the Secured Parties, in the Collateral Portfolio, which is enforceable in accordance with Applicable Law upon execution and delivery of this Agreement. Upon the filing of UCC-1 financing statements naming the Collateral Agent as secured party and the Borrower as debtor, the Collateral Agent, for the benefit of the Secured Parties, shall have a valid and first priority perfected security interest in the Loan Assets and that portion of the Collateral Portfolio in which a security interest may be perfected by filing (except for any Permitted Liens). All filings (including, without limitation, such UCC filings) as are necessary for the perfection of the Secured Parties’ security interest in the Loan Assets and that portion of the Collateral Portfolio in which a security interest may be perfected by filing have been (or prior to the applicable Advance will be) made.",security-interest
"Security Interest. This Mortgage constitutes a “security agreement” on personal property within the meaning of the UCC and other applicable law and with respect to the Personalty, Fixtures, Leases, Rents, Deposit Accounts, Property Agreements, Tax Refunds, Proceeds, Insurance and Condemnation Awards. To this end, Mortgagor grants to Mortgagee a first and prior security interest in the Personalty, Fixtures, Leases, Rents, Deposit Accounts, Property Agreements, Tax Refunds, Proceeds, Insurance, Condemnation Awards and all other Mortgaged Property which is personal property to secure the payment of the Indebtedness and performance of the Obligations subject to the Permitted Liens, and agrees that Mortgagee shall have all the rights and remedies of a secured party under the UCC with respect to such property. Any notice of sale, disposition or other intended action by Mortgagee with respect to the Personalty, Fixtures, Leases, Rents, Deposit Accounts, Property Agreements, Tax Refunds, Proceeds, Insurance and Condemnation Awards sent to Mortgagor at least ten (10) days prior to any action under the UCC shall constitute reasonable notice to Mortgagor.",security-interest
"Security Interest. Evidence that all other actions necessary or, in the opinion of Buyer, desirable to perfect and protect Buyer’s interest in the Purchased Mortgage Loans and other Repurchase Assets have been taken, including, without limitation, UCC searches and duly authorized and filed Uniform Commercial Code financing statements on Form UCC-1.",security-interest
"Security Interest. The words ""Security Interest"" mean and include without limitation any type of collateral security, whether in the form of a lien, charge, mortgage, deed of trust, assignment, pledge, chattel mortgage, chattel trust, factor's lien, equipment trust, conditional sale, trust receipt, lien or title retention contract, lease or consignment intended as a security device, or any other security or lien interest whatsoever, whether created by law, contract, or otherwise.",security-interest
