clause_text,clause_type
"Security. Notwithstanding anything herein to the contrary, except for Section 27, to the extent requested by Indemnitee and approved by the Board, the Company may at any time and from time to time provide security to Indemnitee for the Company’s obligations hereunder through an irrevocable bank line of credit, funded trust or other collateral. Any such security, once provided to Indemnitee, may not be revoked or released without the prior written consent of Indemnitee.",security
"Security. If the Custodian advances cash or Securities to the Fund for any purpose, either at the Trust's request or as otherwise contemplated in this Agreement, or in the event that the Custodian or its nominee incurs, in connection with its performance under this Agreement, any claim, demand, loss, expense or liability (including reasonable attorneys' fees) (except such as may arise from its or its nominee's bad faith, negligence or willful misconduct), then, in any such event, any property at any time held for the account of the Fund shall be security therefor, and should the Fund fail promptly to repay or indemnify the Custodian, the Custodian shall be entitled to utilize available cash of such Fund and to dispose of other assets of such Fund to the extent necessary to obtain reimbursement or indemnification.",security
"Security. 13.1 Transfer Agent represents and warrants that, to the best of its knowledge, the various procedures and systems which Transfer Agent has implemented with regard to the safeguarding from loss or damage attributable to fire, theft or any other cause (including provision for twenty-four hours a day restricted access) of a Fund’s blank checks, records and other data and Transfer Agent’s equipment, facilities and other property used in the performance of its obligations hereunder are adequate, and that it will make such changes therein from time to time as in its judgment are required for the secure performance of its obligations hereunder. Transfer Agent shall review such systems and procedures on a periodic basis, and each Fund shall have reasonable access to review these systems and procedures.",security
"Security. Tenant acknowledges and agrees that security devices and services, if any, while intended to deter crime may not in given instances prevent theft or other criminal acts and that Landlord is not providing any security services with respect to the Premises. Tenant agrees that Landlord shall not be liable to Tenant for, and Tenant waives any claim against Landlord with respect to, any loss by theft or any other damage suffered or incurred by Tenant in connection with any unauthorized entry into the Premises or any other breach of security with respect to the Premises. Tenant shall be solely responsible for the personal safety of Tenant’s officers, employees, agents, contractors, guests and invitees while any such person is in, on or about the Premises and/or the Project. Tenant shall at Tenant’s cost obtain insurance coverage to the extent Tenant desires protection against such criminal acts.",security
"Security. 4.1 Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, Processor shall in relation to the Company Personal Data implement appropriate technical and organizational measures to ensure a level of security appropriate to that risk, including, as appropriate, the measures referred to in Article 32(1) of the GDPR.",security
"Security. Each of the Guarantors authorizes the Collateral Agent and each of the other Secured Parties, to (a) take and hold security for the payment of this Guarantee and the Obligations and exchange, enforce, waive and release any such security, (b) apply such security and direct the order or manner of sale thereof as they in their sole discretion may determine and (c) release or substitute any one or more endorsees, other guarantors of other obligors.",security
"Security. The term security as used herein will have the same meaning assigned to such term in the Securities Act of 1933, as amended, including, without limitation, any note, stock, treasury stock, bond, debenture, evidence of indebtedness, certificate of interest or participation in any profit sharing agreement, collateral-trust certificate, preorganization certificate or subscription, transferable share, investment contract, voting-trust certificate, certificate of deposit for a security, fractional undivided interest in oil, gas, or other mineral rights, any put, call, straddle, option, or privilege on any security, certificate of deposit, or group or index of securities (including any interest therein or based on the value thereof), or any put, call, straddle, option, or privilege entered into on a national securities exchange relating to a foreign currency, or, in general, any interest or instrument commonly known as a ""security"", or any certificate of interest or participation in, temporary or interim certificate for, receipt for, guarantee of, or warrant or right to subscribe to, or option contract to purchase or sell any of the foregoing, and futures, forward contracts and options thereon.",security
"Security. The Securities will be secured by the Notes Collateral on the terms and subject to the conditions set forth in the Indenture and the Security Documents. The Collateral Agent holds the Notes Collateral in trust for the benefit of the Trustee and the Holders, in each case pursuant to the Security Documents and the Intercreditor Agreements. Each Holder, by accepting this Security, consents and agrees to the terms of the Security Documents (including the provisions providing for the foreclosure and release of Notes Collateral) and the Intercreditor Agreements as the same may be in effect or may be amended from time to time in accordance with their terms and the Indenture and authorizes and directs each of the Trustee and the Collateral Agent to enter into the Security Documents and the Intercreditor Agreements, and to perform its obligations and exercise its rights thereunder in accordance therewith.",security
"Security. Tenant has this day deposited with landlord the sum of One Thousand Four Hundred Fifty Dollars and 00/l00 ($ 1,450.00 ) as security for the full and faithful performance by the Tenant of all the terms, covenants and conditions of this lease upon the Tenant's part to be performed, which said sum shall be returned to the Tenant, without any interest thereon, after the time fixed as the expiration of the term herein, provided the Tenant has fully and faithfully carried out all of said terms, covenants and conditions on Tenant's part to be performed. In the event of any default hereunder by Tenant, Landlord may utilize such deposit to offset either in whole or in part any obligations of the Tenant hereunder. In the event of a bona fide sale, subject to this lease, the Landlord shall have the right to transfer the security to the vendee for the benefit of the Tenant and the landlord shall be considered released by the Tenant from all liability for the return of such security; and the Tenant agrees to look to the new Landlord solely for the return of the said security, and it is agreed that this shall apply to every transfer or assignment made of the security to a new Landlord. The security deposited under this lease shall not be mortgaged, assigned or encumbered by the Tenant without the written consent of the Landlord.",security
Security. 25.1 The Contactor must comply with the Authority’s policies concerning Baseline Personnel Security Standard clearance and such modifications to those policies or replacement policies as are notified to the Contractor from time to time.,security
"Security. CONTRACTOR shall ensure the continuous security of all computerized 26 data systems containing DHCS PI and PII. CONTRACTOR shall protect paper documents containing 27 DHCS Pl and PII. These steps shall include, at a minimum:",security
"Security. Each party shall take reasonable security precautions, at least as great as the precautions it takes to protect its own confidential information, to keep confidential the Confidential Information.",security
"Security. Any disclosure or removal of any District matter or property by Contractor shall be cause for immediate termination of this Contract. Contractor shall bear sole responsibility for any liability including, but not limited to attorney fees, resulting from any action or suit brought against District because of Contractor’s willful or negligent release of information, documents, or property contained in or on District property. District hereby deems all information, documents, and property contained in or on District property privileged and confidential.",security
Security. SECTION D,security
"Security. 7.4.1 The Authority shall be responsible for maintaining the security of the Premises in accordance with its standard security requirements. The Supplier shall comply with the reasonable Security Requirements of the Authority while on the Premises, and shall ensure that all Staff comply with such requirements.",security
Security. The Obligations of the Borrower shall be secured as provided in the Security Documents.,security
"Security. A) Employees covered by the certification who are members of the Union, shall maintain their membership in good standing as a condition of continuing employment.",security
Security. Each Receivable is secured by a new or used automobile or light-duty truck.,security
"Security. The Company’s obligations hereunder and, to the extent related hereto, the MLA, shall be secured as provided in the Security Section of the MLA, including without limitation as a future advance under any existing mortgage or deed of trust.",security
"Security. As collateral security for the punctual payment and performance, when due, by the Company of all the Obligations, the Pledgor hereby pledges with, hypothecates, transfers and assigns to the Pledgees all of the Shares and all proceeds, shares and other securities received, receivable or otherwise distributed in respect of or in exchange for the Shares, including, without limitation, any shares and other securities into which such Shares may be convertible or exchangeable (collectively, the ""Additional Collateral"" and together with the Shares, the ""Collateral""). Simultaneously herewith, the Pledgor shall deliver to the Pledgees the certificate(s) representing the Shares, stamped with a bank medallion guarantee, along with a stock transfer power duly executed in blank by the Pledgor, to be held by the Pledgees as security. Any Collateral received by the Pledgor on or after the date hereof shall be immediately delivered to the Pledgees together with any executed stock powers or other transfer documents requested by the Pledgees, which request may be made at any time prior to the date when the Obligations shall have been paid and otherwise satisfied in full.",security
"Security. Tenant has deposited with Landlord the sum of $  as security for the faithful performance and observance by tenant of the terms, provisions and conditions of this Lease. In the event that Tenant is in default of any of the terms, conditions and provisions of this Lease, Landlord may, but is not obligated to, apply such amount of the Security to the payment of Rent and Additional Rent and the cost and expense of re-letting the demised premises whether or not incurred after summary proceedings are instituted. In the case of the sale or transfer the Security Deposit to the successor owner/lessee. Tenant further covenants that Tenant shall not assign or encumber the Security Deposit and tat Landlord, its successors and assigns shall not be bound by any such act taken by Tenant.",security
"Security. (a) In order to secure the due payment and performance by the Borrower of all of its obligations under this Loan Agreement, simultaneously with the execution and delivery of this Loan Agreement by the Borrower, the Borrower shall:",security
Security. The term “,security
"Security. Tenant acknowledges that Landlord has not undertaken any duty whatsoever to provide security for the Leased Premises, the Building, the Outside Areas or the Property and, accordingly, Landlord is not responsible for the security of same or the protection of Tenant's property or Tenant's employees, invitees or contractors. To the extent Tenant determines that such security or protection services are advisable or necessary, Tenant shall arrange for and pay the costs of providing same.",security
