clause_text,clause_type
"Set-Off. A Finance Party may set off any matured obligation due from an Obligor under the Finance Documents (to the extent beneficially owned by that Finance Party) against any matured obligation owed by that Finance Party to that Obligor, regardless of the place of payment, booking branch or currency of either obligation. If the obligations are in different currencies, the Finance Party may convert either obligation at a market rate of exchange in its usual course of business for the purpose of the set-off.",set-off
"Set-Off. In addition to any rights and remedies of the Lenders provided by law, upon the occurrence and during the continuance of any Event of Default, each Lender is authorized at any time and from time to time, without prior notice to the Borrower, any such notice being waived by the Borrower to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held by, and other indebtedness at any time owing by, such Lender to or for the credit or the account of the Borrower against any and all Obligations owing to such Lender hereunder or under any other Loan Document, now or hereafter existing, irrespective of whether or not the Administrative Agent or such Lender shall have made demand under this Agreement or any other Loan Document and although such Obligations may be contingent or unmatured or denominated in a currency different from that of the applicable deposit or indebtedness. Each Lender agrees promptly to notify the Borrower and the Administrative Agent after any such set-off and application made by such Lender; provided, however, that the failure to give such notice shall not affect the validity of such set-off and application.",set-off
"Set-Off. In addition to any rights now or hereafter granted under Applicable Law and not by way of limitation of any such rights, upon and after the occurrence of any Event of Default and during the continuance thereof, the Lenders and any assignee or participant of a Lender in accordance with Section 14.10 are hereby authorized by the Credit Parties at any time or from time to time, without notice to the Credit Parties or to any other Person, any such notice being hereby expressly waived, to set off and to appropriate and to apply any and all deposits (general or special, time or demand, including, but not limited to, indebtedness evidenced by certificates of deposit, whether matured or unmatured) and any other indebtedness at any time held or owing by the Lenders, or any such assignee or participant to or for the credit or the account of the Borrower against and on account of the Obligations irrespective of whether or not (a) the Lenders shall have made any demand under this Agreement or any of the other Loan Documents or (b) the Administrative Agent shall have declared any or all of the Obligations to be due and payable as permitted by Section 12.2 and although such Obligations shall be contingent or unmatured.",set-off
"Set-Off. The State may set off any sums which the Party owes the State against any sums due the Party under this Agreement; provided, however, that any set off of amounts due the State of Vermont as taxes shall be in accordance with the procedures more specifically provided hereinafter.",set-off
"Set-Off. In addition to any rights now or hereafter granted under applicable law and not by way of limitation of any such rights, upon the occurrence of any Event of Default each Lender is hereby authorized by each Credit Party at any time or from time to time subject to the consent of Administrative Agent (such consent not to be unreasonably withheld or delayed), without notice to any Credit Party or to any other Person (other than Administrative Agent), any such notice being hereby expressly waived, to set off and to appropriate and to apply any and all deposits (general or special, including Indebtedness evidenced by certificates of deposit, whether matured or unmatured, but not including trust accounts) and any other Indebtedness at any time held or owing by such Lender to or for the credit or the account of any Credit Party against and on account of the obligations and liabilities of any Credit Party to such Lender hereunder, the Letters of Credit and participations therein and under the other Credit Documents, including all claims of any nature or description arising out of or connected hereto, the Letters of Credit and participations therein or with any other Credit Document, irrespective of whether or not (a) such Lender shall have made any demand hereunder or (b) the principal of or the interest on the Loans or any amounts in respect of the Letters of Credit or any other amounts due hereunder shall have become due and payable pursuant to Section 2 and although such obligations and liabilities, or any of them, may be contingent or unmatured.",set-off
"Set-Off. In addition to any rights and remedies of the Banks provided by law, if an Event of Default exists or the Loans have been accelerated, each Bank is authorized at any time and from time to time, without prior notice to the Company, any such notice being waived by the Company to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held by, and other indebtedness at any time owing by, such Bank to or for the credit or the account of the Company against any and all Obligations owing to such Bank, now or hereafter existing, irrespective of whether or not the Agent or such Bank shall have made demand under this Agreement or any Loan Document and although such Obligations may be contingent or unmatured. Each Bank agrees promptly to notify the Company and the Agent after any such set-off and application made by such Bank; provided, however, that the failure to give such notice shall not affect the validity of such set-off and application.",set-off
"Set-Off. In addition to any rights and remedies of Lender provided by this Agreement and by law, Lender shall have the right in its sole discretion, without prior notice to Borrower, any such notice being expressly waived by Borrower to the extent permitted by applicable law, upon any amount becoming due and payable by Borrower hereunder (whether at the stated maturity, by acceleration or otherwise), to set-off and appropriate and apply against such amount any and all deposits (general or special, time or demand, provisional or final), in any currency, and any other credits, indebtedness or claims, in any currency, in each case whether direct or indirect, absolute or contingent, matured or unmatured, at any time held or owing by Lender or any Affiliate thereof to or for the credit or the account of Borrower; provided however, Lender may only exercise such right during the continuance of an Event of Default. Lender agrees promptly to notify Borrower after any such set-off and application made by Lender; provided that the failure to give such notice shall not affect the validity of such set-off and application.",set-off
"Set-Off. Any Early Termination Amount payable to one party (the “Payee”) by the other party (the “Payer”), in circumstances where there is a Defaulting Party or where there is one Affected Party in the case where either a Credit Event Upon Merger has occurred or any other Termination Event in respect of which all outstanding Transactions are Affected Transactions has occurred, will, at the option of the Non-defaulting Party or the Non-affected Party, as the case may be (“X”) (and without prior notice to the Defaulting Party or the Affected Party, as the case may be), be reduced by its set-off against any other amounts (“Other Amounts”) payable by the Payee to the Payer (whether or not arising under this Agreement, matured or contingent and irrespective of the currency, place of payment or place of booking of the obligation). To the extent that any Other Amounts are so set off, those Other Amounts will be discharged promptly and in all respects. X will give notice to the other party of any set-off effected under this Section 6(f). For this purpose, either the Early Termination Amount or the Other Amounts (or the relevant portion of such amounts) may be converted by X into the currency in which the other is denominated at the rate of exchange at which such party would be able, in good faith and using commercially reasonable procedures, to purchase the relevant amount of such currency. If an obligation is unascertained, X may in good faith estimate that obligation and set off in respect of the estimate, subject to the relevant party accounting to the other when the obligation is ascertained. Nothing in this Section 6(f) will be effective to create a charge or other security interest. This Section 6(f) will be without prejudice and in addition to any right of set-off, offset, combination of accounts, lien, right of retention or withholding or similar right or requirement to which any party is at any time otherwise entitled or subject (whether by operation of law, contract or otherwise).",set-off
"Set-Off. If an Event of Default shall have occurred and be continuing, each Lender, each L/C Issuer and each of their respective Affiliates is hereby authorized at any time and from time to time, after obtaining the prior written consent of the Administrative Agent, to the fullest extent permitted by applicable law, to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held and other obligations (in whatever currency) at any time owing by such Lender, such L/C Issuer or any such Affiliate to or for the credit or the account of any Loan Party against any and all of the obligations of such Loan Party now or hereafter existing under this Agreement or any other Loan Document to such Lender or such L/C Issuer, irrespective of whether or not such Lender or such L/C Issuer shall have made any demand under this Agreement or any other Loan Document and although such obligations of such Loan Party are owed to a branch or office of such Lender or such L/C Issuer different from the branch or office holding such deposit or obligated on such indebtedness; provided, that in the event that any Defaulting Lender shall exercise any such right of setoff, (x) all amounts so set off shall be paid over immediately to the Administrative Agent for further application in accordance with the provisions of Section 2.15 and, pending such payment, shall be segregated by such Defaulting Lender from its other funds and deemed held in trust for the benefit of the Administrative Agent and the Lenders, and (y) the Defaulting Lender shall provide promptly to the Administrative Agent a statement describing in reasonable detail the Obligations owing to such Defaulting Lender as to which it exercised such right of setoff. The rights of each Lender, each L/C Issuer and their respective Affiliates under this Section are in addition to other rights and remedies (including other rights of setoff) that such Lender, such L/C Issuer or their respective Affiliates may have. Each Lender and each L/C Issuer agrees to notify the Borrower and the Administrative Agent promptly after any such setoff and application, provided that the failure to give such notice shall not affect the validity of such setoff and application.",set-off
"Set-Off. Notwithstanding any provision of this Agreement or any other existing or future agreement, each party irrevocably waives any and all rights it may have to set off, net, recoup or otherwise withhold or suspend or condition payment or performance of any obligation between it and the other party hereunder against any obligation between it and the other party under any other agreements. The provisions for Set-off set forth in Section 6(e) of the Agreement shall not apply for purposes of this Transaction.",set-off
"Set-Off. Each Guarantor hereby irrevocably authorizes the Purchasers at any time and from time to time while an Event of Default under any of the Transaction Documents shall have occurred and be continuing, without notice to such Guarantor or any other Guarantor, any such notice being expressly waived by each Guarantor, to set-off and appropriate and apply any and all deposits, credits, indebtedness or claims, in any currency, in each case whether direct or indirect, absolute or contingent, matured or unmatured, at any time held or owing by the Purchasers to or for the credit or the account of such Guarantor, or any part thereof in such amounts as the Purchasers may elect, against and on account of the obligations and liabilities of such Guarantor to the Purchasers hereunder and claims of every nature and description of the Purchasers against such Guarantor, in any currency, whether arising hereunder, under the Purchase Agreement, any other Transaction Document or otherwise, as the Purchasers may elect, whether or not the Purchasers have made any demand for payment and although such obligations, liabilities and claims may be contingent or unmatured. The Purchasers shall notify such Guarantor promptly of any such set-off and the application made by the Purchasers of the proceeds thereof, provided that the failure to give such notice shall not affect the validity of such set-off and application. The rights of the Purchasers under this Section are in addition to other rights and remedies (including, without limitation, other rights of set-off) which the Purchasers may have.",set-off
"Set-Off. In addition to any rights now or hereafter granted under any of the other Loan Documents or Applicable Law and not by way of limitation of any such rights, each Guarantor hereby authorizes the Administrative Agent, each Lender and any of their respective Affiliates, at any time while an Event of Default exists, without any prior notice to such Guarantor or to any other Person, any such notice being hereby expressly waived, but in the case of a Lender or an Affiliate of a Lender subject to receipt of the prior written consent of the Administrative Agent exercised in its reasonable discretion, to set off and to appropriate and to apply any and all deposits (general or special, including, but not limited to, indebtedness evidenced by certificates of deposit, whether matured or unmatured) and any other indebtedness at any time held or owing by the Administrative Agent, such Lender, or any Affiliate of the Administrative Agent or such Lender, to or for the credit or the account of such Guarantor against and on account of any of the Guarantied Obligations, although such obligations shall be contingent or unmatured.",set-off
"Set-Off. Each Grantor hereby irrevocably authorizes each Agent and each Lender at any time and from time to time while an Event of Default shall have occurred and be continuing, without notice to such Grantor or any other Grantor, any such notice being expressly waived by each Grantor to the extent permitted by applicable law, to set-off and appropriate and apply any and all deposits (general or special, time or demand, provisional or final), in any currency, and any other credits, indebtedness or claims, in any currency, in each case whether direct or indirect, absolute or contingent, matured or unmatured, at any time held or owing by such Agent or such Lender to or for the credit or the account of such Grantor, or any part thereof in such amounts as such Agent or such Lender may elect, against and on account of the obligations and liabilities of such Grantor to such Agent or such Lender hereunder and claims of every nature and description of such Agent or such Lender against such Grantor, in any currency, arising hereunder, under the Credit Agreement or any other Loan Document to which it is a party, as such Agent or such Lender may elect, whether or not any Agent or any Lender has made any demand for payment and although such obligations, liabilities and claims may be contingent or unmatured. Each Agent and each Lender shall notify such Grantor promptly of any such set-off and the application made by such Agent or such Lender of the proceeds thereof, provided that the failure to give such notice shall not affect the validity of such set-off and application. The rights of each Agent and each Lender under this Section are in addition to other rights and remedies (including, without limitation, other rights of set-off) which such Agent or such Lender may have.",set-off
"Set-Off. The Lender may set off any matured obligation due from the Borrower under the Finance Documents (to the extent beneficially owned by the Lender) against any matured obligation owed by the Lender to the Borrower, regardless of the place of payment, booking branch or currency of either obligation. If the obligations are in different currencies, the Lender may convert either obligation at a market rate of exchange in its usual course of business for the purpose of the set-off.",set-off
"Set-Off. In addition to any rights and remedies of Buyer provided by this Agreement and by law, Buyer shall have the right, without prior notice to Seller, any such notice being expressly waived by Seller to the extent permitted by applicable law, upon any amount becoming due and payable by Seller hereunder (whether at the stated maturity, by acceleration or otherwise) to set-off and appropriate and apply against such amount any and all Property and deposits (general or special, time or demand, provisional or final), in any currency, and any other credits, indebtedness or claims, in any currency, in each case whether direct or indirect, absolute or contingent, matured or unmatured, at any time held or owing by Buyer or any Affiliate thereof to or for the credit or the account of Seller. Buyer may set-off cash, the proceeds of the liquidation of any Purchased Items and all other sums or obligations owed by Buyer or its Affiliates to Seller against all of Seller’s obligations to Buyer or its Affiliates, whether under this Agreement or under any other agreement between the parties or between Seller and any Affiliate of Buyer, or otherwise, whether or not such obligations are then due, without prejudice to Buyer’s or its Affiliate’s right to recover any deficiency. Buyer agrees promptly to notify Seller after any such set-off and application made by Buyer; provided that the failure to give such notice shall not affect the validity of such set-off and application.",set-off
"Set-Off. Each Grantor hereby irrevocably authorizes the Administrative Agent and each other Secured Party and any Affiliate thereof at any time and from time to time after the occurrence and during the continuance of an Event of Default, without notice to such Grantor or any other Grantor, any such notice being expressly waived by each Grantor, to setoff and appropriate and apply any and all deposits (general or special, time or demand, provisional or final), in any currency, and any other credits, indebtedness or claims, in any currency, in each case whether direct or indirect, absolute or contingent, matured or unmatured, at any time held or owing by the Administrative Agent or such Secured Party or such Affiliate to or for the credit or the account of such Grantor, or any part thereof in such amounts as the Administrative Agent or such Secured Party may elect, against and on account of the Secured Obligations and liabilities of such Grantor to the Administrative Agent or such Secured Party hereunder and under the other Loan Documents and claims of every nature and description of the Administrative Agent or such Secured Party against such Grantor, in any currency, whether arising hereunder, under the Credit Agreement, any other Loan Document or otherwise, as the Administrative Agent or such Secured Party may elect, whether or not the Administrative Agent or any other Secured Party has made any demand for payment and although such obligations, liabilities and claims may be contingent or unmatured. The rights of the Administrative Agent and each other Secured Party under this Section 8.6 are in addition to other rights and remedies (including, without limitation, other rights of setoff) which the Administrative Agent or such other Secured Party may have.",set-off
"Set-Off. In addition to any rights and remedies of the Lenders provided by law, upon the occurrence and during the continuance of any Event of Default, each Lender and any Affiliate of any Lender is authorized at any time and from time to time, without prior notice to the Company or any other Loan Party, any such notice being waived by the Company (on its own behalf and on behalf of each Loan Party) to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final, in whatever currency) at any time held by, and other indebtedness (in whatever currency) at any time owing by, such Lender to or for the credit or the account of the respective Loan Parties against any and all Obligations owing to such Lender hereunder or under any other Loan Document, now or hereafter existing, irrespective of whether or not the Administrative Agent or such Lender shall have made demand under this Agreement or any other Loan Document and although such Obligations may be contingent or unmatured or denominated in a currency different from that of the applicable deposit or indebtedness; provided, that, in the event that any Defaulting Lender shall exercise any such right of setoff, (x) all amounts so set off shall be paid over immediately to the Administrative Agent for further application in accordance with the provisions of Section 2.14 and, pending such payment, shall be segregated by such Defaulting Lender from its other funds and deemed held in trust for the benefit of the Administrative Agent and the Lenders and (y) the Defaulting Lender shall provide promptly to the Administrative Agent a statement describing in reasonable detail the Obligations owing to such Defaulting Lender as to which it exercised such right of setoff. Each Lender agrees promptly to notify the Company and the Administrative Agent after any such set-off and application made by such Lender; provided, however, that the failure to give such notice shall not affect the validity of such set-off and application.",set-off
"Set-Off. In addition to any rights now or hereafter granted under the Loan Documents or applicable Legal Requirements and not by way of limitation of any such rights, upon the occurrence of any Event of Default, with the prior written consent of the Administrative Agent, each Lender, the L/C Issuer, each subsequent holder of any Obligation, and each of their respective affiliates, is hereby authorized by the Borrower and each Guarantor at any time or from time to time, without notice to the Borrower or such Guarantor or to any other Person, any such notice being hereby expressly waived, to set-off and to appropriate and to apply any and all deposits (general or special, including, but not limited to, indebtedness evidenced by certificates of deposit, whether matured or unmatured, and in whatever currency denominated, but not including trust accounts) and any other indebtedness at any time held or owing by that Lender, L/C Issuer, subsequent holder, or affiliate, to or for the credit or the account of the Borrower or such Guarantor, whether or not matured, against and on account of the Obligations then due to that Lender, L/C Issuer, or subsequent holder under the Loan Documents, including, but not limited to, all claims of any nature or description arising out of or connected with the Loan Documents, irrespective of whether or not (a) that Lender, L/C Issuer, or subsequent holder shall have made any demand hereunder or (b) the principal of or the interest on the Loans and other amounts due hereunder shall have become due and payable pursuant to Section 9 and although said obligations and liabilities, or any of them, may be contingent or unmatured; provided that in the event that any Defaulting Lender shall exercise any such right of setoff, (x) all amounts so set off shall be paid over immediately to the Administrative Agent for further application in accordance with the provisions of Section 1.14 and, pending such payment, shall be segregated by such Defaulting Lender from its other funds and deemed held in trust for the benefit of the Administrative Agent, the L/C Issuer and the Lenders and (y) the Defaulting Lender shall provide promptly to the Administrative Agent a statement describing in reasonable detail the Obligations owing to such Defaulting Lender as to which it exercised such right of setoff.",set-off
