clause_text,clause_type
"Severability of Provisions. If any one or more of the covenants, agreements, provisions or terms of this Agreement shall be for any reason whatsoever held invalid, then such covenants, agreements, provisions or terms shall be deemed severable from the remaining covenants, agreements, provisions or terms of this Agreement and shall in no way affect the validity or enforceability of the other provisions of this Agreement or of the Certificates or the rights of the Holders thereof.",severability-of-provisions
"Severability of Provisions. Any provision of this Agreement which is prohibited or unenforceable in any jurisdiction shall, as to such jurisdiction, be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof or affecting the validity or enforceability of such provision in any other jurisdiction.",severability-of-provisions
"Severability of Provisions. Any part, provision, representation, warranty or covenant of this Agreement that is prohibited or is held to be void or unenforceable shall be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof. Any part, provision, representation, warranty or covenant of this Agreement that is prohibited or is held to be void or unenforceable in any particular jurisdiction shall, as to such jurisdiction, be ineffective to the extent of such prohibition or unenforceability without invalidating the remaining provisions hereof, and any such prohibition or unenforceability in any particular jurisdiction shall not invalidate or render unenforceable such provision in any other jurisdiction. To the extent permitted by applicable law, the parties hereto waive any provision of law which prohibits or renders void or unenforceable any provision hereof.",severability-of-provisions
"Severability of Provisions. If any one or more of the covenants, agreements, provisions or terms of this Agreement shall be held invalid for any reason whatsoever, then such covenants, agreements, provisions or terms shall be deemed severable from the remaining covenants, agreements, provisions or terms of this Agreement and shall in no way affect the validity or enforceability of the other covenants, agreements, provisions or terms of this Agreement.",severability-of-provisions
Severability of Provisions. Each provision of this Agreement shall be severable from every other provision of this Agreement for the purpose of determining the legal enforceability of any specific provision.,severability-of-provisions
"Severability of Provisions. Any provision in any Loan Document that is held to be inoperative, unenforceable, or invalid in any jurisdiction shall, as to that jurisdiction, be inoperative, unenforceable, or invalid without affecting the remaining provisions in that jurisdiction or the operation, enforceability, or validity of that provision in any other jurisdiction, and to this end the provisions of all Loan Documents are declared to be severable.",severability-of-provisions
Severability of Provisions. Each provision of this Agreement is severable from every other provision in determining the enforceability of any provision.,severability-of-provisions
"Severability of Provisions. Each provision of this Agreement shall be considered severable and if for any reason any provision or provisions herein are determined to be invalid, unenforceable or illegal under any existing or future law, such invalidity, unenforceability or illegality shall not impair the operation of or affect those portions of this Agreement which are valid, enforceable and legal.",severability-of-provisions
"Severability of Provisions. If any one or more of the covenants, agreements, provisions or terms of this Agreement shall be for any reason whatsoever held invalid, then such covenants, agreements, provisions or terms shall be deemed severable from the remaining covenants, agreements, provisions or terms of this Agreement and shall in no way affect the validity or enforceability of the other provisions of this Agreement. Furthermore, the parties shall in good faith endeavor to replace any provision held to be invalid or unenforceable with a valid and enforceable provision which most closely resembles, and which has the same economic effect as, the provision held to be invalid or unenforceable.",severability-of-provisions
"Severability of Provisions. If any provision of this Agreement shall be prohibited by or invalid under applicable law, such provision shall be ineffective only to the extent of such prohibition or invalidity without invalidating the remainder of such provision or any remaining provisions of this Agreement.",severability-of-provisions
