clause_text,clause_type
"Sick Leave. The employee is eligible for long term disability benefits if provided for in the Collective Agreement. An employee will not receive pay for the first two (2) weeks of any period of absence due to a legitimate illness. The employee may utilize the paid holiday bank as income replacement for absences due to illness, as described in Article (c) above. An employee who is eligible may apply for Employment Insurance for weeks three (3) through seventeen (17) for any absence due to a legitimate illness. The Home will provide the employee with Disability Income Protection as per Article 14.01 (c) for weeks eighteen (18) through thirty (30) for any absence due to a legitimate illness. Employees may be required to provide medical proof of illness for any absence of a scheduled shift, which is neither vacation nor an approved leave of absence.",sick-leave
"Sick Leave. Absence due to personal illness, excluding pregnancy, shall be allowed up to fifteen (15) working days per fiscal year, July 1 through June 30, and shall be accumulative from year to year without limitation. Absence of less than one (1) full day shall be charged to the nearest quarter hour of absence. Personal illness of more than five (5) working days duration shall be verified by a statement from a licensed physician, advising that the person is physically able to do his/her regular work. The physician's statement shall verify the illness from the first (1) day of absence to the date of return to work. In cases of excessive absence or when abuse of sick leave is evident, following previous counsel with the employee, the school administration may request in writing that the employee furnish a physician's statement to verify any future absence of less than five (5) working days for the remainder of the school year. When all available paid leaves are exhausted, the employee is placed on ""Difference Leave."" An employee on leave is paid the difference between his/her salary and that paid his/her substitute. This is paid for a maximum period of five (5) months. The five (5) month period is calculated from the sixteenth (16th) day of sick leave or last day of available sick leave, whichever comes first. When difference leave is exhausted, the employee with one (1) year of service shall be allowed health leave; an employee with less than one (1) year of service is placed on a reemployment list for a period of thirty-nine (39) months. If at any time during the prescribed thirty-nine (39) months the employee is able to assume the duties of his/her position, the employee shall be reemployed in the first vacancy in the classification of his/her previous assignment. His/her reemployment will take preference over all other applicants except those laid-off for lack of work or funds, in which case he/she shall be ranked according to his/her proper seniority. Upon resumption of his/her duties, the break in service will be disregarded and the employee shall be fully restored as a permanent employee. During the first six (6) months of employment, one and one-quarter (1-1/4) days of paid sick leave per calendar month shall be granted as earned at the end of each month. Employees who work less than full-time or less than a twelve (12) month calendar year shall be credited with sick leave on a prorata basis at the rate of one and one-quarter (1-1/4) days per month. If an empl...",sick-leave
Sick Leave. (1) An employee on maternity leave or parental leave shall not be entitled to sick leave during the period of leave.,sick-leave
Sick Leave. A part-time employee shall earn sick leave credits at the rate of one-quarter (1/4) of the number of hours in an employee’s normal workweek for each calendar month in which the employee has received pay for at least twice (2) the number of hours in the employee’s normal workweek.,sick-leave
"Sick Leave. Executive shall be entitled to sick leave and emergency leave according to the regular policies and procedures of Company. Additional sick leave or emergency leave over and above paid leave provided by the Company, if any, shall be unpaid and shall be granted at the discretion of the board of directors.",sick-leave
Sick Leave. Section 1,sick-leave
Sick Leave. Illness arising due to pregnancy during employment prior to the leave of absence may be charged to normal sick leave.,sick-leave
Sick Leave. Section 1.,sick-leave
"Sick Leave. Sick leave provides continuation of pay to the District worker who cannot perform her/his duties because of physical or mental illness or injury. Each full-time worker of the District earns sick leave at the rate of eight hours per month. New workers employed after the 10th of the month shall have their sick leave pro-rated for that month. Workers including classified hourly employees who regularly work fewer than 40 hours per week are entitled to that proportion of sick leave granted full-time workers that is equal to the percent of a full-time contract. During extended sick leave, a worker ceases to earn sick leave beyond his or her potential entitlement for the current fiscal year but continues to earn vacation leave. There is no limit to the amount of sick leave which either full or partial contract workers may earn and accumulate from year to year. Sick leave may be used in increments of one-quarter hour or longer. A worker has available for use all of his or her earned sick leave plus the balance of his or her full potential entitlement for the current fiscal year. The number of sick leave hours earned, the number used during the current fiscal year, and the worker's balance will appear on the check stub each month. Sick leave may be used for appointments with doctors or dentists or (after all personal necessity leave has been exhausted) up to seven days can be used for care of an ill member of the worker's immediate family (as defined in Section 10.15). Under certain circumstances approved by the Director of Human Resources, sick leave can also be used for other reasons of personal necessity. A worker may not be gainfully employed while absent on illness or accident leave. Sick leave may not be used to extend a weekend or vacation when the worker is not actually sick. Sick leave is not a ""rest leave"" unless so prescribed by a physician. Whenever a worker is absent on sick leave for three or more working days or when a pattern of sick leave suggests a chronic illness, a medical report that outlines the nature of the problem and the probable date of full recovery may be required. If the information from the worker's personal physician is insufficient, an examination by a physician of the District's choosing may be required, at District expense. Any worker who transfers after at least one year of service from one school to another when no more than one year intervenes between termination in one district and employment in the other, should request that ...",sick-leave
"Sick Leave. 19.01 Sick Leave Defined Sick Leave means the period of time an employee is permitted to be absent from work with full pay by virtue of being sick or disabled, exposed to contagious disease, or because of an accident for which compensation is not payable under the Workers' Compensation Act.",sick-leave
"Sick Leave. Each full-time and qualifying part-time teacher shall be granted ten (10) days of sick leave each year accumulative for the individual teacher only to a total of one hundred eighty-five (185) days including the current year's distribution. Sick leave absences taken by part-time teachers count as one day. Teachers may use sick leave days because of illness, accident, medical appointment, or quarantine related to themselves or may use up to ten (10) days per year for the same reasons with respect to their immediate family. The Superintendent reserves the right to expand the definition of immediate family or to increase the number of days for family illness if the circumstances surrounding the request warrant special consideration. He/she can exercise this right without precedent. Sick leave may be used to keep a doctor's appointment when it is for the purpose of dealing with an existing physical malady. Excluded will be cosmetic surgery. For the purpose of this section, the immediate family shall include the teacher's spouse, children, step-children, parents, step-parent, grandparents, mother-in-law, father- in-law, grandchild, brother, sister, son-in-law, daughter-in- law, sister-in-law, brother-in-law, grandparent or grandchild of spouse, aunt, uncle and/or any other person living in the teacher's home. Sick leave shall not be divided into less than one-half (1/2) day units. Teachers employed to teach regular academic subjects during summer school shall be allowed to use accumulated sick leave deducted at the rate of one-half (1/2) day of sick leave for each day of absence. Substitute teachers will be provided by the Corporation during summer school. Faculty personnel who leave the employment of Warsaw Community Schools except on a leave of absence shall forfeit all the unused days of sick leave and days so forfeited shall be restored in accordance with Indiana law if the faculty member should later re-enter the service of Warsaw Community Schools.",sick-leave
"Sick Leave. Where a regular employee has been on sick leave immediately prior to the employee’s scheduled paid holiday and immediately following such scheduled paid holiday, then the scheduled paid holiday shall become a day to which sick leave credits shall be applied and the day shall be rescheduled.",sick-leave
"Sick Leave. A. As used in this section, ""sick leave"" means the necessary absence from duty of an employee because of:",sick-leave
Sick Leave. 21.1 Employees shall be permitted to use their Floating Personal Days for purposes of Sick Leave.,sick-leave
"Sick Leave. Employees may on occasion be unavoidably absent because of personal or family illness. An employee who finds it necessary to be absent because of illness should communicate with the President or his or her designated officer as soon as possible. Sick leave is occasioned by the absence of an individual from duty because of illness, accident, exposure to contagious disease, necessary attendance upon a member of the immediate family who may be seriously ill, or death in the immediate family. Employees are entitled to one and one-quarter (1¼) days of sick leave for each completed month of employment for a total of twelve and one-half (12½) days annually for ten-month employees and a total of fifteen (15) days annually for twelve-month employees. Part-time employees shall be entitled to a proportional amount of sick leave. The part-time employee’s workload as established in the employment contract will be used to determine the pro rata sick leave. All unused sick leave shall be cumulative. Consideration may be given by the Board of Trustees to advancing sick leave beyond the days accumulated for full- time employees. Any such advance must be paid back by the involved employee. Pay-back by the involved employee shall be by arrangement for deduction from subsequent accumulation of sick leave, except where the individual leaves the employ of the College/University prior to completing the pay-back.",sick-leave
"Sick Leave. Sick leave shall be earned at the rate of one (1) workday for each completed full month of service. Service shall begin on the date of State employment and time on layoff, suspension, or leave without pay, except as otherwise provided by law or these rules, shall not be counted in determining the completion of a full month of service. The maximum amount of sick leave which employees may accumulate shall be one hundred and twenty (120) days. However, the amount of unused sick leave accruals which can be credited towards State service for retirement purposes shall continue as presently provided for by statute. When the maximum limitation has been accumulated, days that would normally thereafter be earned shall lapse but shall be recorded by the appointing authority. Any employee who has such lapsed sick leave to his/her credit may apply to the Director of Human Resources to have the sick leave restored in the event of an extended illness. The Director of Human Resources at his/her discretion may authorize restoration of all or any part of the lapsed sick leave after thorough investigation, including complete medical reports of the illness requiring the continued absence of the employee. Part-time employees employed normally year round and established on a regular hourly work schedule shall be allowed sick leave credits prorated on the amount of time worked. Employees may utilize their allowance of sick leave on the basis of application therefore, approved by their respective appointing authorities for absences necessitated by inability to perform the duties of their positions by reason of illness or injury, by necessity for acute medical or dental care, by exposure to contagious disease under circumstances in which the health of the employees with whom associated or members of the public necessarily dealt with would be endangered by attendance on duty, or by illness in the immediate family of the employee for such periods as the attendance of the employee shall be necessary. Immediate family as used in this Article shall mean the employee's spouse or significant other, the parents of the spouse or significant other, the children of the spouse or significant other, the parents, stepparents, guardian, children, stepchildren, brothers, stepbrothers, sisters, stepsisters, wards, grandparents and grandchildren of the employee. For the purposes of this Article, “significant other” means that a relationship exists between two people, neither of whom is married, tha...",sick-leave
"Sick Leave. 1. Sick leave credit shall be earned at the rate of seven (7) hours per calendar month of service. Sick leave shall be earned from the employee's first date of work. Sick leave credit shall be earned for any month in which the employee has been in pay status for ten (10) or more workdays. A part-time employee shall earn sick leave in the same proportion as his/her part-time service bears to full-time service. For new hires only, they shall receive two (2) days of sick credit leave upon hire. These days are to be considered “front-loaded” or issued in advance. Upon reaching their third month of employment and having been in pay status for ten (10) or more workdays in that third month they shall again be eligible to earn sick leave credit. An employee may accumulate unused sick leave up to a maximum of one thousand forty (1040) hours. However, the amount of unused sick leave accruals which can be credited towards School service for retirement purposes shall be seven hundred twenty (720) hours. When the maximum limitation has been accumulated, hours that would normally thereafter be earned shall lapse but shall be recorded by the Human Resources Office. Any employee who has such lapsed sick leave to his/her credit may apply to the Executive Director to have up to one hundred forty (140) hours of the sick leave restored in the event of an extended illness. The Executive Director at his/her discretion may authorize restoration of such lapsed sick leave after thorough investigation, including complete medical reports of the illness requiring the continued absence of the employee. The Executive Director’s decision regarding the use of lapsed sick leave shall be final.",sick-leave
