clause_text,clause_type
"Limitation on Suits. No Holder of any Security of any series shall have any right to institute any proceeding, judicial or otherwise, with respect to this Indenture, or for the appointment of a receiver or trustee, or for any other remedy hereunder, unless",special-terms-and-conditions-of-trust
Limitation on Suits. A Holder of a Note may pursue a remedy with respect to this Indenture or the Notes only if:,special-terms-and-conditions-of-trust
"Limitation on Suits. No holder of any Security of any series shall have any right by virtue or by availing of any provision of this Indenture to institute any suit, action or proceeding in equity or at law upon or under or with respect to this Indenture or for the appointment of a receiver or trustee, or for any other remedy hereunder, unless (i) such holder previously shall have given to the Trustee written notice of an Event of Default and of the continuance thereof with respect to the Securities of such series specifying such Event of Default, as hereinbefore provided; (ii) the holders of not less than 25% in aggregate principal amount of the Securities of such series then Outstanding shall have made written request upon the Trustee to institute such action, suit or proceeding in its own name as Trustee hereunder; (iii) such holder or holders shall have offered to the Trustee such reasonable indemnity as it may require against the costs, expenses and liabilities to be incurred therein or thereby; (iv) the Trustee for 90 days after its receipt of such notice, request and offer of indemnity, shall have failed to institute any such action, suit or proceeding and (v) during such 90 day period, the holders of a majority in principal amount of the Securities of that series do not give the Trustee a direction inconsistent with the request. Notwithstanding anything contained herein to the contrary or any other provisions of this Indenture, the right of any holder of any Security to receive payment of the principal of (and premium, if any) and interest on such Security, as therein provided, on or after the respective due dates expressed in such Security (or in the case of redemption, on the redemption date), or to institute suit for the enforcement of any such payment on or after such respective dates or redemption date, shall not be impaired or affected without the consent of such holder and by accepting a Security hereunder it is expressly understood, intended and covenanted by the taker and holder of every Security of such series with every other such taker and holder and the Trustee, that no one or more holders of Securities of such series shall have any right in any manner whatsoever by virtue or by availing of any provision of this Indenture to affect, disturb or prejudice the rights of the holders of any other of such Securities, or to obtain or seek to obtain priority over or preference to any other such holder, or to enforce any right under this Indenture, except in the man...",special-terms-and-conditions-of-trust
"Limitation on Suits. (a) Except to enforce the right to receive payment of principal, premium (if any) or interest when due, no Holder may pursue any remedy with respect to this Indenture or the Securities unless:",special-terms-and-conditions-of-trust
"Limitation on Suits. Subject to Section 5.8, no Holder of any Securities shall have any right to institute any proceeding, judicial or otherwise, with respect to this Indenture or for the appointment of a custodian, receiver, assignee, trustee, liquidator, sequestrator (or other similar official) or for any other remedy hereunder, unless:",special-terms-and-conditions-of-trust
"Limitation on Suits. Subject to Section 6.07 hereof, no Holder of a Note may pursue any remedy with respect to this Indenture or the Notes unless:",special-terms-and-conditions-of-trust
Limitation on Suits. A Holder may not pursue any remedy with respect to this Indenture or the Notes unless:,special-terms-and-conditions-of-trust
"Limitation on Suits. No Noteholder shall have any right to institute any Proceedings, judicial or otherwise, with respect to this Indenture, or for the appointment of a receiver or trustee, or for any other remedy hereunder, unless:",special-terms-and-conditions-of-trust
"Limitation on Suits. A Holder may not institute any proceeding, judicial or otherwise, with respect to this Indenture or the Notes, or for the appointment of a receiver or trustee, or for any other remedy under this Indenture or the Notes, unless:",special-terms-and-conditions-of-trust
Limitation on Suits. A Securityholder may not pursue any remedy with respect to this Indenture or the Securities unless:,special-terms-and-conditions-of-trust
