clause_text,clause_type
"Specific Performance. The parties hereto agree that irreparable damage would occur in the event any provision of this Agreement was not performed in accordance with the terms hereof and that the parties shall be entitled to specific performance of the terms hereof, in addition to any other remedy at law or in equity.",specific-performance
"Specific Performance. The parties hereto agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. It is accordingly agreed that the parties shall be entitled to an injunction or injunctions to prevent breaches of this Agreement and to enforce specifically the terms and provisions hereof in any court of the United States or any state having jurisdiction, this being in addition to any other remedy to which they are entitled at law or in equity.",specific-performance
"Specific Performance. Registry Operator and ICANN agree that irreparable damage could occur if any of the provisions of this Agreement was not performed in accordance with its specific terms. Accordingly, the parties agree that they each shall be entitled to seek from the arbitrator or court of competent jurisdiction specific performance of the terms of this Agreement (in addition to any other remedy to which each party is entitled).",specific-performance
"Specific Performance. The parties agree that irreparable damage would occur if any provision of this Agreement were not performed in accordance with the terms hereof and that the parties shall be entitled to specific performance of the terms hereof, in addition to any other remedy to which they are entitled at law or in equity.",specific-performance
"Specific Performance. Each of the parties hereto recognizes and acknowledges that a breach by it of any covenants or agreements contained in this Agreement will cause the other party to sustain damages for which it would not have an adequate remedy at law for money damages, and therefore each of the parties hereto agrees that in the event of any such breach the aggrieved party shall be entitled to the remedy of specific performance of such covenants and agreements and injunctive and other equitable relief in addition to any other remedy to which it may be entitled, at law or in equity.",specific-performance
"Specific Performance. Each party acknowledges and agrees that the other party would be irreparably damaged if the provisions of this Agreement are not performed in accordance with their terms and that any breach of this Agreement and the non-consummation of the transactions contemplated hereby by either party could not be adequately compensated in all cases by monetary damages alone. Accordingly, in addition to any remedy to which such other party may be entitled under Section 7.11, provisional measures and injunctive relief necessary to protect the possibility of each party to seek specific performance from the other from the tribunal referred to in Section 7.11 can be sought from any court of competent jurisdiction. Each of the parties hereto (i) agrees that it shall not oppose the granting of any such relief and (ii) hereby irrevocably waives any requirement for the security or posting of any bond in connection with any such relief (it is understood that clause (i) of this sentence is not intended to, and shall not, preclude any party hereto from litigating on the merits the substantive claim to which such remedy relates).",specific-performance
"Specific Performance. Executive acknowledges and agrees that the Company’s remedies at law for a breach or threatened breach of any of the provisions of Section 9 or Section 10 would be inadequate and the Company would suffer irreparable damages as a result of such breach or threatened breach. In recognition of this fact, Executive agrees that, in the event of such a breach or threatened breach, in addition to any remedies at law, the Company, without posting any bond, shall be entitled to cease making any payments or providing any benefit otherwise required by this Agreement and obtain equitable relief in the form of specific performance, temporary restraining order, temporary or permanent injunction or any other equitable remedy which may then be available.",specific-performance
"Specific Performance. The parties hereto agree that irreparable damage would occur and that the parties would not have any adequate remedy at law in the event that any of the provisions of this Agreement were not performed in accordance with their specific terms or were otherwise breached. It is accordingly agreed that each party shall be entitled to an injunction or injunctions to prevent breaches of this Agreement and to enforce specifically the terms and provisions of this Agreement, this being in addition to any other remedy to which they are entitled at law or in equity, and each party waives any requirement for the securing or posting of any bond in connection with the remedies referred to in this Section 13(i).",specific-performance
"Specific Performance. The parties hereto agree that irreparable damage would occur if any provision of this Agreement were not performed in accordance with the terms hereof and that the parties shall be entitled to an injunction or injunctions to prevent breaches of this Agreement or to enforce specifically the performance of the terms and provisions hereof, in addition to any other remedy to which they are entitled at law or in equity.",specific-performance
"Specific Performance. In the event of any actual or threatened default in, or breach of, any of the terms, conditions and provisions of this Agreement or any Ancillary Agreement, the party or parties who are or are to be thereby aggrieved shall have the right to specific performance and injunctive or other equitable relief of its rights under this Agreement or such Ancillary Agreement, in addition to any and all other rights and remedies at law or in equity, and all such rights and remedies shall be cumulative. The parties agree that the remedies at law for any breach or threatened breach, including monetary damages, are inadequate compensation for any loss and that any defense in any action for specific performance that a remedy at law would be adequate is waived. Any requirements for the securing or posting of any bond with such remedy are waived.",specific-performance
"Specific Performance. Each of the Parties acknowledges and agrees that the other Parties would be damaged irreparably in the event any of the provisions of this Agreement are not performed in accordance with their specific terms or otherwise are breached. Accordingly, each of the Parties agrees that the other Parties shall be entitled to an injunction or injunctions to prevent breaches of the provisions of this Agreement and to enforce specifically this Agreement and the terms and provisions hereof in any action instituted in any court of the United States or any state thereof having jurisdiction over the Parties and the matter, in addition to any other remedy to which they may be entitled, at law or in equity.",specific-performance
"Specific Performance. Damages in the event of breach of this Agreement by a party hereto may be difficult, if not impossible, to ascertain, and it is therefore agreed that each such Person, in addition to and without limiting any other remedy or right it may have, will have the right to an injunction or other equitable relief in any court of competent jurisdiction, enjoining any such breach, and enforcing specifically the terms and provisions hereof, and each of the parties hereto hereby waives any and all defenses it may have on the ground of lack of jurisdiction or competence of the court to grant such an injunction or other equitable relief. The existence of this right will not preclude any such Person from pursuing any other rights and remedies at law or in equity which such Person may have.",specific-performance
"Specific Performance. The Parties agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed by them in accordance with the terms hereof or were otherwise breached and that each Party hereto shall be entitled to an injunction or injunctions, specific performance and other equitable relief to prevent breaches of the provisions hereof and to enforce specifically the terms and provisions hereof, without the proof of actual damages, in addition to any other remedy to which they are entitled at law or in equity. Each Party agrees to waive any requirement for the security or posting of any bond in connection with any such equitable remedy, and agrees that it will not oppose the granting of an injunction, specific performance or other equitable relief on the basis that (a) the other Party has an adequate remedy at law, or (b) an award of specific performance is not an appropriate remedy for any reason at law or equity.",specific-performance
"Specific Performance. From and after the Distribution, in the event of any actual or threatened default in, or breach of, any of the terms, conditions and provisions of this Agreement, the Parties agree that the Party to this Agreement who is or is to be thereby aggrieved shall have the right to specific performance and injunctive or other equitable relief of its rights under this Agreement, in addition to any and all other rights and remedies at Law or in equity, and all such rights and remedies shall be cumulative. The Parties agree that, from and after the Distribution, the remedies at Law for any breach or threatened breach of this Agreement, including monetary damages, are inadequate compensation for any loss, that any defense in any action for specific performance that a remedy at Law would be adequate is hereby waived, and that any requirements for the securing or posting of any bond with such remedy are hereby waived.",specific-performance
"Specific Performance. Each of the parties hereto acknowledges and agrees that in the event of any breach of this Agreement by any of them, the non-breaching party would be irreparably harmed and could not be made whole by monetary damages. Each party accordingly agrees to waive the defense in any action for specific performance that a remedy at law would be adequate and that the parties, in addition to any other remedy to which they may be entitled at law or in equity, shall be entitled to compel specific performance of this Agreement.",specific-performance
"Specific Performance. Each of the Parties acknowledges and agrees that the other Party would be damaged irreparably in the event any of the provisions of this Agreement are not performed in accordance with their specific terms or otherwise are breached. Accordingly, each of the Parties agrees that the other Party shall be entitled to an injunction or injunctions to prevent breaches of the provisions of this Agreement and to enforce specifically this Agreement and the terms and provisions hereof in any action instituted in any court of the United States or any state thereof having jurisdiction over the Parties and the matter (subject to the provisions set forth in Section 11(o) below), in addition to any other remedy to which they may be entitled, at law or in equity.",specific-performance
"Specific Performance. Each Party acknowledges that the rights of each Party to consummate the transactions contemplated hereby are unique, recognizes and affirms that in the event of a breach of this Agreement by any Party, money damages may be inadequate and the non-breaching Parties may have not adequate remedy at law, and agree that irreparable damage would occur in the event that any of the provisions of this Agreement were not performed by an applicable Party in accordance with their specific terms or were otherwise breached. Accordingly, each Party shall be entitled to seek an injunction or restraining order to prevent breaches of this Agreement and to seek to enforce specifically the terms and provisions hereof, without the requirement to post any bond or other security or to prove that money damages would be inadequate, this being in addition to any other right or remedy to which such Party may be entitled under this Agreement, at law or in equity.",specific-performance
