clause_text,clause_type
"Standard of Care. In the absence of willful misfeasance, bad faith, gross negligence or reckless disregard of obligations or duties hereunder on the part of the Sub-Advisor, the Sub-Advisor shall not be subject to liability to the Advisor, the Trust or to any shareholder of the Portfolio for any act or omission in the course of, or connected with, rendering services hereunder or for any losses that may be sustained in the purchase, holding or sale of any security.",standard-of-care
"Standard of Care. The Custodian agrees to exercise reasonable care, prudence and diligence in performing the duties set forth in Section 3.3.1.",standard-of-care
"Standard of Care. The Company and the Depositary assume no obligation and shall not be subject to any liability under the Deposit Agreement or any ADRs to any Holder(s) or Beneficial Owner(s), except that the Company and the Depositary agree to perform their respective obligations specifically set forth in the Deposit Agreement or the applicable ADRs without negligence or bad faith. Without limitation of the foregoing, neither the Depositary, nor the Company, nor any of their respective controlling persons, or agents, shall be under any obligation to appear in, prosecute or defend any action, suit or other proceeding in respect of any Deposited Property or in respect of the ADSs, which in its opinion may involve it in expense or liability, unless indemnity satisfactory to it against all expense (including fees and disbursements of counsel) and liability be furnished as often as may be required (and no Custodian shall be under any obligation whatsoever with respect to such proceedings, the responsibility of the Custodian being solely to the Depositary). The Depositary and its agents shall not be liable for any failure to carry out any instructions to vote any of the Deposited Securities, or for the manner in which any vote is cast or the effect of any vote, provided that any such action or omission is in good faith and without negligence and in accordance with the terms of the Deposit Agreement. The Depositary shall not incur any liability for any failure to accurately determine that any distribution or action may be lawful or reasonably practicable, for the content of any information submitted to it by the Company for distribution to the Holders or for any inaccuracy of any translation thereof, for any investment risk associated with acquiring an interest in the Deposited Property, for the validity or worth of the Deposited Property, for the value of any Deposited Property or any distribution thereon, for any interest on Deposited Property, for any tax consequences that may result from the ownership of ADSs, Shares or other Deposited Property, for the credit-worthiness of any third party, for allowing any rights to lapse upon the terms of the Deposit Agreement, for the failure or timeliness of any notice from the Company, or for any action of or failure to act by, or any information provided or not provided by, DTC or any DTC Participant. The Depositary shall not be liable for any acts or omissions made by a successor depositary whether in connection with a previous act or ...",standard-of-care
"Standard of Care. The Subadvisor shall exercise its best judgment in rendering the services provided by it under this Agreement. The Subadvisor shall not be liable for any act or omission, error of judgment or mistake of law or for any loss suffered by the Manager or the Trust in connection with the matters to which this Agreement relates, provided that nothing in this Agreement shall be deemed to protect or purport to protect the Subadvisor against any liability to the Manager or the Trust or to holders of the Trust’s shares representing interests in the Fund to which the Subadvisor would otherwise be subject by reason of willful malfeasance, bad faith or gross negligence on its part in the performance of its duties or by reason of the Subadvisor’s reckless disregard of its obligations and duties under this Agreement.",standard-of-care
"Standard of Care. The Trust and Adviser shall expect of the Sub-Adviser, and the Sub-Adviser will give the Trust and the Adviser the benefit of, the Sub-Adviser's best judgment and efforts in rendering its services to the Trust, and as an inducement to the Sub-Adviser's undertaking these services at the compensation level specified, the Sub-Adviser shall not be liable hereunder for any mistake in judgment. In the absence of willful misfeasance, bad faith, negligence or reckless disregard of obligations or duties hereunder on the part of the Sub-Adviser or any of its officers, directors, employees or agents, the Sub-Adviser shall not be subject to liability to the Trust or to any shareholders in the Trust for any act or omission in the course of, or connected with, rendering services hereunder or for any losses that may be sustained in the purchase, holding or sale of any security.",standard-of-care
"Standard of Care. The Custodian shall exercise reasonable care in the performance of its duties under this Agreement. The Custodian shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Trust in connection with its duties under this Agreement, except a loss arising out of or relating to the Custodian’s (or a Sub-Custodian’s) refusal or failure to comply with the terms of this Agreement (or any sub-custody agreement) or from its (or a Sub-Custodian’s) bad faith, negligence or willful misconduct in the performance of its duties under this Agreement (or any sub-custody agreement). The Custodian shall be entitled to rely on and may act upon advice of counsel on all matters, and shall be without liability for any action reasonably taken or omitted pursuant to such advice. The Custodian shall promptly notify the Trust of any action taken or omitted by the Custodian pursuant to advice of counsel.",standard-of-care
"Standard of Care. The Company and the Depositary assume no obligation and shall not be subject to any liability under the Deposit Agreement or any ADRs to any Holder(s) or Beneficial Owner(s), except that the Company and the Depositary agree to perform their respective obligations specifically set forth in the Deposit Agreement or the applicable ADRs without negligence or bad faith. Without limitation of the foregoing, neither the Depositary, nor the Company, nor any of their respective controlling persons, or agents, shall be under any obligation to appear in, prosecute or defend any action, suit or other proceeding in respect of any Deposited Securities or in respect of the ADSs, which in its opinion may involve it in expense or liability, unless indemnity satisfactory to it against all expense (including fees and disbursements of counsel) and liability be furnished as often as may be required (and no Custodian shall be under any obligation whatsoever with respect to such proceedings, the responsibility of the Custodian being solely to the Depositary). The Depositary and its agents shall not be liable for any failure to carry out any instructions to vote any of the Deposited Securities, or for the manner in which any vote is cast or the effect of any vote, provided that any such action or omission is in good faith and in accordance with the terms of the Deposit Agreement. The Depositary shall not incur any liability for any failure to determine that any distribution or action may be lawful or reasonably practicable, for the content of any information submitted to it by the Company for distribution to the Holders or for any inaccuracy of any translation thereof, for any investment risk associated with acquiring an interest in the Deposited Securities, for the validity or worth of the Deposited Securities or for any tax consequences that may result from the ownership of ADSs, Shares or Deposited Securities, for the credit-worthiness of any third party, for allowing any rights to lapse upon the terms of the Deposit Agreement, for the failure or timeliness of any notice from the Company, or for any action of or failure to act by, or any information provided or not provided by, DTC or any DTC Participant.",standard-of-care
"Standard of Care. The Transfer Agent shall at all times act in good faith and agrees to use its best efforts within reasonable limits to ensure the accuracy of all services performed under this Agreement, but assumes no responsibility and shall not be liable for loss or damage due to errors, including encoding and payment processing errors, unless said errors are caused by its negligence, bad faith, or willful misconduct or that of its employees or agents.",standard-of-care
"Standard of Care. The Company and the Depositary and their respective directors, officers, Affiliates, employees and agents (including without limitation, the Agents) assume no obligation and shall not be subject to any liability under the Deposit Agreement or the Receipts to Holders or Beneficial Owners or other persons, except in accordance with Section 5.8 of the Deposit Agreement, provided, that the Company and the Depositary and their respective directors, officers, Affiliates, employees and agents (including without limitation, the Agents) agree to perform their respective obligations specifically set forth in the Deposit Agreement without gross negligence or wilful misconduct. The Depositary and its directors, officers, Affiliates, employees and agents (including without limitation, the Agents) shall not be liable for any failure to carry out any instructions to vote any of the Deposited Securities, or for the manner in which any vote is cast or the effect of any vote. The Depositary shall not incur any liability for any failure to determine that any distribution or action may be lawful or reasonably practicable, for the content of any information submitted to it by the Company for distribution to the Holders or for any inaccuracy of any translation thereof, for any investment risk associated with acquiring an interest in the Deposited Securities, for the validity or worth of the Deposited Securities or for any tax consequences that may result from the ownership of ADSs, Shares or Deposited Securities, for the credit-worthiness of any third party, for allowing any rights to lapse upon the terms of the Deposit Agreement or for the failure or timeliness of any notice from the Company or for any action or non action by it in reliance upon the opinion, advice of or information from legal counsel, accountants, any person presenting Shares for deposit, any Holder or any other person believed by it in good faith to be competent to give such advice or information. The Depositary and its agents (including without limitation, the Agents) shall not be liable for any acts or omissions made by a successor depositary whether in connection with a previous act or omission of the Depositary or in connection with any matter arising wholly after the removal or resignation of the Depositary, provided that in connection with the issue out of which such potential liability arises the Depositary performed its obligations without gross negligence or willful misconduct while it acted as Depo...",standard-of-care
"Standard of Care. The Adviser shall exercise its best judgment in rendering its services described in this Agreement. Except as may otherwise be required by the 1940 Act or the rules thereunder or other applicable law, the Adviser shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Portfolio or the Manager in connection with the matters to which this Agreement relates, except a loss resulting from Adviser’s willful misfeasance, bad faith or gross negligence on its part in the performance of its duties hereunder or from reckless disregard by it of its obligations and duties under this Agreement.",standard-of-care
