clause_text,clause_type
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II hereof, all the provisions contained in the Standard Terms and Conditions of Trust are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument.",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II and Part III hereof, all the provisions contained in the Standard Terms and Conditions of Trust are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument. Facsimile or electronic signatures (including signatures in Portable Document Format (PDF)) to this Trust Agreement shall be acceptable and binding, and this Trust Agreement may be delivered by facsimile or other electronic means (including by electronic mail or a designated document storage website).",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II hereof, all the provisions contained in the Indenture are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument except that for all purposes of this Empire State Municipal Exempt Trust, Guaranteed Series 136, and all subsequent Series, the following sections of the Indenture are amended as follows:",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II hereof, all the provisions contained in the Standard Terms and Conditions of Trust are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument. In the event of any inconsistency between the provisions of this Series Trust Agreement and the provisions of the Standard Terms and Conditions of Trust, the Series Trust Agreement will prevail. All capitalized terms not otherwise defined herein shall have the meaning ascribed to them in the Standard Terms and Conditions of Trust.",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II hereof, all the provisions contained in the Indenture are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument. For purposes of the references made to Section 7.04 in Sections 3.05(d), 3.06(A)(3), 3.06(B)(3) and 7.05 of the Indenture, the Indenture is hereby amended to delete such references made to Section 7.04 and to substitute therefor references to Section 7.05.",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II hereof, all the provisions contained in the Indenture are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as if those said provisions had been set forth in full in this instrument except, however, that all references to the words ""Standard & Poor's Corporation"" appearing therein are hereby deleted and the words ""Kenny S&P Evaluation Services"" are hereby added in place thereof. C/M 11939.0001 407393.1 PART II SPECIAL TERMS AND CONDITIONS OF TRUST The following special terms and conditions are hereby agreed to:",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. FOR NUVEEN UNIT TRUST SERIES 1 and certain subsequent Series Effective , 1997 These Standard Terms and Conditions of Trust effective , 1997 are executed by and between John Nuveen & Co. Incorporated, as Depositor and The Chase Manhattan Bank, as Trustee.",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Section 1. Subject to the provisions of Part II hereof, all the provisions contained in the Indenture are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument. Section 2. This Reference Trust Agreement may be amended and modified by Addendums, attached hereto, evidencing the purchase of Additional Securities which have been deposited to effect an increase over the number of Units initially specified in Part II of this Reference Trust Agreement (""Additional Closings""). The Depositors and Trustee hereby agree that their respective representations, agreements and certifications contained in the Closing Memorandum dated January 5, 1999, relating to the initial deposit of Securities continue as if such representations, agreements and certifications were made on the date of such Additional Closings and with respect to the deposits made therewith, except as such representations, agreements and certifications relate to their respective By-Laws and as to which they each represent that their has been no amendment affecting their respective abilities to perform their respective obligations under the Indenture.",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Subject to the provisions of Part II and Part III hereof, all the provisions contained in the Standard Terms and Conditions of Trust are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument. PART II The following special terms and conditions are hereby agreed to: A. The Securities initially deposited in the Trust pursuant to Section 2.01 of the Standard Terms and Conditions of Trust are set forth in the Schedules hereto. B. (1) The aggregate number of Units outstanding for the Trust on the Initial Date of Deposit is 15,000 Units. Documents representing this number of Units for the Trust are being delivered by the Trustee to the Depositor pursuant to Section 2.03 of the Standard Terms and Conditions of Trust. (2) The initial fractional undivided interest in and ownership of the Trust represented by each Unit thereof shall be 1/15,000. C. The Percentage Ratio is as follows on the Initial Date of Deposit: 10% Atlantic Richfield Company, 10% Avon Products, Inc., 10% CVS Corporation, 10% Compaq Computer Corporation, 10% Conseco, Inc., 10% Honeywell, Inc., 10% Lexmark International Group, Inc. (Class A), 10% Loral Space & Communications, Ltd., 10% SPX Corporation, 10% Varco International, Inc. D. The Record Date shall be as set forth in the prospectus for the sale of Units dated the date hereof (the ""Prospectus"") under ""Summary of Essential Information."" E. The Distribution Date shall be as set forth in the Prospectus under ""Summary of Essential Information."" F. The Mandatory Termination Date for the Trust shall be as set forth in the Prospectus under ""Summary of Essential Information."" G. The Evaluator's compensation as referred to in Section 4.03 of the Standard Terms and Conditions of Trust shall be an annual fee of $.0030 per Unit, calculated based on the largest number of Units outstanding during each period in respect of which a payment is made pursuant to Section 3.05, payable on a Distribution Date. Such fee may exceed the actual cost of providing such evaluation services for the Trust, but at no time will the total amount received for evaluation services rendered to all unit investment trusts of which Nike Securities L.P. is the sponsor in any calendar year exceed the aggregate cost to the Evaluator of supplying such services in such year. H. The Trustee's Compensation Rate pursuant to Section 6.04 of ...",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. Section 1. Subject to the provisions of Part II hereof, all the provisions contained in the Indenture are herein incorporated by reference in their entirety and shall be deemed to be a part of this instrument as fully and to the same extent as though said provisions had been set forth in full in this instrument except that the following sections of the Indenture hereby are amended as follows: (a) All references to ""The Chase Manhattan Bank (National Association)"" are replaced with ""The Chase Manhattan Bank"". (b) Notwithstanding any provision of the Indenture to the contrary, ownership of Units of this series of Equity Securities Trust shall not be certificated and shall be evidenced solely by registration on the transfer books of the Trustee, and the registered holder of uncertificated Units shall have all of the rights and obligations (excluding the right to the issuance of a Certificate) specified for a registered Certificateholder under the Indenture. The Depositor and the Trustee shall cause all Units of the Trust issued to the Depositor (upon both the initial deposit and any deposits of Additional Securities pursuant to Section 2.6) to be deposited at The Depository Trust Company (""DTC"") and to be credited there to the account of the Depositor. On and",standard-terms-and-conditions-of-trust
STANDARD TERMS AND CONDITIONS OF TRUST. NUVEEN UNIT TRUST TABLE OF CONTENTS SECTION HEADING PAGE Form of Certificates. . . . . . . . . . . . . . . . . . . . . . . . . . .1,standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. FOR NUVEEN UNIT TRUSTS SERIES 1 and subsequent Series Effective: , 1997 Between JOHN NUVEEN & CO. INCORPORATED As Depositor and THE CHASE MANHATTAN BANK As Trustee ______________________________ ________________________________________________________________________________",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. FOR NUVEEN UNIT TRUSTS SERIES 1 and subsequent Series Effective: , 1997 Between JOHN NUVEEN & CO. INCORPORATED As Depositor and THE CHASE MANHATTAN BANK As Trustee ______________________________ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ TRUST INDENTURE AND AGREEMENT NUVEEN UNIT TRUST TABLE OF CONTENTS SECTION HEADING PAGE Form of Certificates...................................................1",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. DATED AS OF APRIL 1, 1995 EFFECTIVE AS OF APRIL 27, 1995 For STANDARD & POOR'S MIDCAP 400 DEPOSITARY RECEIPTS (""MidCap SPDR"") TRUST, SERIES 1 AND ANY SUBSEQUENT AND SIMILAR SERIES OF THE MidCap SPDR TRUST between PDR SERVICES LLC as Sponsor and THE BANK OF NEW YORK as Trustee Dated as of January 26, 2006 Effective as of January 27, 2006",standard-terms-and-conditions-of-trust
"STANDARD TERMS AND CONDITIONS OF TRUST. FOR AMERICAFIRST QUANTITATIVE TRUST EFFECTIVE FOR UNIT INVESTMENT TRUSTS ESTABLISHED ON AND AFTER APRIL 30, 2013 AMONG AMERICAFIRST SECURITIES, INC. AS DEPOSITOR AND THE BANK OF NEW YORK MELLON AS TRUSTEE AND AMERICAFIRST SECURITIES, INC. AS EVALUATOR AND AMERICAFIRST SECURITIES, INC. AS SUPERVISOR STANDARD TERMS AND CONDITIONS OF TRUST FOR AMERICAFIRST QUANTITATIVE TRUST",standard-terms-and-conditions-of-trust
