clause_text,clause_type
"Stock Options. With respect to the stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Code so qualifies, (ii) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto, (iii) each such grant was made in accordance with the terms of the Company Stock Plans, the Exchange Act and all other applicable laws and regulatory rules or requirements, including the rules of the New York Stock Exchange and any other exchange on which Company securities are traded, and (iv) each such grant was properly accounted for in accordance with GAAP in the financial statements (including the related notes) of the Company and disclosed in the Company’s filings with the Commission in accordance with the Exchange Act and all other applicable laws. The Company has not knowingly granted, and there is no and has been no policy or practice of the Company of granting, Stock Options prior to, or otherwise coordinating the grant of Stock Options with, the release or other public announcement of material information regarding the Company or its subsidiaries or their results of operations or prospects.",stock-options
"Stock Options. Except as described in the Registration Statement, in the Time of Sale Disclosure Package and in the Prospectus, there are no options, warrants, agreements, contracts or other rights in existence to purchase or acquire from the Company or any subsidiary of the Company any shares of the capital stock of the Company or any subsidiary of the Company. The description of the Company’s stock option, stock bonus and other stock plans or arrangements (the “Company Stock Plans”), and the options (the “Options”) or other rights granted thereunder, set forth in the Time of Sale Disclosure Package and the Prospectus accurately and fairly presents the information required to be shown with respect to such plans, arrangements, options and rights. Each grant of an Option (A) was duly authorized no later than the date on which the grant of such Option was by its terms to be effective by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto and (B) was made in accordance with the terms of the applicable Company Stock Plan, and all applicable laws and regulatory rules or requirements, including all applicable federal securities laws.",stock-options
"Stock Options. After the Effective Time, each holder of (i) ------------- a then outstanding option (collectively, the ""Employee Options"") to purchase Shares under Dart's 1992 Stock Option Plan and the Option Agreements between Dart and certain of its officers, directors, employees and consultants thereunder (the ""Stock Option Plan""), or (ii) any other option, warrant or other right to acquire (upon purchase, exchange, conversion or otherwise) shares of Dart Common Stock (collectively, the ""Other Options"" and, together with the Employee Options, the ""Options""), shall be entitled to receive for each Share subject to such Option, in settlement and cancellation thereof, an amount (subject to any applicable withholding tax) in cash equal to the difference between the Merger Consideration and the per Share exercise price of such Option, to the extent such difference is a positive number (such amount being hereinafter referred to as, the ""Option Consideration""). In addition, in the alternative, each holder of an Option outstanding at the commencement of the Offer may tender such Option and thereby be entitled to receive for each Share subject to such Option, upon consummation of the Offer and in settlement and cancellation of such Option, an amount (subject to any applicable withholding tax) in cash equal to the Option Consideration. Notwithstanding the foregoing provisions of this Section 4.5, with respect to any Person subject to Section 16(a) of the Exchange ----------- Act, any such Option Consideration shall be paid as soon as practicable after the first date payment can be made without liability to such Person under Section 16(b) of the Exchange Act. Dart represents and warrants to Richfood and Merger Subsidiary that the Stock Option Plan has been or will be amended to the extent necessary to give effect to the foregoing as of the commencement of the Offer. Upon receipt of the related Option Consideration, the Option shall be canceled. The surrender of an Option to Dart in exchange for the Option Consideration shall be deemed a release of any and all rights the holder had or may have had in respect of such Option.",stock-options
"Stock Options. With respect to the outstanding stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company (the “Company Stock Plans”), (i) each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Internal Revenue Code of 1986 , as amended (the “Code”), so qualified, (ii) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto, (iii) each such grant was made in accordance with the terms of the Company Stock Plans and all other applicable laws and regulatory rules or requirements, except where the failure to comply with such laws, regulatory rules or requirements would not result in a Material Adverse Effect, and (iv) each such grant was properly accounted for in accordance with GAAP in the financial statements (including the related notes) of the Company included in the Registration Statement, the General Disclosure Package and the Prospectus, to the extent required under GAAP to be accounted for in such financial statements.",stock-options
"Stock Options. At the Effective Time, each outstanding option to purchase shares of Company Common Stock (each, a ""COMPANY STOCK OPTION"") under Company Stock Option Plans, whether or not vested, shall by virtue of the Merger be assumed by Parent. Parent shall take all corporate action necessary to reserve for issuance a sufficient number of shares of Parent Common Stock for issuance upon exercise of all Company Stock Options assumed in accordance with this Section 5.11. Each Company Stock Option so assumed by Parent under this Agreement will continue to have, and be subject to, the same terms and conditions of such options immediately prior to the Effective Time (including, without limitation, any repurchase rights or vesting provisions), except that (i) each Company Stock Option will be exercisable (or will become exercisable in accordance with its terms) for that number of whole shares of Parent Common Stock equal to the product of the number of shares of Company Common Stock that were issuable upon exercise of such Company Stock Option immediately prior to the Effective Time multiplied by the Exchange Ratio, rounded down to the nearest whole number of shares of Parent Common Stock, (ii) the per share exercise price for the shares of Parent Common Stock issuable upon exercise of such assumed Company Stock Option will be equal to the quotient determined by dividing the exercise price per share of Company Common Stock at which such Company Stock Option was exercisable immediately prior to the Effective Time by the Exchange Ratio, rounded up to the nearest whole cent and (iii) references to the Company in the agreement setting forth the terms of each Company Stock Option shall mean Parent.",stock-options
"Stock Options. As additional consideration for Executive's performance of services hereunder, upon the Effective Date, Employer shall issue to Executive, pursuant to Employer's 2004 Incentive Plan, options (the ""Options"") to purchase 1 Million shares of Employer's common stock, $0.001 par value per share. It is intended that the maximum amount of these Options as permitted under law qualify as an ""incentive stock option"" under Section 422 of the Code, and to the extent that all or any portion of the Options do not so qualify, the Options shall be treated as non-qualified options. The Options shall have a per share exercise price equal to not less than the fair market value on the date of grant and shall expire on a date to be established by the Board of Directors or the applicable committee administering the Employer's 2004 Incentive Plan, but no later than the tenth anniversary of the Effective Date. The Options are subject to the following vesting schedule; provided, however, that Executive must be an employee of Employer on the applicable vesting date in order for such Options to vest: 25% of the Options shall vest on the date of grant and 25% of the Options shall vest on each of the first, second and third anniversaries of the date of grant.",stock-options
"Stock Options. During the Executive's continued full and satisfactory performance of his duties and responsibilities hereunder, and subject to the provisions in paragraph 7 hereinbelow, the Company shall award to him, in four quarterly installments on each three month anniversary after the Commencement Date, options to purchase shares of common stock of the Company pursuant to, and in accordance with the terms and conditions of, the China Biopharmaceuticals Holdings, Inc. 2004 Stock Option Plan expected to be adopted by the Company's Board of Directors on August 20, 2004 (the ""Stock Option Plan"") and any stock option agreement entered into by the Company and the Executive. The exercise price for each option granted to the Executive shall be US$1.5. Each quarterly grant shall consist of the quantity of shares of common stock of the Company whose aggregate market price at close of trading on the date of grant minus their aggregate exercise price equals $7,500.00. The Executive's right to receive any quarterly grant of stock options is subject to and conditional upon his status as a full-time employee of the Company at the time of such grant, and the Executive shall not be entitled to any portion of any quarterly grant that has not already been awarded to him prior to his last date of full-time employment with the Company.",stock-options
"Stock Options. (a) Subject to Section 5.5(b), at the Effective Time, all rights with respect to Company Common Stock under each Company Option then outstanding shall be converted into and become rights with respect to Parent Common Stock, and Parent shall assume each such Company Option in accordance with the requirements of Section 424(a) of the Code (as in effect as of the date of this Agreement) and the terms of the stock option plan under which it was issued and the stock option agreement by which it is evidenced. From and after the Effective Time, (i) each Company Option assumed by Parent may be exercised solely for shares of Parent Common Stock, (ii) the number of shares of Parent Common Stock subject to each such Company Option shall be equal to the number of shares of Company Common Stock subject to such Company Option immediately prior to the Effective Time multiplied by the Exchange Ratio, rounding down to the nearest whole share (with cash, less the applicable exercise price, being payable for any fraction of a share), (iii) the per share exercise price under each such Company Option shall be adjusted by dividing the per share exercise price under such Company Option by the Exchange Ratio and rounding up to the nearest cent and (iv) any restriction on the exercise of any such Company Option shall continue in full force and effect and the term, exercisability, vesting schedule and other provisions of such Company Option shall otherwise remain unchanged; provided, however, that each Company Option assumed by Parent in accordance with this Section 5.5(a) shall, in accordance with its terms, be subject to further adjustment as appropriate to reflect any stock split, stock dividend, reverse stock split, reclassification, recapitalization or other similar transaction subsequent to the Effective Time.",stock-options
"Stock Options. With respect to the stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Code so qualifies, (ii) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto, (iii) each such grant was made in accordance with the terms of the Company Stock Plans and (iv) each such grant was properly accounted for in accordance with GAAP in the financial statements (including the related notes) of the Company.",stock-options
"Stock Options. The Executive is hereby granted stock options (the “Stock Options”) to purchase 300,000 shares of ELC’s common stock at a price (the “Exercise Price”) equal to i) the closing price of the common stock on the first day of the Employment Period, or ii) $1.00, which ever is greater. Such Stock Options shall vest in accordance with the following schedule: • Upon execution of this Agreement and the start of the Employment Period, Executive shall become immediately vested in Stock Options to purchase 100,000 shares of the Company’s common stock at the Exercise Price; and • On the first anniversary of the first day of the Employment Period, so long as Executive is employed by the Company as its President on such date, Executive shall become immediately vested in Stock Options to purchase 100,000 shares of the Company’s common stock at the Exercise Price; and • On the second anniversary of the first day of the Employment Period, so long as Executive is employed by the Company as its President on such date, Executive shall become immediately vested in Stock Options to purchase 100,000 shares of the Company’s common stock at the Exercise Price. For all purposes of this Section 5, a “Change in Control” shall be deemed to have occurred when (i) ELC is merged or consolidated with another entity which is not then controlled by ELC and, as a result, such merger or consolidation results in at least fifty-one percent (51%) or greater of ELC’s common stock being controlled or owned by another entity, or (ii) a majority of the ELC’s assets are sold or otherwise transferred to another entity that is not then controlled by or affiliated with ELC. Upon the occurrence of a Change in Control, the Stock Options granted pursuant to this Section 5 shall be automatically and immediately vested and become exercisable by Executive, subject to the terms of Section 8 of this Agreement. Unless otherwise provided herein, the terms of the Stock Options granted pursuant to this Section 5 shall be governed in accordance with the provisions of ELC’s 2001 Employee Stock Incentive Plan (the “Plan”). The Stock Options issued pursuant to this agreement shall be incentive stock options to the extent permitted by law and the terms of the Plan, and the balance shall be non-qualified options. If Executive’ employment with the Company is terminated, as provided in Section 8, such Stock Options (whether or not vested) shall survive or terminate as provided under Section 8.",stock-options
"Stock Options. At the Effective Time, each option outstanding (and which by its terms does not lapse on or before the Effective Time) to purchase Company Common Stock (a ""Company Stock Option"") granted under the Company's 1993 Employee Stock Option Plan, as amended (the ""Company Employee Option Plan""), or the Company's 1993 Outside Director Stock Option Plan (the ""Company Director Plan"" and, together with the Company Employee Option Plan, the ""Company Option Plans""), whether or not then vested or exercisable, shall be replaced by a comparable option to purchase Parent Common Stock (a ""Parent Stock Option""), after giving effect to the requirements of the Company Option Plans (including without limitation any provisions with respect to a change of control of the Company) pursuant to which it was granted and any stock option agreement by which it is evidenced. Notwithstanding the foregoing, in the event that, as of the Effective Time, Parent shall not have reserved a sufficient number of shares for issuance upon exercise of each of the Parent Stock Options contemplated by this Section 2.5, then, to the extent of such deficiency and on a pro rata basis, each holder of a Company Stock Option (whether or not then vested or exercisable) shall be entitled to receive, immediately prior to the Effective Time, cash in an amount equal to the difference between (A) the Base Consideration Value minus (B) the per-share exercise price of the applicable Company Stock Option. It is intended that the foregoing provisions shall be undertaken in a manner that will not constitute a ""modification"" as defined in Section 424 of the Code as to any stock option which is an ""incentive stock option."" Each Parent Stock Option shall be exercisable for that number of shares of Parent Common Stock equal to the number of the Company Shares subject to the corresponding Company Stock Option multiplied by the Stock Exchange Ratio, and shall have an exercise price per share equal to its exercise price per Company Share divided by the Stock Exchange Ratio (the ""Adjusted Strike Price""). Any resulting fractional share of Parent Common Stock shall be rounded down to the nearest whole share and Parent shall pay an amount in cash to the holder of such Company Stock Option at the Effective Time equal to the product of such fractional share of Parent Common Stock multiplied by an amount equal to the Stock Value minus the Adjusted Strike Price. Parent and the Company shall use commercially reasonable efforts to take ...",stock-options
"Stock Options. With respect to the stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto, (ii) each such grant was made in accordance with the terms of the Company Stock Plans, the Exchange Act and all other applicable laws and regulatory rules or requirements, including the rules of The Nasdaq Global Select Market (the “Nasdaq Market”) and any other exchange on which Company securities are traded, and with an exercise price per share not less than the Grant Date fair market value of the underlying shares and (iii) each such grant was properly accounted for in accordance with GAAP in the financial statements (including the related notes) of the Company and disclosed in the Company’s filings with the Commission, to the extent required.",stock-options
"Stock Options. The Executive shall be granted options (""Options"") to purchase an aggregate of 400,000 shares of Common Stock at an exercise price of the fair market value of the date of the grant, and shall be exercisable for a period of four (4) years from the date of vesting unless sooner terminated, as described herein. The date of grant shall be the Effective Date of this Agreement. The Options shall vest in installments of 100,000 options each, on each anniversary of the Effective Date of this Agreement, subject to anti-dilution provisions relating to adjustments in the event that the Company, among other things, declares stock dividends, effects forward or reverse stock splits. In addition, the Options shall automatically vest upon the happening of the following events: (i) change of control of the Company, as defined herein; (ii) Constructive Termination, as defined herein, of the Executive; and (iii) termination of the Executive other than for Cause, as defined herein. The unvested Options shall automatically terminate upon the happening of the following: (i) the Executive’s termination for Cause, as defined herein; and (ii) the Executive’s voluntary termination. In the event this Agreement is not renewed or the Executive is terminated other than for Cause, the Executive shall be entitled to register the stock underlying the Options provided hereunder on the terms and conditions set forth in a registration rights agreement to be mutually agreed upon by and between Executive and the Company. The Company shall file such Registration Statement as promptly as practicable and at its sole expense. The Company will use its reasonable best efforts through its officers, directors, auditors and counsel in all matters necessary or advisable to file and cause to become effective such Registration Statement as promptly as practicable. Upon any termination of the Executive, or if there shall be a Change in Control as defined in the Agreement, and if the 5 day average closing stock price is equal to or greater than the exercise price ($2.50) of the option on the date of termination or Change in Control, the Company will cancel the Options and will issue fully paid shares in replacement of the Options (“Paid Shares”). The Company will pay any and all income taxes incurred by Executive from the issuance of the Paid Shares; such reimbursement to be made within thirty (30) days of Executive’s request for reimbursement accompanied by appropriate supporting paperwork, but in no event...",stock-options
"Stock Options. With respect to the stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Code so qualifies, (ii) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder",stock-options
"Stock Options. Subject to the approval of the Company’s Board of Directors, you will be granted an option to purchase 225,600 shares of the Company’s Common Stock. The exercise price per share will be determined by the Board of Directors when the option is granted. The option will be subject to the terms and conditions applicable to options granted under the Company’s Amended and Restated 2007 Stock Plan (the “Plan”), as described in the Plan and the applicable Stock Option Agreement. You will vest in 50% of the option shares after 12 months of continuous service, and the balance will vest in equal monthly installments over the next 12 months of continuous service, as described in the applicable Stock Option Agreement. In addition, you will vest in 50% of your remaining unvested option shares if the Company is subject to a Change in Control before your service with the Company terminates. In the event that the Employee is subject, after a Change in Control, to a termination by the Company for reasons other than Cause, then the Employee shall vest in a further 50% of any remaining unvested option shares.",stock-options
"Stock Options. Stock options granted to the Executive by the Company and which remain outstanding immediately prior to the date of termination of the Executive’s employment, as provided in Section 7(b), shall remain outstanding until and shall immediately become vested in full upon the Release becoming irrevocable.",stock-options
"Stock Options a. During the Term of Employment, the Executive shall be eligible to be granted options (the ""Stock Options"") to purchase the Common Stock of the Company under (and therefore subject to) all terms and conditions of the Company's Stock Option Plan. The number of Stock Options and terms and conditions of the Stock Options shall be determined by the Committee appointed pursuant to the Stock Option Plan, or by the Board of Directors of the Company, in its discretion and pursuant to the Stock Option Plan.",stock-options
"Stock Options. The Executive will be granted incentive stock options pursuant to the Company's Stock Option Plan to purchase up to 25,000 shares of the Company's common stock at an exercise price equal to the fair market value of the Company's common stock on the day of the grant, subject to board approval. The day of the grant will be the first calendar day following the date on which the Company acquires Apexx Technology, Inc. Shares shall vest over a 36 month period with no vesting until the beginning of the eighth month at which time seven-thirty-sixths (7/36) of the options will vest, and then one-thirty-sixth (1/36) will vest after the beginning of each month thereafter. Vesting shall occur as long as the Executive remains an employee of the Company. The options, once vested shall have an expiration date of 4 years from the date of grant of the option. In addition, the Executive may participate in stock option programs of the Company upon such terms as the administrators of such programs in their discretion determine.",stock-options
"Stock Options. With respect to the stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Code so qualifies, and (ii) since June 19, 2006 (the “Initial Trading Date”): (a) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective (the “Grant Date”) by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, (b) each such grant was made in accordance with the terms of the Company Stock Plans, the Exchange Act and all other applicable laws and regulatory rules or requirements, including the rules of the Nasdaq Global Select Market and any other exchange on which Company securities are traded, (c) the per share exercise price of each Stock Option was not less than the fair market value of a share of Common Stock on the applicable Grant Date (as determined in accordance with the terms of the Company Stock Plans) and (d) each such grant was properly accounted for in accordance with GAAP in the financial statements (including the related notes) of the Company and disclosed in the Company’s filings with the Commission in accordance with the Exchange Act and all other applicable laws. Since the Initial Trading Date, the Company has not knowingly granted, and there is no and has been no policy or practice of the Company of granting, Stock Options prior to, or otherwise coordinate the grant of Stock Options with, the release or other public announcement of material information regarding the Company or its subsidiaries or their results of operations or prospects.",stock-options
"Stock Options. (a) As of the date of the First Amended Agreement, the Company granted (the ""Original Grant"") to Executive stock options to purchase 600,000 shares of the Company's common stock (the ""Shares""), pursuant to the Company's 2000 Stock Plan (the ""Plan""), generally having a term of ten years, vesting and exercisable as hereinafter set forth, and otherwise in the form attached hereto as Exhibit C. The Original Grant was intended, to the extent legally permissible, to comprise ""incentive stock options"", with the balance being ""nonqualified stock options"", and the exercise price per share was to be based on the fair market value of the Company's common stock at the time of grant as determined by the Board in its good faith discretion. Subject to Executive being employed hereunder at the time of each vesting, as applicable, the Original Grant was to vest and become exercisable as follows: (i) 45,000 shares on each of the four anniversary dates following July 12, 2004; and (ii) 420,000 shares according to the milestones established in Exhibit B attached to the First Amended Agreement, of which two milestones covering 200,000 shares have lapsed and expired and the related 200,000 shares are not exercisable and have been returned to the Plan, leaving a remainder of 220,000 shares subject to vesting according to Exhibit B attached to this Agreement. After execution of the First Amended Agreement, on December 14, 2005, the Company further granted Executive a ""nonqualified stock option"" for the purchase of 65,000 shares of common stock at a price based on the fair market value at the time of grant as determined by the Board in its good faith discretion. As a result of the foregoing grants, vesting that has occurred thereunder to the date of this Agreement, and the lapse of two of the milestones described in the First Amended Agreement, the options currently held by Executive are as follows: In addition, a portion of the unvested Options shall vest as described in Sections 6.3 and 7 hereof. If the Company's common stock is registered under Section 12 of the Securities Exchange Act of 1934 (the ""Exchange Act""), the Company shall use its good faith efforts to register under the Securities Act of 1933 on Form S-8 (or any successor form) all common stock issued and/or issuable under the 2000 Stock Plan, including the Shares subject to the Original Grant and all other stock options or incentives granted or awarded to Executive under the 2000 Stock Plan, and its good faith effor...",stock-options
"Stock Options. (a) Either prior to or as soon as practicable following the consummation of the Offer, the Company Board (or, if appropriate, any committee administering the Stock Plans) shall adopt such resolutions or take such other actions as are required to adjust the terms of all outstanding Stock Options heretofore granted under any stock option program or arrangement of the Company (collectively, the ""Stock Plans"") or any other stock option plan to provide that, at the Effective Time of the Merger, each Stock Option outstanding immediately prior to the acceptance for payment of shares of Common Stock pursuant to the Offer (whether or not vested) shall be canceled in exchange for a cash payment by the Company of, or can only be exercised for net cash equal to, an amount equal to (i) the excess, if any, of (A) the price per share of Common Stock to be paid pursuant to the Offer over (B) the exercise price per share of Common Stock subject to such Stock Option, multiplied by (ii) the number of shares of Common Stock for which such Stock Option shall not theretofore have been exercised. The Company represents and warrants that no consents of the holders of the Stock Options are necessary to effectuate the foregoing cash-out. After the date of this Agreement, neither the Company Board nor any committee thereof shall cause any Stock Option to become exercisable as a result of the execution of the Operative Agreements or the consummation of the Transactions.",stock-options
"Stock Options. All options to purchase common shares of the Corporation granted to the Executive shall vest and become immediately exercisable upon the occurrence of a Change in Control. In the event that the Executive is entitled to a payment pursuant to section 2.01 or 2.02 hereof, the term during which any option to purchase common shares of the Corporation granted to the Executive by the Corporation or any subsidiary of the Corporation may be exercised shall be extended to the later of the expiry date of the option and 24 months after the date of the giving of notice by the Executive pursuant to section 2.01 hereof or the dismissal from employment with the Corporation of the Executive as referred to in section 2.02 hereof, as the case may be, provided that the maximum term of any such option shall not exceed 10 years from the date of grant of such option. In addition, in such event any provisions of such an option which restricts the number of common shares of the Corporation which may be purchased before a particular date shall be waived. In the event that the price at which common shares of the Corporation may be purchased upon the exercise of any option granted at the same time as the option was granted to the Executive is reduced, the price at which common shares of the Corporation may be purchased by the Executive pursuant to the exercise of the option held by the Executive shall be reduced to the lowest price at which common shares of the Corporation may be purchased pursuant to any such option. The terms of any option agreement evidencing such option shall be deemed to be amended to reflect the provisions of this section 2.04. Nothing in the provisions hereof shall preclude the Executive from participating in any purchase or exchange of options or shares which may occur upon a Change in Control.",stock-options
"Stock Options. With respect to the outstanding stock options (the “Stock Options”) granted pursuant to the stock-based compensation plans of the Company and its subsidiaries (the “Company Stock Plans”), (i) other than Stock Options granted under the Company’s 2003 Stock Plan and 2005 Stock Plan, each Stock Option intended to qualify as an “incentive stock option” under Section 422 of the Internal Revenue Code of 1986, as amended (the “Code”) so qualifies, (ii) each grant of a Stock Option was duly authorized no later than the date on which the grant of such Stock Option was by its terms to be effective by all necessary corporate action, including, as applicable, approval by the board of directors of the Company (or a duly constituted and authorized committee thereof) and any required stockholder approval by the necessary number of votes or written consents, and the award agreement governing such grant (if any) was duly executed and delivered by each party thereto, and (iii) each such grant was made in accordance with the terms of the Company Stock Plans, the Exchange Act and all other applicable laws and regulatory rules or requirements, including the rules of the Nasdaq Global Select Market (the “NASDAQ Market”). Each Company Stock Plan is accurately described in all material respects in the Registration Statement, the Pricing Disclosure Package and the Prospectus. The Company has not knowingly granted, and there is no and has been no policy or practice of the Company of granting, Stock Options prior to, or otherwise coordinating the grant of Stock Options with, the release or other public announcement of material information regarding the Company or its subsidiaries or their results of operations or prospects.",stock-options
"Stock Options. The Company hereby agrees to grant to the Executive an option to purchase 83,333 shares of common stock of the Company on the date hereof and on each anniversary of the date of this Agreement during the Term (each such grant, an “Option”); provided, that, the Executive is employed by the Company on each such date. The respective exercise price per share of each Option shall be no less than the fair market value of the underlying shares on the date the Option is granted. If the Option is granted on or prior to the date of the Company’s initial public offering of its common stock pursuant to an effective registration statement filed with the Securities Exchange Commission (the “IPO”), the fair market value of the Company’s common stock shall be determined in good faith by the Board in compliance with Section 409A of the Internal Revue Code of 1986, as amended (the “Code”). If the Option is granted after the IPO, the fair market value of the Company’s common stock shall be determined based on the closing price on the trading day immediately before the grant date. Subject to accelerated vesting provisions set forth in Section 6 herein, each Option shall vest as to twenty percent (20%) of the shares subject to such Option on the first anniversary of the grant of such Option and as to twenty percent (20%) of the shares subject to such Option on each anniversary thereafter, subject to the Executive’s continued employment with the Company on the relevant vesting dates. In all other respects, each Option shall be subject to the terms, definitions and provisions of the Company’s 2008 Stock Option Plan, as amended from time to time, and the stock option agreement by and between the Executive and the Company (the “Option Agreement”).",stock-options
"Stock Options. The Company shall grant to the Executive an option to purchase 50,000 of shares of Common Stock of the Company at a purchase price not to exceed $18.05 per share based upon a valuation of the Company as of May 24, 2000, to be determined by the Option Committee of the Company's Board of Directors. The options will be evidenced by a separate Option Agreement and will be granted pursuant to, and subject to the terms and conditions of the Company's 1998 Stock Option Plan for Key Employees. The options will vest in five (5) equal installments over five years and become exercisable in the manner and at the times provided in the Option Agreement. Vesting will be accelerated if there is a change in control.",stock-options
"Stock Options. The Executive shall be eligible for an annual incentive stock option grant subject to the approval of the Board. The per share exercise price of the option will be equal to the per share fair market value of the common stock on the date of grant, as determined by the Board of Directors. The term of such option shall be ten (10) years, subject to earlier expiration in the event of the termination of the Executive’s Employment. Such option shall be immediately exercisable, but the purchased shares shall be subject to repurchase by the Company at the exercise price in the event that the Executive’s Employment terminates before he vests in the shares. The Executive shall vest in 25% of the option shares after the first twelve (12) months of continuous service and shall vest in the remaining option shares in equal monthly installments over the next three (3) years of continuous service. The grant of each such option shall be subject to the other terms and conditions set forth in the Company’s 2001 Stock Incentive Plan and in the Company’s standard form of stock option agreement.",stock-options
"Stock Options. At the Effective Time, each then-outstanding option to purchase Shares granted under any stock option or compensation plan or arrangement of the Company (a “Company Stock Option”), whether or not vested or exercisable, shall vest and be canceled, and, in exchange therefor, the Surviving Corporation shall pay to each former holder of any such Company Stock Option at or promptly after the Effective Time an amount in cash equal to the product of (a) the excess, if any, of the Merger Consideration over the applicable exercise price per Share of such Company Stock Option and (b) the number of Shares such holder could have purchased (assuming full vesting of such Company Stock Option) had such holder exercised such Company Stock Option in full immediately prior to the Effective Time.",stock-options
"Stock Options. Employer shall grant Employee as of the date hereof a nonqualified stock option under Employer’s 2000 Long-Term Incentive Plan (the “Plan”) to purchase 150,000 shares of Employer’s common stock (the “Option”). The Option shall vest and become exercisable in 36 equal monthly installments beginning on the one-month anniversary of the date of grant, provided, in each case, that Employee remains in the continuous employ of Employer through such anniversary date. The Option shall (a) be exercisable at an exercise price equal to $0.79 per share, (b) have a term of ten years, and (c) be on such other terms as shall be determined by Employer’s Board of Directors (or the Compensation Committee of the Board) and set forth in a customary form of stock option agreement under the Plan evidencing the Option. Notwithstanding anything to the contrary in Section 7.2 or other provision of this Agreement or of the stock option agreement evidencing the Option, upon the occurrence of a “Change in Control” (as defined in the Plan), the Option shall thereupon vest and become exercisable as to all of the shares covered thereby in accordance with the terms of the Plan.",stock-options
