clause_text,clause_type
"Subordination. This Lease and any Option granted hereby shall be subject and subordinate to any ground lease, mortgage, deed of trust, or other hypothecation or security device (collectively, “Security Device”), now or hereafter placed upon the Premises, to any and all advances made on the security thereof, and to all renewals, modifications, and extensions thereof. Lessee agrees that the holders of any such Security Devices (in this Lease together referred to as “Lender”) shall have no liability or obligation to perform any of the obligations of Lessor under this Lease. Any Lender may elect to have this Lease and/or any Option granted hereby superior to the lien of its Security Device by giving written notice thereof to Lessee, whereupon this Lease and such Options shall be deemed prior to such Security Device, notwithstanding the relative dates of the documentation or recordation thereof.",subordination
"Subordination. Notwithstanding any provision of this Agreement to the contrary, all rights of the Guarantors under Sections 1 and 2 and all other rights of indemnity, contribution or subrogation under applicable law or otherwise shall be fully subordinated to the indefeasible payment in full in cash of the Obligations. No failure on the part of the Borrower or any Guarantor to make the payments required by Sections 1 and 2 (or any other payments required under applicable law or otherwise) shall in any respect limit the obligations and liabilities of any Guarantor with respect to its obligations hereunder, and each Guarantor shall remain liable for the full amount of the obligations of such Guarantor hereunder.",subordination
"Subordination. At the option of Landlord or any lender of Landlord's that obtains a security interest in the Building, this Lease shall be either superior or subordinate to all ground or underlying leases, mortgages and deeds of trust, if any, which may hereafter affect the Building, and to all renewals, modifications, consolidations, replacements and extensions thereof; provided, that so long as no Event of Default exists under this Lease, Tenant's possession and quiet enjoyment of the Premises shall not be disturbed and this Lease shall not terminate in the event of termination of any such ground or underlying lease, or the foreclosure of any such mortgage or deed of trust, to which this Lease has been subordinated pursuant to this Section. Tenant shall execute and deliver any documents or agreements requested by Landlord or such lessor or lender which provide Tenant with the non-disturbance protections set forth in this Section. In the event of a termination or foreclosure, Tenant shall become a tenant of and attorn to the successor-in-interest to Landlord upon the same terms and conditions as are contained in this Lease, and shall execute any instrument reasonably required by Landlord's successor for that purpose. Tenant shall also, upon written request of Landlord, execute and deliver all instruments as may be required from time to time to subordinate the rights of Tenant under this Lease to any ground or underlying lease or to the lien of any mortgage or deed of trust (provided that such instruments include the nondisturbance and attornment provisions set forth above), or, if requested by Landlord, to subordinate, in whole or in part, any ground or underlying lease or the lien of any mortgage or deed of trust to this Lease. Tenant agrees that any purchaser at a foreclosure sale or lender taking title under a deed-in-lieu of foreclosure shall not be responsible for any act or omission of a prior landlord, shall not be subject to any offsets or defenses Tenant may have against a prior landlord, and shall not be liable for the return of the security deposit to the extent it is not actually received by such purchaser or bound by any rent paid for more than the current month in which the foreclosure occurred.",subordination
"Subordination. Each Guarantor hereby subordinates the payment of all obligations and indebtedness of the Borrower owing to such Guarantor, whether now existing or hereafter arising, including but not limited to any obligation of the Borrower to such Guarantor as subrogee of the Secured Parties or resulting from such Guarantor’s performance under this Guaranty, to the indefeasible payment in full in cash of all Obligations. If the Secured Parties so request, any such obligation or indebtedness of the Borrower to any Guarantor shall be enforced and performance received by any Guarantor as trustee for the Secured Parties and the proceeds thereof shall be paid over to the Secured Parties on account of the Obligations, but without reducing or affecting in any manner the liability of the Guarantors under this Guaranty.",subordination
"Subordination. Each Guarantor hereby subordinates any and all debts, liabilities and other Obligations owed to such Guarantor by each other Loan Party (the “Subordinated Obligations”) to the Guaranteed Obligations to the extent and in the manner hereinafter set forth in this Section 7.07.",subordination
"Subordination. Landlord hereby represents and warrants to Tenant that the Project is not currently subject to any ground lease, or to the lien of any mortgage or deed of trust. This Lease shall be subject and subordinate to all future ground or underlying leases of the Building or Project and to the lien of any mortgage, trust deed or other encumbrances now or hereafter in force against the Building or Project or any part thereof, if any, and to all renewals, extensions, modifications, consolidations and replacements thereof, and to all advances made or hereafter to be made upon the security of such mortgages or trust deeds, unless the holders of such mortgages, trust deeds or other encumbrances, or the lessors under such ground lease or underlying leases, require in writing that this Lease be superior thereto. The subordination of this Lease to any such future ground or underlying leases of the Building or Project or to the lien of any mortgage, trust deed or other encumbrances, shall be subject to Tenant’s receipt of a commercially reasonable subordination, non-disturbance, and attornment agreement in favor of Tenant. Tenant covenants and agrees in the event any proceedings are brought for the foreclosure of any such mortgage or deed in lieu thereof (or if any ground lease is terminated), to attorn, without any deductions or set-offs whatsoever, to the lienholder or purchaser or any successors thereto upon any such foreclosure sale or deed in lieu thereof (or to the ground lessor), if so requested to do so by such purchaser or lienholder or ground lessor, and to recognize such purchaser or lienholder or ground lessor as the lessor under this Lease, provided such lienholder or purchaser or ground lessor shall agree to accept this Lease and not disturb Tenant’s occupancy, so long as Tenant timely pays the rent and observes and performs the terms, covenants and conditions of this Lease to be observed and performed by Tenant. Landlord’s interest herein may be assigned as security at any time to any lienholder. Tenant shall, within ten (10) days of request by Landlord, execute such further instruments or assurances as Landlord may reasonably deem necessary to evidence or confirm the subordination or superiority of this Lease to any such mortgages, trust deeds, ground leases or underlying leases. Tenant waives the provisions of any current or future statute, rule or law which may give or purport to give Tenant any right or election to terminate or otherwise adversely affect ...",subordination
"Subordination. (a) This Lease, and any Option or right of first refusal granted hereby, at Lessor's option, shall be subordinate to any ground lease, mortgage, deed of trust, or any other hypothecation or security now or hereafter placed upon the Office Building Project and to any and all advances made on the security thereof and to all renewals, modifications, consolidations, replacements and extensions thereof. Notwithstanding such subordination, Lessee's right to quiet possession of the Premises shall not be disturbed if Lessee is not in default and so long as Lessee shall pay the rent and observe and perform all of the provisions of this Lease, unless this Lease is otherwise terminated pursuant to its terms. If any mortgagee, trustee or ground lessor shall elect to have this Lease and any Options granted hereby prior to the lien of its mortgage, deed of trust or ground lease, and shall give written notice thereof to Lessee, this Lease and such Options shall be deemed prior to such mortgage, deed of trust or ground lease, whether this Lease or such Options are dated prior or subsequent to the date of said mortgage, deed of trust or ground lease or the date of recording thereof.",subordination
"Subordination. This Lease and Tenant’s interest and rights hereunder are hereby made and shall be subject and subordinate at all times to the lien of any Mortgage now existing or hereafter created on or against the Project or the Premises, and all amendments, restatements, renewals, modifications, consolidations, refinancing, assignments and extensions thereof, without the necessity of any further instrument or act on the part of Tenant; provided, however that so long as there is no Default hereunder, Tenant’s right to possession of the Premises shall not be disturbed by the Holder of any such Mortgage. Tenant agrees, at the election of the Holder of any such Mortgage, to attorn to any such Holder. Tenant agrees upon demand to execute, acknowledge and deliver such instruments, confirming such subordination, and such instruments of attornment as shall be requested by any such Holder, provided any such instruments contain appropriate non-disturbance provisions assuring Tenant’s quiet enjoyment of the Premises as set forth in Section 24 hereof. Notwithstanding the foregoing, any such Holder may at any time subordinate its Mortgage to this Lease, without Tenant’s consent, by notice in writing to Tenant, and thereupon this Lease shall be deemed prior to such Mortgage without regard to their respective dates of execution, delivery or recording and in that event such Holder shall have the same rights with respect to this Lease as though this Lease had been executed prior to the execution, delivery and recording of such Mortgage and had been assigned to such Holder. The term “Mortgage” whenever used in this Lease shall be deemed to include deeds of trust, security assignments and any other encumbrances, and any reference to the “Holder” of a Mortgage shall be deemed to include the beneficiary under a deed of trust.",subordination
"Subordination. This Lease is subject and subordinate to all present and future ground leases of the Project and to the lien of any mortgages or trust deeds, now or hereafter in force against the Project, if any, and to all renewals, extensions, modifications, consolidations and replacements thereof, and to all advances made or hereafter to be made upon the security of such mortgages or trust deeds, unless the holders of such mortgages or trust deeds, or the lessors under such ground lease, require in writing that this Lease be superior thereto; provided, however, in all cases, so long as there is no default under this Lease (beyond any applicable notice and cure periods), Tenant’s right to possession of the Premises in accordance with the terms of this Lease shall not be disturbed by any such ground lessor or holder of a mortgage/deed of trust and their successors (including purchases at a foreclosure) and Tenant’s right under this Lease shall be recognized by such ground lessor or holder and their successors (including purchasers at a foreclosure). Tenant covenants and agrees in the event any proceedings are brought for the foreclosure of any such mortgage, or if any ground lease is terminated, to attorn, without any deductions or set-offs whatsoever, to the purchaser upon any such foreclosure sale, or to the lessor of such ground lease, as the case may be, if so requested to do so by such purchaser or lessor, and to recognize such purchaser or lessor as the lessor under this Lease. Tenant shall, within fifteen (15) business days of request by Landlord, execute such further commercially reasonable instruments or assurances as Landlord may reasonably deem necessary to evidence or confirm the subordination or superiority of this Lease to any such mortgages, trust deeds, or ground leases, provided that any such instruments contain commercially reasonable non-disturbance provisions assuring Tenant’s quiet enjoyment of the Premises in accordance with the terms of this Lease and that Tenant’s rights under this Lease shall be recognized by such ground lessor or holder and their successors (including purchasers at a foreclosure). Tenant waives the provisions of any current or future statute, rule or law which may give or purport to give Tenant any right or election to terminate or otherwise adversely affect this Lease and the obligations of the Tenant hereunder in the event of any foreclosure proceeding or sale. As of the date of this Lease, Landlord represents and warrants to ...",subordination
"Subordination. This Lease and any Option granted hereby shall be subject and subordinate to any ground lease, mortgage, deed of trust, or other hypothecation or security device (collectively, ""Security Device""), now or hereafter placed by Lessor upon the real property of which the Premises are a part, to any and all advances made on the security thereof, and to all renewals, modifications, consolidations, replacements and extensions thereof. Lessee agrees that the Lenders holding any such Security Device shall have no duty, liability or obligation to perform any of the obligations of Lessor under this Lease, but that in the event of Lessor's default with respect to any such obligation, Lessee will give any Lender whose name and address have been furnished Lessee in writing for such purpose notice of Lessor's default pursuant to Paragraph 13.5. If any Lender shall elect to have this Lease and/or any Option granted hereby superior to the lien of its Security Device and shall give written notice thereof to Lessee, this Lease and such Options shall be deemed prior to such Security Device, notwithstanding the relative dates of the documentation or recordation thereof.",subordination
