clause_text,clause_type
"Subrogation. In the event of payment under this Agreement, the Company shall be subrogated to the extent of such payment to all of the rights of recovery of Indemnitee, who shall execute all papers required and shall do everything that may be necessary to secure such rights, including the execution of such documents necessary to enable the Company effectively to bring suit to enforce such rights.",subrogation
"Subrogation. The Guarantor shall be subrogated to all (if any) rights of the Holders of Capital Securities against the Issuer in respect of any amounts paid to such Holders by the Guarantor under this Guarantee; provided, however, that the Guarantor shall not (except to the extent required by applicable provisions of law) be entitled to enforce or exercise any right that it may acquire by way of subrogation or any indemnity, reimbursement or other agreement, in all cases as a result of payment under this Guarantee, if, after giving effect to any such payment, any amounts are due and unpaid under this Guarantee. If any amount shall be paid to the Guarantor in violation of the preceding sentence, the Guarantor agrees to hold such amount in trust for the Holders and to pay over such amount to the Holders.",subrogation
"Subrogation. Subject to the payment in full of all Senior Indebtedness, the Securityholders shall be subrogated to the rights of the holders of such Senior Indebtedness to receive payments or distributions of cash, property or securities of the Company, applicable to such Senior Indebtedness until the principal of (and premium, if any) and interest on the Debentures shall be paid in full. For the purposes of such subrogation, no payments or distributions to the holders of such Senior Indebtedness of any cash, property or securities to which the Securityholders or the Trustee would be entitled except for the provisions of this Article XV, and no payment over pursuant to the provisions of this Article XV to or for the benefit of the holders of such Senior Indebtedness by Securityholders or the Trustee, shall, as between the Company, its creditors other than holders of Senior Indebtedness of the Company, and the holders of the Debentures be deemed to be a payment or distribution by the Company to or on account of such Senior Indebtedness. It is understood that the provisions of this Article XV are and are intended solely for the purposes of defining the relative rights of the holders of the Securities, on the one hand, and the holders of such Senior Indebtedness, on the other hand. Nothing contained in this Article XV or elsewhere in this Indenture or in the Debentures is intended to or shall impair, as between the Company, its creditors other than the holders of Senior Indebtedness, and the holders of the Debentures, the obligation of the Company, which is absolute and unconditional, to pay to the holders of the Debentures the principal of (and premium, if any) and interest on the Debentures as and when the same shall become due and payable in accordance with their terms, or is intended to or shall affect the relative rights of the holders of the Debentures and creditors of the Company, other than the holders of Senior Indebtedness, nor shall anything herein or therein prevent the Trustee or the holder of any Debenture from exercising all remedies otherwise permitted by applicable law upon default under this Indenture, subject to the rights, if any, under this Article XV of the holders of such Senior Indebtedness in respect of cash, property or securities of the Company, received upon the exercise of any such remedy. Upon any payment or distribution of assets of the Company referred to in this Article XV, the Trustee, subject to the provisions of Article VI of this Inden...",subrogation
"Subrogation. Each Guarantor shall be subrogated to all rights of Holders of Notes against the Issuer in respect of any amounts paid by any Guarantor pursuant to the provisions of Section 10.01 hereof; provided that, if an Event of Default has occurred and is continuing, no Guarantor shall be entitled to enforce or receive any payments arising out of, or based upon, such right of subrogation until all amounts then due and payable by the Issuer under this Indenture or the Notes shall have been paid in full.",subrogation
"Subrogation. After all Senior Debt is paid in full and until the Notes are paid in full, Holders of Notes shall be subrogated (equally and ratably with all other Indebtedness pari passu with the Notes) to the rights of holders of Senior Debt to receive distributions applicable to Senior Debt to the extent that distributions otherwise payable to the Holders of Notes have been applied to the payment of Senior Debt. A distribution made under this Article 10 to holders of Senior Debt that otherwise would have been made to Holders of Notes is not, as between the Company and Holders, a payment by the Company on the Notes.",subrogation
"Subrogation. No Guarantor shall exercise any right of subrogation, contribution, indemnity, reimbursement or similar rights with respect to any payments it makes under this Guaranty until all of the Secured Obligations and any amounts payable under this Guaranty have been indefeasibly paid and performed in full and the Commitments and the Facilities are terminated. If any amounts are paid to a Guarantor in violation of the foregoing limitation, then such amounts shall be held in trust for the benefit of the Secured Parties and shall forthwith be paid to the Secured Parties to reduce the amount of the Secured Obligations, whether matured or unmatured.",subrogation
"Subrogation. The Guaranteeing Subsidiary shall be subrogated to all rights of Holders of Notes against the Issuer in respect of any amounts paid by the Guaranteeing Subsidiary pursuant to the provisions of Section 2 hereof and Section 10.01 of the Indenture; provided that, if an Event of Default has occurred and is continuing, the Guaranteeing Subsidiary shall not be entitled to enforce or receive any payments arising out of, or based upon, such right of subrogation until all amounts then due and payable by the Issuer under the Indenture or the Notes shall have been paid in full.",subrogation
"Subrogation. If one Party or its designated agency makes a payment to its investors under a guarantee or a contract of insurance against non-commercial risks it has accorded in respect of an investment made in the territory of the other Party, the latter Party shall recognize: (a) the assignment, whether under the law or pursuant to a legal transaction in the former Party, of any rights or claims by the investors to the former Party or to its designated agency; (b) that the former Party or its designated agency is entitled by virtue of subrogation to exercise the rights and enforce the claims of that investor and assume the obligations related to the investment to the same extent as the investor.",subrogation
"Subrogation. Upon payment by the Receiver, or the Corporation as guarantor in accordance with Section 12.7, to any Indemnitee for any claims indemnified by the Receiver under this Article XII, the Receiver, or the Corporation as appropriate, shall become subrogated to all rights of the Indemnitee against any other Person to the extent of such payment.",subrogation
"Subrogation. After all Senior Indebtedness is paid in full and until the Subordinated Securities are paid in full, Holders thereof shall be subrogated to the rights of holders of Senior Indebtedness to receive distributions applicable to Senior Indebtedness. A distribution made under this Article XIV to holders of Senior Indebtedness that otherwise would have been made to Holders of Subordinated Securities is not, as between the Company and such Holders, a payment by the Company on Senior Indebtedness.",subrogation
