clause_text,clause_type
Successors and Assigns. This Agreement shall be binding upon and shall inure to the benefit of the parties hereto and their respective successors and permitted assigns.,successors-and-assigns
"Successors and Assigns. All covenants and agreements in this Indenture by the Company shall bind its successors and assigns, whether so expressed or not.",successors-and-assigns
"Successors and Assigns. This Agreement shall be binding upon and inure to the benefit of the parties and their successors and permitted assigns. The Company may not assign this Agreement or any rights or obligations hereunder without the prior written consent of each Purchaser (other than by merger). Any Purchaser may assign any or all of its rights under this Agreement to any Person to whom such Purchaser assigns or transfers any Securities, provided that such transferee agrees in writing to be bound, with respect to the transferred Securities, by the provisions of the Transaction Documents that apply to the “Purchasers.”",successors-and-assigns
Successors and Assigns. This Amendment shall be binding upon and inure to the benefit of the parties hereto and their respective successors and assigns.,successors-and-assigns
"Successors and Assigns. All covenants and agreements contained herein shall be binding upon, and inure to the benefit of, the Depositor, the Owner Trustee and its successors and each Certificateholder and its successors and permitted assigns, all as herein provided. Any request, notice, direction, consent, waiver or other instrument or action by a Certificateholder shall bind the successors and assigns of such Certificateholder.",successors-and-assigns
"Successors and Assigns. This Agreement shall be binding upon and inure to the benefit of the parties and their successors and assigns. Neither the Company nor the Buyer shall assign this Agreement or any rights or obligations hereunder without the prior written consent of the other. Notwithstanding the foregoing, subject to Section 2(f), the Buyer may assign its rights hereunder to any person that purchases Securities in a private transaction from the Buyer or to any of its “affiliates,” as that term is defined under the 1934 Act, without the consent of the Company.",successors-and-assigns
"Successors and Assigns. Except as otherwise expressly provided herein, the provisions hereof shall inure to the benefit of, and be binding upon, the successors, assigns, heirs, executors and administrators of the parties hereto.",successors-and-assigns
Successors and Assigns. This Agreement shall be binding upon and inure to the benefit of the Parties and their respective successors and assigns.,successors-and-assigns
"Successors and Assigns. Subject to applicable securities laws, this Warrant and the rights and obligations evidenced hereby shall inure to the benefit of and be binding upon the successors and permitted assigns of the Company and the successors and permitted assigns of Holder. The provisions of this Warrant are intended to be for the benefit of any Holder from time to time of this Warrant and shall be enforceable by the Holder or holder of Warrant Shares.",successors-and-assigns
"Successors and Assigns. Except as otherwise expressly provided herein, all covenants and agreements contained in this Agreement by or on behalf of any of the parties hereto shall bind and inure to the benefit of the respective successors of the parties hereto whether so expressed or not. Notwithstanding the foregoing or anything to the contrary herein, the parties may not assign this Agreement, other than assignments by the Purchaser to affiliates thereof (including, without limitation one or more of its members).",successors-and-assigns
Successors and Assigns. The provisions of this Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and assigns.,successors-and-assigns
"Successors and Assigns. This Agreement shall inure to the benefit of and be binding upon the Company and Cowen and their respective successors and the affiliates, controlling persons, officers and directors referred to in Section 9 hereof. References to any of the parties contained in this Agreement shall be deemed to include the successors and permitted assigns of such party. Nothing in this Agreement, express or implied, is intended to confer upon any party other than the parties hereto or their respective successors and permitted assigns any rights, remedies, obligations or liabilities under or by reason of this Agreement, except as expressly provided in this Agreement. Neither party may assign its rights or obligations under this Agreement without the prior written consent of the other party; provided, however, that Cowen may assign its rights and obligations hereunder to an affiliate of Cowen without obtaining the Company’s consent.",successors-and-assigns
"Successors and Assigns. (a) The provisions of this Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and assigns permitted hereby (including any Affiliate of the Issuing Bank that issues any Letter of Credit), except that (i) the Borrower may not assign or otherwise transfer any of its rights or obligations hereunder without the prior written consent of each Lender (and any attempted assignment or transfer by the Borrower without such consent shall be null and void) and (ii) no Lender may assign or otherwise transfer its rights or obligations hereunder except in accordance with this Section. Nothing in this Agreement, expressed or implied, shall be construed to confer upon any Person (other than the parties hereto, their respective successors and assigns permitted hereby (including any Affiliate of the Issuing Bank that issues any Letter of Credit), Participants (to the extent provided in paragraph (c) of this Section) and, to the extent expressly contemplated hereby, the Related Parties of each of the Administrative Agent, the Issuing Bank and the Lenders) any legal or equitable right, remedy or claim under or by reason of this Agreement.",successors-and-assigns
