clause_text,clause_type
Successors. All the covenants and provisions of this Agreement by or for the benefit of the Company or the Rights Agent shall bind and inure to the benefit of their respective successors and assigns hereunder.,successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto and their respective successors and the officers, directors, employees, agents and controlling persons referred to in Section 8 hereof, and no other person will have any right or obligation hereunder.",successors
Successors. (a) This Agreement is personal to the Executive and without the prior written consent of the Company shall not be assignable by the Executive otherwise than by will or the laws of descent and distribution. This Agreement shall inure to the benefit of and be enforceable by the Executive's legal representatives.,successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto and their respective personal representatives and successors and the officers and directors and controlling persons referred to in Section 7, and no other person will have any right or obligation hereunder.",successors
Successors. All agreements of the Company in this Indenture and the Notes shall bind its successors. All agreements of the Trustee in this Indenture shall bind its successors.,successors
Successors. All agreements of the Company in this Indenture and the Securities shall bind its successor. All agreements of the Trustee in this Indenture shall bind its successor.,successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto, including any substitute Underwriters pursuant to Section 11 hereof, and to the benefit of the affiliates, directors, officers, employees, agents and controlling persons referred to in Section 9 and Section 10, and in each case their respective successors, and no other person will have any right or obligation hereunder. The term “successors” shall not include any purchaser of the Offered Shares as such from any of the Underwriters merely by reason of such purchase.",successors
Successors. All agreements of the Issuer and each Guarantor in this Indenture and the Notes shall bind their respective successors. All agreements of the Trustee in this Indenture shall bind its successors.,successors
"Successors. This Agreement has been and is made solely for the benefit of the Underwriters and the Company and their respective successors, executors, administrators, heirs and assigns, and the officers, directors and controlling persons referred to herein, and no other person will have any right or obligation hereunder. No purchaser of any of the Shares from any Underwriter shall be deemed a successor or assign merely because of such purchase.",successors
"Successors. All agreements of the Company in this Indenture and the Notes will bind its successors. All agreements of the Trustee in this Indenture will bind its successors. All agreements of each Guarantor in this Indenture will bind its successors, except as otherwise provided in Section 10.05 hereof.",successors
"Successors. All agreements of the Company and the Subsidiary Guarantors in this Indenture, the Securities and the Guarantees shall bind their respective successors. All agreements of the Trustee in this Indenture shall bind its successor.",successors
Successors. This Sub-Advisory Agreement shall be binding upon and inure to the benefit of the parties hereto and their successors and permitted assigns.,successors
"Successors. This Agreement may not be assigned by the Employee. In addition to any obligations imposed by law upon any successor to the Company, the Company will require any successor (whether direct or indirect, by purchase, merger, consolidation or otherwise) to all or substantially all of the stock, business and/or assets of the Company, to expressly assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform it if no such succession had taken place. Failure of the Company to obtain such assumption by a successor shall be a material breach of this Agreement. The Employee agrees and consents to any such assumption by a successor of the Company, as well as any assignment of this Agreement by the Company for that purpose. As used in this Agreement, “Company” shall mean the Company as herein before defined as well as any such successor that expressly assumes this Agreement or otherwise becomes bound by all of its terms and provisions by operation of law. This Agreement shall be binding upon and inure to the benefit of the parties and their permitted successors or assigns.",successors
"Successors. The terms of this Agreement shall be binding upon and inure to the benefit of the Company and its successors and assigns, and of the Participant and the beneficiaries, executors, administrators, heirs and successors of the Participant.",successors
"Successors. This Trust Agreement shall be binding upon and shall inure to the benefit of any successor to the Depositor, the Trust or the Relevant Trustee, including any successor by operation of law. Except in connection with a consolidation, merger or sale involving the Depositor that is permitted under Article Eight of the Indenture and pursuant to which the assignee agrees in writing to perform the Depositor's obligations hereunder, the Depositor shall not assign its obligations hereunder.",successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto, and to the benefit of the employees, officers and directors and controlling persons referred to in Section 6, and in each case their respective successors, and no other person will have any right or obligation hereunder. The term “successors” shall not include any purchaser of the Shares as such from the Agent merely by reason of such purchase.",successors
"Successors. This Agreement shall inure to the benefit of and shall be binding upon the several Underwriters, the Company and their respective successors and legal representatives, and nothing expressed or mentioned in this Agreement is intended or shall be construed to give any other person any legal or equitable right, remedy or claim under or in respect of this Agreement, or any provisions herein contained, this Agreement and all conditions and provisions hereof being intended to be and being for the sole and exclusive benefit of such persons and for the benefit of no other person except that (i) the indemnities of the Company contained in Section 8 of this Agreement shall also be for the benefit of any person or persons who control any Underwriter within the meaning of Section 15 of the Act or Section 20 of the Exchange Act and (ii) the indemnities of the Underwriters contained in Section 8 of this Agreement shall also be for the benefit of the directors of the Company, the officers of the Company who have signed the Registration Statement and any person or persons who control the Company within the meaning of Section 15 of the Act or Section 20 of the Exchange Act. No purchaser of Securities from any Underwriter shall be deemed a successor because of such purchase.",successors
"Successors. The terms of this Amendment shall be binding upon, and shall inure to the benefit of, the parties hereto and their respective successors and assigns.",successors
"Successors. All agreements of the Guaranteeing Subsidiary in this Supplemental Indenture shall bind its Successors, except as otherwise provided in Section 2(k) hereof or elsewhere in this Supplemental Indenture. All agreements of the Trustee in this Supplemental Indenture shall bind its successors.",successors
"Successors. All the covenants, stipulations, promises and agreements of the Company in this Indenture shall bind its successors and assigns whether so expressed or not.",successors
"Successors. This Agreement shall bind and inure to the benefit of the respective successors and assigns of each of the parties; provided, that no Borrower may assign this Agreement or any rights or duties hereunder without the Lenders’ prior written consent and any prohibited assignment shall be absolutely void ab initio. No consent to assignment by the Lenders shall release any Borrower from its Obligations. A Lender may assign this Agreement and the other Loan Documents and its rights and duties hereunder and thereunder pursuant to Section 13.1 and, except as expressly required pursuant to Section 13.1, no consent or approval by any Borrower is required in connection with any such assignment.",successors
"Successors. This Agreement shall be binding upon and inure to the benefit of the successors, assigns and heirs of the respective parties.",successors
"Successors. All agreements of the Issuers in this Indenture and the Notes shall bind their successors. All agreements of the Trustee in this Indenture shall bind its successors. All agreements of each Guarantor in this Indenture shall bind its successors, except as otherwise provided in Section 10.06 hereof.",successors
"Successors. All the covenants and provisions of this Agreement shall be binding upon and inure to the benefit of the Company, the Holders and their respective successors and assigns hereunder.",successors
"Successors. All terms and conditions of this Agreement shall be binding on the successors and assigns of the Receiver, the Corporation and the Assuming Institution. Except as otherwise specifically provided in this Agreement, nothing expressed or referred to in this Agreement is intended or shall be construed to give any Person other than the Receiver, the Corporation and the Assuming Institution any legal or equitable right, remedy or claim under or with respect to this Agreement or any provisions contained herein, it being the intention of the parties hereto that this Agreement, the obligations and statements of responsibilities hereunder, and all other conditions and provisions hereof are for the sole and exclusive benefit of the Receiver, the Corporation and the Assuming Institution and for the benefit of no other Person.",successors
Successors. This Agreement shall be binding on and shall inure to the benefit of the Trust and the Administrator and their respective successors and permitted assigns.,successors
"Successors. Any successor to the Company (whether direct or indirect and whether by purchase, lease, merger, consolidation, liquidation or otherwise) to all or substantially all of the Company’s business and/or assets shall assume the obligations under this Agreement and agree expressly to perform the obligations under this Agreement in the same manner and to the same extent as the Company would be required to perform such obligations in the absence of a succession. The terms of this Agreement and all of Employee’s rights hereunder and thereunder shall inure to the benefit of, and be enforceable by, Employee’s personal or legal representatives, executors, administrators, successors, heirs, distributees, devisees and legatees.",successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto, and to the benefit of the employees, officers and directors and controlling persons referred to in Section 9 hereof, and to their respective successors, and personal representative, and, except as set forth in Section 9 of this Agreement, no other person will have any right or obligation hereunder.",successors
"Successors. This Agreement shall be binding upon the Company and its successors and assigns, including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company, and shall inure to the benefit of Indemnitee and Indemnitee’s heirs, executors and administrators. The Company shall require and cause any successor (whether direct or indirect by purchase, merger, consolidation or otherwise) to all or substantially all of the business or assets of the Company, by written agreement, expressly to assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform if no such succession had taken place.",successors
"Successors. All agreements of the Guaranteeing Subsidiary in this Supplemental Indenture shall bind its successors, except as otherwise provided in the Indenture. All agreements of the Trustee in this Supplemental Indenture shall bind its successors.",successors
"Successors. (a) The Company will require any successor, whether direct or indirect, by purchase, merger, consolidation or otherwise, to all or substantially all of the business and/or assets of the Company to expressly assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform it if no such succession had taken place.",successors
"Successors. The Terms Agreement (including the provisions of this Agreement) will inure to the benefit of and be binding upon the Company and such Underwriters as are identified in the Terms Agreement and their respective successors and the officers and directors and controlling persons referred to in Section 6, and no other person will have any right or obligation hereunder.",successors
"Successors. All of the terms, agreements, covenants, representations, warranties, and conditions of this Agreement are binding upon, and inure to the benefit of and are enforceable by, the parties hereto and their respective successors. Nothing in this Agreement, express or implied, is intended to confer upon any party other than the parties hereto or their respective successors and assigns any rights, remedies, obligations or liabilities under or by reason of this Agreement, except as expressly provided in this Agreement.",successors
Successors. A successor by law of any Party shall be entitled to the benefits of the indemnification contained in this Section 12.,successors
Successors. This Agreement shall be binding on and shall inure to the interest of the respective successors of the Parties and the permitted assigns of such Parties.,successors
"Successors. This Agreement shall inure to the benefit of and be binding upon the parties hereto and their respective heirs, legal representatives, successors and assigns.",successors
"Successors. This Agreement shall be binding upon and inure to the benefit of any successor or successors of the Company and any person or persons who shall, upon the death of the Holder, acquire any rights hereunder in accordance with this Agreement or the Plan.",successors
"Successors. (a) The Company will require any successor (whether direct or indirect, by purchase, merger, consolidation, or otherwise) to all or substantially all of the business and/or assets of the Company, to expressly assume and agree to perform the Company's obligations under this Agreement in the same manner and to the same extent that the Company would be required to perform them if no such succession had taken place unless, in the opinion of legal counsel mutually acceptable to the Company and the Executive, such obligations have been assumed by the successor as a matter of law. Failure of the Company to obtain such agreement prior to the effectiveness of any such succession (unless the foregoing opinion is rendered to the Executive) shall entitle the Executive to terminate his or her employment and to receive the payments provided for in paragraph 3 above. As used in this Agreement, """,successors
"Successors. This Agreement shall inure to the benefit of and be binding upon the successors and assigns of each of the parties, including, without the need for an express assignment or any consent by the Company thereto, subsequent Holders of Securities and the New Securities. The Company hereby agrees to extend the benefits of this Agreement to any Holder of Securities and the New Securities, and any such Holder may specifically enforce the provisions of this Agreement as if an original party hereto.",successors
"Successors. This Agreement shall be binding upon, and inure to the benefit of, the Company and its successors and assigns and upon any person acquiring, whether by merger, consolidation, purchase of assets or otherwise, all or substantially all of the Company’s assets and business.",successors
"Successors. This Agreement will inure to the benefit of and be binding upon the parties hereto, including any substitute Underwriters pursuant to Section 10 hereof, and to the benefit of the employees, officers and directors and controlling persons referred to in Section 8 and Section 9, and in each case their respective successors, and personal representatives and no other person will have any right or obligation hereunder. The term “successors” shall not include any purchaser of the Units as such from any of the Underwriters merely by reason of such purchase.",successors
