clause_text,clause_type
"Support. During the term of this Addendum, State Street agrees to provide the support services set out in Attachment D to this Addendum.",support
"Support. During the term of this Agreement, State Street agrees to provide the support services set out in Attachment D to this Agreement.",support
"Support. The Parties undertake at all times to do all such things, perform all such actions and take all such steps and to procure the doing of all such things, the performance of all such actions and the taking of all such steps as may be open to them and necessary for or incidental to the putting into effect or maintenance of the terms, conditions and/or import of this Agreement.",support
"Support. Max Secure Software offers free technical support to assist you in the usage of this software, for example, Live Chat with technical support team. The technical support team may, at your discretion, take remote access of your computer. Availing of this support will be solely at your discretion and you are solely responsible to take backup of the existing data/software/programs in your device before availing such a support and you are liable to bear all the direct, indirect, and consequential cost associated to it. MSS will not be held responsible for any loss of data, any kind of direct/indirect/consequential loss or damage to data/property arising during this entire process. If at any point of time the Technical Support team is of the opinion that it is beyond their scope, it will be the sole discretion of MSS to suspend, cease, terminate, or refuse such support as MSS does not claim any warranty and/or guarantee of any kind in providing the support feature.",support
"Support. Licensor will provide activation and installation support, including assisting Participating Institutions and Authorized Users with the implementation of any Publisher software. Licensor will offer reasonable levels of continuing support to assist Participating Institutions and Authorized Users in use of the Licensed Materials. Licensor will make its personnel available by email czechelib@aip.cz and/or phone 222 231 212 during cross section of Licensor’s and Licensee’s and/or Participating Institutions’ regular business hours, Monday through Friday, for feedback, problem-solving, or general questions and will respond in a timely manner. If there is a change of a contact for support, the Licensor is obliged to notice Licensee and Participating Institutions of such change. Change is effective by the delivery of the notice to the Licensee and Participating Institutions.",support
"Support. 2.1 Support Services are comprised of the analysis and correction of an ""Error"" (define below) in the Software.",support
"Support. During the Employment, the Employee shall be provided by the Company with office space, furnishings, and facilities, reserved parking, secretarial and administrative assistance, supplies and other support equipment (including a computer, facsimile machine and photocopier).",support
"Support. Each of the parties has income from individual property interests sufficient to provide for his or her respective support. Each party has been self-supporting for a period of time prior to the contemplated marriage. Both parties feel that they are capable of future self-support and of maintaining themselves on a self-supporting basis. Therefore, in the event of a marital separation or dissolution, it is agreed and understood that neither party shall seek or obtain any form of alimony or support from the other, or seek any relief, other than a distribution of their joint property interests or those property interests acquired during the course of the marriage, in any manner other than as provided by this Agreement.",support
Support. FMI is not obligated to provide Licensee any technical support services for Licensee’s use of the Software under this Agreement. Licensee may order additional support services currently offered by FMI during the term of this Agreement.,support
Support. The Developer shall be responsible for use of the SDK as part of the Developer Software and is responsible for the ongoing maintenance and support of the Developer Software. Canon shall not be responsible for: (i) providing any support to the Developer for the use and/or maintenance of the SDK; (ii) supporting the Developer Software; and/or (iii) correcting any errors or anomalies that may be present in the SDK or the Developer Software.,support
