clause_text,clause_type
"Survival of Representations and Warranties. All representations and warranties made hereunder and in any other Loan Document or other document delivered pursuant hereto or thereto or in connection herewith or therewith shall survive the execution and delivery hereof and thereof. Such representations and warranties have been or will be relied upon by the Administrative Agent and each Lender, regardless of any investigation made by the Administrative Agent or any Lender or on their behalf and notwithstanding that the Administrative Agent or any Lender may have had notice or knowledge of any Default at the time of any Credit Extension, and shall continue in full force and effect as long as any Loan or any other Obligation hereunder shall remain unpaid or unsatisfied or any Letter of Credit shall remain outstanding.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made hereunder, in the other Loan Documents and in any document, certificate or statement delivered pursuant hereto or in connection herewith shall survive the execution and delivery of this Agreement and the making of the Loans and other extensions of credit hereunder.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made by the parties hereto in this Agreement or in any other agreement, certificate or instrument provided for or contemplated hereby, shall survive the execution and delivery hereof and any investigations made by or on behalf of the parties.",survival-of-representations-and-warranties
Survival of Representations and Warranties. All of the representations and warranties contained herein shall survive each Closing Date.,survival-of-representations-and-warranties
Survival of Representations and Warranties. All of the representations and warranties contained herein shall survive the Closing Dates.,survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made in the Agreement or any other document or documents relating thereto, including, without limitation, any Loan Document furnished in connection with this Amendment, shall survive the execution and delivery of this Amendment and the other Loan Documents, and no investigation by Lender or any closing shall affect the representations and warranties or the right of Lender to rely thereon.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made hereunder and in any document, certificate or statement delivered pursuant hereto or in connection herewith shall survive the execution and delivery of this Agreement and the Notes.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties of such Borrower contained in this Agreement and the Other Documents shall be true at the time of such Borrower’s execution of this Agreement and the Other Documents, and shall survive the execution, delivery and acceptance thereof by the parties thereto and the closing of the transactions described therein or related thereto.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made in this Amendment or any other Loan Document (as amended by this Amendment), including any Loan Document furnished in connection with this Amendment, shall survive the execution and delivery of this Amendment and such other Loan Documents, and no investigation by the Administrative Agent or any Lender shall affect the representations and warranties or the right of the Administrative Agent or any Lender to rely upon them.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. Borrower understands and agrees that in extending Loan Advances, Lender is relying on all representations, warranties, and covenants made by Borrower in this Agreement or in any certificate or other instrument delivered by Borrower to Lender under this Agreement or the Related Documents. Borrower further agrees that regardless of any investigation made by Lender, all such representations, warranties and covenants will survive the extension of Loan Advances and delivery to Lender of the Related Documents, shall be continuing in nature, shall be deemed made and redated by Borrower at the time each Loan Advance is made, and shall remain in full force and effect until such time as Borrower’s Indebtedness shall be paid in full, or until this Agreement shall be terminated in the manner provided above, whichever is the last to occur.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. (a) The representations and warranties of each Seller contained in this Agreement shall survive the Closing until the earlier of the 18 month anniversary of the Closing or the expiration of the statute of limitation; provided, however, that (i) the representations and warranties made pursuant to Sections 3.01, 3.02, 3.03 and 3.04 shall survive indefinitely, (ii) the representations and warranties made pursuant to Section 3.09 shall survive as provided in Section 6.05(c) and (iii) insofar as any claim is made by the Purchaser for the breach of any representation or warranty of any Seller contained herein, which claim arises out of allegations of personal injury or property damage suffered by any third party on or prior to the Closing or attributable to products or inventory sold or shipped, or activities or omissions that occur, on or prior to the Closing, such representations and warranties shall, for purposes of such claim by the Purchaser, survive until thirty calendar days after the expiration of the applicable statute of limitations governing such claims. If written notice of a claim has been given prior to the expiration of the applicable representations and warranties by the Purchaser to such Seller, then the relevant representations and warranties shall survive as to such claim, until such claim has been finally resolved.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made hereunder and in any document, certificate or statement delivered pursuant hereto or in connection herewith shall survive the execution and delivery of this Agreement and the Notes and the making of the Loans, provided that all such representations and warranties shall terminate on the date upon which the Commitments have been terminated and all amounts owing hereunder and under any Notes have been paid in full.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties made in this Amendment shall survive the execution and delivery of this Amendment, and no investigation by the Administrative Agent or any Lender or any subsequent Loan or issuance of a Letter of Credit shall affect the representations and warranties or the right of the Administrative Agent or any Lender to rely upon them.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties contained herein or made in writing by any party in connection herewith shall survive the execution and delivery of this Agreement and the consummation of the transactions contemplated hereby, regardless of any investigation made by any Purchaser or on its behalf.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All of the Borrower's representations and warranties contained in this Agreement shall survive the execution, delivery, and acceptance thereof by the parties, notwithstanding any investigation by the Agent or the Lenders or their respective agents.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. The Company's and the Purchaser's representations and warranties herein shall survive the execution and delivery of this Agreement and the delivery of the Certificates and the payment of the Purchase Amount, and shall inure to the benefit of the Purchaser and the Company and their respective successors and assigns.",survival-of-representations-and-warranties
Survival of Representations and Warranties. The representations and warranties of the Company contained in this Agreement shall not survive the completion of the Arrangement and shall expire and be terminated on the earlier of the Effective Time and the date on which this Agreement is terminated in accordance with its terms.,survival-of-representations-and-warranties
"Survival of Representations and Warranties. Borrower understands and agrees that Lender, without independent investigation, is relying upon the above representations and warranties in extending Loan Advances to Borrower. Borrower further agrees that the foregoing representations and warranties shall be continuing in nature and shall remain in full force and effect until such time as Borrower's Indebtedness shall be paid in full, or until this Agreement shall be terminated in the manner provided above, whichever is the last to occur.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. The representations, warranties, covenants and agreements of the parties made herein and at the time of the Closing or in writing delivered pursuant to the provisions of this Agreement shall survive the consummation of the transactions contemplated hereby and any examination on behalf of the parties until the Expiration Date.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations and warranties contained herein or in any other Loan Document, or in any certificate or other writing delivered by or on behalf of any one or more of the Parties to any Loan Document, will survive the making of the Loans hereunder and the execution and delivery of the Notes, and have been or will be relied upon by the Administrative Agent and each Lender, notwithstanding any investigation made by the Administrative Agent or any Lender or on their behalf.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations, warranties, and agreements made by Grantor in this Agreement shall survive the execution and delivery of this Agreement, shall be continuing in nature, and shall remain in full force and effect until such time as Grantor’s Indebtedness shall be paid in full.",survival-of-representations-and-warranties
Survival of Representations and Warranties. The representations and warranties contained herein and in any certificate or other writing delivered pursuant hereto shall not survive the Effective Time.,survival-of-representations-and-warranties
"Survival of Representations and Warranties. Notwithstanding any investigation or examination conducted before or after the Closing or the decision of any party to complete the Closing, each party shall be entitled to rely upon the representations and warranties set forth in this Agreement. All representations and warranties made in this Agreement shall survive the Closing until March 31, 2001; provided, however, that (i) the accuracy of each such representation and warranty shall be determined only as of the date of the Closing, (ii) the representations and warranties in Sections 7.14 and 8.7 shall survive until 30 days after the expiration (without extension) of the statute of limitations for the Company's or Lithia's (as the case may be) 1998 federal income tax return, and (iii) any claim based upon fraud shall survive for its applicable statute of limitation. The period of survival for each representation and warranty established in this Section 12 is referred to as the ""Survival Period"" for such representation and warranty. The liabilities of the parties with respect to their respective representations and warranties will expire as of the expiration of the applicable Survival Period; provided, however, that such expiration will not affect the rights of any party entitled to rely on a representation and warranty in respect of any breach of which such party has given notice to the breaching party prior to the expiration of the Survival Period, specifying in reasonable detail the facts alleged to constitute the breach.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All representations, warranties and agreements of the Company contained herein or in certificates or other instruments delivered pursuant hereto shall remain operative and in full force and effect regardless of any investigation made by or on behalf of the Underwriters or any of their controlling persons and shall survive delivery of and payment for the Securities hereunder.",survival-of-representations-and-warranties
"Survival of Representations and Warranties. All statements contained in any schedule, exhibit, certificate or other instrument delivered by or on behalf of the parties hereto, or in connection with the transactions contemplated by this Agreement, shall be deemed to be representations and warranties hereunder. Notwithstanding any investigations made by or on behalf of the parties to this Agreement, all representations, warranties and agreements made by the parties to this Agreement or pursuant hereto shall survive.",survival-of-representations-and-warranties
Survival of Representations and Warranties. All representations and warranties by either party herein contained will survive the execution and delivery of this Agreement.,survival-of-representations-and-warranties
Survival of Representations and Warranties. All representations and warranties contained herein or made in writing by any party in connection herewith shall survive the execution and delivery of this Agreement and the consummation of the transactions contemplated hereby.,survival-of-representations-and-warranties
"Survival of Representations and Warranties. (a) The representations and warranties of the Company and the Members contained in this Agreement and any other document or certificate relating hereto (collectively, the “Acquisition Documents”) shall survive the Effective Time for a period of 18 months; provided, however, that the representations and warranties set forth in Section 3.14 shall survive the Effective Time for a period of 36 months; provided further that the representations and warranties set forth in Sections 3.01, 3.02, 3.03, 3.04, 3.05, 3.06, 3.13, 3.15 and 3.16 (the “Company Basic Representations”) shall survive until the end of the applicable statute of limitations pertinent thereto in each instance. Neither the period of survival nor the liability of the Members with respect to the Company’s and such Members’ representations and warranties shall be affected by any investigation made at any time (whether before or after the Effective Time) by or on behalf of Parent or by any actual, implied or constructive knowledge or notice of any facts or circumstances that Parent may have as a result of any such investigation or otherwise.",survival-of-representations-and-warranties
Survival of Representations and Warranties. All of the representations and warranties of the Parties contained in this Agreement shall survive the Closing hereunder (even if the damaged Party knew or had reason to know of any misrepresentation or breach of warranty or covenant at the time of Closing) and continue in full force and effect forever thereafter (subject to any applicable statutes of limitations).,survival-of-representations-and-warranties
