clause_text,clause_type
"Survival. Each party’s obligations under this Section 2.17 shall survive the resignation or replacement of the Administrative Agent or any assignment of rights by, or the replacement of, a Lender, the termination of the Commitments and the repayment, satisfaction or discharge of all obligations under any Loan Document.",survival
"Survival. The respective indemnities, rights of contribution, representations, warranties and agreements of the Company and the Underwriters contained in this Agreement or made by or on behalf of the Company or the Underwriters pursuant to this Agreement or any certificate delivered pursuant hereto shall survive the delivery of and payment for the Shares and shall remain in full force and effect, regardless of any termination of this Agreement or any investigation made by or on behalf of the Company or the Underwriters.",survival
Survival. The representations and warranties contained herein shall survive the Closing and the delivery of the Securities.,survival
"Survival. The representations and warranties of the Company and the agreements and covenants set forth in this Agreement shall survive the closing hereunder notwithstanding any due diligence investigation conducted by or on behalf of the Buyer. The Company agrees to indemnify and hold harmless the Buyer and all their officers, directors, employees and agents for loss or damage arising as a result of or related to any breach or alleged breach by the Company of any of its representations, warranties and covenants set forth in this Agreement or any of its covenants and obligations under this Agreement, including advancement of expenses as they are incurred.",survival
"Survival. All of the Borrower’s obligations under this Article III shall survive termination of the Aggregate Commitments, repayment of all other Obligations hereunder, and resignation of the Administrative Agent.",survival
Survival. All of the Borrower’s obligations under this Article III shall survive termination of the Aggregate Commitments and repayment of all other Obligations hereunder.,survival
"Survival. Each party’s obligations under this Section 3.01 shall survive the resignation or replacement of the Administrative Agent or any assignment of rights by, or the replacement of, a Lender or the L/C Issuer, the termination of the Commitments and the repayment, satisfaction or discharge of all other Obligations.",survival
"Survival. The respective indemnities, representations, warranties and agreements of the Company and the Underwriters contained in this Agreement or made by or on behalf of them, respectively, pursuant to this Agreement, shall survive the delivery of and payment for the Stock and shall remain in full force and effect, regardless of any investigation made by or on behalf of any of them or any person controlling any of them.",survival
"Survival. The agreements in this Section shall survive the resignation of the Administrative Agent, the L/C Issuer and the Swing Line Lender, the replacement of any Lender, the termination of the Aggregate Commitments and the repayment, satisfaction or discharge of all the other Obligations.",survival
"Survival. The agreements in this Section shall survive the resignation of the Administrative Agent, the replacement of any Lender, the termination of the Aggregate Commitments and the repayment, satisfaction or discharge of all the other Obligations.",survival
"Survival. All provisions regarding indemnification, warranty, liability, and limits thereon, and confidentiality and/or protections of proprietary rights and trade secrets shall survive the termination of this Agreement.",survival
"Survival. The representations, warranties, covenants, and agreements made herein shall survive any investigation made by any Holder and the closing of the transactions contemplated hereby. All statements as to factual matters contained in any certificate or other instrument delivered by or on behalf of the Company pursuant hereto in connection with the transactions contemplated hereby shall be deemed to be representations and warranties by the Company hereunder solely as of the date of such certificate or instrument.",survival
"Survival. All covenants, agreements, representations and warranties made by the Borrower herein and in the certificates or other instruments delivered in connection with or pursuant to this Agreement shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of this Agreement and the making of any Loans and issuance of any Letters of Credit, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent, the Issuing Bank or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding and unpaid or any Letter of Credit is outstanding and so long as the Commitments have not expired or terminated. The provisions of Sections 2.15, 2.16, 2.17 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Letters of Credit and the Commitments or the termination of this Agreement or any provision hereof.",survival
"Survival. All covenants, agreements, representations and warranties made by the Loan Parties in the Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to this Agreement or any other Loan Document shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of the Loan Documents and the making of any Loans and issuance of any Letters of Credit, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent, the Issuing Bank or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding and unpaid or any Letter of Credit is outstanding and so long as the Commitments have not expired or terminated. The provisions of Sections 2.15, 2.16, 2.17 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Letters of Credit and the Commitments or the termination of this Agreement or any provision hereof.",survival
"Survival. The obligations of the Company under this Section 15 will survive the payment or transfer of any Note, the enforcement, amendment or waiver of any provision of this Agreement or the Notes, and the termination of this Agreement.",survival
"Survival. All covenants, agreements, representations and warranties made by the Borrower herein and in the certificates or other instruments delivered in connection with or pursuant to this Agreement shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of this Agreement and the making of any Loans, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding and unpaid and so long as the Commitments have not expired or terminated. The provisions of Sections 2.12, 2.13, 2.14 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Commitments or the termination of this Agreement or any provision hereof.",survival
"Survival. This Agreement and all covenants, agreements, representations and warranties made herein and in the certificates delivered pursuant hereto shall survive the making by Lender of the Loan and the execution and delivery to Lender of the Note, and shall continue in full force and effect so long as all or any of the Debt is outstanding and unpaid unless a longer period is expressly set forth herein or in the other Loan Documents. Whenever in this Agreement any of the parties hereto is referred to, such reference shall be deemed to include the legal representatives, successors and assigns of such party. All covenants, promises and agreements in this Agreement, by or on behalf of Borrower, shall inure to the benefit of the legal representatives, successors and assigns of Lender.",survival
"Survival. Each party hereto agrees that the representations, warranties and agreements made by it herein and in any certificate or other instrument delivered pursuant hereto shall be deemed to be relied upon by the other party, notwithstanding any investigation heretofore or hereafter made by the other party or on its behalf, and that the representations, warranties and agreements made by such other party herein or in any such certificate or other instrument shall survive the delivery of and payment for the Mortgage Loans and shall continue in full force and effect, notwithstanding any restrictive or qualified endorsement on the Mortgage Notes and notwithstanding subsequent termination of this Agreement.",survival
"Survival. All covenants, representations and warranties made in this Agreement continue in full force until this Agreement has terminated pursuant to its terms and all Obligations (other than inchoate indemnity obligations and any other obligations which, by their terms, are to survive the termination of this Agreement) have been satisfied. The obligation of Borrower in Section 12.2 to indemnify Bank shall survive until the statute of limitations with respect to such claim or cause of action shall have run.",survival
"Survival. 13.1 This Subscription Agreement, including without limitation the representations, warranties and covenants contained herein, shall survive and continue in full force and effect and be binding upon the parties hereto notwithstanding the completion of the purchase of the Shares by the Subscriber pursuant hereto.",survival
"Survival. All covenants, representations and warranties made in this Agreement shall continue in full force and effect so long as any Obligations remain outstanding. The obligations of Borrower to indemnify Bank with respect to the expenses, damages, losses, costs and liabilities described in Section 12.2 shall survive until all applicable statute of limitations periods with respect to actions that may be brought against Bank have run.",survival
Survival. The provisions of this Agreement shall survive the termination of my employment and the assignment of this Agreement by the Company to any successor in interest or other assignee.,survival
"Survival. All covenants, agreements, representations and warranties made by the Loan Parties in the Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to this Agreement or any other Loan Document shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of the Loan Documents and the making of any Loans and issuance of any Letters of Credit, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent, the Issuing Bank or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement or any other Loan Document is outstanding and unpaid or any Letter of Credit is outstanding and so long as the Commitments have not expired or terminated. The provisions of Sections 2.15, 2.16, 2.17 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Letters of Credit and the Commitments or the termination of this Agreement or any other Loan Document or any provision hereof or thereof.",survival
"Survival. The respective representations, warranties, agreements, covenants, indemnities and other statements of the Company, its officers and the several Underwriters set forth in this Agreement or made by or on behalf of them, respectively, pursuant to this Agreement shall remain in full force and effect, regardless of (i) any investigation made by or on behalf of the Company, any of its officers or directors, any Underwriter or any controlling person referred to in Section 8 hereof and (ii) delivery of and payment for the Securities. The respective agreements, covenants, indemnities and other statements set forth in Sections 6 and 8 hereof shall remain in full force and effect, regardless of any termination or cancellation of this Agreement.",survival
"Survival. Unless this Agreement is terminated under Section 8, the representations and warranties of the Company and the Buyers contained in Sections 2 and 3, and the agreements and covenants set forth in Sections 4, 5 and 9 shall survive the Closing. Each Buyer shall be responsible only for its own representations, warranties, agreements and covenants hereunder.",survival
Survival. The Parties’ obligations under this Agreement which by their nature are intended to continue beyond the termination or expiration of this Agreement shall survive the termination or expiration of this Agreement.,survival
Survival. The provisions of this Agreement shall survive the termination of this Agreement and/or the termination of the Executive’s employment to the extent necessary to effectuate the terms contained herein.,survival
"Survival. The respective indemnities, agreements, representations, warranties and each other provision set forth in this Exchange and Registration Rights Agreement or made pursuant hereto shall remain in full force and effect regardless of any investigation (or statement as to the results thereof) made by or on behalf of any holder of Registrable Securities, any director, officer or partner of such holder, any agent or underwriter or any director, officer or partner thereof, or any controlling person of any of the foregoing, and shall survive delivery of and payment for the Registrable Securities pursuant to the Purchase Agreement and the transfer and registration of Registrable Securities by such holder and the consummation of an Exchange Offer.",survival
"Survival. The agreements in this Section 11.04 and the indemnity provisions of Section 11.02(e) shall survive the resignation of the Administrative Agent, the L/C Issuer and the Swingline Lender, the replacement of any Lender, the termination of the Aggregate Commitments and the repayment, satisfaction or discharge of all the other Obligations.",survival
Survival. The agreements and obligations of the Company in this Article III shall survive the payment of all other Obligations.,survival
"Survival. Without prejudice to the survival of any other agreement of the Borrower hereunder, the agreements and obligations of the Borrower contained in this Section shall survive the payment in full of the Obligations and the termination of the Commitment.",survival
Survival. Each party’s obligations under this Section shall survive the termination of the Loan Documents and payment of the obligations hereunder.,survival
"Survival. All representations and warranties made by the Loan Parties in the Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to this Agreement or any other Loan Document shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of the Loan Documents and the making of any Loans and issuance of any Letters of Credit, regardless of any investigation made by any such other party or on its behalf and notwithstanding that Agent, Issuing Bank, or any Lender may have had notice or knowledge of any Default or Event of Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of, or any accrued interest on, any Loan or any fee or any other amount payable under this Agreement is outstanding or unpaid or any Letter of Credit is outstanding and so long as the Commitments have not expired or been terminated.",survival
"Survival. Subject to the limitations and other provisions of this Agreement, the representations and warranties contained herein shall survive the Closing and shall remain in full force and effect until the date that is eighteen (18) months from the Closing Date; provided, that (a) the Fundamental Representations shall survive for the full period of the longest applicable statute of limitations (giving effect to any waiver, mitigation or extension thereof required by law) and (b) the representations and warranties in 4.18 (Environmental Matters), 4.21 (Taxes), 4.07(s) or in 4.19(p) or 4.19(q) (to the extent those Sections relate to Taxes) shall survive until the date that is thirty-six (36) months from the Closing Date. Except as otherwise provided in this Agreement, all covenants and agreements of the parties contained herein shall survive the Closing until performed in accordance with their terms; provided, however, that neither the Buyer Indemnitees nor the Seller Indemnitees shall have a right to recover any amounts pursuant to 9.02(b) or 9.03(b) (as applicable) unless the Buyer notifies the Sellers’ Representative or the Sellers’ Representative notifies the Buyer (as the case may be) in writing of a claim under 9.02(b) or 9.03(b) (as applicable), in accordance with the provisions of 9.05, as follows: (a) with respect to any covenant or agreement required to be performed in this Agreement on or before the Closing, such claim is delivered within one (1) year after the Closing, and (b) with respect to any such covenant required to be performed in this Agreement after the Closing, such claim is delivered within one (1) year from the date the performance under such covenant or agreement was required to be completed. Notwithstanding the foregoing, any claims asserted in writing and by notice in accordance with 9.05 from the non-breaching party to the breaching party before the expiration date of the applicable survival period shall not thereafter be barred by the expiration of the relevant representation or warranty and such claims shall survive until finally resolved.",survival
"Survival. All indemnities set forth herein including, without limitation, in Sections 1.10, 1.11, 2.06, 4.04, 12.06 and 13.01 shall survive the execution, delivery and termination of this Agreement and the Notes and the making and repayment of the Obligations.",survival
"Survival. All covenants, agreements, representations and warranties made by the Loan Parties in the Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to any Loan Document shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of the Loan Documents and the making of any Loans, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding and unpaid and so long as the Commitments have not expired or terminated. The provisions of Sections 2.15, 2.16, 2.17 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Commitments or the termination of this Agreement or any provision hereof.",survival
Survival. The representations and warranties contained herein shall survive the Closing and the delivery of the Securities for the applicable statute of limitations.,survival
"Survival. The representations and warranties set forth in this Article III shall survive the Closing for a period of twenty four (24) months. Notwithstanding the first sentence of this Section 3.3, the representations and warranties of the Seller in Section 3.1(a) regarding capitalization, Section 3.1(b) regarding organization and good standing, Section 3.1(c) regarding authorization of agreement shall survive indefinitely and the representations and the representations of the Seller and the Seller Parent in Section 3.1(k) with respect to Environmental Laws, and in Section 3.1(n) with respect to Taxes shall continue until the expiration of the applicable statutes of limitations. Notwithstanding the first sentence of this Section 3.3, the representations and warranties of the Buyer in Section 3.2(a) regarding organization and good standing and Section 3.1(b) regarding authorization of agreement shall survive indefinitely. Any claim for indemnification based on a breach of any representation or warranty set forth in this Article III shall be made by a Party in writing to the indemnifying Party on or before the expiration of the survival period or be forever barred if it is not made in writing by the expiration of such survival period.",survival
Survival. 11.7.1 Any obligations that occur or that are due as a result of this Agreement upon the expiration or early termination of this Agreement shall survive the expiration or early termination thereof.,survival
Survival. The provisions of this Sub-Advisory Agreement shall survive the termination or other expiration of this Sub-Advisory Agreement with respect to any matter arising while this Sub-Advisory Agreement was in effect.,survival
"Survival. Unless this Agreement is terminated under Section 9(l), the representations and warranties of the Company and the Buyer(s) contained in Sections 2 and 3, the agreements and covenants set forth in Sections 4, 5 and 9, and the indemnification provisions set forth in Section 8, shall survive the Closing for a period of two (2) years following the date on which the Convertible Debentures are converted in full. The Buyer(s) shall be responsible only for its own representations, warranties, agreements and covenants hereunder.",survival
"Survival. The obligations of the Borrower under Sections 4.3, 4.4, 4.5, 4.6, 4.7, 11.3 and 11.4 and the obligations of the Lenders under Section 10.1, shall in each case survive any termination of this Agreement and the payment in full of all Obligations. The representations and warranties made by the Borrower in this Agreement and in each other Loan Document shall survive the execution and delivery of this Agreement and each such other Loan Document.",survival
"Survival. The obligations of the Borrower under Sections 2.03(d) and 10.05 hereof and its rights under Sections 10.15 and 10.17 hereof, shall survive the repayment of the Loans and the termination of this Loan Agreement. In addition, each representation and warranty made, or deemed to be made by a request for a borrowing herein or pursuant hereto, shall survive the making of such representation and warranty, and the Lender shall not be deemed to have waived, by reason of making any Loan, any Default that may arise by reason of such representation or warranty proving to have been false or misleading, notwithstanding that the Lender may have had notice or knowledge or reason to believe that such representation or warranty was false or misleading at the time such Loan was made.",survival
"Survival. This Agreement shall continue in effect after termination to the extent necessary to provide for final billings and payments and for costs incurred hereunder; including billings and payments pursuant to this Agreement; to permit the determination and enforcement of liability and indemnification obligations arising from acts or events that occurred while this Agreement was in effect; and to permit Developer and Connecting Transmission Owner each to have access to the lands of the other pursuant to this Agreement or other applicable agreements, to disconnect, remove or salvage its own facilities and equipment.",survival
"Survival. The representations, warranties, covenants and agreements made herein shall survive any investigation made by any party hereto and the closing of the transactions contemplated hereby.",survival
"Survival. All agreements, representations and warranties contained in this Agreement or in any document delivered pursuant hereto shall be for the benefit of Warrantholder and shall survive the execution and delivery of this Agreement and the expiration or other termination of this Agreement.",survival
"Survival. The obligations of the Company and Holders under this Section 2.8 shall survive the completion of any offering of Registrable Securities in a registration statement, and otherwise.",survival
"Survival. All covenants, agreements, representations and warranties made by the Obligors herein and in the other Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to this Agreement or the other Loan Documents shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of this Agreement and the making of any Loans, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement or the other Loan Documents is outstanding and unpaid and so long as the Commitments have not expired or terminated. The provisions of Sections 9.03, 9.04, 9.05 and 10.03 and Article VII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Commitments or the termination of this Agreement, any other Loan Document or any provision hereof or thereof.",survival
"Survival. The indemnity and contribution agreements contained in this Section 6 and the representations and warranties of the Company contained in this Agreement shall remain operative and in full force and effect regardless of (i) any investigation made by or on behalf of any Underwriter or any controlling Person thereof, (ii) acceptance of any of the Securities and payment therefor or (iii) any termination of this Agreement.",survival
"Survival. The indemnification provided for under this Agreement shall remain in full force and effect regardless of any investigation made by or on behalf of the Indemnified Party or any officer, director or controlling person of such Indemnified Party and shall survive the transfer of securities.",survival
"Survival. The representations, warranties, agreements and covenants shall survive the Closing. Each Buyer shall be responsible only for its own representations, warranties, agreements and covenants hereunder.",survival
Survival. The respective rights and obligations of the parties hereunder shall survive any termination of this Agreement to the extent necessary to the intended preservation of such rights and obligations.,survival
"Survival. Upon the expiration or other termination of this Agreement, the respective rights and obligations of the parties hereto shall survive such expiration or other termination to the extent necessary to carry out the intentions of the parties under this Agreement.",survival
"Survival. The representations and warranties of the Company and the Investor contained in Sections 2 and 3, the agreements and covenants set forth in Sections 4 and 5, and the indemnification provisions set forth in Section 11, shall survive each of the Closings and the termination of this Agreement.",survival
"Survival. All covenants, agreements, representations and warranties made by the Loan Parties in the Loan Documents and in the certificates or other instruments delivered in connection with or pursuant to any Loan Document shall be considered to have been relied upon by the other parties hereto and shall survive the execution and delivery of the Loan Documents and the making of any Loans and issuance of any Letters of Credit, regardless of any investigation made by any such other party or on its behalf and notwithstanding that the Administrative Agent, any Issuing Bank or any Lender may have had notice or knowledge of any Default or incorrect representation or warranty at the time any credit is extended hereunder, and shall continue in full force and effect as long as the principal of or any accrued interest on any Loan or any fee or any other amount payable under this Agreement is outstanding and unpaid or any Letter of Credit is outstanding and so long as the Commitments have not expired or terminated. The provisions of Sections 2.15, 2.16, 2.17 and 9.03 and Article VIII shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Letters of Credit and the Commitments or the termination of this Agreement or any provision hereof. Notwithstanding the foregoing or anything else to the contrary set forth in this Agreement, in the event that, in connection with the refinancing or repayment in full of the credit facilities provided for herein, an Issuing Bank shall have provided to the Administrative Agent a written consent to the release of the Revolving Lenders from their obligations hereunder with respect to any Letter of Credit issued by such Issuing Bank (whether as a result of the obligations of the Borrower (and any other account party) in respect of such Letter of Credit having been collateralized in full by a deposit of cash with such Issuing Bank or being supported by a letter of credit that names such Issuing Bank as the beneficiary thereunder, or otherwise), then from and after such time such Letter of Credit shall cease to be a “Letter of Credit” outstanding hereunder for all purposes of this Agreement and the other Loan Documents, and the Revolving Lenders shall be deemed to have no participations in such Letter of Credit, and no obligations with respect thereto, under Section 2.05(e) or (f).",survival
Survival. All representations and warranties made by Guarantor herein shall survive the execution hereof.,survival
