clause_text,clause_type
SPECIAL TERMS AND CONDITIONS OF TRUST. The following special terms and conditions are hereby agreed to:,tax-returns
SPECIAL TERMS AND CONDITIONS OF TRUST. Section 1. The following special terms and conditions are hereby agreed to:,tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. The following special terms and conditions are hereby agreed to: (a) The Bonds defined in Section 1.01(1) listed in Schedule A hereto have been deposited in trust under this Trust Indenture and Agreement. (b) The fractional undivided interest in and ownership of the Trust Fund represented by each Unit for a Trust on the Initial Date of Deposit is the amount set forth under the captions ""Essential Information -- Fractional Undivided Interest in the Trust per Unit"" in the Prospectus. (c) The number of Units created of a Trust are as set forth under the caption ""Essential Information -- Number of Units"" in the Prospectus for each Trust. (d) Notwithstanding anything to the contrary in the Standard Terms and Conditions of Trust, the phrase ""Nuveen Tax-Exempt Unit Trust"" shall be hereby replaced with the phrase ""Nuveen Tax-Free Unit Trust.""",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. SENIOR LOAN & LIMITED DURATION PLUS CLOSED-END PORTFOLIO, SERIES 7 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. FLORIDA MUNICIPAL INCOME CLOSED-END PORTFOLIO, SERIES 4 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. The following special terms and conditions are hereby agreed to: (a) The Bonds defined in Section 1.01(4), listed in Schedule A hereto, have been deposited in trust under this Trust Agreement. (b) The fractional undivided interest in and ownership of the Trust Fund represented by each Unit is the amount set forth under ""Summary of Essential Financial Information-Fractional Undivided Interest in the Fund per Unit"" in the Prospectus. (c) The First General Record Date and the amount of the second distribution of funds from the Interest Account shall be the record date for the Interest Account and the amount set forth under ""Distribution Options"" on page 2 of the Prospectus. (d) The First Settlement Date shall be the date set forth under ""Summary of Essential Financial Information-First Settlement Date"" in the Prospectus. (e) The Evaluation time has been changed from 3:00 P.M. Eastern time to 4:00 P.M. Eastern time. (f) Sections 8.02(d) and 8.02(e) of the Standard Terms and Conditions of Trust are hereby stricken and replaced by the following: (d) distribution to each Certificateholder of such Trust such holder's pro rata share of the balance of the Interest Account of such Trust; (e) distribute to each Certificateholder of such Trust such holder's pro rata share of the balance of the Principal Account of such Trust; and (g) Section 1.01(11) of the Standard Terms and Conditions of Trust are hereby stricken and replaced by the following: (11) ""Insurer"" shall mean AMBAC Indemnity Corporation, and/or Capital Markets Assurance Corporation, their respective successors and assigns, each having its principal office in New York, New York, one or both of which have issued the contract or policy of insurance obtained by the Trust Fund protecting the Trust Fund and the Certificateholders thereof against nonpayment when due of the principal of and interest on certain of the Bonds (except for Pre-Insured Bonds) held by the Trustee as part of the Fund. (h) All references to ""Van Kampen Merritt Insured Income Trust,"" ""Van Kampen Merritt Inc."" and ""Van Kampen Merritt Investment Advisory Corp."" in the Standard Terms and Conditions of Trust are hereby stricken and replaced with ""Van Kampen American Capital Insured Income Trust,"" ""Van Kampen American Capital Distributors, Inc."" and ""Van Kampen American Capital Investment Advisory Corp.,"" respectively. (i) The Trustee's annual compensation as set forth under Section 6.04, under each distribution plan shall be that amount as speci...",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. STRATEGIC INCOME PLUS CLOSED-END PORTFOLIO, SERIES 42 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. NEW YORK MUNICIPAL INCOME CLOSED-END PORTFOLIO, SERIES 25 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. TARANTULA PORTFOLIO, SERIES 5 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. The following special terms and conditions are hereby agreed to: (a) The Securities defined in Section 1.01(5) listed in Schedule A hereto have been deposited in trust under this Trust Agreement. (b) The fractional undivided interest in and ownership of the Trust Fund represented by each Unit for a Trust is the amount set forth under the caption ""Essential Information - Fractional Undivided Interest per Unit"" in Part-A of the Prospectus for each Trust. (c) The number of units in a Trust referred to in Section 2.03 is set forth under the caption ""Essential Information - Number of Units"" in Part-A of the Prospectus for each Trust. (d) The ""First Settlement Date"" for each Trust is the date set forth under ""Essential Information-First Settlement Date"" in Part-A of the Prospectus for each Trust. (e) The Trustee's compensation for each Trust shall be in such amount as set forth under the caption ""Special Trust Information"" in Part-A of the Prospectus for each Trust. (f) The Trustee shall reimburse the Depositor from the Trustee's commission the Depositor's cost of providing to its customers who are Unitholders bookkeeping and administrative services with respect to such Unitholders' Units of a kind customarily performed by the Trustee, not to exceed that annual amount per $1,000 principal amount of Securities specified in the prospectus (such maximum annual amount to be pro rated for any calendar year in which the Depositor provides services during less than the whole of such year). Such reimbursement shall be computed in the same manner as the Trustee's compensation and shall be paid at or shortly after the end of each calendar year against a statement submitted to Trustee, which shall constitute the Depositor's certification that the amounts claimed as due do not exceed the amount payable in accordance with this paragraph, and the Trustee shall have no liability for payments made in reliance upon such certification. (g) The Depositor shall bear the cost of any audit directed pursuant to Section 6.02 of the Standard Terms and Conditions of Trust.",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. BUILD AMERICA BONDS PORTFOLIO, SERIES 8 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. BALANCED INCOME PORTFOLIO, SERIES 23 The following special terms and conditions are hereby agreed to:",tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. THE DOW(SM) TARGET 5 PORTFOLIO, MARCH 2002 SERIES The following special terms and conditions are hereby agreed to:",tax-returns
SPECIAL TERMS AND CONDITIONS OF TRUST. STRATEGIC INCOME ADVANTAGE CLOSED-END PORTFOLIO SERIES The following special terms and conditions are hereby agreed to:,tax-returns
"SPECIAL TERMS AND CONDITIONS OF TRUST. DEFENSIVE EQUITY PORTFOLIO, SERIES 15 The following special terms and conditions are hereby agreed to:",tax-returns
