clause_text,clause_type
Tax Withholding. The Company shall withhold any taxes that are required to be withheld from the benefits provided under this Agreement.,tax-withholding
Tax Withholding. All payments made pursuant to this Agreement will be subject to withholding of applicable taxes.,tax-withholding
"Tax Withholding. The Company shall withhold from any amounts payable under this Agreement such Federal, state or local taxes as shall be required to be withheld pursuant to any applicable law or regulation.",tax-withholding
"Tax Withholding. The Optionee shall, not later than the date as of which the exercise of this Stock Option becomes a taxable event for Federal income tax purposes, pay to the Company or make arrangements satisfactory to the Administrator for payment of any Federal, state, and local taxes required by law to be withheld on account of such taxable event. The Company shall have the authority to cause the minimum required tax withholding obligation to be satisfied, in whole or in part, by withholding from shares of Stock to be issued to the Optionee a number of shares of Stock with an aggregate Fair Market Value that would satisfy the withholding amount due.",tax-withholding
"Tax Withholding. The Company may withhold from any benefits payable under this Agreement all federal, state, city, or other taxes as may be required pursuant to any law or governmental regulation or ruling.",tax-withholding
"Tax Withholding. Any payments provided for hereunder shall be paid net of any applicable tax withholding required under federal, state or local law.",tax-withholding
"Tax Withholding. The Company or other payor is authorized to withhold from any benefit provided or payment due hereunder, the amount of withholding taxes due any federal, state or local authority in respect of such benefit or payment and to take such other action as may be necessary in the opinion of the Board to satisfy all obligations for the payment of such withholding taxes.",tax-withholding
"Tax Withholding. Subject to Section 8.1 of the Plan, upon any distribution of shares of Common Stock in respect of the Stock Units, the Corporation shall automatically reduce the number of shares to be delivered by (or otherwise reacquire) the appropriate number of whole shares, valued at their then fair market value (with the “fair market value” of such shares determined in accordance with the applicable provisions of the Plan), to satisfy any withholding obligations of the Corporation or its Subsidiaries with respect to such distribution of shares at the minimum applicable withholding rates. In the event that the Corporation cannot legally satisfy such withholding obligations by such reduction of shares, or in the event of a cash payment or any other withholding event in respect of the Stock Units, the Corporation (or a Subsidiary) shall be entitled to require a cash payment by or on behalf of the Participant and/or to deduct from other compensation payable to the Participant any sums required by federal, state or local tax law to be withheld with respect to such distribution or payment.",tax-withholding
"Tax Withholding. The REIT, the Operating Partnership, Merger Sub and the SPE, as applicable, shall be entitled to deduct and withhold from the consideration payable pursuant to this Agreement to any holder of SPE LLC Interests such amounts required to be deducted and withheld with respect to the making of such payment under the Code or any provision of state, local or foreign tax law. To the extent that amounts are so withheld, such withheld amounts shall be treated for all purposes of this Agreement as having been paid to the holder of SPE LLC Interests in respect of which such deduction and withholding was made.",tax-withholding
"Tax Withholding. The Transfer Agent is hereby authorized to deduct from all dividends declared by the Fund and disbursed by the Transfer Agent, as dividend disbursing agent, the tax required to be withheld pursuant to Sections 1441, 1442 and 3406 of the Internal Revenue Code of 1986, as amended, or by any Federal or State statutes subsequently enacted, and to make the necessary return and payment of such tax in connection therewith.",tax-withholding
