clause_text,clause_type
"Taxes. The Company shall pay, and shall cause each of its Subsidiaries to pay, prior to delinquency, all material taxes, assessments, and governmental levies except such as are contested in good faith and by appropriate proceedings or where the failure to effect such payment is not adverse in any material respect to the Holders of the Notes.",taxes
"Taxes. Each of the Borrower and its Subsidiaries has timely filed or caused to be filed all Tax returns and reports required to have been filed and has paid or caused to be paid all Taxes required to have been paid by it, except (a) Taxes that are being contested in good faith by appropriate proceedings and for which the Borrower or such Subsidiary, as applicable, has set aside on its books adequate reserves or (b) to the extent that the failure to do so could not reasonably be expected to result in a Material Adverse Effect.",taxes
"Taxes. (a) Any and all payments by or on account of any obligation of the Borrower hereunder shall be made free and clear of and without deduction for any Indemnified Taxes or Other Taxes; provided that if the Borrower shall be required to deduct any Indemnified Taxes or Other Taxes from such payments, then (i) the sum payable shall be increased as necessary so that after making all required deductions (including deductions applicable to additional sums payable under this Section) the Administrative Agent, Lender or Issuing Bank (as the case may be) receives an amount equal to the sum it would have received had no such deductions been made, (ii) the Borrower shall make such deductions and (iii) the Borrower shall pay the full amount deducted to the relevant Governmental Authority in accordance with applicable law.",taxes
"Taxes. The Borrower and its Subsidiaries have filed all Federal, state and other material tax returns and reports required to be filed, and have paid all Federal, state and other material taxes, assessments, fees and other governmental charges levied or imposed upon them or their properties, income or assets otherwise due and payable, except those which are being contested in good faith by appropriate proceedings diligently conducted and for which adequate reserves have been provided in accordance with GAAP. There is no proposed tax assessment against the Borrower or any Subsidiary that would, if made, have a Material Adverse Effect. Neither any Loan Party nor any Subsidiary thereof is party to any tax sharing agreement.",taxes
"Taxes. Each of the Company and its Subsidiaries has filed all returns (as hereinafter defined) required to be filed with taxing authorities prior to the date hereof or has duly obtained extensions of time for the filing thereof. Each of the Company and its Subsidiaries has paid all taxes (as hereinafter defined) shown as due on such returns that were filed and has paid all taxes imposed on or assessed against the Company or such respective Subsidiary. The provisions for taxes payable, if any, shown on the financial statements filed with or as part of the Registration Statement are sufficient for all accrued and unpaid taxes, whether or not disputed, and for all periods to and including the dates of such consolidated financial statements. Except as disclosed in writing to the Underwriters, (i) no issues have been raised (and are currently pending) by any taxing authority in connection with any of the returns or taxes asserted as due from the Company or its Subsidiaries, and (ii) no waivers of statutes of limitation with respect to the returns or collection of taxes have been given by or requested from the Company or its Subsidiaries. The term “taxes” means all federal, state, local, foreign and other net income, gross income, gross receipts, sales, use, ad valorem, transfer, franchise, profits, license, lease, service, service use, withholding, payroll, employment, excise, severance, stamp, occupation, premium, property, windfall profits, customs, duties or other taxes, fees, assessments or charges of any kind whatever, together with any interest and any penalties, additions to tax or additional amounts with respect thereto. The term “returns” means all returns, declarations, reports, statements and other documents required to be filed in respect to taxes.",taxes
"Taxes. All taxes or governmental fees payable by or with respect to the Fund to federal, state or other governmental agencies, domestic or foreign, including stamp or other transfer taxes.",taxes
"Taxes. 2.18.1 There are no transfer taxes or other similar fees or charges under U.S. federal law or the laws of any U.S. state or any political subdivision of the United States, required to be paid in connection with the execution and delivery of this Agreement or the issuance or sale by the Company of the Public Securities.",taxes
"Taxes. The Borrower and its Subsidiaries have filed all United States federal tax returns and all other tax returns which are required to be filed and have paid all taxes due pursuant to said returns or pursuant to any assessment received by the Borrower or any of its Subsidiaries, except such taxes, if any, as are being contested in good faith and as to which adequate reserves have been provided in accordance with Agreement Accounting Principles and as to which no Lien exists. No tax liens have been filed and no claims are being asserted with respect to any such taxes. The charges, accruals and reserves on the books of the Borrower and its Subsidiaries in respect of any taxes or other governmental charges are adequate.",taxes
"Taxes. The Company and its Subsidiaries have filed all Federal and other material tax returns and reports required to be filed, and have paid all Federal and other material taxes, assessments, fees and other governmental charges levied or imposed upon them or their properties, income or assets otherwise due and payable, except those which are being contested in good faith by appropriate proceedings and for which adequate reserves have been provided in accordance with GAAP. There is no proposed tax assessment against the Company or any Subsidiary that would, if made, have a Material Adverse Effect.",taxes
"Taxes. (a) All payments made by the Borrower under this Agreement shall be made free and clear of, and without deduction or withholding for or on account of, any present or future income, stamp or other taxes, levies, imposts, duties, charges, fees, deductions or withholdings, now or hereafter imposed, levied, collected, withheld or assessed by any Governmental Authority, excluding net income taxes and franchise taxes (imposed in lieu of net income taxes) imposed on the Administrative Agent or any Lender as a result of a present or former connection between the Administrative Agent or such Lender and the jurisdiction of the Governmental Authority imposing such tax or any political subdivision or taxing authority thereof or therein (other than any such connection arising solely from the Administrative Agent or such Lender having executed, delivered or performed its obligations or received a payment under, or enforced, this Agreement or any other Loan Document). If any such non-excluded taxes, levies, imposts, duties, charges, fees, deductions or withholdings (“Non-Excluded Taxes”) or Other Taxes are required to be withheld from any amounts payable to the Administrative Agent or any Lender hereunder, the amounts so payable to the Administrative Agent or such Lender shall be increased to the extent necessary to yield to the Administrative Agent or such Lender (after payment of all Non-Excluded Taxes and Other Taxes) interest or any such other amounts payable hereunder at the rates or in the amounts specified in this Agreement, provided, however, that the Borrower shall not be required to increase any such amounts payable to any Lender with respect to any Non-Excluded Taxes (i) that are attributable to such Lender’s failure to comply with the requirements of paragraph (d) or (e) of this Section or (ii) that are United States withholding taxes imposed on amounts payable to such Lender at the time such Lender becomes a party to this Agreement, except to the extent that such Lender’s assignor (if any) was entitled, at the time of assignment, to receive additional amounts from the Borrower with respect to such Non-Excluded Taxes pursuant to this paragraph.",taxes
"Taxes. (a) Any and all payments by or on account of any Borrower in respect of any Obligation hereunder or under any other Loan Document shall be made free and clear of and without deduction for any Indemnified Taxes or Other Taxes; provided that if any Borrower shall be required to deduct any Indemnified Taxes or Other Taxes from such payments, then (i) the sum payable shall be increased as necessary so that after making all required deductions (including deductions applicable to additional sums payable under this Section) the Administrative Agent or the applicable Lender, as the case may be, receives an amount equal to the sum it would have received had no such deductions been made, (ii) such Borrower shall make such deductions and (iii) such Borrower shall pay the full amount deducted to the relevant Governmental Authority in accordance with applicable law.",taxes
"Taxes. It shall, and shall cause each of its Subsidiaries to, promptly pay and discharge, or cause to be paid and discharged, when due and payable, all lawful taxes, assessments and governmental charges or levies imposed upon it and its Subsidiaries’ income, profits, property or business, as the case may be; provided, however, that any such tax, assessment, charge or levy need not be paid currently if (i) the validity thereof shall currently and diligently be contested in good faith by appropriate proceedings, (ii) such tax, assessment, charge or levy shall have no effect on the Lien priority of Laurus in the Collateral, and (iii) if it and/or such Subsidiary, as applicable, shall have set aside on its and/or such Subsidiary’s books adequate reserves with respect thereto in accordance with GAAP; and provided, further, that it shall, and shall cause each of its Subsidiaries to, pay all such taxes, assessments, charges or levies forthwith upon the commencement of proceedings to foreclose any lien which may have attached as security therefor.",taxes
"Taxes. The Company and its subsidiaries have paid all federal, state, local and foreign taxes and filed all tax returns required to be paid or filed through the date hereof; and except as otherwise disclosed in the Registration Statement, the Time of Sale Information and the Prospectus or as would not, individually or in the aggregate, have a Material Adverse Effect, there is no tax deficiency that has been, or could reasonably be expected to be, asserted against the Company or any of its subsidiaries or any of their respective properties or assets.",taxes
"Taxes. Borrower shall make, and shall cause each Subsidiary to make, due and timely payment or deposit of all material federal, state, and local taxes, assessments, or contributions required of it by law, and will execute and deliver to Bank, on demand, appropriate certificates attesting to the payment or deposit thereof; and Borrower will make, and will cause each Subsidiary to make, timely payment or deposit of all material tax payments and withholding taxes required of it by applicable laws, including, but not limited to, those laws concerning F.I.C.A., F.U.T.A., state disability, and local, state, and federal income taxes, and will, upon request, furnish Bank with proof satisfactory to Bank indicating that Borrower or a Subsidiary has made such payments or deposits; provided that Borrower or a Subsidiary need not make any payment if the amount or validity of such payment is contested in good faith by appropriate proceedings and is reserved against (to the extent required by GAAP) by Borrower.",taxes
"Taxes. From the date of this Agreement and until the End Date, the Company will promptly pay and discharge, or cause to be paid and discharged, when due and payable, all lawful taxes, assessments and governmental charges or levies imposed upon the income, profits, property or business of the Company; provided, however, that any such tax, assessment, charge or levy need not be paid if the validity thereof shall currently be contested in good faith by appropriate proceedings and if the Company shall have set aside on its books adequate reserves with respect thereto, and provided, further, that the Company will pay all such taxes, assessments, charges or levies forthwith upon the commencement of proceedings to foreclose any lien which may have attached as security therefore.",taxes
