clause_text,clause_type
"Term and Termination a. Except as otherwise stated below, this Agreement will remain in effect until terminated.",term-and-termination
"Term and Termination. (a) This Agreement shall become effective on the date first written above. Unless terminated as herein provided, this Agreement shall remain in full force and effect as to the Fund for two years from the date hereof and shall continue in full force and effect for successive periods of one year thereafter, but only so long as each continuance is approved (i) by either the Trustees of the Trust or by vote of a majority of the outstanding voting securities (as defined in the 1940 Act) of the Fund, and, in either event, (ii) by vote of a majority of the Trustees of the Trust who are not parties to this Agreement or interested persons (as defined in the 1940 Act) of any such party, cast in person at a meeting called for the purpose of voting on such approval.",term-and-termination
"Term and Termination. Subject to compliance with all terms and conditions, the term of this Agreement shall be from July 1, 2005 through June 30, 2006. This Agreement may be terminated by Contractor, the Human Services Agency Director or his/her designee at any time without a requirement of good cause upon thirty (30) days’ written notice to the other party. This Agreement may be terminated by the Human Services Agency Director or his/her designee immediately and without notice if such termination is for good cause. For the purposes of this Agreement, “good cause” shall mean a material breach of the Agreement. Nothing in this provision shall prevent the County from terminating the Agreement as specified in other provisions hereto including, but not limited to, termination due to the unavailability of funds (Section 6), the Contractor’s unauthorized assignment of the Agreement to a third-party (Section 12), the Contractor’s failure to take out and maintain adequate insurance (Section 13), and/or the Contractor’s failure to comply with anti-discrimination or other laws (Sections 14-15). In the event of termination, all finished or unfinished documents, data, studies, maps, photographs, reports, and materials (hereafter referred to as materials) prepared by Contractor under this Agreement shall become the property of the County and shall be promptly delivered to the County. Upon termination, the Contractor may make and retain a copy of such materials. Subject to availability of funding, Contractor shall be entitled to receive payment for work/services provided prior to termination of the Agreement. Such payment shall be that portion of the full payment which is determined by comparing the work/services completed to the work/services required by the Agreement.",term-and-termination
"Term and Termination. This Agreement shall become effective on the date first set forth above (the ""Effective Date"") and shall continue in effect from year to year thereafter as the parties may mutually agree; provided that either party may terminate this Agreement by giving the other party notice in writing specifying the date of such termination, which shall be not less than 60 days after the date of receipt of such notice. In the event such notice is given by the Company, it shall be accompanied by a vote of the Board, certified by the Secretary, electing to terminate this Agreement and designating a successor transfer agent or transfer agents. Upon such termination and at the expense of the Company, the Transfer Agent will deliver to such successor a certified list of shareholders of the Fund (with name, address and taxpayer identification or Social Security number), a historical record of the account of each shareholder and the status thereof, and all other relevant books, records, correspondence, and other data established or maintained by the Transfer Agent under this Agreement in the form reasonably acceptable to the Company, and will cooperate in the transfer of such duties and responsibilities, including provisions for assistance from the Transfer Agent's personnel in the establishment of books, records and other data by such successor or successors.",term-and-termination
"Term and Termination. (a) This Agreement will remain in force with respect to each party until the respective initial termination date listed on Schedule I and continue in force from year to year thereafter, but only so long as such continuance is specifically approved at least annually by the vote of a majority of the Directors who are not parties to this Agreement or “interested persons” of any party to this Agreement.",term-and-termination
"Term and Termination. (a) This Agreement will remain in force with respect to each party until the respective initial termination date listed on Schedule I and will continue in force from year to year thereafter, but only so long as such continuance is specifically approved at least annually (a) by the vote of a majority of the Trustees who are not parties to this Agreement or “interested persons” of any party to this Agreement, cast in person at a meeting called for the purpose of voting on such approval, and (b) by the vote of a majority of the Trustees of the Trust, or by the vote of a majority of the outstanding voting securities of the respective Fund. The requirement that continuance of this Agreement be “specifically approved at least annually” will be construed in a manner consistent with the Investment Company Act, the rules and regulations under the Investment Company Act and any applicable SEC or SEC staff guidance or interpretation.",term-and-termination
"Term and Termination. This Agreement shall have an initial term with respect to each Fund ending on the date indicated on Schedule A, as such schedule may be amended from time to time. Thereafter, this Agreement shall automatically renew for one-year terms with respect to a Fund unless the Investment Manager provides written notice of the termination of this Agreement to a lead Independent Trustee of the Registrant within 90 days of the end of the then current term for that Fund and such termination is approved by the Board of Trustees of the Registrant. In addition, this Agreement shall terminate with respect to a Fund upon termination of the Management Agreement with respect to such Fund, or it may be terminated by the Registrant, without payment of any penalty, upon written notice to the Investment Manager at its principal place of business within 90 days of the end of the then current term for a Fund.",term-and-termination
"Term and Termination. The term of this Agreement shall end on the Stated Termination Date. The Agent upon direction from the Majority Lenders may terminate this Agreement without notice upon the occurrence of an Event of Default. Upon the effective date of termination of this Agreement for any reason whatsoever, all Obligations (including all unpaid principal, accrued and unpaid interest and any early termination or prepayment fees or penalties) shall become immediately due and payable. Notwithstanding the termination of this Agreement, until all Obligations are indefeasibly paid and performed in full in cash, the Borrower shall remain bound by the terms of this Agreement and shall not be relieved of any of its Obligations hereunder, and the Agent and the Lenders shall retain all their rights and remedies hereunder or under any other Loan Document (including the Agent’s Liens in and all rights and remedies with respect to all then existing and after-arising Collateral).",term-and-termination
"Term and Termination. 22.1 This Agreement shall be effective as of the Effective Date and, unless cancelled or terminated earlier in accordance with the terms hereof, shall continue in effect until September 30, 2002 (the “Initial Term”). Thereafter, this Agreement shall continue in force and effect unless and until cancelled or terminated as provided in this Agreement.",term-and-termination
"Term and Termination. This Agreement shall remain in effect until termination or expiration of all Order Forms, unless otherwise terminated earlier as provided hereunder. Either party may terminate: (a) this Agreement and/or any or all applicable Order Forms upon thirty (30) days prior written notice if the other party breaches a material provision of this Agreement and fails to cure such breach within the thirty (30) day notice period; (b) Maintenance, Term License or Subscription, upon prior written notice at least sixty (60) days prior to the end of any applicable annual Maintenance period or Term; or (c) an Order Form for Consulting Services, upon fifteen",term-and-termination
Term and Termination. This Agreement will remain in full force during the Escrow Period and shall terminate upon the following:,term-and-termination
"Term and Termination. This Agreement shall become effective upon the date first above written, provided that this Agreement shall not take effect unless it has first been approved in conformance with the 1940 Act. Unless earlier terminated as provided herein, this Agreement shall continue in effect from year to year, subject to the termination provisions and all other terms and conditions hereof, so long as continuance is specifically approved at least annually in conformance with the 1940 Act; provided, however, that this Agreement may be terminated (a) by the Portfolio at any time, without the payment of any penalty, by the vote of a majority of the Portfolio’s directors or by the vote of a majority of the outstanding voting securities of the Portfolio, (b) by the Adviser at any time, without the payment of any penalty, on 60 days’ written notice to the other party, or (c) by the Sub-Adviser at any time, without the payment of any penalty, on 90 days’ written notice to the other party. This Agreement shall terminate automatically upon any termination of the Advisory Agreement. This Agreement shall terminate automatically and immediately in the event of its assignment. As used in this Section 10, the terms “assignment” and “vote of a majority of the outstanding voting securities” shall have the respective meanings set forth in the 1940 Act and the rules and regulations thereunder, as interpreted or modified by no-action letters, exemptive relief or other exceptions as may be granted by the Commission or its staff under the 1940 Act.",term-and-termination
"Term and Termination. This Agreement shall become effective as of the date first written above (the “Start Date”) and shall continue thereafter throughout the period that ends two (2) years after the Start Date (the “Initial Term”). If not sooner terminated, this Agreement shall renew at the end of the Initial Term and shall thereafter continue for successive annual periods, provided such continuance is specifically approved at least annually (i) by the Fund’s Board of Trustees or (ii) by a vote of a majority of the outstanding voting securities of the relevant portfolio of the Fund, provided that in either event the continuance is also approved by the majority of the Trustees of the Fund who are not interested persons (as defined in the 1940 Act) of any party to this Agreement by vote cast in person at a meeting called for the purpose of voting on such approval. If a plan under Rule 12b-1 of the 1940 Act is in effect, continuance of the plan and this Agreement must be approved at least annually by a majority of the Trustees/Directors of the Fund who are not interested persons (as defined in the 1940 Act) and have no financial interest in the operation of such plan or in any agreements related to such plan, cast in person at a meeting called for the purpose of voting on such approval. This Agreement is terminable without penalty on sixty (60) days’ written notice by the Fund’s Board of Trustees, by vote of the holders of a majority of the outstanding voting securities of the relevant portfolio of the Fund, or by ALPS. This Agreement will automatically terminate in the event of its assignment (as defined in the 1940 Act). This Agreement shall not be assignable by the Fund without the prior written consent of ALPS.",term-and-termination
"Term and Termination. (a) This Agreement shall terminate upon the first to occur of (i) the dissolution of the Issuer; (ii) upon notice of termination from the Administrator that the Administrator desires to withdraw as the administrator of the Issuer, Masterworks Cayman and of the Painting, which the Administrator may give at any time in the event that the Administrator determines that it desires to cease providing services of the type as set forth herein to any Person, and provided that the Administrator does so cease providing such services thereunder, (iii) upon the Removal Effective Date, and (iv) on the joint agreement of the Parties.",term-and-termination
"Term and Termination. Any Party may terminate this Agreement, without penalty, on 60 days written notice to the other Party. Unless so terminated, this Agreement shall continue in effect for so long as AIM or its successor(s) in interest, or any affiliate thereof, continues to perform in a similar capacity for the Fund, and for so long as INSURER provides the services contemplated hereunder with respect to Contracts under which values or monies are allocated to a Portfolio.",term-and-termination
