clause_text,clause_type
"Term of Employment. The term of the Executive’s employment pursuant to this Agreement shall commence on and as of the date hereof (the “Effective Date”) and shall remain in effect for a period of two (2) years from the Effective Date (the “Term”). The Term shall be renewed automatically for periods of two (2) years (each a “Renewal Term”) commencing at the second anniversary of the Effective Date and on each subsequent second anniversary thereafter, unless notice that this Agreement will not be extended is given by either the Executive or the Company not less than one-hundred (180) days prior to the expiration of the Term (as extended by any Renewal Term). The period during which the Executive serves as an employee of the Company in accordance with and subject to the provisions of this Agreement is referred to in this Agreement as the “Term of Employment.”",term-of-employment
"Term of Employment. Except as otherwise provided below, the Company shall employ Executive for the period commencing on the Commencement Date and ending on the third anniversary of the Commencement Date. At the expiration of the original term or any extended term (each a “Renewal Date”), Executive’s employment hereunder shall be extended automatically, upon the same terms and conditions, for successive one-year periods, unless either party shall give written notice to the other of its intention not to renew such employment at least fifteen months prior to such Renewal Date. Without limiting the generality of the foregoing, upon the occurrence of a Change of Control (as defined below), the term of this Agreement shall be extended automatically without any action by either party until the second anniversary of such Change of Control. Notwithstanding the foregoing, if not previously terminated pursuant to Sections 1(b), 5(a) or 6(a), the term of this Agreement shall terminate on the last day of the month in which Executive attains age 65, and such a termination upon Executive reaching age 65 shall be deemed to be a Termination Due to Retirement for purposes of this Agreement. The period during which Executive is employed pursuant to this Agreement, including any extension thereof in accordance with this Section 1(b), shall be referred to as the “Employment Period.”",term-of-employment
"Term of Employment. Subject to the provisions of Section 5 of this Agreement, Executive shall be employed by the Company for a period commencing on the date hereof (or such earlier date as Executive and the Company mutually agree upon) (the “Effective Date”) and ending on the third anniversary of the Effective Date (the “Employment Term”) on the terms and subject to the conditions set forth in this Agreement; provided, however, the Employment Term shall be automatically extended for an additional one-year period commencing with the third anniversary of the Effective Date and, thereafter, on each such successive anniversary of the Effective Date thereafter (each an “Extension Date”), unless the Company or Executive provides the other party hereto at least 90 days prior written notice before the next Extension Date that the Employment Term shall not be so extended (a “Notice of Non-Renewal”).",term-of-employment
"Term of Employment. (a) The Bank hereby employs the Executive as President and Chief Executive Officer and the Executive hereby accepts said employment and agrees to render such services to the Bank on the terms and conditions set forth in this Agreement. The term of employment under this Agreement shall be for three years, commencing on the date of this Agreement and, upon approval of the Board of Directors of the Bank, shall extend for an additional year on each annual anniversary of the date of this Agreement such that at any time the remaining term of this Agreement shall be from two to three years. Prior to the first annual anniversary of the date of this Agreement and each annual anniversary thereafter, the Board of Directors of the Bank shall consider and review (with appropriate corporate documentation thereof, and after taking into account all relevant factors, including the Executive's performance hereunder) an extension of the term of this Agreement, and the term shall continue to extend each year if the Board of Directors approves such extension unless the Executive gives written notice to the Employers of the Executive's election not to extend the term, with such written notice to be given not less than thirty (30) days prior to any such anniversary date. If the Board of Directors elects not to extend the term, it shall give written notice of such decision to the Executive not less than thirty (30) days prior to any such anniversary date. If any party gives timely notice that the term will not be extended as of any annual anniversary date, then this Agreement shall terminate at the conclusion of its remaining term. References herein to the term of this Agreement shall refer both to the initial term and successive terms.",term-of-employment
"Term of Employment. Subject to the terms and conditions of this Agreement, the initial term of employment hereunder shall be for the three (3)-year period commencing on the Effective Date and ending on the day preceding the three (3)-year anniversary of the Effective Date. As of each one (1)-year anniversary of the Effective Date, the term of employment hereunder shall be extended for another one (1) year, automatically, unless either party delivers notice to the contrary to the other party at least sixty (60) days prior to such one (1)-year anniversary, in which case the term of employment hereunder shall expire as of the date to which it was last extended pursuant to this sentence. Such notice shall be delivered in a manner consistent with the requirements of Section 13. References in this Agreement to the ""Term"" shall refer both to such initial term and any successive terms.",term-of-employment
"Term of Employment. The term of this Agreement shall commence upon the Effective Date and shall continue for one (1) year (the “Initial Term”) from such date and shall automatically be extended for additional terms of one (1) year each (each a “Renewal Term”) unless either party gives prior written notice of non-renewal to the other party no later than six (6) months prior to the expiration of the Initial Term (“Non-Renewal Notice”), or the then current Renewal Term, as the case may be. For purposes of this Agreement, the Initial Term and any Renewal Term are hereinafter collectively referred to as the “Term.”",term-of-employment
"Term of Employment. The term of the Executive's employment under this Agreement shall commence on the date this agreement is fully executed subject only to the Company's emergence from bankruptcy pursuant to its Plan of Reorganization (the ""Effective Date"") and end on December 31, 2008 (the ""Original Term of Employment"") or, if sooner, the date Executive's employment is terminated pursuant to Section 9. Thereafter the Original Term of Employment shall be automatically renewed for successive one-year terms (""Renewal Terms"") unless at least 60 days prior to the expiration of the Original Term of Employment or any Renewal Term, either Party notifies the other Party in writing that he or it is electing to terminate this Agreement at the expiration of the then current Term of Employment. """,term-of-employment
"Term of Employment. The initial term of employment under this Agreement (the “Initial Term”) shall be for the period beginning on June 15, 2007 (the “Effective Date”) and ending on the third anniversary thereof, unless earlier terminated as provided in Section 4. The employment term hereunder shall automatically be extended for successive one-year periods (“Extension Terms” and, collectively with the Initial Term, the “Term”) unless either party gives written notice of non-extension to the other no later than 60 days prior to the expiration of the then applicable Term.",term-of-employment
"Term of Employment. This Agreement, and all rights and obligations of the parties hereunder, shall take effect upon the Effective Date and shall continue until the date that is two years from the Effective Date (the “Initial Employment Term”). In addition, the term of this Agreement shall automatically renew for periods of two years (each an “Extension Term”) unless either party gives written notice to the other party, at least ninety (90) days prior to the end of the Initial Employment Term or at least ninety (90) days prior to the end of the relevant Extension Term, that the Agreement shall not be further extended. The period commencing on the Effective Date and ending on the date on which the term of the Executive’s employment under the Agreement shall terminate is hereinafter referred to as the “Employment Term.”",term-of-employment
"Term of Employment. The term of employment of Executive under this Agreement shall be for the period commencing on the Effective Date and ending thirty-six (36) months thereafter (""Term""). Additionally, on, or before, each annual anniversary date from the Effective Date, the Term of employment under this Agreement shall be extended for up to an additional period beyond the then effective expiration date upon a determination and resolution of the Board of Directors that the performance of the Executive has met the requirements and standards of the Board, and that the Term of such Agreement shall be extended. References herein to the Term of this Agreement shall refer both to the initial term and successive terms.",term-of-employment
