clause_text,clause_type
Term. This Agreement shall terminate upon the earlier of (i) the tenth anniversary of the date of this Agreement or (ii) the date as of which (A) all of the Registrable Securities have been sold pursuant to a Registration Statement (but in no event prior to the applicable period referred to in Section 4(a)(3) of the Securities Act and Rule 174 thereunder (or any successor rule promulgated thereafter by the Commission)) or (B) the Holders of all Registrable Securities are permitted to sell the Registrable Securities without registration pursuant to Rule 144 (or any similar provision) under the Securities Act with no volume or other restrictions or limitations. The provisions of Section 3.5 and Article IV shall survive any termination.,term
"Term. The term of this Agreement will be ten (10) years from the Effective Date (as such term may be extended pursuant to Section 4.2, the “Term”).",term
"Term. The Commencement Date, Expiration Date and Original Term of this Lease are as specified in Paragraph 1.3.",term
"Term. The Provider shall be bound by this DPA for so long as the Provider maintains any Student Data. Notwithstanding the foregoing, Provider agrees to be bound by the terms and obligations of this DPA for three (3) years.",term
Term. The term of the Partnership commenced upon the filing of the Certificate of Limited Partnership in accordance with the Delaware Act and shall continue in existence until the dissolution of the Partnership in accordance with the provisions of Article XII. The existence of the Partnership as a separate legal entity shall continue until the cancellation of the Certificate of Limited Partnership as provided in the Delaware Act.,term
"Term. (a) This Agreement shall become effective at the time the Fund commences operations pursuant to an effective amendment to the Trust’s Registration Statement under the Securities Act of 1933 and shall remain in effect for a period of two (2) years, unless sooner terminated as hereinafter provided. This Agreement shall continue in effect thereafter for additional periods not exceeding one (l) year so long as such continuation is approved at least annually by (i) the Board of Trustees or by the vote of a majority of the outstanding voting securities of the Fund and (ii) the vote of a majority of the Trustees of the Trust who are not parties to this Agreement nor interested persons thereof, cast in person at a meeting called for the purpose of voting on such approval. The terms “majority of the outstanding voting securities” and “interested persons” shall have the meanings set forth in the Investment Company Act.",term
"Term. This Agreement shall remain in effect for an initial term of two years from the date hereof, and from year to year thereafter provided such continuance is approved at least annually by the vote of a majority of the trustees of the Trust who are not “interested persons” (as defined in the 1940 Act) of the Trust, which vote must be cast in person at a meeting called for the purpose of voting on such approval; provided, however, that:",term
"Term. The initial term of this Agreement shall be five (5) years from the date first noted above (the “Initial Term”) unless terminated pursuant to the provisions of this Section 12. Unless a party gives written notice to the other party ninety (90) days before the expiration of the Initial Term or any Renewal Term, this Agreement will renew automatically from year to year (each such year-to-year renewal term a “Renewal Term”; collectively, the Initial Term and any Renewal Term shall hereafter be referred to as the “Term”). One-hundred twenty (120) days before the expiration of the Initial Term or a Renewal Term the parties to this Agreement will agree upon the Fee Schedule for the upcoming Renewal Term. Otherwise, the fees shall be increased pursuant to Section 3.4 of this Agreement. Notwithstanding the termination or non-renewal of this Agreement, the terms and conditions of this Agreement shall continue to apply until the completion of Deconversion (defined below).",term
"Term. Subject to the provisions of Section 1.6 above, this Warrant is exercisable in whole or in part at any time and from time to time on or before 6:00 PM, Pacific time, on the Expiration Date and shall be void thereafter.",term
"Term. The term of the Company commenced on the day on which the Certificate of Formation was filed with the Secretary of State of the State of Delaware pursuant to the provisions of the Delaware Act. The term of the Company shall be perpetual, unless and until it is dissolved or terminated in accordance with the provisions of Article VIII. The existence of the Company as a separate legal entity shall continue until the cancellation of the Certificate of Formation as provided in the Delaware Act.",term
"Term. This agreement shall continue until the date (the ""Reapproval Date"") set forth on Exhibit A hereto (and, if the Fund has Series, a separate Reapproval Date shall be specified on Exhibit A for each Series), and thereafter shall continue automatically for successive annual periods ending on the day (the ""Reapproval Day"") of each year set forth on Exhibit A hereto, provided such continuance is specifically approved at least annually by (i) the Fund's Board or (ii) vote of a majority (as defined in the Investment Company Act of 1940) of the Shares of the Fund or the relevant Series, as the case may be, provided that in either event its continuance also is approved by a majority of the Board members who are not ""interested persons"" (as defined in said Act) of any party to this agreement, by vote cast in person at a meeting called for the purpose of voting on such approval. This agreement is terminable without penalty, on 60 days' notice, (a) by vote of holders of a majority of the Fund's or, as to any relevant Series, such Series' outstanding voting securities, or (b) by the Fund's Board as to the Fund or the relevant Series, as the case may be, or (c) by you. This agreement also will terminate automatically, as to the Fund or relevant Series, as the case may be, in the event of its assignment (as defined in said Act).",term
Term. This Agreement shall terminate upon the earlier of (i) the tenth anniversary of the date of this Agreement and (ii) the date as of which no Registrable Securities remain outstanding. The provisions of Section 3.5 and Article IV shall survive any termination.,term
"Term. The initial term of this Agreement shall be one (1) year and commence as of 12:01 a.m. on the date first written above. At the end of this initial term, or any subsequent renewal term, this Agreement shall automatically renew for an additional period of one (1) year unless either party provides written notice to the other of its intent to terminate at least three (3) months prior to the expiration of the then current term.",term
"Term. Notwithstanding the termination or cancellation of this Confidentiality Agreement and regardless of whether the NRSRO has provided a credit rating on a Security, your obligations under this Confidentiality Agreement will survive indefinitely.",term
"Term. 7.1. This Agreement shall become effective on the date of its execution and, unless sooner terminated as provided herein, shall continue in effect for a period of two (2) years from the date written above. This Agreement shall thereafter continue from year to year, provided such continuance is specifically approved at least annually by (i) the Board or (ii) a vote of a majority (as defined in the 1940 Act) of the outstanding voting securities of the Trust or any Fund, if applicable, provided that in either event the continuance is also approved by the majority of the members of the Board who are not parties to this Agreement or interested persons (as defined in the 1940 Act) of any such party, by vote cast in person at a meeting called for the purpose of voting on such approval.",term
