clause_text,clause_type
Termination for Cause. This Agreement shall be terminable at the option of the Seller or the Master Servicer if any of the following events of default exist on the part of the Servicer:,termination-for-cause
"Termination for Cause. If, prior to the Final Exercise Date, the Participant’s employment is terminated by the Company for Cause (as defined below), the right to exercise this option shall terminate immediately upon the effective date of such termination of employment. If, prior to the Final Exercise Date, the Participant is given notice by the Company of the termination of his or her employment by the Company for Cause, and the effective date of such employment termination is subsequent to the date of delivery of such notice, the right to exercise this option shall be suspended from the time of the delivery of such notice until the earlier of (i) such time as it is determined or otherwise agreed that the Participant’s employment shall not be terminated for Cause as provided in such notice or (ii) the effective date of such termination of employment (in which case the right to exercise this option shall, pursuant to the preceding sentence, terminate upon the effective date of such termination of employment). If the Participant is party to an employment or severance agreement with the Company that contains a definition of “cause” for termination of employment, “Cause” shall have the meaning ascribed to such term in such agreement. Otherwise, “Cause” shall mean willful misconduct by the Participant or willful failure by the Participant to perform his or her responsibilities to the Company (including, without limitation, breach by the Participant of any provision of any employment, consulting, advisory, nondisclosure, non-competition or other similar agreement between the Participant and the Company), as determined by the Company, which determination shall be conclusive. The Participant’s employment shall be considered to have been terminated for Cause if the Company determines, within 30 days after the Participant’s resignation, that termination for Cause was warranted.",termination-for-cause
"Termination for Cause. This Agreement may be terminated for Cause (as defined below) by the Company before the expiration of the Term provided for herein if, during the Term of this Agreement, the Employee (i) materially violates the provisions of the Non-Competition Agreement or the Confidentiality Agreements between the Company and Employee, (ii) is convicted of, or pleads nolo contendere to, any crime involving misuse or misappropriation of money or other property of the Company or any felony; (iii) exhibits repeated willful or wanton failure or refusal to perform his duties in furtherance of the Company’s business interest or in accordance with this Agreement, which failure or refusal is not remedied by the Employee within thirty (30) days after notice from the Company; (iv) commits an intentional tort against the Company, which materially adversely affects the business of the Company; (v) commits any flagrant act of dishonesty or disloyalty or any act involving gross moral turpitude, which materially adversely affects the business of the Company; or (vi) exhibits immoderate use of alcohol or drugs which, in the opinion of an independent physician selected by the Company, impairs the Employee’s ability to perform his duties hereunder (all of the foregoing clauses (i) through (vi) constituting reasons for termination for “Cause”), provided that unsatisfactory business performance of the Company, or mere inefficiency, or good faith errors in judgment or discretion by the Employee shall not constitute grounds for termination for Cause hereunder. In the event of a termination for Cause, the Company may by written notice immediately terminate his employment and, in that event, the Company shall be obligated only to pay the Employee the compensation due him up to the date of termination, all accrued, vested or earned benefits under any applicable benefit plan and any other compensation to which the Employee is entitled under Section 4 up to and ending on the date of the Employee’s termination.",termination-for-cause
"Termination for Cause. The term """,termination-for-cause
"Termination for Cause. This Agreement shall immediately terminate and neither party shall have any further obligation hereunder (including but not limited to any obligation of the Corporation to provide Continuation Benefits) if the Executive's employment is terminated for ""cause."" Termination for cause shall occur when termination results from the Executive's (a) criminal dishonesty, (b) refusal to perform his duties hereunder on an exclusive and substantially full-time basis, (c) refusal to act in accordance with any specific substantive instructions of the Chief Executive Officer or the Board of Directors of the Corporation, or (d) engaging in conduct which could be materially damaging to the Corporation without a reasonable good faith belief that such conduct was in the best interests of the Corporation. The determination whether a termination is for cause shall be made by the Management Resources and Compensation Committee of the Board of Directors of the Corporation (the ""Committee""), and such determination shall be final and conclusive on the Executive and all other persons affected thereby.",termination-for-cause
"Termination for Cause i. The Board may, by written notice to Executive in the form and manner specified in this paragraph, immediately terminate his employment at any time for “Cause.” Executive shall have no right to receive compensation or other benefits for any period after termination for Cause, except for already vested benefits. Termination for Cause shall mean termination because of, in the good faith determination of the Board, Executive’s:",termination-for-cause
"Termination for Cause. Either party may terminate this Agreement if a party materially breaches its obligations under this Agreement, and such breach is not cured within thirty (30) days after delivery of the non-breaching party’s notice or such longer time as the non-breaching party may specify in the notice.",termination-for-cause
"Termination for Cause. The Board may terminate the Executive's employment hereunder for Cause, as hereinafter defined, immediately upon written notice to the Executive. For purposes of this Agreement, ""Cause"" shall mean (A) proven dishonesty of the Executive detrimental to the best interests of the Company or any of its subsidiaries or conviction of the Executive of a crime which constitutes a felony, (B) any material act or omission by the Executive during the Term involving willful malfeasance or gross negligence in the performance of his duties hereunder, (C) repeated failure of the Executive to follow the reasonable instructions of the Board (other than inattention or neglect resulting from illness or disability of the Executive) which inattention and neglect does not cease within fifteen days after written notice thereof specifying the details of such conduct is given by the Board to the Executive or (D) material breach by the Executive of any material provision of this Agreement (provided, however, that if such breach is curable and is remedied to the reasonable satisfaction of the Board within fifteen days after written notice thereof specifying the details of such breach is given by the Board to the Executive, such breach shall not fall within the definition of ""Cause"" for purposes of this Subsection (D)). During the Term, the Executive shall be entitled to only one such notice and right to cure for any single act or event. If the Executive's employment is terminated for Cause, the Executive shall be entitled to receive only the unpaid portion of the Base Salary then in effect which has accrued to the date of termination.",termination-for-cause
"Termination for Cause. Notwithstanding any provision of this Agreement to the contrary, the Company shall not pay any benefit under this Agreement if the Company terminates the Executive's employment for:",termination-for-cause
"Termination for Cause. (a) Any of the following occurrences shall constitute an event of default (each, an “Event of Default”) on the part of the Servicer:",termination-for-cause
