clause_text,clause_type
"Termination of Employment. (a) Any termination of the Executive’s employment by the Company at any time during the Term or at any time after the Change in Control Date, or by the Executive within 12 months following the Change in Control Date (other than due to the death of the Executive) shall be communicated by a written notice to the other party hereto (the “Notice of Termination”), given in accordance with Section 6.2. Any Notice of Termination shall: (i) indicate (in the case of a termination by the Company) whether such termination is for Cause and (in the case of a termination by the Executive within 12 months following the Change in Control Date) whether such termination is for Good Reason, (ii) to the extent applicable, set forth in reasonable detail the facts and circumstances claimed to provide a basis for termination of the Executive’s employment for Cause or for Good Reason and (iii) specify the Date of Termination (as defined below). The effective date of an employment termination (the “Date of Termination”) shall be the close of business on the date specified in the Notice of Termination (which date may not be less than 15 days or more than 120 days after the date of delivery of such Notice of Termination), in the case of a termination other than one due to the Executive’s death, or the date of the Executive’s death, as the case may be.",termination-of-employment
"Termination of Employment. If an employee who is required to pay a representation fee terminates his or her employment with the Board before the Association has received the full amount of the representation fee to which it is entitled under this Article, the Board will deduct the unpaid portion of the fee from the last paycheck paid to said employee during the membership year in question.",termination-of-employment
"Termination of Employment. If the Optionee’s employment by the Company or a Subsidiary (as defined in the Plan) is terminated, the period within which to exercise the Stock Option may be subject to earlier termination as set forth below.",termination-of-employment
"Termination of Employment. The Employment Term and the Executive’s employment hereunder may be terminated by either the Company or the Executive at any time and for any reason; provided that, unless otherwise provided herein, either party shall be required to give the other party at least 15 days advance written notice of any termination of the Executive’s employment. Upon termination of the Executive’s employment during the Employment Term, the Executive shall be entitled to the compensation and benefits described in this Section 4 and shall have no further rights to any compensation or any other benefits from the Company or any of its affiliates.",termination-of-employment
"Termination of Employment. The Company may terminate the Executive’s employment for any reason during the Term, and the Executive may voluntarily resign Executive’s employment for any reason during the Term, in each case (other than a termination by the Company for Cause) at any time upon not less than thirty (30) days’ notice to the other party. Upon the termination or resignation of the Executive’s employment with the Company for any reason (whether during the Term or thereafter), the Executive shall be entitled to any Base Salary earned but unpaid through the date of termination or resignation, any earned but unpaid Annual Bonus for completed fiscal years, any unused accrued PTO and any unreimbursed expenses in accordance with Section 2.5 hereof (collectively, the “Accrued Amounts”).",termination-of-employment
"Termination of Employment. The parties acknowledge that Employee’s employment relationship with the Company is at-will. Either Employee or the Company may terminate the employment relationship at any time, with or without Cause. The provisions in this Section govern the amount of compensation, if any, to be provided to Employee upon termination of employment and do not alter this at-will status.",termination-of-employment
"Termination of Employment. (a) Death or Disability. The Executive's employment shall terminate automatically upon the Executive's death during the Employment Period. If the Company determines in good faith that the Disability of the Executive has occurred during the Employment Period (pursuant to the definition of Disability set forth below), it may give to the Executive written notice in accordance with Section 12(b) of this Agreement of its intention to terminate the Executive's employment. In such event, the Executive's employment with the Company shall terminate effective on the 30th day after receipt of such notice by the Executive (the ""Disability Effective Date""), provided that, within the 30 days after such receipt, the Executive shall not have returned to full-time performance of the Executive's duties. For purposes of this Agreement, ""Disability"" shall mean the absence of the Executive from the Executive's duties with the Company on a full-time basis for 180 consecutive business days as a result of incapacity due to mental or physical illness which is determined to be total and permanent by a physician selected by the Company or its insurers and acceptable to the Executive or the Executive's legal representative.",termination-of-employment
"Termination of Employment. 3.1. If, during the term of this Agreement, the Executive’s employment with the Company shall be terminated within 36 months following a Change in Control, the Executive shall be entitled to the following compensation and benefits:",termination-of-employment
Termination of Employment. The Company or the Employee may terminate the Employee’s employment at any time and for any reason in accordance with Subsection 8(a) below. The Employment Term shall be deemed to have ended on the last day of the Employee’s employment. The Employment Term shall terminate automatically upon the Employee’s death.,termination-of-employment
Termination of Employment. The Executive’s employment under this Agreement shall continue until terminated pursuant to this Section 4.,termination-of-employment
