clause_text,clause_type
"Termination Without Cause. This Agreement shall terminate upon: (i) the later of (a) the distribution of the final payment or liquidation proceeds on the last Mortgage Loan to the Master Servicer (or advances by the Servicer for the same), and (b) the disposition of all REO Property acquired upon foreclosure of the last Mortgage Loan and the remittance of all funds due hereunder, (ii) mutual consent of the Servicer, the Seller (as owner of the servicing rights relating to the Mortgage Loans), the Trustee and the Master Servicer in writing or (iii) at the sole discretion of the Seller (acting in its capacity as owner of the servicing rights relating to the Mortgage Loans). Any such termination pursuant to clause (iii) above shall be with 30 days’ prior notice, in writing and delivered to the Trustee, the Master Servicer and the Servicer by registered mail to the addresses set forth in Section 9.03 of this Agreement (in the case of the Servicer) or in the Trust Agreement (in the case of the Trustee or the Master Servicer). The Servicer shall comply with the termination procedures set forth in Sections 7.03, 8.01 and 9.01 hereof. The Master Servicer or the Trustee shall have no right to terminate the Servicer pursuant to this Section 8.02. In connection with a termination by the Seller pursuant to clause (iii) of this Section 8.02, the Servicer shall be reimbursed for all unreimbursed out-of-pocket Servicing Advances, Monthly Advances and Servicing Fees and other reasonable and necessary out-of-pocket costs associated with any transfer of servicing at the time of such transfer of servicing. Any invoices received by the Servicer after termination will be forwarded to the Seller or the successor servicer for payment within thirty (30) days of receipt from the Servicer.",termination-without-cause
Termination Without Cause. The Company may terminate the Executive’s employment hereunder at any time without Cause. Any termination by the Company of the Executive’s employment under this Agreement which does not constitute a termination for Cause under Section 3(c) and does not result from the death or disability of the Executive under Section 3(a) or (b) shall be deemed a termination without Cause.,termination-without-cause
"Termination Without Cause. The Purchaser may terminate, after providing 30 days' written notice, at its sole option, any rights the Company may have hereunder, without cause, as provided in this Section 11.02. Any such notice of termination shall be in writing and delivered to the Company by registered mail as provided in Section 12.05. In the event the Purchaser terminates the Company without cause with respect to some or all of the Mortgage Loans, the Purchaser shall be required to pay to the Company a Termination Fee in an amount equal to 2.00% of the outstanding principal balance of the terminated Mortgage Loans as of the date of such termination.",termination-without-cause
Termination Without Cause. The Company may terminate the Executive’s employment without Cause.,termination-without-cause
Termination Without Cause. The Company may terminate Executive’s employment without Cause.,termination-without-cause
"Termination Without Cause. 5.05. The Board of Directors may terminate Executive's employment under this Agreement without any cause whatsoever by giving Executive thirty (30) days' written notice or, at the election of the Board of Directors, immediate notice and the payment of an amount equal to his base salary for the previous thirty (30) days, at the time set forth therein. In addition to any amounts owed to the Executive pursuant to the preceding sentence, if such termination is made pursuant to this Section 5.05, Employer shall pay to Executive severance pay in an amount equal to the base salary that would be payable to Executive over the period commencing on the date of termination and ending at the end of the Base Term of this Agreement, which period shall in no event be less than six (6) months (the ""Severance Period""), assuming the base salary is the amount of Executive's base salary at the time of the termination, which severance pay shall be paid to Executive during the Severance Period in equal installments as set forth in Section 3.01. In addition, upon such termination the vesting of all options that are granted to Executive under any stock option plan of Employer or any subsidiary thereof (provided such options are granted on or after the date on which the Combination with IWL, CapRock and the Partnership is consummated) will automatically accelerate, with the result that such options will be fully vested upon the date of termination. Upon such termination, Executive shall receive only such amounts as are owed to him under this Agreement as the result of his activities prior to such termination and as expressly set forth in this Section 5.05 and thereafter no further consideration shall be owed by the Employer to Executive.",termination-without-cause
"Termination Without Cause. The Company may terminate this Agreement without cause at any time by the service of written notice of termination to the Executive specifying an effective date of such termination not sooner than thirty (30) business days after the date of such notice (the “Termination Date”). Elimination of Executive’s job position or duties and/or reassignment of Executive to a new position of less authority or compensation may, at the Executive’s option, be deemed as a Termination without Cause. In the event the Executive is terminated without cause, the Executive will receive as termination compensation: (a) Base Salary for a period of one (1) year; (b) all Equity Compensation granted to Executive under Section 4.3 of this Agreement shall be immediately vested; (c) any benefits payable by operation of paragraph 4.4 of this Agreement; and (d) any vacation pay accrued through the Termination Date. If, on the Termination Date, the Executive is a “specified employee” as defined in regulations under Section 409A of the Internal Revenue Code, such payment will commence on the first payroll payment date which is not less than six (6) months following the Termination Date. The right to the foregoing termination compensation under clauses (a) and (b) above is subject to the Executive’s execution of the Company’s severance agreement which will operate as a release of all legally waivable claims against the Company. Such payment is further conditioned upon the Executive’s compliance with all of the provisions of this Agreement, including all post-employment obligations.",termination-without-cause
"Termination Without Cause. The Initial Owner may terminate, at its sole option, any rights the Servicer may have hereunder, without cause, as provided in this Section 11.02. Any such notice of termination shall be in writing and delivered to the Servicer by mail as provided in Section 12.05. The Owner and the Servicer shall comply with the termination procedures set forth in Section 12.01 hereof, provided that, in the event that the Initial Owner terminates this Agreement without cause in accordance with this Section, the Initial Owner shall pay to the Servicer a termination fee equal to two percent (2.0%) of the aggregate unpaid principal balance of the Mortgage Loans as of the termination date. Notwithstanding and in addition to the foregoing, in the event that (i) a Mortgage Loan becomes delinquent for a period of 120 days or more (a ""Delinquent Mortgage Loan""), (ii) a Mortgage Loan becomes an REO Property or (iii) at any time after the second anniversary of the date hereof there are fewer than [20] Mortgage Loans that are not Reconstituted Mortgage Loans serviced hereunder, the Owner may at its election terminate this Agreement with respect to such Delinquent Mortgage Loan or REO Property or, in the case of (iii) above, all of the remaining Mortgage Loans that are not Reconstituted Mortgage Loans, without payment of a termination fee therefor, upon 15 days' written notice to the Servicer.",termination-without-cause
"Termination Without Cause. At any time during the Period of Employment, the Company may terminate Executive’s employment hereunder without Cause if such termination is approved by a majority of the Board at a meeting of the Board called and held for such purpose. Any termination by the Company of Executive’s employment under this Agreement which does not constitute a termination for Cause under Subparagraph 6(c) or result from the death or disability of the Executive under Subparagraph 6(a) or (b) shall be deemed a termination without Cause. If the Company provides notice to Executive under Paragraph 1 that it does not wish to extend the Period of Employment, such action shall be deemed a termination without Cause.",termination-without-cause
Termination Without Cause. The Company may terminate Executive’s employment hereunder without Cause at any time.,termination-without-cause
"Termination Without Cause. The Company shall have the right to terminate Executive’s employment under this Agreement for any reason or for no reason, at any time and shall provide the Executive written notice of said decision. If Executive is terminated without Cause pursuant to this Section 5.4, subject to (a) the Executive’s continued compliance with each provision of the Confidentiality Agreement and (b) Executive’s execution of a release of all claims against the Company and Diamond (“the Release”), which shall be provided to Executive concurrent with notification of termination and which shall be returned to the Company within 30 days of receipt, Executive will be entitled to receive (1) his Base Salary then in effect to be paid in equal installments monthly for a period of twelve (12) months following the effective date of termination and (2) a payment of a pro rata portion of his target Annual Performance Bonus for the calendar year in which the termination takes place. Such payments shall be made in accordance with the Company’s payroll procedures; provided that any payments otherwise due within 30 days of termination shall be paid in the first payroll period beginning thereafter. All such payments will terminate immediately upon any breach of the Confidentiality Agreement, or post-employment covenant within the Agreement, which shall, for purposes hereof, be deemed a material breach. These payments shall be in addition to the amounts set forth in Section 5.1(i)-(iii). No other payments or compensation of any kind will be paid unless otherwise provided hereunder.",termination-without-cause
"Termination Without Cause. Any discretionary or vested right of renewal notwithstanding, this Contract may be terminated without cause by (1) written mutual consent of both parties, or (2) unilateral termination by either party after service of formal Thirty Day (30) written notice as specified in paragraph (4).",termination-without-cause
