clause_text,clause_type
Termination. This Agreement may be terminated at any time prior to the Closing:,termination
Termination. This Agreement shall terminate as follows:,termination
Termination. 10.1. This Agreement shall continue in full force and effect until the first to occur of:,termination
"Termination. This Agreement may be terminated at any time after December 31, 2021 upon the election by either the Company or the Purchaser upon written notice to the other party if the closing of the Public Offering does not occur prior to such date.",termination
"Termination. In the event that either Party seeks to terminate this DPA, they may do so by mutual written consent so long as the Service Agreement has lapsed or has been terminated. Either party may terminate this DPA and any service agreement or contract if the other party breaches any terms of this DPA.",termination
"Termination. This Agreement may be terminated at any time, and without payment of any penalty, by the Board, on behalf of the Fund, upon sixty (60) days’ written notice to the Advisor. This Agreement may not be terminated by the Advisor without the consent of the Board. This Agreement and the Control Agreement will automatically terminate, with respect to the Fund listed in Appendix A if the Advisory Agreement for the Fund is terminated and the Fund continues to operate under the management of a new investment adviser, with such termination effective upon the effective date of the Advisory Agreement’s termination for the Fund. 10.",termination
Termination. This Agreement may be terminated and the transactions contemplated hereby may be abandoned at any time prior to the Closing:,termination
"Termination. The Representative shall have the right to terminate this Agreement at any time prior to any Closing Date: (i) if any domestic or international event or act or occurrence has materially disrupted, or in the Representative’s opinion will in the immediate future materially disrupt, general securities markets in the United States; or (ii) if trading on the New York Stock Exchange, the NYSE American, the Nasdaq Stock Market or on the OTC Bulletin Board (or successor trading market) shall have been suspended, or minimum or maximum prices for trading shall have been fixed, or maximum ranges for prices for securities shall have been fixed, or maximum ranges for prices for securities shall have been required on the OTC Bulletin Board or by order of the Commission or any other government authority having jurisdiction; or (iii) if the United States shall have become involved in a war or an initiation or increase in major hostilities, or (iv) if a banking moratorium has been declared by a New York State or federal authority, or (v) if a moratorium on foreign exchange trading has been declared which materially adversely impacts the United States securities markets; or (vi) if the Company shall have sustained a material loss by fire, flood, accident, hurricane, earthquake, theft, sabotage or other calamity or malicious act which, whether or not such loss shall have been insured, will, in the Representative’s opinion, make it inadvisable to proceed with the delivery of the Units; or (vii) if any of the Company’s representations, warranties or covenants hereunder are breached; or (viii) if the Representative shall have become aware after the date hereof of such a material adverse change in the conditions or prospects of the Company, or such material adverse change in general market conditions, including, without limitation, as a result of terrorist activities after the date hereof, as in the Representative’s judgment would make it impracticable to proceed with the offering, sale and/or delivery of the Units or to enforce contracts made by the Underwriters for the sale of the Units.",termination
Termination. This Agreement may be terminated:,termination
Termination. This Agreement may be terminated as follows:,termination
"Termination. This Agreement may be terminated in the absolute discretion of the Representatives, by notice to the Company, if after the execution and delivery of this Agreement and prior to the Closing Date (i) trading generally shall have been suspended or materially limited on the New York Stock Exchange or the over-the-counter market; (ii) trading of any securities issued or guaranteed by the Company shall have been suspended on any exchange or in any over-the-counter market; (iii) a general moratorium on commercial banking activities shall have been declared by federal or New York State authorities; or (iv) there shall have occurred any outbreak or escalation of hostilities or any change in financial markets or any calamity or crisis, either within or outside the United States, that, in the judgment of the Representatives, is material and adverse and makes it impracticable or inadvisable to proceed with the offering, sale or delivery of the Securities on the terms and in the manner contemplated by this Agreement, the Time of Sale Information and the Prospectus.",termination
"Termination. This Agreement may be terminated by any Purchaser, as to such Purchaser’s obligations hereunder only and without any effect whatsoever on the obligations between the Company and the other Purchasers, by written notice to the other parties, if the Closing has not been consummated on or before the fifth (5th) Trading Day following the date hereof; provided, however, that no such termination will affect the right of any party to sue for any breach by any other party (or parties).",termination
