clause_text,clause_type
"Terms. 1.1 Subject to the terms and conditions as detailed in this Agreement, the Promoter agrees to sell to the Allottee and the Allottee hereby agrees to purchase, the [Apartment/Plot] as specified in para G.",terms
"Terms. The Company shall bear all fees and expenses attendant to registering the Registrable Securities pursuant to Section 4.2.1 hereof, but the Holders shall pay any and all underwriting commissions and the expenses of any legal counsel selected by the Holders to represent them in connection with the sale of the Registrable Securities. In the event of such a proposed registration, the Company shall furnish the then Holders of outstanding Registrable Securities with not less than thirty (30) days written notice prior to the proposed date of filing of such registration statement. Such notice to the Holders shall continue to be given for each registration statement filed by the Company until such time as all of the Registrable Securities have been sold by the Holder. The holders of the Registrable Securities shall exercise the “piggy-back” rights provided for herein by giving written notice within ten (10) days of the receipt of the Company’s notice of its intention to file a registration statement. Except as otherwise provided in this Purchase Warrant, there shall be no limit on the number of times the Holder may request registration under this Section 4.2.2; provided, however, that such registration rights shall terminate on the sixth anniversary of the Commencement Date.",terms
"Terms. The aggregate principal amount of Notes that may be authenticated and delivered under this Indenture is unlimited. The terms and provisions contained in the Notes shall constitute, and are hereby expressly made, a part of this Indenture and the Issuer, the Guarantors and the Trustee, by their execution and delivery of this Indenture, expressly agree to such terms and provisions and to be bound thereby. However, to the extent any provision of any Note conflicts with the express provisions of this Indenture, the provisions of this Indenture shall govern and be controlling. The Notes shall be subject to repurchase by the Issuer pursuant to an Asset Sale Offer as provided in Section 4.10 hereof or a Change of Control Offer as provided in Section 4.14 hereof. The Notes shall not be redeemable, other than as provided in Article 3. Additional Notes ranking pari passu with the Initial Notes may be created and issued from time to time by the Issuer without notice to or consent of the Holders and shall be consolidated with and form a single class with the Initial Notes and shall have the same terms as to status, redemption or otherwise as the Initial Notes; provided that the Issuer’s ability to issue Additional Notes shall be subject to the Issuer’s compliance with Section 4.09 hereof. Any Additional Notes shall be issued with the benefit of an indenture supplemental to this Indenture.",terms
Terms. The parties hereby agree that:,terms
"Terms. The Company shall bear all fees and expenses attendant to the registration of the Registrable Securities pursuant to Section 4.1.1, but the Holders shall pay any and all underwriting commissions and the expenses of any legal counsel selected by the Holders to represent them in connection with the sale of the Registrable Securities. The Company agrees to use its reasonable best efforts to cause the filing required herein to become effective promptly and to qualify or register the Registrable Securities in such States as are reasonably requested by the Holder(s); provided, however, that in no event shall the Company be required to register the Registrable Securities in a State in which such registration would cause: (i) the Company to be obligated to register or license to do business in such State or submit to general service of process in such State, or (ii) the principal shareholders of the Company to be obligated to escrow their shares of capital stock of the Company. The Company shall cause any registration statement filed pursuant to the demand right granted under Section 4.1.1 to remain effective for a period of at least twelve consecutive months from the date that the Holders of the Registrable Securities covered by such registration statement are first given the opportunity to sell all of such securities. The Holders shall only use the prospectuses provided by the Company to sell the shares covered by such registration statement, and will immediately cease to use any prospectus furnished by the Company if the Company advises the Holder that such prospectus may no longer be used due to a material misstatement or omission.",terms
"Terms. These Master Terms establish the terms under which Sallie Mae may sell and Funding (and with respect to legal title, the Interim Eligible Lender Trustee on behalf of Funding) may purchase the Loans (and all obligations of the Borrowers thereunder) specified on each Purchase Agreement as the parties may execute from time to time pursuant to these Master Terms. Each such Purchase Agreement shall be substantially in the form of Attachment A hereto, incorporating by reference the terms of these Master Terms, and shall be a separate agreement among Sallie Mae, Funding, and the Interim Eligible Lender Trustee on behalf of Funding with respect to the Loans covered by the terms of such Purchase Agreement. If the terms of a Purchase Agreement conflict with the terms of these Master Terms, the terms of such Purchase Agreement shall supersede and govern.",terms
"Terms. Common nouns and pronouns shall be deemed to refer to the masculine, feminine, neuter, singular and plural, as the identity of the Person may in the context require.",terms
"Terms. In consideration of the premises and of the mutual agreements herein contained, the parties agree as follows:",terms
"Terms. (a) The period of Executive's employment under this Agreement shall be deemed to have commenced as of the date first above written and shall continue for a period of thirty-six (36) full calendar months thereafter. Commencing on the date of the execution of this Agreement, the term of this Agreement shall be extended for one day each day until such time as the board of directors of the Holding Company (the ""Board"") or Executive elects not to extend the term of the Agreement by giving written notice to the other party in accordance with Section 8 of this Agreement, in which case the term of this Agreement shall be fixed and shall end on the third anniversary of the date of such written notice.",terms
Terms. Capitalized terms used in this Agreement and not otherwise defined herein have the meanings specified pursuant to the Collateral Agreement. The rules of construction specified in Section 1.01(b) of the Collateral Agreement also apply to this Agreement.,terms
