clause_text,clause_type
"The Closing. The closing of the transactions contemplated by this Agreement (the ""Closing"") shall take place at the offices of LeBoeuf, Lamb, Greene & MacRae, L.L.P. in Salt Lake City, Utah, commencing at 9:00 a.m. local time on the second business day following the satisfaction or waiver of all conditions to the obligations of the Parties to consummate the transactions contemplated hereby (other than conditions with respect to actions the respective Parties will take at the Closing itself) or such other date as the Purchaser and the Seller may mutually determine (the ""Closing Date"").",the-closing
"The Closing. Upon the terms and subject to the conditions set forth in this Agreement, the consummation of the Merger and the other transactions contemplated by this Agreement (the ""Closing"") will take place at the offices of Gray Cary Ware & Freidenrich LLP located at 400 Hamilton Avenue, Palo Alto, California 94301, at 10:00 a.m., local time, on the first business day following the satisfaction or waiver of the conditions set forth in Article 7 (other than those conditions that by their nature are to be satisfied at the Closing, but subject to the satisfaction or, where permitted, waiver of those conditions), or at such other date, time or place as the Parent Corporation and the Company may agree. The date upon which the Closing occurs is referred to in this Agreement as the ""Closing Date.""",the-closing
"The Closing. The consummation of the Merger shall take place at a closing (the “Closing”) to occur at the offices of Latham & Watkins LLP, 650 Town Center Drive, 20th Floor, Costa Mesa, California 92626, as promptly as practicable following the Acceptance Time, and in any case no later than the second (2nd) Business Day after the satisfaction of the last to be satisfied of the conditions set forth in Article VIII (other than those conditions that, by their nature, are to be satisfied at the Closing, but subject to the satisfaction (or waiver, if permitted by applicable Law) of those conditions), or at such other location, date and time as Parent, Acquisition Sub and the Company shall mutually agree upon in writing. The date upon which the Closing shall actually occur pursuant hereto is referred to herein as the “Closing Date.”",the-closing
"The Closing. The closing of the transactions contemplated by this Agreement (the “Closing”) will take place at the offices of Dreier Stein & Kahan LLP, located at 1620 26th Street, Sixth Floor, North Tower, Santa Monica, California 90404, commencing at 9:00 a.m. local time on the business day following the satisfaction or waiver of all conditions to the obligations of the Parties to consummate the transactions contemplated hereby (other than conditions with respect to actions the respective Parties will take at the Closing itself) or such other date as the Parties may mutually determine (the “Closing Date”).",the-closing
"The Closing. The sale and purchase of the Receivables shall take place at a closing at the offices of Mayer Brown LLP, 71 South Wacker Drive, Chicago, Illinois 60606, on the Closing Date, simultaneously with the closing under (a) the Sale and Servicing Agreement, (b) the Indenture and (c) the Trust Agreement.",the-closing
"The Closing. (a) The closing of the Exchange (the “Closing”) will take place at the offices of Cadwalader, Wickersham & Taft LLP, One World Financial Center, New York, New York 10281, at 9:00 a.m., EST on the first business day immediately following the day on which all of the conditions set forth in Sections 1.2(c) and (d) are satisfied or waived (other than those conditions that by their terms must be satisfied on the Closing Date, but subject to the satisfaction or waiver of those conditions), or at such other place, time and date as shall be agreed between the Company and the Investor. The time and date on which the Closing occurs is referred to in this Agreement as the “Closing Date”.",the-closing
"The Closing. (a) The closing of the transactions contemplated by this Agreement (the “Closing”) shall take place at the offices of PBF Energy, (i) within two Business Days following the satisfaction or, to the extent permitted by applicable Law, waiver of all conditions to the obligations of the parties set forth in Article VIII (other than such conditions as may, by their terms, only be satisfied at the Closing or on the Closing Date) or (ii) at such other place or on such other date as the parties mutually may agree in writing. The day on which the Closing takes place is referred to as the “Closing Date”; provided, however, the Closing shall be deemed to have been consummated at 11:59:59 p.m.(Eastern time) on the Closing Date (the “Effective Time”).",the-closing
"The Closing. The closing of the Merger (the “Closing”) shall take place at the offices of Wachtell, Lipton, Rosen & Katz, 51 West 52nd Street, New York, New York, at 10:00 a.m., local time, on a date to be agreed upon by the parties in writing (the “Closing Date”), which shall be no later than the third business day after the satisfaction or waiver (to the extent permitted by applicable Law) of the conditions set forth in Article VI (other than those conditions that by their nature are to be satisfied by action taken at the Closing, but subject to the satisfaction or waiver of such conditions), or at such other place, date and time as the Company and Parent may agree in writing; provided, however, that upon satisfaction or waiver of all the conditions set forth in Article VI (excluding conditions that, by their terms, cannot be satisfied until the Closing Date, but subject to the satisfaction or waiver of such conditions) Parent may, on one occasion, by giving written notice to the Company no later than two business days prior to the date the Closing is scheduled to occur, elect to postpone the Closing Date for a period of time not to exceed 15 consecutive business days in order to facilitate the Financings (as defined below).",the-closing
"The Closing. The closing of the transactions contemplated herein, including the purchase and sale of the HBI Shares, shall take place at the offices of Winston & Strawn, 35 West Wacker Drive, Chicago, Illinois, at 10:00 a.m., local time, on a date within ten business days following satisfaction of each of the conditions set forth in Sections 7.01 and 7.03(c) (assuming satisfaction of the remaining conditions set forth in Article VII on or prior to the Closing Date), or such other place or time as the parties may mutually agree (the ""Closing Date""). On or before the Closing Date, the parties hereto will take all actions necessary to (i) effect the Acquisition and (ii) satisfy the document delivery requirements on which the obligations of the parties to effect the Acquisition and the other transactions contemplated hereby are conditioned by the provisions of Article VII (all those actions collectively being the ""Closing"").",the-closing
"The Closing. The sale and purchase of the Receivables shall take place at the offices of Kirkland & Ellis LLP, 300 North LaSalle Street, Chicago, Illinois 60654, on the Closing Date at a time mutually agreeable to the Seller and Ally Auto, and will occur simultaneously with the closing of transactions contemplated by the Further Transfer Agreements.",the-closing
