clause_text,clause_type
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the DGCL, Merger Sub shall be merged with and into the Company at the Effective Time of the Merger (as defined in Section 1.3). Also at the Effective Time, the separate corporate existence of Merger Sub shall cease, and the Company shall continue as the surviving corporation (the “Surviving Corporation”) and shall succeed to and assume all the rights, properties, liabilities and obligations of Merger Sub in accordance with the DGCL.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the General Corporation Law of the State of Delaware (the “DGCL”), Sub shall be merged with and into the Company at the Effective Time. At the Effective Time, the separate corporate existence of Sub shall cease and the Company shall continue as the surviving corporation (the “Surviving Corporation”).",the-merger
"The Merger. Upon the terms and subject to the conditions of this Agreement and in accordance with the DGCL, at the Effective Time (as defined below), Merger Sub shall be merged with and into the Company. As a result of the Merger, the separate corporate existence of Merger Sub shall cease and the Company shall continue as the surviving corporation of the Merger (the “Surviving Corporation”).",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, at the Effective Time, Merger Sub shall be merged with and into the Company and the separate corporate existence of Merger Sub shall thereupon cease. The Company shall be the surviving corporation in the Merger (sometimes hereinafter referred to as the “Surviving Corporation”), and the separate corporate existence of the Company, with all of its rights, privileges, immunities, powers and franchises, shall continue unaffected by the Merger, except as set forth in Article II. The Merger shall have the effects specified in the Delaware General Corporation Law, as amended (the “DGCL”).",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the Delaware General Corporate Law, as amended (the ""DGCL""), Sub shall be merged (the ""Merger"") with and into the Company at the Effective Time. At the Effective Time, the separate corporate existence of Sub shall cease, and the Company shall continue as the surviving corporation and a direct wholly owned subsidiary of Parent (Sub and the Company are sometimes hereinafter referred to as ""Constituent Corporations"" and, as the context requires, the Company is sometimes hereinafter referred to as the ""Surviving Corporation""), and shall continue under the name Hadco Phoenix, Inc.",the-merger
"The Merger. Upon the terms and subject to satisfaction or waiver of the conditions set forth in this Agreement, and in accordance with the DGCL, Merger Sub, at the Effective Time, shall be merged with and into the Company. As a result of the Merger, the separate corporate existence of Merger Sub shall cease and the Company shall continue as the surviving corporation of the Merger (the “Surviving Corporation”) and shall be a wholly owned subsidiary of Parent.",the-merger
"The Merger. At the Effective Time (as defined in Section 1.2) and subject to and upon the terms and conditions of this Agreement and the applicable provisions of Delaware Law, Merger Sub shall be merged with and into Company (the ""MERGER""), the separate corporate existence of Merger Sub shall cease and Company shall continue as the surviving corporation. Company as the surviving corporation after the Merger is hereinafter sometimes referred to as the ""SURVIVING CORPORATION.""",the-merger
"The Merger. At the Effective Time, upon the terms and subject to the conditions set forth in this Agreement and in accordance with the applicable provisions of the General Corporation Law of the State of Delaware (the “DGCL”), Merger Sub shall be merged with and into the Company, whereupon the separate corporate existence of Merger Sub shall cease, and the Company shall continue its corporate existence under Delaware law as the surviving corporation in the Merger (the “Surviving Corporation”) and a direct wholly owned subsidiary of Parent.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement and the applicable provisions of the DGCL, on the Closing Date, (a) Merger Sub will be merged with and into the Company; (b) the separate corporate existence of Merger Sub will thereupon cease; and (c) the Company will continue as the surviving corporation of the Merger. The Company, as the surviving corporation of the Merger, is sometimes referred to herein as the “Surviving Corporation.”",the-merger
"The Merger. Upon the terms and subject to the conditions of this Agreement, and in accordance with the DGCL, Merger Sub shall be merged with and into the Company at the Effective Time. Following the Merger, the separate corporate existence of Merger Sub shall cease, and the Company shall continue as the surviving corporation (the “Surviving Corporation”) and shall succeed to and assume all the rights and obligations of Merger Sub in accordance with the DGCL.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the DGCL, at the Effective Time, Merger Sub shall be merged with and into the Company, and the separate corporate existence of Merger Sub shall thereupon cease, and the Company shall be the surviving corporation in the Merger (the “Surviving Corporation”).",the-merger
"The Merger. Upon the terms and subject to the conditions of this Agreement, at the Effective Time (as defined in Section 1.02), Merger Sub shall be merged with and into Bryan and the separate corporate existence of Merger Sub shall thereupon cease. Bryan shall be the surviving corporation in the Merger (the ""Surviving Corporation""). Merger Sub and Bryan are sometimes referred to herein as the ""Constituent Corporations."" As a result of the Merger, the outstanding shares of capital stock of the Constituent Corporations shall be converted or canceled in the manner provided in Article II.",the-merger
"The Merger. (a) Upon the terms and subject to the conditions set forth in this Agreement, at the Effective Time, the Company and the Purchaser shall consummate the Merger, pursuant to which (i) the Purchaser shall be merged with and into the Company and the separate corporate existence of the Purchaser shall thereupon cease, (ii) the Company shall be the successor or surviving corporation in the Merger and shall continue to be governed by the Laws of the State of Delaware, and (iii) the separate corporate existence of the Company with all its rights, privileges, immunities, powers and franchises shall continue unaffected by the Merger. The corporation surviving the Merger is sometimes hereinafter referred to as the “Surviving Corporation.” The Merger shall have the effects set forth herein and in the applicable provisions of the DGCL.",the-merger
"The Merger. At the Effective Time and subject to and upon the terms and conditions of this Agreement and the applicable provisions of Delaware Law, Merger Sub shall be merged with and into the Company (the “Merger”), the separate corporate existence of Merger Sub shall cease and the Company shall continue as the surviving corporation and as a wholly owned subsidiary of Parent. The surviving corporation after the Merger is hereinafter sometimes referred to as the “Surviving Corporation.”",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the Delaware General Corporation Law (the ""DGCL""), Sub shall be merged with and into the Company at the Effective Time of the Merger (as defined in Section 1.03). Following the Merger, the separate corporate existence of Sub shall cease and the Company shall continue as the surviving corporation (the ""Surviving Corporation"") and shall succeed to and assume all the rights, properties, liabilities and obligations of Sub in accordance with the DGCL. At the election of Parent, any direct or indirect wholly owned subsidiary of Parent may be substituted for Sub as a constituent corporation in the Merger; provided, however, that such substitution has no impact on the satisfaction of the conditions set forth in Sections 6.02(d) and 6.03(d). In such event, the parties agree to execute an appropriate amendment to this Agreement in order to reflect such substitution.",the-merger
"The Merger. Upon and subject to the terms and conditions of this Agreement, Merger Sub shall merge with and into the Company (such merger is referred to herein as the “Merger”) at the Effective Time. From and after the Effective Time, the separate corporate existence of the Merger Sub shall cease and the Company shall continue as the surviving corporation in the Merger (the “Surviving Corporation”). The Surviving Corporation shall be operated as a wholly-owned subsidiary of the Target. The “Effective Time” shall be the time at which the Articles of Merger of the Company and the Merger Sub (the “Articles of Merger”), prepared and executed in accordance with the relevant provisions of the Virginia Stock Corporation Act (the “VSCA”), is filed with and accepted by the Office of the Clerk of the State Corporation Commission of the Commonwealth of Virginia. The Merger shall have the effects specified in this Agreement, the Articles of Merger and the applicable provisions of the VCSA. Without limiting the generality of the foregoing, and subject thereto, at the Effective Time, all of the property, rights, privileges, powers and franchises of the Company and the Merger Sub shall vest in the Surviving Corporation, and all debts, liabilities and duties of the Company and the Merger Sub shall become the debts, liabilities and duties of the Surviving Corporation.",the-merger
"The Merger. Upon the terms of this Agreement and subject to the conditions set forth in this Agreement, and in accordance with the DGCL, at the Effective Time (as defined in Section 1.02), Merger Sub shall be merged with and into the Company. As a result of the Merger, the separate corporate existence of Merger Sub shall cease, and the Company shall continue as the surviving corporation of the Merger (the “Surviving Corporation”).",the-merger
"The Merger. Subject to the terms and conditions of this Agreement, at the Effective Time (as defined in Section 1.2 hereof), Merger Subsidiary shall be merged with and into the Company in accordance with the provisions of the Delaware General Corporation Law (the ""DGCL""), whereupon the separate corporate existence of Merger Subsidiary shall cease, and the Company shall continue as the surviving corporation (the ""Surviving Corporation""). From and after the Effective Time, the Surviving Corporation shall possess all the rights, privileges, powers, and franchises and be subject to all the restrictions, disabilities, and duties of the Company and Merger Subsidiary, all as more fully described in the DGCL.",the-merger
"The Merger. At the Effective Time (as defined in Section 1.02), subject to the terms and conditions of this Agreement and in accordance with the provisions of the DGCL, Merger Sub shall be merged (the “Merger”) with and into the Company. Following the Merger, the separate corporate existence of Merger Sub shall cease, and the Company shall continue as the surviving corporation (sometimes hereinafter referred to as the “Surviving Corporation”) and shall continue to be governed by the laws of the State of Delaware.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the provisions of the Ohio General Corporation Law (the “OGCL”), at the Effective Time, Merger Sub shall be merged with and into the Company (the “Merger”), the separate corporate existence of Merger Sub shall thereupon cease, and the Company shall be the surviving corporation in the Merger. The Company, as the surviving corporation after the Merger, is hereinafter referred to as the “Surviving Corporation”.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement and in accordance with the Business Corporation Law of the State of Wisconsin (the “WBCL”), at the Effective Time, Merger Sub shall be merged with and into the Company. Following the Merger, the separate corporate existence of Merger Sub shall cease, and the Company shall continue as the surviving corporation in the Merger (the “Surviving Corporation”) and as a wholly-owned subsidiary of Parent.",the-merger
"The Merger. Subject to the terms and conditions of this Agreement and in accordance with the Delaware General Corporation Law (the “DGCL”), at the Effective Time, the Company and Sub shall consummate a merger (the “Merger”) pursuant to which (i) Sub shall merge with and into the Company and the separate corporate existence of Sub shall thereupon cease, (ii) the Company shall be the surviving corporation (the “Surviving Corporation”) in the Merger and shall continue to be governed by the laws of the State of Delaware, and (iii) the separate corporate existence of the Company with all its rights, privileges, immunities, powers and franchises shall continue unaffected by the Merger. The Merger shall have the effects set forth in the DGCL.",the-merger
"The Merger. Subject to the terms and conditions of this Agreement, in accordance with the Pennsylvania Business Corporation Law (the “PBCL”), at the Effective Time (as defined in Section 1.2 hereof), the Company shall merge with and into Parent. Parent shall be the surviving corporation (hereinafter sometimes called the “Surviving Corporation”) in the Merger, and shall continue its corporate existence under the laws of the Commonwealth of Pennsylvania. The name of the Surviving Corporation shall continue to be Susquehanna Bancshares, Inc. Upon consummation of the Merger, the separate corporate existence of the Company shall cease.",the-merger
"The Merger. Upon the terms and subject to the conditions of this Agreement, the Merger shall be consummated in accordance with the MBCA and the Delaware General Corporation Law (the ""DGCL""). At the Effective Time (as defined below), upon the terms and subject to the conditions of this Agreement, the Company shall be merged with and into Merger Sub in accordance with the MBCA and the DGCL and the separate existence of the Company shall thereupon cease, and Merger Sub, as the surviving corporation in the Merger (the ""Surviving Corporation"") shall continue its corporate existence under the laws of the State of Delaware as a subsidiary of Purchaser. The parties shall prepare and execute Articles of Merger (the ""Articles of Merger"") and a Certificate of Merger (the ""Certificate of Merger"") in order to comply in all respects with the requirements of the MBCA and the DGCL, respectively, and with the provisions of this Agreement.",the-merger
"The Merger. Upon the terms and subject to the conditions set forth in this Agreement and the applicable provisions of the MBCA, at the Effective Time, Merger Sub shall be merged with and into Qumu, the separate corporate existence of Merger Sub shall thereupon cease and Qumu shall continue as the surviving corporation of the Merger and a wholly owned subsidiary of Synacor. Qumu, as the surviving corporation of the Merger, is sometimes referred to herein as the “Surviving Corporation.” Upon the terms and subject to the conditions set forth in this Agreement, on the Closing Date, Synacor, Merger Sub and Qumu shall cause the Merger to be consummated under the MBCA by executing as required by the MBCA and filing articles of merger in customary form and substance (the “Articles of Merger”) with the Secretary of State of the State of Minnesota (the “Minnesota Secretary of State”), and shall make all other filings and recordings required under the MBCA in connection with the Merger, in each case, in accordance with the applicable provisions of the MBCA. The time of such filing and acceptance by the Minnesota Secretary of State, or such later time as may be agreed in writing by Synacor and Qumu and specified in the Articles of Merger, is referred to herein as the “Effective Time.”",the-merger
"The Merger. (a) Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the DGCL, at the Effective Time, the Purchaser shall be merged with and into the Company. As a result of the Merger, the separate corporate existence of the Purchaser shall cease, and the Company shall continue as the surviving corporation of the Merger (the “Surviving Corporation”). The Merger shall have the effects set forth in the applicable provisions of the DGCL. Without limiting the generality of the foregoing, at the Effective Time, all of the property, rights, privileges, immunities, powers and franchises of the Company and the Purchaser shall vest in the Surviving Corporation, and all of the debts, liabilities and duties of the Company and the Purchaser shall become the debts, liabilities and duties of the Surviving Corporation.",the-merger
"The Merger. (a) At the Effective Time, Merger Subsidiary shall be merged (the “Merger”) with and into the Company in accordance with Delaware Law, whereupon the separate existence of Merger Subsidiary shall cease, and the Company shall be the surviving corporation (the “Surviving Corporation”).",the-merger
