clause_text,clause_type
"Third Party Beneficiaries. This Agreement is intended for the benefit of the parties hereto and their respective permitted successors and assigns, and is not for the benefit of, nor may any provision hereof be enforced by, any other person.",third-party-beneficiaries
"Third Party Beneficiaries. Each Holder shall be a third party beneficiary to the agreements made hereunder between the Company and the Guarantors, on the one hand, and the Initial Purchasers, on the other hand, and shall have the right to enforce such agreements directly to the extent it deems such enforcement necessary or advisable to protect its rights or the rights of other Holders hereunder.",third-party-beneficiaries
"Third Party Beneficiaries. Each of the Trustee, the Certificate Administrator, the Master Servicer and the Special Servicer acknowledge that (i) each Mortgage Loan Seller and Deutsche Bank Securities Inc. are third party beneficiaries with respect to Section 8.05(h) of this Agreement, the obligations of any party to this Agreement to deliver information to the 17g-5 Information Provider hereunder and the obligations of the 17g-5 Information Provider to post information to the 17g-5 Information Provider’s Website (or make available to the NRSROs the items referenced in Section 3.13(b) and (d)) and the express obligations of any party hereto to deliver documents, notices, information or funds to a Mortgage Loan Seller, (ii) each Mortgage Loan Seller is a third party beneficiary with respect to Section 2.01, Section 2.02, Section 2.03, Section 3.33, Section 8.05, Section 11.01 and Section 12.08 of this Agreement and its rights as a Privileged Person, (iii) each Initial Purchaser and each Underwriter is a third party beneficiary with respect to its rights to receive any notices, documents, certifications and/or information hereunder and its rights under Section 12.08 of this Agreement, (iv) each holder of a Companion Loan and any related Other Depositor is an intended third party beneficiary in respect of the rights afforded it under this Agreement and may directly (or, in the case of a holder of a Companion Loan, the related Other Servicer may) enforce such rights, (v) each of the Serviced Companion Loan Service Providers under the applicable Other Pooling and Servicing Agreement is an intended third party beneficiary under this Agreement with respect to any provision herein expressly relating to compensation, reimbursement or indemnification of such Serviced Companion Loan Service Provider and the provisions regarding the coordination of Advances, (vi) each of the Non-Serviced Mortgage Loan Service Providers under the applicable Other Pooling and Servicing Agreement is an intended third party beneficiary under this Agreement with respect to any provisions herein relating to (1) the reimbursement of any nonrecoverable advances made with respect to the applicable Non-Serviced Mortgage Loan by such Persons, (2) the indemnification of each applicable Other Servicer, Other Special Servicer and Other Trustee and certain other parties pursuant to Section 1.04 or any other section of this Agreement against any claims, losses, penalties, fines, forfeitures, legal fees and related costs, judgme...",third-party-beneficiaries
"Third Party Beneficiaries. This Agreement shall inure to the benefit of and be binding upon the parties hereto and their respective successors and permitted assigns and the Owner Trustee shall be an express third party beneficiary hereof and may enforce the provisions hereof as if it were a party hereto. Except as otherwise provided in this Section, no other Person will have any right hereunder.",third-party-beneficiaries
"Third Party Beneficiaries. Each Partner agrees that (a) any Indemnitee shall be entitled to assert rights and remedies hereunder as a third-party beneficiary hereto with respect to those provisions of this Agreement affording a right, benefit or privilege to such Indemnitee and (b) any Unrestricted Person shall be entitled to assert rights and remedies hereunder as a third-party beneficiary hereto with respect to those provisions of this Agreement affording a right, benefit or privilege to such Unrestricted Person.",third-party-beneficiaries
"Third Party Beneficiaries. This Servicing Agreement will inure to the benefit of and be binding upon the parties hereto, the Securityholders, the Credit Enhancer, the Owner Trustee, the Indenture Trustee and their respective successors and permitted assigns. Except as otherwise provided in this Servicing Agreement, no other Person will have any right or obligation hereunder.",third-party-beneficiaries
"Third Party Beneficiaries. (a) The provisions of this Agreement are solely for the benefit of the Parties hereto and are not intended to confer upon any Person except the Parties hereto any rights or remedies hereunder and (b) there are no third-party beneficiaries of this Agreement and this Agreement shall not provide any third Person with any remedy, claim, liability, reimbursement, cause of action or other right in excess of those existing without reference to this Agreement.",third-party-beneficiaries
"Third Party Beneficiaries. Holders of Registrable Notes and Participating Broker-Dealers are intended third-party beneficiaries of this Agreement, and this Agreement may be enforced by such Persons.",third-party-beneficiaries
Third Party Beneficiaries. Each of the Initial Stockholders hereby acknowledges that the Underwriters are third party beneficiaries of this Agreement and this Agreement may not be modified or changed without the prior written consent of EBC.,third-party-beneficiaries
"Third Party Beneficiaries. This Agreement will inure to the benefit of and be binding upon the parties hereto, the Issuer and the Indenture Trustee for the benefit of the Noteholders, each of which shall be considered to be a third-party beneficiary hereof. Except as otherwise provided in this Agreement, no other Person will have any right or obligation hereunder.",third-party-beneficiaries
"Third Party Beneficiaries. This Agreement is solely for the benefit of the Parties and should not be deemed to confer upon third parties any remedy, claim, liability, reimbursement, claim of action or other right in excess of those existing without reference to this Agreement.",third-party-beneficiaries
"Third Party Beneficiaries. None of the provisions of this Agreement shall be for the benefit of or enforceable by any Third Party, including any creditor of any party hereto. No Third Party shall obtain any right under any provision of this Agreement or shall by reason of any such provision make any claim in respect of any debt, liability or obligation (or otherwise) against any party hereto.",third-party-beneficiaries
"Third Party Beneficiaries. The provisions of this Agreement are intended to benefit only the Transfer Agent, the Customer and their respective permitted successors and assigns. No rights shall be granted to any other person by virtue of this agreement, and there are no third party beneficiaries hereof.",third-party-beneficiaries
