clause_text,clause_type
"Time of Essence. With regard to all dates and time periods set forth or referred to in this Agreement, time is of the essence.",time-of-essence
Time of Essence. Time is of the essence for the performance of all Obligations in this Agreement.,time-of-essence
Time of Essence. Time is of the essence of this Agreement.,time-of-essence
Time of Essence. Time is of the essence with respect to the performance of all obligations to be performed or observed by the Parties under this Lease.,time-of-essence
Time of Essence. Time is of the essence for the performance of all obligations set forth in this Agreement.,time-of-essence
Time of Essence. Time shall be of the essence of this Agreement.,time-of-essence
Time of Essence. Time is of the essence of this Agreement and of each and every provision hereof.,time-of-essence
Time of Essence. Time shall be of the essence in this Agreement.,time-of-essence
Time of Essence. Time is of the essence with respect to the performance of every provision of this Lease in which time of performance is a factor.,time-of-essence
Time of Essence. Time is of the essence in this Agreement.,time-of-essence
Time of Essence. Time is of the essence in the performance by Borrower of each and every obligation under this Agreement.,time-of-essence
Time of Essence. Time is of the essence for each and every provision of this Agreement.,time-of-essence
Time of Essence. Time is of the essence of this Lease and each of its provisions.,time-of-essence
Time of Essence. Time is of the essence in the performance of this Agreement.,time-of-essence
Time of Essence. Time is of the essence of this Lease.,time-of-essence
"Time of Essence. Time is of the essence in respect to all provisions of this Agreement that specify a time for performance; provided, however, that the foregoing shall not be construed to limit or deprive a party of the benefits of any grace or use period allowed in this Agreement.",time-of-essence
Time of Essence. Time shall be of the essence hereof.,time-of-essence
Time of Essence. Time is of the essence with respect to the obligations to be performed under this Lease.,time-of-essence
Time of Essence. Time is of the essence in Contractor’s performance of this Agreement.,time-of-essence
Time of Essence. Time shall be of the essence of this Agreement in all respects.,time-of-essence
Time of Essence. Time is of the essence.,time-of-essence
"Time of Essence. Time is of the essence of this Agreement, the Other Agreements and the Security Documents.",time-of-essence
Time of Essence. Time is of the essence of each provision of this Lease.,time-of-essence
Time of Essence. Time is of the essence in the performance of each and every term of this Agreement.,time-of-essence
Time of Essence. Time is of the essence with respect to the performance of every provision of this Lease.,time-of-essence
"Time of Essence. Time is of the essence in making payments of all amounts due the Bank under this Agreement and in the performance and observance by the Borrower of each covenant, agreement, provision and term of this Agreement.",time-of-essence
"Time of Essence. Each of the parties hereto hereby agrees that, with regard to all dates and time periods set forth or referred to in this Agreement, time is of the essence.",time-of-essence
"Time of Essence. Time shall be of the essence with respect to the performance of each and every covenant and obligation, and the giving of all notices, under this Agreement.",time-of-essence
Time of Essence. Time is of the essence with respect to each and every provision of this Agreement.,time-of-essence
"Time of Essence. Time is of the essence of this Agreement; however, if the final date of any period which is set out in any provision of this Agreement falls on a Saturday, Sunday or legal holiday under the laws of the United States or the state in which the Property is located, then, in such event, the time of such period shall be extended to the next day which is not a Saturday, Sunday or legal holiday.",time-of-essence
"Time of Essence. Time is of the essence in this Agreement. If the date specified in this Agreement for giving any notice or taking any action is not a Business Day (or if the period during which any notice is required to be given or any action taken expires on a date which is not a Business Day), then the date for giving such notice or taking such action (and the expiration date of such period during which notice is required to be given or action taken) shall be the next day which is a Business Day.",time-of-essence
Time of Essence. Time shall be of the essence in this Guaranty with respect to all of Guarantor’s obligations hereunder.,time-of-essence
Time of Essence. Time is of the essence with respect to this Agreement.,time-of-essence
"Time of Essence. The parties hereby acknowledge and agree that time is strictly of the essence with respect to each and every term, condition, obligation and provision hereof and that failure to timely perform any of the terms, conditions, obligations or provisions hereof by either party shall constitute a material breach of and non-curable (but waivable) default under this Agreement by the party so failing to perform.",time-of-essence
Time of Essence. Time is of the essence with respect to every provision hereof.,time-of-essence
Time of Essence. Time is of the essence of this Agreement. The parties shall make every reasonable effort to expedite the subject matters hereof (subject to any time limitations described herein) and acknowledge that the successful performance of this Agreement requires their continued cooperation.,time-of-essence
Time of Essence. Time shall be of the essence of this Lease.,time-of-essence
"Time of Essence. Time is of the essence of each and every term, condition, obligation and provision hereof.",time-of-essence
"Time of Essence. Time shall be of the essence of this Agreement. As used herein, the term “business day” shall mean any day when the Commission’s office in Washington, D.C. is open for business.",time-of-essence
