clause_text,clause_type
Time of the Essence. Time shall be of the essence of this Agreement.,time-of-the-essence
Time of the Essence. Time is of the essence of this Agreement.,time-of-the-essence
Time of the Essence. Time is of the essence of the Loan Documents.,time-of-the-essence
"Time of the Essence. Time is of the essence in respect to all provisions of this Agreement that specify a time for performance; provided, however, that the foregoing shall not be construed to limit or deprive a Party of the benefits of any cure period allowed in this Agreement.",time-of-the-essence
Time of the Essence. Time shall be of the essence in this Agreement.,time-of-the-essence
Time of the Essence. Time is of the essence in this Agreement.,time-of-the-essence
"Time of the Essence. Time is of the essence with respect to each and every covenant, agreement and obligation of the Borrower under this Agreement and the other Loan Documents.",time-of-the-essence
Time of the Essence. Time is of the essence in the performance of this Agreement.,time-of-the-essence
Time of the Essence. Time is of the essence with respect to all obligations under this Agreement.,time-of-the-essence
"Time of the Essence. Time shall be of the essence of this Agreement. As used herein, the term “business day” shall mean any day when the Commission’s office in Washington, D.C. is open for business.",time-of-the-essence
"Time of the Essence. With regard to all dates and time periods set forth or referred to in this Agreement, time is of the essence.",time-of-the-essence
Time of the Essence. Time is of the essence of each provision of this Lease.,time-of-the-essence
Time of the Essence. It is expressly agreed by the parties hereto that time is of the essence with respect to this Contract and any aspect thereof.,time-of-the-essence
"Time of the Essence. Time shall be of the essence with respect to all time periods and notice periods set forth in this Agreement. If the date specified in this Agreement for giving any notice or taking any action is not a Business Day (or if the period during which any notice is required to be given or any action taken expires on a date which is not a Business Day), then the date for giving such notice or taking such action (and the expiration of such period during which notice is required to be given or action taken) shall be the next day which is a Business Day.",time-of-the-essence
Time of the Essence. Time is of the essence with respect to this Agreement.,time-of-the-essence
Time of the Essence. Time shall be of the essence hereof.,time-of-the-essence
Time of the Essence. Time shall be of the essence of this Indenture.,time-of-the-essence
"Time of the Essence. A. All time limits for Milestones, if any, Substantial Completion, and completion and readiness for final payment as stated in the Contract Documents are of the essence of the Contract.",time-of-the-essence
"Time of the Essence. Time shall, in all respects, be of the essence hereof.",time-of-the-essence
Time of the Essence. Time shall be of the essence of this Agreement and of every part hereof and no extension or variation of this Agreement shall operate as a waiver of this provision.,time-of-the-essence
Time of the Essence. Time is of the essence of each and every provision of this Agreement.,time-of-the-essence
Time of the Essence. Time is of the essence of this Lease.,time-of-the-essence
Time of the Essence. Time shall be of the essence in the performance of this Agreement.,time-of-the-essence
Time of the Essence. Time shall in all respects be of the essence of this agreement.,time-of-the-essence
Time of the Essence. Time shall be of the essence of this Subscription Agreement and every part hereof.,time-of-the-essence
Time of the Essence. Time shall be of the essence of this Agreement and each and every term and condition hereof.,time-of-the-essence
Time of the Essence. 56. Reserved,time-of-the-essence
Time of the Essence. Time is of the essence with respect to all provisions of this Agreement that specify a time for performance.,time-of-the-essence
Time of the Essence. 56. Certification as Small Contractor or Minority Business Enterprise,time-of-the-essence
Time of the Essence. Time is of the essence for this Agreement.,time-of-the-essence
Time of the Essence. 11.6 Time is expressly declared to be the essence of this Agreement.,time-of-the-essence
Time of the Essence. Time shall be of the essence with respect to all time periods and notice periods set forth in this Agreement.,time-of-the-essence
Time of the Essence. Time is expressly made of the essence with respect to each and every provision of this Agreement.,time-of-the-essence
