clause_text,clause_type
"Time. TIME SHALL BE OF THE ESSENCE OF THIS AGREEMENT. EXCEPT AS OTHERWISE SET FORTH HEREIN, SPECIFIED TIMES OF DAY REFER TO NEW YORK CITY TIME.",time
Time. Time is of the essence of this Agreement.,time
Time. Time is of the essence with respect to this Agreement.,time
Time. Time shall be of the essence of this Agreement.,time
Time. Time is of the essence of each and every provision of this Agreement and each other of the Loan Documents.,time
Time. Time is of the essence in the performance of this Agreement.,time
Time. Time is of the essence.,time
Time. Time is of the essence in this Agreement.,time
Time. Time is of the essence as to the performance of Tenant’s obligations under this Lease.,time
"Time. All references to time herein shall be references to Eastern Standard Time or Eastern Daylight Time, as the case may be, unless specified otherwise.",time
Time. Time is of the essence of each provision of this Agreement.,time
Time. Time is of the essence of this Lease and each and all of its provisions.,time
Time. Time is of the essence with respect to the performance of every provision of this Lease in which time of performance is a factor.,time
Time. Time shall be of the essence in this Agreement.,time
Time. Time is of the essence of this Lease and each and all of its provisions in which performance is a factor.,time
Time. Time shall be of the essence hereof.,time
Time. Time is of the essence of this Lease.,time
Time. Time is of the essence as to each term or provision of this Agreement and each of the other Loan Documents.,time
Time. Consultant shall devote such time to the performance of services pursuant to this Agreement as may be reasonably necessary to meet the standard of performance provided in Section 1.1 above and to complete Consultant’s obligations hereunder.,time
Time. Time is of the essence in the performance of the parties’ respective obligations herein contained.,time
Time. Time is of the essence hereof.,time
"Time. In computing any period of time prescribed or allowed by this CAP, all days referred to shall be calendar days. The day of the act, event, or default from which the designated period of time begins to run shall not be included. The last day of the period so computed shall be included, unless it is a Saturday, a Sunday, or a legal holiday, in which event the period runs until the end of the next day which is not one of the aforementioned days.",time
Time. Time is of the essence in the performance of this Agreement in all respects.,time
"Time. Time is of the essence under this Agreement. If the last day permitted for the giving of any notice or the performance of any act required or permitted under this Agreement falls on a day which is not a Business Day, the time for the giving of such notice or the performance of such act will be extended to the next succeeding Business Day.",time
Time. Time is of the essence in this Lease and with respect to each and all of its provisions in which performance is a factor.,time
"Time. Time shall be of the essence of this Agreement. In the event that any day on or before which any action is required to be taken hereunder is not a business day, then such action shall be required to be taken at or before the requisite time on the next succeeding day that is a business day. For the purposes of this Agreement, “business day” means a day which is not Saturday or Sunday or a statutory holiday in Reno, Nevada, U.S.A.",time
"Time. Time is of the essence for the performance of each term, condition and covenant of this Lease.",time
"Time. In the event of any dispute concerning the time of the entry of a domain name registration into the Registry Database, the time shown in the Registry records shall control.",time
"Time. Time is of the essence for this Lease. If the time for performance hereunder falls on a Saturday, Sunday or a day that is recognized as a holiday in the state in which the Property is located, then such time shall be deemed extended to the next day that is not a Saturday, Sunday or holiday in said state.",time
Time. Time is of the essence of each and every term of this Agreement.,time
Time. Time is of the essence of each term and provision of this Lease.,time
"Time. The Contractor must comply with all the time requirements described in Work Authorizations. In the performance of Work Authorizations, time is of the essence.",time
"Time. The Contractor must comply with all the time requirements described in this Contract. In the performance of this Contract, time is of the essence.",time
"Time. Time is of the essence of this Agreement. Subcontractor shall provide the Contractor with scheduling information in a form acceptable to the Contractor and shall conform to the Contractor's progress schedules, including any changes made by the Contractor in the scheduling of Services. Subcontractor shall coordinate its Services with that of all other contractors, subcontractors, suppliers and/or materialmen so as not to delay or damage their performance.",time
Time. Time is of the essence in the performance of each of the parties’ respective obligations contained herein.,time
"Time. Whenever Borrower shall be required to make any payment, or perform any act, on a day which is not a Business Day, such payment may be made, or such act may be performed, on the next succeeding Business Day. Time is of the essence in Borrower’s performance under all provisions of this Agreement and all related agreements and documents.",time
Time. Time wherever mentioned shall be of the essence of this Agreement.,time
Time. Time is of the essence hereunder.,time
Time. Time is of the essence in the performance of the parties’ respective obligations under this Agreement.,time
"Time. Any date or period specified herein may be postponed or extended by mutual agreement among the parties but, as regards any date or period originally fixed or so postponed or extended, time shall be of the essence.",time
"Time. Any reference in this Agreement to a time of day shall, unless a contrary indication appears, be a reference to London time.",time
"Time. All references in this Agreement and each of the other Credit Documents to a time of day shall mean San Francisco, California time, unless otherwise indicated.",time
Time. Time is of the essence of this Agreement and each of its provisions.,time
Time. Time is of the essence with respect to each provision of this Agreement.,time
Time. Time is of the essence in each and every provision of this Agreement.,time
"Time. Time is of the essence of this Lease and each and every term, condition and provision herein.",time
"Time. Time is of the essence of this Lease, and of every term and condition hereof.",time
"Time. Time shall be of the essence in every matter or action contemplated hereunder. All times expressed herein are local time in Vancouver, British Columbia unless otherwise stipulated herein.",time
Time. Time is of the essence of this Agreement. ----,time
Time. Time shall be of the essence of this Agreement and of every part hereof and no extension or variation of this Agreement shall operate as a waiver of this provision.,time
"Time. 1.8.1 Architect/Engineer shall perform all of Architect/Engineer’s services described herein as expeditiously as is consistent with (1) Architect/Engineer’s professional efforts, skill and care, (2) the orderly progress of such services, and (3) in conformance with the project milestone schedule so that the desired development and construction schedule for the Project shall be maintained. Architect/Engineer shall at all times provide sufficient personnel to accomplish Architect/Engineer’s services within the time limits set forth in the schedule described in 1.8.2.",time
"Time. The Grantee must comply with all the time requirements described in this grant agreement. In the performance of this grant agreement, time is of the essence.",time
Time. Time is of the essence with respect to this Agreement. ----,time
"Time. Time is of the essence of this Agreement. In the computation of any period of time provided for in this Agreement or by law, the day of the act or event from which the period of time runs shall be excluded, and the last day of such period shall be included, unless it is a Saturday, Sunday, or legal holiday, in which case the period shall be deemed to run until the end of the next day which is not a Saturday, Sunday, or legal holiday.",time
Time. All Parties agree that time is of the essence as to this Agreement.,time
Time. Time is of the essence of this Agreement and each and every provision hereof.,time
Time. Time is of the essence of this Agreement and will be calculated in accordance with the provisions of the Interpretation Act (British Columbia).,time
"Time. Time shall be of the essence of this agreement. Except as otherwise set forth herein, specified times of day refer to New York City time.",time
Time. Time is of the essence in the performance of the covenants contained herein and in the Loan Documents.,time
Time. 3.3.1 – Time is of the Essence,time
"Time. Where this Note authorizes or requires the payment of money or the performance of a condition or obligation on a Saturday or Sunday or a holiday on which the United States Stock Markets (""US Markets"") are closed (""Holiday""), such payment shall be made or condition or obligation performed on the last business day preceding such Saturday, Sunday or Holiday. A ""business day"" shall mean a day on which the US Markets are open for a full day or half day of trading.",time
"Time. Whenever Borrower is required to make any payment or perform any act on a Saturday, Sunday, or a legal holiday under the laws of the State of Maryland (or other jurisdiction where Borrower is required to make the payment or perform the act), the payment may be made or the act performed on the next Business Day. Time is of the essence in Borrower's performance under this Agreement and all other Loan Documents.",time
Time. Time is of the essence of this Agreement and each and all of its supplements and provisions.,time
"Time. Time shall be of the essence in every matter or action contemplated hereunder. All times expressed herein or in any letter of transmittal contemplated herein are local time (Vancouver, British Columbia) unless otherwise stipulated herein or therein.",time
Time. Time is of the essence of this Agreement and each and every provision hereof. Any extension of time granted for the performance of any duty under this Agreement shall not be considered an extension of time for the performance of any other duty under this Agreement.,time
Time. Time is of the essence of the Lease.,time
Time. Time is of the essence regarding this Lease and all of its provisions.,time
"Time. Time is of the essence with respect to performance of every provision of this Lease in which time or performance is a factor. All references in this Lease to ""days"" shall mean calendar days unless specifically modified herein to be ""business"" days.",time
"Time. All reference herein to periods of days are to calendar days, unless expressly provided otherwise. Where the time period specified herein would end on a weekend or holiday, the time period shall be deemed to end on the next business day.",time
Time. Time is and shall be of the essence of this Agreement.,time
"Time. Time is off the essence in the performance of this Contract. Contractor shall devote the necessary time and effort to its performance under this Contract. Neither party will be considered in default of this Contract, to the extent that party’s performance is prevented or delayed by any cause, present or future, that is beyond the reasonable control of that party.",time
"Time. Except as otherwise provided, for purposes of calculating the length of time from a given day or the day of a given act or event, the relevant period shall be calculated exclusive of that day. If the day on or by which a payment must be made is not a business day, that payment must be made on or by the business day immediately following such day.",time
"Time. Calendar days shall be used in computing time periods. Time is of the essence in this Contract. Other than time for acceptance and Effective Date as set forth in Paragraph 3, any time periods provided for or dates specified in this Contract, whether preprinted, handwritten, typewritten or inserted herein, which shall end or occur on a Saturday, Sunday, or a national legal holiday (see 5 U.S.C. 6103) shall extend to 5:00 p.m. (where the Property is located) of the next business day.",time
"Time. Meetings shall be held at such time as the Board shall fix, except that the first meeting of a newly elected Board shall be held as soon after its election as the directors may conveniently assemble.",time
"Time. All time references herein shall, unless otherwise specified, be references to local time in Toronto, Ontario. Time is of the essence of this Agreement and the other Loan Documents.",time
"Time. Where this Debenture authorizes or requires the payment of money or the performance of a condition or obligation on a Saturday or Sunday or a public holiday, or authorizes or requires the payment of money or the performance of a condition or obligation within, before or after a period of time computed from a certain date, and such period of time ends on a Saturday or a Sunday or a public holiday, such payment may be made or condition or obligation performed on the next succeeding business day, and if the period ends at a specified hour, such payment may be made or condition performed, at or before the same hour of such next succeeding business day, with the same force and effect as if made or performed in accordance with the terms of this Debenture. A ""business day"" shall mean a day on which the banks in New York are not required or allowed to be closed.",time
"Time. Time is of the essence of this Agreement. In computing the number of days for purposes of this Agreement, all days shall be counted, including Saturdays, Sundays and holidays; provided, however, that if the final day of any time period provided in this Agreement shall end on a Saturday, Sunday or legal holiday, then the final day shall extend to 5:00 p.m. Eastern time of the next full business day. For the purposes of this Section, the term “holiday” shall mean a day other than a Saturday or Sunday on which banks are closed in the state in which the Real Property is located.",time
"Time. Time is of the essence in every particular of this Lease, including, without limitation, obligations for the payment of money.",time
"Time. Executive agrees to devote all reasonable full time and best efforts for the benefit of the Company and any subsidiary of the Company, and not to serve any other business enterprise or organization in any capacity during the Term of this Agreement without the prior written consent of the Company, which consent shall not be unreasonably withheld.",time
Time. Time is of the essence of every provision contained in this Agreement.,time
"Time. Any reference in this Agreement to a time shall, unless otherwise specified, be construed as a reference to London time.",time
Time. Time is of the essence for all provisions of this Agreement.,time
Time. Time is of the essence in this Lease.,time
"Time. The annual meeting shall be held on the date and at the time fixed, from time to time, by the directors, provided that the first annual meeting shall be held on a date within thirteen months after the organization of the corporation, and each successive annual meeting shall be held on a date within thirteen months after the date of the preceding annual meeting. A special meeting shall be held on the date and at the time fixed by the directors.",time
Time. Time shall be of the essence.,time
Time. Is of the essence.,time
"Time. Time is of the essence of this Operating Agreement, and to any payments, allocations and distributions provided for under this Operating Agreement.",time
