clause_text,clause_type
"Title. The Company and its Subsidiaries have good and marketable title in fee simple to all real property and good and marketable title to all personal property owned by them which is material to the business of the Company and its Subsidiaries, in each case free and clear of all liens, encumbrances and defects except such as do not materially affect the value of such property and do not interfere with the use made and proposed to be made of such property by the Company and any of its Subsidiaries. Any real property and facilities held under lease by the Company and any of its Subsidiaries are held by them under valid, subsisting and enforceable leases with such exceptions as are not material and do not interfere with the use made and proposed to be made of such property and buildings by the Company and its Subsidiaries.",title
"Title. It is the intention of the Seller that the transfer and assignment herein contemplated, taken as a whole, constitute a sale of the Receivables from the Seller to the Issuer and that the beneficial interest in and title to the Receivables not be part of the debtor’s estate in the event of the filing of a bankruptcy petition by or against the Seller under any bankruptcy law. Other than (1) the sale by the Seller to the Issuer pursuant to this Agreement and (2) the security interest granted by the Issuer to the Indenture Trustee in the Indenture, no Receivable has been sold, transferred, assigned or pledged by the Seller to any Person other than the Issuer, and no Receivable has been sold, transferred, assigned or pledged by the Issuer to any Person other than the Indenture Trustee, and no provision of a Receivable shall have been waived, except as provided in clause (h) above; immediately prior to the transfer and assignment herein contemplated, the Seller had good and marketable title to each Receivable free and clear of all Liens and rights of any other Person and immediately prior to the pledge of security interest contemplated in the Indenture, the Issuer had good and marketable title to each Receivable free and clear of all Liens and rights of any other Person; immediately upon the transfer and assignment contemplated herein, the Issuer shall have good and marketable title to each Receivable, free and clear of all Liens and rights of any other Person and immediately upon the pledge of the security interest contemplated in the Indenture, the Indenture Trustee will have a valid and continuing security interest in the Receivables; and both the transfer and assignment herein contemplated and the pledge of security interest contemplated by the Indenture have been perfected under the applicable UCC.",title
"Title. The Company and its Subsidiaries have good and marketable title to all personal property owned by them which is material to the business of the Company and its Subsidiaries, in each case free and clear of all liens, encumbrances and defects except such as are described in the SEC Documents or such as do not materially affect the value of such property and do not interfere with the use made and proposed to be made of such property by the Company or any of its Subsidiaries. Any real property and facilities held under lease by the Company or any of its Subsidiaries are held by them under valid, subsisting and enforceable leases with such exceptions as are not material and do not interfere with the use made and proposed to be made of such property and buildings by the Company and its Subsidiaries.",title
"Title. Subject to the limitations contained herein and in the ADR, title to an ADR (and to each Certificated ADS evidenced thereby) shall be transferable upon the same terms as a certificated security under the laws of the State of New York, provided that, in the case of Certificated ADSs, such ADR has been properly endorsed or is accompanied by proper instruments of transfer. Notwithstanding any notice to the contrary, the Depositary and the Company may deem and treat the Holder of an ADS (that is, the person in whose name an ADS is registered on the books of the Depositary) as the absolute owner thereof for all purposes. Neither the Depositary nor the Company shall have any obligation nor be subject to any liability under the Deposit Agreement or any ADR to any holder or any Beneficial Owner unless, in the case of a holder of ADSs, such holder is the Holder registered on the books of the Depositary or, in the case of a Beneficial Owner, such Beneficial Owner, or the Beneficial Owner’s representative, is the Holder registered on the books of the Depositary.",title
"Title. Except as set forth in the SEC Documents, the Company has good and marketable title to its properties and material assets owned by it, free and clear of any pledge, lien, security interest, encumbrance, claim or equitable interest other than such as are not material to the business of the Company. Any real property and facilities held under lease by the Company and its subsidiaries are held by them under valid, subsisting and enforceable leases with such exceptions as are not material and do not interfere with the use made and proposed to be made of such property and buildings by the Company and its subsidiaries.",title
"Title. Buyer’s obligation to purchase the Partnership Interests shall be conditioned upon the Partnership then holding good and clear record and marketable fee simple title to the Real Property, subject only to the Permitted Exceptions (as hereinafter defined). In connection herewith, on or prior to the date of this Agreement Seller has provided to Buyer a copy of the existing owner’s title insurance policy for the Real Property. As promptly as possible after the date of this Agreement, Buyer shall obtain at its sole expense from the Escrow Agent, in its capacity as title insurer (the “Title Insurer”), a Commitment For Title Insurance for an ALTA Owner’s Form B Title Insurance Policy with such endorsements as Buyer shall reasonably require and all legible copies of all instruments and plans mentioned therein as exceptions to title (all of such items are hereinafter collectively referred to as the “Commitment”). The Commitment shall be in the amount of the Purchase Price. Should the Commitment contain any title exceptions which are not acceptable to Buyer, in its sole discretion, Buyer shall, prior to the expiration of the Inspection Period, notify Seller of such exceptions. If Buyer fails to so notify Seller of any such exceptions as described above, the exceptions set forth in Schedule B of the Commitment shall be deemed accepted by Buyer (all such exceptions being referred to herein as the “Permitted Exceptions”). If any exceptions are unacceptable to Buyer and Buyer timely notifies Seller in writing of such fact as provided above, Seller, in its sole discretion, shall have ten (10) business days from the date Seller receives notice of such unacceptable exceptions to cause the Partnership to remove or cure such exceptions, to Buyer’s reasonable satisfaction, except with respect to the Monetary Liens (as hereinafter defined), which Seller shall cause the Partnership to remove or cure at or before the Closing with funds of the Partnership. Seller shall be deemed to have given notice to Buyer that Seller refuses to cure any unacceptable exceptions, which Seller may so do in its sole discretion, unless Seller, within such ten (10) business day period, shall notify Buyer in writing that Seller will attempt to cure such unacceptable exceptions. If Seller fails or refuses to cure, or to cause the Partnership to cure, said unacceptable exceptions within the time period above provided, Buyer may (a) terminate this Agreement on or before ten (10) business days after the ...",title
"Title. Each of Holdings and its Subsidiaries has (i) good, sufficient and legal title to (in the case of fee interests in real property), (ii) valid leasehold interests in (in the case of leasehold interests in real or personal property), and (iii) good title to (in the case of all other personal property), all of their respective properties and assets reflected in their respective Historical Financial Statements referred to in Section 4.7 and in the most recent financial statements delivered pursuant to Section 5.1, in each case except for assets disposed of since the date of such financial statements in the ordinary course of business or as otherwise permitted under Section 6.9. Except as permitted by this Agreement, all such properties and assets are free and clear of Liens.",title
"Title. Borrower has good and indefeasible fee simple title to the real property comprising part of the Property and good title to the balance of the Property, free and clear of all Liens whatsoever except the Permitted Encumbrances, such other Liens as are permitted pursuant to the Loan Documents and the Liens created by the Loan Documents. The Mortgage, when properly recorded in the appropriate records, together with any Uniform Commercial Code financing statements required to be filed in connection therewith, will create (a) a valid, perfected lien on the Property, subject only to Permitted Encumbrances and the Liens created by the Loan Documents and (b) perfected security interests in and to, and perfected collateral assignment of, all personalty (including the Leases), all in accordance with the terms thereof, in each case subject only to any applicable Permitted Encumbrances, such other Liens as are permitted pursuant to the Loan Documents and the Liens created by the Loan Documents. There are no claims for payment for work, labor or materials affecting the Property which are due and unpaid under the contracts pursuant to which such work or labor was performed or materials provided which are or may become a lien prior to, or of equal priority with, the Liens created by the Loan Documents.",title
"Title. Title and all ownership and proprietary rights to the System, including any enhancements or modifications thereto, whether or not made by State Street, are and shall remain with State Street.",title
Title. 2. Arrangement,title
