clause_text,clause_type
"Trustee May File Proofs of Claim. In case of the pendency of any receivership, insolvency, liquidation, bankruptcy, reorganization, arrangement, adjustment, composition or other judicial proceeding relative to the Company or any other obligor upon the Securities or the property of the Company or of such other obligor or their creditors, the Trustee (irrespective of whether the principal of the Securities shall then be due and payable as therein expressed or by declaration or otherwise and irrespective of whether the Trustee shall have made any demand on the Company for the payment of overdue principal or interest) shall be entitled and empowered, by intervention in such proceeding or otherwise,",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee is authorized to file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee (including any claim for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel) and the Holders of the Notes allowed in any judicial proceedings relative to the Company (or any other obligor upon the Notes), its creditors or its property and shall be entitled and empowered to collect, receive and distribute any money or other property payable or deliverable on any such claims and any custodian in any such judicial proceeding is hereby authorized by each Holder to make such payments to the Trustee, and in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due to it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07 hereof. To the extent that the payment of any such compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07 hereof out of the estate in any such proceeding, shall be denied for any reason, payment of the same shall be secured by a Lien on, and shall be paid out of, any and all distributions, dividends, money, securities and other properties that the Holders may be entitled to receive in such proceeding whether in liquidation or under any plan of reorganization or arrangement or otherwise. Nothing herein contained shall be deemed to authorize the Trustee to authorize or consent to or accept or adopt on behalf of any Holder any plan of reorganization, arrangement, adjustment or composition affecting the Notes or the rights of any Holder, or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. In case of any judicial proceeding relative to the Company (or any other obligor upon the Securities), its property or its creditors, the Trustee shall be entitled and empowered, by intervention in such proceeding or otherwise, to take any and all actions authorized under the Trust Indenture Act in order to have claims of the Holders and the Trustee allowed in any such proceeding. In particular, the Trustee shall be authorized to collect and receive any moneys or other property payable or deliverable on any such claims and to distribute the same; and any custodian, receiver, assignee, trustee, liquidator, sequestrator or other similar official in any such judicial proceeding is hereby authorized by each Holder to make such payments to the Trustee and, in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 607. No provision of this Indenture shall be deemed to authorize the Trustee to authorize or consent to or accept or adopt on behalf of any Holder any plan of reorganization, arrangement, adjustment or composition affecting the Securities or the rights of any Holder thereof or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding; provided, however, that the Trustee may, on behalf of the Holders, vote for the election of a trustee in bankruptcy or similar official and be a member of a creditors' or other similar committee.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee may file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee and the Securityholders allowed in any judicial proceedings relative to the Company, its creditors or its property and, unless prohibited by law or applicable regulations, may vote on behalf of the Holders in any election of a trustee in bankruptcy or other Person performing similar functions, and any Custodian in any such judicial proceeding is hereby authorized by each Holder to make payments to the Trustee and, in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and its counsel, and any other amounts due the Trustee under Section 7.07.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee may file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee (including any claim for the compensation, expenses, disbursements and advances of the Trustee, its agents and counsel) and the Holders allowed in any judicial proceedings relating to the Issuer, their creditors or their property and shall be entitled and empowered to collect and receive any monies or other property payable or deliverable on any such claims and to distribute the same, and any Custodian in any such judicial proceedings is hereby authorized by each Holder to make such payments to the Trustee and, in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due to it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agent and counsel, and any other amounts due the Trustee under Section 7.07. Nothing herein contained shall be deemed to authorize the Trustee to authorize or consent to or accept or adopt on behalf of any Holder any plan of reorganization, arrangement, adjustment or composition affecting the Notes or the rights of any Holder thereof, or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding. The Trustee shall be entitled to participate as a member of any official committee of creditors in the matters as it deems necessary or advisable.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee may file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee and the Holders allowed in any judicial proceedings relative to the Company or any other obligor upon the Notes, its creditors or its property and, unless prohibited by law or applicable regulations, may vote on behalf of the Holders in any election of a trustee in bankruptcy or other Person performing similar functions, and any Custodian in any such judicial proceeding is hereby authorized by each Holder to make payments to the Trustee and, in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and its counsel, and any other amounts due the Trustee under Section 707. No provision of this Indenture shall be deemed to authorize the Trustee to authorize or consent to or accept or adopt on behalf of any Holder any plan of reorganization, arrangement, adjustment or composition affecting the Notes or the rights of any Holder thereof or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee may file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee (including any claim for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07) and the Holders allowed in any judicial proceedings relative to the Company (or any other obligor of the Notes), its creditors or its property and shall be entitled and empowered to collect and receive any monies, securities or other property payable or deliverable upon conversion or exchange of the Notes or upon any such claims and to distribute the same, and any custodian, receiver, assignee, trustee, liquidator, sequestrator or other similar official in any such judicial proceeding is hereby authorized by each Holder to make such payments to the Trustee and, in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due to it for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07. Nothing herein contained shall be deemed to empower the Trustee to authorize or consent to, or accept or adopt on behalf of any Holder, any plan of reorganization, arrangement, adjustment or composition affecting the Notes or the rights of any Holder thereof, or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. In case of the pendency of any receivership, insolvency, liquidation, bankruptcy, reorganization, arrangement, adjustment, composition or other judicial proceeding relative to the Issuer or any other obligor including any Guarantor, upon the Notes or the property of the Issuer or of such other obligor or their creditors, the Trustee (irrespective of whether the principal of the Notes shall then be due and payable as therein expressed or by declaration or otherwise and irrespective of whether the Trustee shall have made any demand on the Issuer for the payment of overdue principal, premium, if any, or interest) shall be entitled and empowered, by intervention in such proceeding or otherwise,",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. The Trustee is authorized to file such proofs of claim and other papers or documents as may be necessary or advisable in order to have the claims of the Trustee (including any claim for the reasonable compensation, expenses, disbursements and advances of the Trustee, its agents and counsel) and the Holders of the Notes allowed in any judicial proceedings relative to the Issuers (or any other obligor upon the Notes including the Guarantors), its creditors or its property and shall be entitled and empowered to participate as a member in any official committee of creditors appointed in such matter and to collect, receive and distribute any money or other property payable or deliverable on any such claims and any custodian in any such judicial proceeding is hereby authorized by each Holder to make such payments to the Trustee, and in the event that the Trustee shall consent to the making of such payments directly to the Holders, to pay to the Trustee any amount due to it for the reasonable compensation and the reasonable and documented out-of-pocket expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07 hereof. To the extent that the payment of any such compensation, expenses, disbursements and advances of the Trustee, its agents and counsel, and any other amounts due the Trustee under Section 7.07 hereof out of the estate in any such proceeding, shall be denied for any reason, payment of the same shall be secured by a Lien on, and shall be paid out of, any and all distributions, dividends, money, securities and other properties that the Holders may be entitled to receive in such proceeding whether in liquidation or under any plan of reorganization or arrangement or otherwise. Nothing herein contained shall be deemed to authorize the Trustee to authorize or consent to or accept or adopt on behalf of any Holder any plan of reorganization, arrangement, adjustment or composition affecting the Notes or the rights of any Holder, or to authorize the Trustee to vote in respect of the claim of any Holder in any such proceeding.",trustee-may-file-proofs-of-claim
"Trustee May File Proofs of Claim. In case of the pendency of any receivership, insolvency, liquidation, bankruptcy, reorganization, arrangement, adjustment, composition or other judicial proceeding relative to the Company or any other obligor upon the Securities or the property of the Company or of such other obligor or their creditors,",trustee-may-file-proofs-of-claim
