clause_text,clause_type
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture or in any suit against the Trustee for any action taken or omitted by it as a Trustee, a court in its discretion may require the filing by any party litigant in the suit of an undertaking to pay the costs of the suit, and the court in its discretion may assess reasonable costs, including reasonable attorneys’ fees, against any party litigant in the suit, having due regard to the merits and good faith of the claims or defenses made by the party litigant. This Section 6.11 does not apply to a suit by the Trustee, a suit by a Holder of a Note pursuant to Section 6.07 hereof, or a suit by Holders of more than 10% in aggregate principal amount of the then outstanding Notes.",undertaking-for-costs
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken, suffered or omitted by it as Trustee, a court may require any party litigant in such suit to file an undertaking to pay the costs of such suit, and may assess costs against any such party litigant, in the manner and to the extent provided in the Trust Indenture Act; provided that neither this Section nor the Trust Indenture Act shall be deemed to authorize any court to require such an undertaking or to make such an assessment in any suit instituted by the Company.",undertaking-for-costs
"Undertaking for Costs. All parties to this Indenture agree, and each Holder of any Note or Note Owner by such Holder’s acceptance of such Note or beneficial interest therein, as the case may be, shall be deemed to have agreed, that any court may in its discretion require, in any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Indenture Trustee for any action taken, suffered or omitted by it as Indenture Trustee, the filing by any party litigant in such suit of an undertaking to pay the costs of such suit, and that such court may in its discretion assess reasonable costs, including reasonable attorneys’ fees, against any party litigant in such suit, having due regard to the merits and good faith of the claims or defenses made by such party litigant; but the provisions of this Section shall not apply to (a) any suit instituted by the Indenture Trustee, (b) any suit instituted by any Noteholder, or group of Noteholders, in each case holding in the aggregate more than 25% of the Outstanding Amount of Notes of the Controlling Class or (c) any suit instituted by any Noteholder for the enforcement of the payment of principal of or interest on any Note on or after the respective due dates expressed in such Note and in this Indenture.",undertaking-for-costs
"Undertaking for Costs. All parties to this Indenture agree, and each Holder of any Security by such Holder’s acceptance thereof shall be deemed to have agreed, that any court may in its discretion require, in any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken, suffered or omitted by it as Trustee, the filing by any party litigant, other than the Trustee, in such suit of an undertaking to pay the costs of such suit, and that such court may in its discretion assess reasonable costs, including reasonable attorneys’ fees, against any party litigant in such suit, having due regard to the merits and good faith of the claims or defenses made by such party litigant; but the provisions of this Section 5.14 shall not apply to any suit instituted by the Company, to any suit instituted by the Trustee, to any suit instituted by any Holder, or group of Holders, holding in the aggregate more than 10% in aggregate principal amount of the Outstanding Securities of any series, or to any suit instituted by any Holder for the enforcement of the payment of the principal of (or premium, if any) or interest on any Security on or after the Stated Maturity or Maturities expressed in such Security (or, in the case of redemption, on or after the Redemption Date).",undertaking-for-costs
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture or in any suit against the Trustee for any action taken or omitted by it as Trustee, a court in its discretion may require the filing by any party litigant in the suit of an undertaking to pay the costs of the suit, and the court in its discretion may assess reasonable costs, including reasonable attorneys’ fees and expenses, against any party litigant in the suit, having due regard to the merits and good faith of the claims or defenses made by the party litigant. This Section 6.11 does not apply to a suit by the Trustee, a suit by a Holder pursuant to Section 6.07, or a suit by a Holder or Holders of more than 10% in principal amount of the outstanding Notes.",undertaking-for-costs
"Undertaking for Costs. All parties to this Indenture agree, and each Holder of any Security by his acceptance thereof shall be deemed to have agreed, that any court may in its discretion require, in any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken, suffered or omitted by it as Trustee, the filing by any party litigant in such suit of an undertaking to pay the costs of such suit, and that such court may in its discretion assess reasonable costs, including reasonable attorneys’ fees, against any party litigant in such suit, having due regard to the merits and good faith of the claims or defenses made by such party litigant; but the provisions of this Section shall not apply to any suit instituted by the Company, to any suit instituted by the Trustee, to any suit instituted by any Holder, or group of Holders, holding in the aggregate more than 10% in principal amount of the outstanding Securities of any Series, or to any suit instituted by any Holder for the enforcement of the payment of the principal of or interest on any Security on or after the Stated Maturity or Stated Maturities expressed in such Security (or, in the case of redemption, on the redemption date).",undertaking-for-costs
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture or in any suit against the Trustee for any action taken or omitted by it as Trustee, a court in its discretion may require the filing by any party litigant in the suit of an undertaking to pay the costs of the suit, and the court in its discretion may assess reasonable costs, including reasonable attorneys' fees, against any party litigant in the suit, having due regard to the merits and good faith of the claims or defenses made by the party litigant. This Section does not apply to a suit by the Trustee, a suit by a Holder pursuant to Section 6.07 or a suit by Holders of more than 10% in principal amount of the Securities.",undertaking-for-costs
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture or in any suit against the Trustee for any action taken or omitted by it as Trustee, a court in its discretion may require the filing by any party litigant in the suit of an undertaking to pay the costs of the suit, and the court in its discretion may assess reasonable costs, including reasonable attorneys’ fees, against any party litigant in the suit, having due regard to the merits and good faith of the claims or defenses made by the party litigant. This Section 6.11 does not apply to a suit by the Trustee, a suit by a Holder pursuant to Section 6.07 hereof or a suit by Holders of more than 10% in principal amount of the Notes then outstanding.",undertaking-for-costs
"Undertaking for Costs. In any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken, suffered or omitted by it as Trustee, a court may require any party litigant in such suit to file an undertaking to pay the costs of such suit, and may assess costs against any such party litigant, in the manner and to the extent provided in the Trust Indenture Act; provided, however, that neither this Section nor the Trust Indenture Act shall be deemed to authorize any court to require such an undertaking or to make such an assessment in any suit instituted by the Trustee, in any suit instituted by any Holder, or group of Holders, holding in the aggregate more than 10% in principal amount of the Outstanding Securities of any series to which the suit relates, or in any suit instituted by any Holder for the enforcement of the payment of the principal of (or premium, if any) or interest on any Security on or after the respective Stated Maturity expressed by such Security (or, in the case of redemption or repayment, on or after the Redemption Date).",undertaking-for-costs
"Undertaking for Costs. All parties to this Indenture agree, and each Holder of any Security by his or her acceptance thereof shall be deemed to have agreed, that any court may in its discretion require, in any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken or omitted by it as Trustee, the filing by any party litigant in such suit of an undertaking to pay the costs of such suit, and that such court may in its discretion assess reasonable costs, including reasonable attorneys’ fees and expenses, against any party litigant in such suit, having due regard to the merits and good faith of the claims or defenses made by such party litigant; but the provisions of this Section 5.14 shall not apply to any suit instituted by the Trustee, to any suit instituted by any Holder, or group of Holders, holding in the aggregate more than ten percent (10%) in aggregate principal amount of the Outstanding Securities, or to any suit instituted by any Holder for the enforcement of the payment of the principal of or any premium on the Security after the Stated Maturity or any interest (including any Additional Interest) on any Security after it is due and payable.",undertaking-for-costs
"Undertaking for Costs. All parties to this Indenture agree, and each Holder of any Security by his acceptance thereof shall be deemed to have agreed, that any court may in its discretion require, in any suit for the enforcement of any right or remedy under this Indenture, or in any suit against the Trustee for any action taken, suffered or omitted by it as Trustee, the filing by any party litigant in such suit of an undertaking to pay the costs of such suit, and that such court may in its discretion assess reasonable costs, including reasonable attorneys' fees, against any party litigant in such suit, having due regard to the merits and good faith of the claims or defenses made by such party litigant; but the provisions of this Section shall not apply to any suit instituted by the Trustee, to any suit instituted by any Holder, or group of Holders, holding in the aggregate more than 10% in principal amount of the Outstanding Securities of any series, or to any suit instituted by any Holder for the enforcement of the payment of the principal of (or premium, if any) or interest on any Security on or after the due dates expressed in such Security (or, in the case of redemption, on or after the Redemption Date).",undertaking-for-costs
