clause_text,clause_type
"USA PATRIOT Act. The parties hereto acknowledge that in accordance with Section 326 of the U.S.A. Patriot Act, the Trustee, like all financial institutions and in order to help fight the funding of terrorism and money laundering, is required to obtain, verify, and record information that identifies each person or legal entity that establishes a relationship or opens an account with the Trustee. The parties to this Indenture agree that they will provide the Trustee with such information as it may request in order for the Trustee to satisfy the requirements of the U.S.A. Patriot Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender that is subject to the requirements of the USA Patriot Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)) (the “Act”) hereby notifies the Borrower that pursuant to the requirements of the Act, it is required to obtain, verify and record information that identifies the Borrower, which information includes the name and address of the Borrower and other information that will allow such Lender to identify the Borrower in accordance with the Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender that is subject to the Act (as hereinafter defined) and the Administrative Agent (for itself and not on behalf of any Lender) hereby notifies the Borrower that pursuant to the requirements of the USA PATRIOT Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)) (the “Act”), it is required to obtain, verify and record information that identifies the Borrower, which information includes the name and address of the Borrower and other information that will allow such Lender or the Administrative Agent, as applicable, to identify the Borrower in accordance with the Act. The Borrower shall, promptly following a request by the Administrative Agent or any Lender, provide all documentation and other information that the Administrative Agent or such Lender requests in order to comply with its ongoing obligations under applicable “know your customer” and anti-money laundering rules and regulations, including the Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender that is subject to the requirements of the USA PATRIOT Act hereby notifies each Loan Party that pursuant to the requirements of the USA PATRIOT Act, it is required to obtain, verify and record information that identifies such Loan Party, which information includes the name and address of such Loan Party and other information that will allow such Lender to identify such Loan Party in accordance with the USA PATRIOT Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender hereby notifies the Borrower that pursuant to the requirements of the Patriot Act, it is required to obtain, verify and record information that identifies the Borrower, which information includes the name and address of the Borrower and other information that will allow such Lender to identify the Borrower in accordance with the Patriot Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender hereby notifies the Borrower that pursuant to the requirements of the USA Patriot Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)) (the “Patriot Act”), it is required to obtain, verify and record information that identifies each Credit Party, which information includes the name and address of each Credit Party and other information that will allow such Lender to identify each Credit Party in accordance with the Patriot Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender that is subject to the USA PATRIOT Act and the Administrative Agent (for itself and not on behalf of any Lender) hereby notifies the Borrower that pursuant to the requirements of the USA PATRIOT Act, it is required to obtain, verify and record information that identifies each Loan Party, which information includes the name and address of each Loan Party and other information that will allow such Lender or the Administrative Agent, as applicable, to identify each Loan Party in accordance with the USA PATRIOT Act. The Borrower shall, promptly following a request by the Administrative Agent or any Lender, provide all documentation and other information that the Administrative Agent or such Lender requests in order to comply with its ongoing obligations under applicable “know your customer” and anti-money laundering rules and regulations, including the USA PATRIOT Act.",usa-patriot-act
"USA PATRIOT Act. In accordance with the requirements of the USA Patriot Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)), the Underwriters are required to obtain, verify and record information that identifies their respective clients, including the Company, which information may include the name and address of their respective clients, as well as other information that will allow the Underwriters to properly identify their respective clients.",usa-patriot-act
"USA PATRIOT Act. Each Lender hereby notifies Borrower that pursuant to the requirements of the USA Patriot Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)) (the “Act”), it is required to obtain, verify and record information that identifies Borrower, which information includes the name and address of Borrower and other information that will allow such Lender to identify Borrower in accordance with the Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender hereby notifies the Borrower that pursuant to the requirements of the USA PATRIOT Act (Title III of Pub. L. 107-56 (signed into law October 26, 2001)), such Lender may be required to obtain, verify and record information that identifies the Borrower, which information includes the name and address of the Borrower and other information that will allow such Lender to identify the Borrower in accordance with said Act.",usa-patriot-act
"USA PATRIOT Act. Neither the Borrower nor any Affiliate of the Borrower is (i) a country, territory, organization, person or entity named on an Office of Foreign Asset Control (OFAC) list; (ii) a Person that resides or has a place of business in a country or territory named on such lists or which is designated as a “Non-Cooperative Jurisdiction” by the Financial Action Task Force on Money Laundering, or whose subscription funds are transferred from or through such a jurisdiction; (iii) a “Foreign Shell Bank” within the meaning of the USA PATRIOT Act, i.e., a foreign bank that does not have a physical presence in any country and that is not affiliated with a bank that has a physical presence and an acceptable level of regulation and supervision; or (iv) a person or entity that resides in or is organized under the laws of a jurisdiction designated by the United States Secretary of the Treasury under Sections 311 or 312 of the USA PATRIOT Act as warranting special measures due to money laundering concerns.",usa-patriot-act
"USA PATRIOT Act. Each Lender hereby notifies the Loan Parties that pursuant to the requirements of the USA Patriot Act (Title III of Publ. 107-56 (signed into law October 26, 2001)) (the “Act”), it is required to obtain, verify and record information that identifies the Loan Parties, which information includes the name and address of the Borrower and other information that will allow such Lender to identify the Loan Parties in accordance with the Act.",usa-patriot-act
"USA PATRIOT Act. Each Lender that is subject to the USA Patriot Act and the Administrative Agent (for itself and not on behalf of any Lender) hereby notifies the Borrowers that pursuant to the requirements of the USA Patriot Act and the Beneficial Ownership Regulation, it is required to obtain, verify and record information that identifies each Loan Party, which information includes the name, address and tax identification number of such Loan Party and other information regarding such Loan Party that will allow such Lender or the Administrative Agent, as applicable, to identify such Loan Party in accordance with the USA Patriot Act and the Beneficial Ownership Regulation. This notice is given in accordance with the requirements of the USA Patriot Act and the Beneficial Ownership Regulation and is effective as to the Lenders and the Administrative Agent. Each Loan Party shall, promptly following a request by the Administrative Agent, provide all documentation and other information that the Administrative Agent or any Lender reasonably requests which is required in order to comply with its ongoing obligations under applicable “know your customer” and anti-money laundering rules and regulations, including the USA Patriot Act and the Beneficial Ownership Regulation.",usa-patriot-act
"USA PATRIOT Act. Each Lender or assignee or participant of a Lender that is not organized under the laws of the United States of America or a state thereof (and is not excepted from the certification requirement contained in Section 313 of the USA Patriot Act and the applicable regulations because it is both (a) an affiliate of a depository institution or foreign bank that maintains a physical presence in the United States or foreign country, and (b) subject to supervision by a banking authority regulating such affiliated depository institution or foreign bank) shall deliver to the Administrative Agent the certification, or, if applicable, recertification, certifying that such Lender is not a “shell” and certifying to other matters as required by Section 313 of the USA Patriot Act and the applicable regulations: (i) within 10 days after the Closing Date, and (ii) at such other times as are required under the USA Patriot Act.",usa-patriot-act
"USA PATRIOT Act. In order to comply with the laws, rules, regulations and executive orders in effect from time to time applicable to banking institutions, including, without limitation, those relating to the funding of terrorist activities and money laundering, including Section 326 of the USA PATRIOT Act of the United States (“Applicable Law”), the Trustee and Agents are required to obtain, verify, record and update certain information relating to individuals and entities which maintain a business relationship with the Trustee and Agents. Accordingly, each of the parties agree to provide to the Trustee and Agents, upon their request from time to time such identifying information and documentation as may be available for such party in order to enable the Trustee and Agents to comply with Applicable Law.",usa-patriot-act
"USA PATRIOT Act. The parties hereto acknowledge that in order to help the United States government fight the funding of terrorism and money laundering activities, pursuant to Federal regulations that became effective on October 1, 2003 (Section 326 of the USA PATRIOT Act) all financial institutions are required to obtain, verify, record and update information that identifies each person establishing a relationship or opening an account. The parties to this Indenture agree that they will provide to the Trustee such information as it may request, from time to time, in order for the Trustee to satisfy the requirements of the USA PATRIOT Act, including but not limited to the name, address, tax identification number and other information that will allow it to identify the individual or entity who is establishing the relationship or opening the account and may also ask for formation documents such as articles of incorporation or other identifying documents to be provided.",usa-patriot-act
