clause_text,clause_type
Use of Proceeds. The Company will use the net proceeds received by it from the sale of the Securities in the manner specified in the Prospectus under “Use of Proceeds.”,use-of-proceeds
"Use of Proceeds. Use the proceeds of any Credit Extension, whether directly or indirectly, and whether immediately, incidentally or ultimately, to purchase or carry margin stock (within the meaning of Regulation U of the FRB) or to extend credit to others for the purpose of purchasing or carrying margin stock or to refund indebtedness originally incurred for such purpose.",use-of-proceeds
"Use of Proceeds. Except as set forth on Schedule 4.7 attached hereto, the Company shall use the net proceeds from the sale of the Securities hereunder for working capital purposes and shall not use such proceeds: (a) for the satisfaction of any portion of the Company’s debt (other than payment of trade payables in the ordinary course of the Company’s business and prior practices), (b) for the redemption of any Common Stock or Common Stock Equivalents, (c) for the settlement of any outstanding litigation or (d) in violation of FCPA or OFAC regulations.",use-of-proceeds
"Use of Proceeds. The Company will use the net proceeds received by it from the sale of the Securities in the manner specified in the Registration Statement, the General Disclosure Package and the Prospectus under “Use of Proceeds.”",use-of-proceeds
"Use of Proceeds. The Company will apply the net proceeds from the sale of the Shares as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus under the heading “Use of proceeds”.",use-of-proceeds
"Use of Proceeds. The Company shall apply the net proceeds from the sale of the Offered Shares sold by it in the manner described under the caption “Use of Proceeds” in the Registration Statement, the Time of Sale Prospectus and the Prospectus.",use-of-proceeds
Use of Proceeds. The Company will use the Net Proceeds as described in the Prospectus in the section entitled “Use of Proceeds.”,use-of-proceeds
"Use of Proceeds. None of the net proceeds of the Offering will be paid by the Company to any participating FINRA member or its affiliates, except as specifically authorized herein.",use-of-proceeds
Use of Proceeds. The Company shall use the proceeds for general working capital purposes.,use-of-proceeds
Use of Proceeds. The Company shall apply the net proceeds from the sale of the Securities sold by it in the manner described under the caption “Use of Proceeds” in the Pricing Disclosure Package.,use-of-proceeds
"Use of Proceeds. The Company will use the net proceeds received in connection with this offering in the manner described in the “Use of Proceeds” section of the General Disclosure Package and, except as disclosed in the General Disclosure Package, the Company does not intend to use any of the proceeds from the sale of the Offered Securities hereunder to repay any outstanding debt owed to any affiliate of any Underwriter.",use-of-proceeds
Use of Proceeds. With respect to the Project to be financed or reimbursed by moneys granted pursuant to Section II hereof:,use-of-proceeds
Use of Proceeds. The Company will apply the net proceeds from the sale of the Securities as described in each of the Time of Sale Information and the Offering Memorandum under the heading “Use of proceeds.”,use-of-proceeds
"Use of Proceeds. Borrower shall use the proceeds of the Credit Extensions solely as working capital and to fund its general business requirements and not for personal, family, household or agricultural purposes.",use-of-proceeds
