clause_text,clause_type
"Use. Lessee shall use and occupy the Premises only for the Agreed Use, or any other legal use which is reasonably comparable thereto, and for no other purpose. Lessee shall not use or permit the use of the Premises in a manner that is unlawful, creates damage, waste or a nuisance, or that disturbs occupants of or causes damage to neighboring premises or properties. Lessor shall not unreasonably withhold or delay its consent to any written request for a modification of the Agreed Use, so long as the same will not impair the structural integrity of the improvements on the Premises or the mechanical or electrical systems therein, and/or is not significantly more burdensome to the Premises. If Lessor elects to withhold consent, Lessor shall within 7 days after such request give written notification of same, which notice shall include an explanation of Lessor’s objections to the change in the Agreed Use.",use
"Use. (a) The Premises shall be used for general office, administrative, call center use, storage and all other legal uses (“Tenant’s Use”). Tenant shall not do or permit to be done in or about the Premises or the Building anything which is prohibited by or in any way in conflict with any and all laws, statutes, ordinances, rules and regulations now in force or which may hereafter be enacted or promulgated by any applicable governmental authority or which is prohibited by the standard form of fire insurance policy, or which will increase the existing rate of or affect any fire or other insurance upon the Premises or the Building or any of its contents, or cause a cancellation of any insurance policy covering the Premises or the Building or any part thereof or any of its contents. Tenant shall not do or permit anything to be done in or about the Premises or the Building which will in any way violate the Rules or Regulations set forth in Exhibit C and hereinafter reasonably promulgated by Landlord throughout the Lease, obstruct or interfere with the rights of other tenants in the Building, or injure them, or use or allow the Premises or the Building to be used for any immoral or unlawful purpose, nor shall Tenant cause, maintain or permit any nuisance, in, on or about the Premises or the Building or commit or suffer to be committed any waste in, on or about the Premises or the Building. However, Landlord will take reasonable efforts to not interfere with Tenants’ permitted use of the Premises. Tenant shall have access to the Building and Premises on a 24 hour/7 day a week basis. Building hours shall be Monday –Friday 8:00 A.M. – 6:00 P.M. and Saturday 9:00 A.M. – 12:00 P.M., except holidays. Tenant shall be responsible for and shall pay for any increased building security costs, HVAC costs and utilities due to Tenant’s occupancy and the operation of HVAC and utilities services outside the normal Building hours for those services which are specifically requested in writing by Tenant; provided, that Tenant shall have the right to audit such costs in the same manner as Tenant’s right to audit Operating Expenses pursuant to Article 7 of this Lease.",use
"Use. The Premises shall be used only for the purpose of receiving, storing, shipping and selling (but limited to wholesale sales) products, materials and merchandise made and/or distributed by Tenant and for such other lawful purposes as may be incidental thereto; provided, however, with Landlord's prior written consent, Tenant may also use the Premises for light manufacturing. Tenant shall not conduct or give notice of any auction, liquidation, or going out of business sale on the Premises. Tenant will use the Premises in a careful, safe and proper manner and will not commit waste, overload the floor or structure of the Premises or subject the Premises to use that would damage the Premises. Tenant shall not permit any objectionable or unpleasant odors, smoke, dust, gas, noise, or vibrations to emanate from the Premises, or take any other action that would constitute a nuisance or would disturb, unreasonably interfere with, or endanger Landlord or any tenants of the Project. Outside storage, including without limitation, storage of trucks and other vehicles, is prohibited without Landlord's prior written consent. Tenant, at its sole expense, shall use and occupy the Premises in compliance with all laws, including, without limitation, the Americans With Disabilities Act, orders, judgments, ordinances, regulations, codes, directives, permits, licenses, covenants and restrictions now or hereafter applicable to the Premises (collectively, ""Legal Requirements""). The Premises shall not be used as a place of public accommodation under the Americans With Disabilities Act or similar state statutes or local ordinances or any regulations promulgated thereunder, all as may be amended from time to time. Tenant shall, at its expense, make any alterations or modifications, within or without the Premises, that are required by Legal Requirements related to Tenant's use or occupation of the Premises. Tenant will not use or permit the Premises to be used for any purpose or in any manner that would void Tenant's or Landlord's insurance, increase the insurance risk, or cause the disallowance of any sprinkler credits. If any increase in the cost of any insurance on the Premises or the Project is caused by Tenant's use or occupation of the Premises, or because Tenant vacates the Premises, then Tenant shall pay the amount of such increase to Landlord. Any occupation of the Premises by Tenant prior to the Commencement Date shall be subject to all obligations of Tenant under this Lease.",use
"Use. Tenant shall use the Premises only in conformance with applicable governmental laws, regulations, rules and ordinances for the purpose of general office, light manufacturing, research and development, and storage and other uses necessary for Tenant to conduct Tenant's business, provided that such uses shall be in accordance with all applicable governmental laws and ordinances and for no other purpose. Tenant shall not do or permit to be done in or about the Premises or the Complex nor bring or keep or permit to be brought or kept in or about the Premises or the Complex anything which is prohibited by or will in any way increase the existing rate of (or otherwise affect) fire or any insurance covering the Complex or any part thereof, or any of its contents, or will cause a cancellation of any insurance covering the Complex or any part thereof, or any of its contents. Tenant shall not do or permit to be done anything in, on or about the Premises or the Complex which will in any way obstruct or interfere with the rights of other tenants or occupants of the Complex or injure or annoy them, or use or allow the Premises to be used for any improper, immoral, unlawful or objectionable purpose, nor shall Tenant cause, maintain or permit any nuisance in, on or about the Premises or the Complex. No sale by auction shall be permitted on the Premises. Tenant shall not place any loads upon the floors, walls, or ceiling, which endanger the structure, or place any harmful fluids or other materials in the drainage system of the building, or overload existing electrical or other mechanical systems. No waste materials or refuse shall be dumped upon or permitted to remain upon any part of the Premises or outside of the building in which the Premises are a part, except in trash containers placed inside exterior enclosures designated by Landlord for that purpose or inside of the building proper where designated by Landlord. No materials, supplies, equipment, finished products or semi-finished products, raw materials or articles of any nature shall be stored upon or permitted to remain outside the Premises or on any portion of common area of the Complex. No loudspeaker or other device, system or apparatus which can be heard outside the Premises shall be used in or at the Premises without the prior written consent of Landlord. Tenant shall not commit or suffer to be committed any waste in or upon the Premises. Tenant shall indemnify, defend and hold Landlord harmless against any ...",use
"Use. Tenant shall use the Premises for general office purposes, software development, multimedia studio, occasional special events for the ""trade"" and related uses, and shall not use or permit the Premises to be used for any other purpose without the prior written consent of Landlord. Tenant shall not do or permit anything to be done in or about the Premises nor bring or keep anything therein which will in any way increase the existing rate of or affect any fire or other insurance upon the Building or any of its contents, or cause cancellation of any insurance policy covering said Building or any part thereof or any of its contents. Tenant shall not do or permit anything to be done in or about the Premises which will in any way obstruct or interfere with the rights of other tenants or occupants of the Building or injure or annoy them or use or allow the Premises to be used for any improper, immoral, unlawful or objectionable purpose, nor shall Tenant cause, maintain or permit any nuisance in, or about the Premises. Tenant shall not commit or suffer to be committed any waste in or upon the Premises.",use
"Use. The Engineer shall not begin any work until the State and the Engineer have signed a work authorization. Costs incurred by the Engineer before a work authorization is fully executed or after the completion date specified in the work authorization are not eligible for reimbursement. All work must be completed on or before the completion date specified in the work authorization, and no work authorization completion date shall extend beyond the contract period set forth in Article 2 of the contract (Contract Period).",use
"Use. The Premises shall be used for the Permitted Use and for no other purpose. Tenant agrees not to use or permit the use of the Premises for any purpose which is illegal, dangerous to life, limb or property or which, in Landlord's reasonable opinion, creates a nuisance or which would increase the cost of insurance coverage with respect to the Building. Tenant shall conduct its business and control its agents, servants, contractors, employees, customers, licensees, and invitees in such a manner as not to interfere with, annoy or disturb other tenants, or in any way interfere with Landlord in the management and operation of the Building. Tenant will maintain the Premises in a clean and healthful condition, and comply with all laws, ordinances, orders, rules and regulations of any governmental entity with reference to the operation of Tenant's business and to the use, condition, configuration or occupancy of the Premises, including without limitation, the Americans with Disabilities Act (collectively referred to as ""Laws""). Tenant, within ten (10) days after receipt thereof, shall provide Landlord with copies of any notices it receives with respect to a violation or alleged violation of any Laws. Tenant will comply with the rules and regulations of the Building attached hereto as Exhibit B and such other rules and regulations adopted and altered by Landlord from time to time and will cause all of its agents, servants, contractors, employees, customers, licensees and invitees to do so. All changes to such rules and regulations will be reasonable and shall be sent by Landlord to Tenant in writing.",use
"Use. Tenant shall use the Premises only for the purposes stated in Item 3 of the Basic Lease Provisions. The parties agree that any contrary use shall be deemed to cause material and irreparable harm to Landlord and shall entitle Landlord to injunctive relief in addition to any other available remedy. The uses prohibited under this Lease shall include, without limitation, use of the Premises or a portion thereof for (i) offices of any agency or bureau of the United States or any state or political subdivision thereof; (ii) offices or agencies of any foreign governmental or political subdivision thereof; (iii) offices of any health care professionals or service organization; (iv) schools, temporary employment agencies or other training facilities which are not ancillary to corporate, executive or professional office use; (v) retail or restaurant uses; or (vi) communications firms such as radio and/or television stations. Tenant shall not do or permit anything to be done in or about the Premises which will in any way interfere with the rights or quiet enjoyment of other occupants of the Building or the Project, or use or allow the Premises to be used for any unlawful purpose, nor shall Tenant permit any nuisance or commit any waste in the Premises or the Project. Tenant shall not do or permit to be done anything which will invalidate or increase the cost of any insurance policy(ies) covering the Building, the Project and/or their contents, and shall comply with all applicable insurance underwriters rules. Tenant shall comply at its expense with all present and future laws, ordinances and requirements of all governmental authorities that pertain to Tenant or its use of the Premises, including without limitation all federal and state occupational health and safety and handicap access requirements, whether or not Tenant’s compliance will necessitate expenditures or interfere with its use and enjoyment of the Premises. Tenant shall not generate, handle, store or dispose of hazardous or toxic materials (as such materials may be identified in any federal, state or local law or regulation) in the Premises or Project without the prior written consent of Landlord; provided that the foregoing shall not be deemed to proscribe the use by Tenant of customary office supplies in normal quantities so long as such use comports with all applicable laws. Tenant agrees that it shall promptly complete and deliver to Landlord any disclosure form regarding hazardous or toxic materials ...",use
Use. The Premises shall be used and occupied only for the purpose set forth in paragraph 1.4 of the Basic Lease Provisions or any other use which is reasonably comparable to that use and for no other purpose.,use
"Use. 12.1. Tenant shall use the Premises for the Permitted Use, and shall not use the Premises, or permit or suffer the Premises to be used, for any other purpose without Landlord’s prior written consent, which consent Landlord may withhold in its sole and absolute discretion.",use
