clause_text,clause_type
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the most favorable plans, policies, programs and practices of the Company and its affiliated companies as in effect for the Executive at any time during the 120-day period immediately preceding the Effective Date or, if more favorable to the Executive, as in effect generally at any time thereafter with respect to other peer executives of the Company and its affiliated companies.",vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the plans, policies, programs and practices of the Company applicable to its senior executives.",vacation
"Vacation. Executive will be entitled to paid vacation of three (3) weeks per year in accordance with the Company’s vacation policy, with the timing and duration of specific vacations mutually and reasonably agreed to by the parties hereto.",vacation
"Vacation. During the Term, Executive shall be entitled to paid personal leave in accordance with the Company’s Policies. Any vacation shall be taken at the reasonable and mutual convenience of the Company and Executive.",vacation
"Vacation. Officer shall be entitled to four weeks of vacation during each year during the term of this Agreement and any extensions thereof, prorated for partial years.",vacation
Vacation. Scheduling‌,vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the most favorable plans, policies, programs and practices of the Company and its affiliated companies in effect for the Executive on the date hereof.",vacation
"Vacation. Employee shall be entitled to receive four (4) weeks paid vacation time after each year of employment upon dates agreed upon by Employer. Upon separation of employment, for any reason, vacation time accrued and not used shall be paid at the salary rate of Employee in effect at the time of employment separation.",vacation
"Vacation. During the Term, the Executive shall be entitled to a vacation period or periods of four weeks taken in accordance with the vacation policy of the Company during each year of the Term. Vacation time not used by the end of a year shall be forfeited.",vacation
"Vacation. The Executive shall be entitled to an annual paid vacation in accordance with the Company's policy applicable to senior executives from time to time in effect, but in no event less than two weeks per calendar year (as prorated for partial years), which vacation may be taken at such times as the Executive elects with due regard to the needs of the Company. The carry-over of vacation days shall be in accordance with the Company's policy applicable to senior executives from time to time in effect.",vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacations in accordance with the plans, policies, programs and practices of the Company at least as favorable as those in effect for the Executive at any time during the 120-day period immediately preceding the Change of Control Date.",vacation
"Vacation. For and during each year of the Term and any extensions thereof, the Employee shall be entitled to reasonable paid vacation periods consistent with his positions with the Company and in accordance with the Company's standard policies, or as the Company's Board of Directors may approve. In addition, the Employee shall be entitled to such holidays consistent with the Company's standard policies or as the Company's Board of Directors may approve.",vacation
"Vacation where an employee is granted vacation pursuant to Clause 18.1, the annual vacation entitlement shall be converted to hours on the basis of a seven-hour day and vacation taken shall be deducted in accordance with the actual hours of the employee's daily shift in effect at the time the vacation is taken.",vacation
"Vacation. Executive will continue to be entitled to vacation in accordance with the Company’s vacation policy, with the timing and duration of specific vacations mutually and reasonably agreed to by the parties hereto.",vacation
"Vacation. Executive shall be entitled to three (3) weeks of vacation each year of full employment, exclusive of legal holidays, as long as the scheduling of Executive’s vacation does not interfere with the Company’s normal business operations.",vacation
"Vacation. The employee shall retain vacation credits she had accrued immediately prior to commencing the leave and shall continue to earn vacation entitlement for the period of time covered by the approved leave. In the case of an employee who extends her leave for other than approved medical reasons, vacation entitlement shall not be earned during the extended leave period.",vacation
"Vacation. For each 12-month period during the Term, the Executive will be entitled to four (4) weeks of vacation without loss of compensation or other benefits to which he is entitled under this Agreement, to be taken at such times as the Executive may select and the affairs of the Company may permit.",vacation
"Vacation. During the Initial Term, the Executive shall be entitled to paid vacation in accordance with the most favorable plans, policies, programs and practices of the Company and its subsidiaries as in effect at any time hereafter with respect to other key executives of the Company and its subsidiaries; provided, however, that in no event shall Executive be entitled to fewer than four weeks paid vacation per year.",vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the plans, policies, programs and practices of the Company applicable to its senior executives but in no event less than four (4) weeks per calendar year; provided, however, that the Executive shall not accrue any vacation time in excess of four (4) weeks (twenty (20) days) (the “Accrual Limit”), and shall cease accruing vacation time if the Executive’s accrued vacation reaches the Accrual Limit until such time as the Executive’s accrued vacation time drops below the Accrual Limit.",vacation
"Vacation. During the term of this Agreement, the Executive shall be entitled to accrue, on a pro rata basis, thirty (30) paid vacation days per year. Vacation shall be taken at such times as are mutually convenient to the Executive and the Company and no more than fifteen (15) consecutive days shall be taken at any one time without Company approval in advance.",vacation
"Vacation. During the Term, Employee shall be entitled to the number of paid vacation days in each calendar year as determined by the Company from time to time for its senior executive officers. Vacation days which are not used during any calendar year may not be accrued or carried-over to the next year, nor shall Employee be entitled to compensation for unused vacation days.",vacation
"Vacation. Executive will be entitled to four (4) weeks of paid vacation time each year during the term of this Agreement measured on a calendar year basis, in accordance with the Bank’s customary practices, as well as sick leave, holidays and other paid absences in accordance with the Bank’s policies and procedures for officers. Any unused paid time off during an annual period will be treated in accordance with the Bank’s personnel policies as in effect from time to time.",vacation
Vacation. Carryover‌,vacation
"Vacation. Executive will be entitled to paid vacation in accordance with the Company’s vacation policy, as in effect from time to time.",vacation
"Vacation. During the period that Executive is employed with the Company hereunder, Executive shall be entitled to paid vacation each year, in accordance with the plans, policies, programs and practices of the Company applicable to similarly situated employees of the Company generally.",vacation
"Vacation. On a non-cumulative basis, the Executive shall be entitled to four (4) weeks of vacation in each successive twelve-month period during the Term, during which his compensation shall be paid in full.",vacation
"Vacation. The Executive shall, during the Term, be entitled to a vacation of four (4) weeks per annum, in addition to holidays observed by the Company. The Executive shall not be entitled to carry any vacation forward to the next year of employment and shall not receive any compensation for unused vacation days.",vacation
Vacation. 4.1 Employee shall be entitled to accrue and take vacation leave in accordance with the policy applicable to employees of Manitoba.,vacation
"Vacation. During each fiscal year of the Company, the Executive shall be entitled to reasonable vacation time and to utilize such vacation as the Executive shall determine; provided however, that the Executive shall evidence reasonable judgment with regard to appropriate vacation scheduling. Notwithstanding the foregoing, employee shall be entitled to four (4) weeks vacation per year, with unused vacation accruing to the following year.",vacation
"Vacation. During the Term, the Executive shall be entitled to paid vacation in accordance with the Company’s vacation policy as in effect from time to time.",vacation
Vacation. The Executive shall be entitled to the number of weeks of vacation set forth in Exhibit A (in addition to the usual national holidays) during each contract year during which he serves hereunder. Such vacation shall be taken at such time or times as will be mutually agreed between the Executive and the Company. Vacation not taken during a calendar year may not be carried forward.,vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the plans, policies, programs and practices of the Company applicable to its senior executives but in no event less than five (5) weeks per calendar year.",vacation
Vacation. The Employee will be entitled to paid vacation time each year during the Employment Term that will accrue in accordance with the Company’s policies and procedures now in force or as such policies and procedures may be modified with respect to all senior executive officers of the Company.,vacation
"Vacation. During each year of the Term, the Executive shall be entitled to a vacation period or periods in accordance with the vacation policy of the Company as in effect from time to time, but not less than four weeks.",vacation
"Vacation. On a non-cumulative basis the Executive will be entitled to vacation in each year of this Agreement in accordance with the Bank’s vacation policy as then in effect, during which the Executive’s Base Salary will be paid in full.",vacation
Vacation. Executive shall be entitled to four (4) weeks paid vacation during each year of the Term.,vacation
"Vacation. During the Employment Period, the Executive shall be entitled to paid vacation in accordance with the plans, policies, programs and practices of the Company and its affiliated companies as in effect from time to time.",vacation
"Vacation. The Executive shall be entitled to paid annual vacation and sick leave in accordance with the policies established from time to time by the Employer. The Executive shall not be entitled to any additional compensation for failure to use allotted vacation or sick leave, nor shall the Executive be entitled to accumulate unused sick leave from one year to the next unless authorized by the Employer’s board of directors to do so. Vacation days not used in a given year may not be carried over from one calendar year to the next.",vacation
