clause_text,clause_type
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall remain in full force and effect.",validity
"Validity. If any provision of this Agreement or the application of any provision hereof to any person or circumstances is held invalid, unenforceable or otherwise illegal, the remainder of this Agreement and the application of such provision to any other person or circumstances will not be affected, and the provision so held to be invalid, unenforceable or otherwise illegal will be reformed to the extent (and only to the extent) necessary to make it enforceable, valid or legal.",validity
"Validity. In case any provision of this Agreement shall be illegal or invalid for any reason, said illegality or invalidity shall not affect the remaining parts hereof, but this Agreement shall be construed and enforced as if such illegal and invalid provision has never been inserted herein.",validity
"Validity. If any provision of this Agreement, or the application thereof to any person or circumstance, is held invalid or unenforceable, the remainder of this Agreement, and the application of such provision to other persons or circumstances, shall not be affected thereby, and to such end, the provisions of this Agreement are agreed to be severable.",validity
"Validity. Should any provision of this Agreement be declared or be determined by any court of competent jurisdiction to be illegal or invalid, the validity of the remaining parts, terms or provisions shall not be affected thereby and said illegal or invalid part, term or provision shall be deemed not to be a part of this Agreement.",validity
"Validity. The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall remain in full force and effect. The invalid portion of this Agreement, if any, shall be modified by any court having jurisdiction to the extent necessary to render such portion enforceable.",validity
"Validity. If any one or more of the provisions (or any part thereof) of this Agreement shall be held invalid, illegal or unenforceable in any respect, the validity, legality and enforceability of the remaining provisions (or any part thereof) shall not in any way be affected or impaired thereby.",validity
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of the other provisions of this Agreement, which shall remain in full force and effect. In the event any Governmental Entity of competent jurisdiction holds any provision of this Agreement to be null, void or unenforceable, the parties hereto shall negotiate in good faith and shall execute and deliver an amendment to this Agreement in order, as nearly as possible, to effectuate, to the extent permitted by law, the intent of the parties hereto with respect to such provision.",validity
"Validity. In the event that any provision of this Agreement shall be held to be invalid, the same shall not affect in any respect whatsoever the validity of the remainder of this Agreement.",validity
Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement.,validity
"Validity. If any provision of this Agreement, the Notes or the Warrants shall be judicially determined to be invalid, illegal or unenforceable, the validity, legality and enforceability of the remaining provisions shall not in any way be affected or impaired thereby.",validity
"Validity. This Agreement has been duly executed and delivered by the Company and constitutes the legal, valid and binding obligation of the Company, enforceable in accordance with its terms except (i) as limited by applicable bankruptcy, insolvency, reorganization, moratorium, and other laws of general application affecting enforcement of creditors’ rights generally, and (ii) as limited by laws relating to the availability of specific performance, injunctive relief, or other equitable remedies.",validity
"Validity. The interpretation, construction and performance of this Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Texas without regard to conflicts of laws principles. The invalidity or unenforceability of any provisions of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, each of which shall remain in full force and effect.",validity
"Validity. The terms and provisions of this Section 7 are intended to be separate and divisible provisions and if, for any reason, any one or more of them is held to be invalid or unenforceable, neither the validity nor the enforceability of any other provision of this Agreement shall thereby be affected. The parties hereto acknowledge that the potential restrictions on the Executive’s future employment imposed by this Section 7 are reasonable in both duration and geographic scope and in all other respects. If for any reason any court of competent jurisdiction shall find any provisions of this Section 7 unreasonable in duration or geographic scope or otherwise, the Executive and the Company agree that the restrictions and prohibitions contained herein shall be effective to the fullest extent allowed under applicable law in such jurisdiction.",validity
"Validity. If, for any reason, any provision hereof shall be determined to be invalid or unenforceable, the validity and effect of the other provisions hereof shall not be affected thereby.",validity
"Validity. This Agreement, having been executed and delivered in the State of Oklahoma, its validity, interpretation, performance and enforcement will be governed by the laws of that state.",validity
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of the other provisions of this Agreement, which shall remain in full force and effect. In the event any court or other competent authority holds any provision of this Agreement to be null, void or unenforceable, the parties hereto shall negotiate in good faith the execution and delivery of an amendment to this Agreement in order, as nearly as possible, to effectuate, to the extent permitted by law, the intent of the parties hereto with respect to such provision. Each party agrees that, should any court or other competent authority hold any provision of this Agreement or part hereof to be null, void or unenforceable, or order any party to take any action inconsistent herewith, or not take any action required herein, the other party shall not be entitled to specific performance of such provision or part hereof or to any other remedy, including but not limited to money damages, for breach hereof or of any other provision of this Agreement or part hereof as the result of such holding or order.",validity
"Validity. In the event that any provision of this Agreement is held to be invalid, void or unenforceable, the same shall not affect, in any respect whatsoever, the validity of any other provision of the Agreement.",validity
"Validity. This Agreement has been duly executed and delivered by Purchaser, and constitutes the legal, valid, and binding obligation of Purchaser, enforceable against it in accordance with its terms, subject to general equity principles and to applicable bankruptcy, insolvency, reorganization, moratorium, and similar laws from time to time in effect affecting the enforcement of creditors' rights. When the Bill of Sale and Assignment Agreement has been executed and delivered in accordance with this Agreement, it will constitute the legal, valid, and binding obligation of Purchaser, enforceable in accordance with its terms, subject to general equity principles and to applicable bankruptcy, insolvency, reorganization, moratorium, and similar laws from time to time in effect affecting the enforcement of creditors' rights.",validity
"Validity. In case any term of this Agreement will be held invalid, illegal or unenforceable, in whole or in part, the validity of any of the other terms of this Agreement will not in any way be affected thereby.",validity
Validity. The invalidity in whole or in part of any provision of this Agreement shall not void or affect the validity of any other provision of this Agreement.,validity
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall otherwise remain in full force and effect. Moreover, if any one or more of the provisions contained in this Agreement is held to be excessively broad as to duration, scope or activity, such provisions shall be construed by limiting and reducing them so as to be enforceable to the maximum extent compatible with applicable law.",validity
"Validity. If any provision of this Agreement is held to be illegal, invalid, or unenforceable under any present or future law or court decision, and if the rights or obligations of the Company and Executive will not be materially and adversely affected thereby, (a) such provision shall be fully severable from this Agreement, (b) this Agreement shall be construed and enforced as if such illegal, invalid, or unenforceable provision had never comprised a part hereof, (c) the remaining provisions of this Agreement shall remain in full force and effect and shall not be affected by the illegal, invalid, or unenforceable provision or by its severance herefrom, and (d) in lieu of such illegal, invalid, or unenforceable provision, there shall be added automatically as a part of this Agreement a legal, valid, and enforceable provision as similar to the terms and intent of such illegal, invalid, or unenforceable provision as may be possible.",validity
"Validity. The invalidity or unenforceability of any provision or provisions of this agreement shall not affect the validity or enforceability of any other provision of this agreement, which other provision shall remain in full force and effect; nor shall the invalidity or unenforceability of a portion of any provision of this agreement affect the validity or enforceability of the balance of such provision.",validity
"Validity. This Agreement has been duly and validly executed and delivered by each Shareholder and is, and when executed and delivered each Ancillary Instrument will be, the legal, valid and binding obligation of such Shareholder, enforceable in accordance with its terms, except as such may be limited by bankruptcy, insolvency, reorganization or other laws affecting creditors' rights generally, and by general equitable principles.",validity
"Validity. This Agreement has been duly executed and delivered by the Company and constitutes the legal, valid and binding obligation of the Company, enforceable in accordance with its terms.",validity
"Validity. This Agreement has been, and the documents to be delivered at Closing will be, duly executed and delivered by Buyer and constitute lawful, valid and legally binding obligations of Buyer, enforceable in accordance with its terms. The execution and delivery of this Agreement and the consummation of the transactions contemplated hereby will not result in the creation of any lien, charge or encumbrance or the acceleration of any indebtedness or other obligation of Buyer and are not prohibited by, do not violate or conflict with any provision of, and do not result in a default under or a breach of (a) the limited liability company agreement of Buyer, (b) any contract, agreement, permit, license or other instrument to which Buyer is a party or by which it is bound, (c) any order, writ, injunction, decree or judgment of any court or governmental agency, or (d) any Law applicable to Buyer. No approval, authorization, consent or other order or action of or filing with any court, administrative agency or other governmental authority is required for the execution and delivery by Buyer of this Agreement or the consummation by Buyer of the transactions contemplated hereby.",validity
Validity. Each Party hereby represents that the provisions of this Agreement constitute valid and legally binding obligations of such Party and are enforceable in accordance with their terms.,validity
"Validity. 12.1 The validity of this Integrity Pact shall be from date of its signing and extend upto 5 years or the complete execution of the contract to the satisfaction of both the PRINCIPAL and the BIDDER/Seller, including warranty period, whichever is later. In case BIDDER is unsuccessful, this Integrity Pact shall expire after six months from the date of the signing of the contract.",validity
"Validity. The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall remain in full force and effect. In the event that any provision of Section 9 is found by a court of competent jurisdiction to be invalid or unenforceable as against public policy, such court shall exercise its discretion in reforming such provision to the end that Executive shall be subject to such restrictions and obligations as are reasonable under the circumstances and enforceable by the Company.",validity
"Validity. There are no pending or threatened judicial or administrative actions, proceedings or investigations which question the validity of this Agreement or any action taken or contemplated by Company or in connection with this Agreement.",validity
Validity. The invalidity in whole or in part of any provision of this Contract shall not void or affect the validity of any other provision of the Contract.,validity
"Validity. This Agreement has been duly executed and delivered by the Seller and is a valid and binding agreement of the Seller enforceable against the Seller in accordance with its terms, except as the enforceability thereof may be limited by any applicable bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance or other laws affecting the enforcement of creditors' rights generally, and by general principles of equity.",validity
"Validity. Whenever possible, each provision or portion of any provision of this Agreement will be interpreted in such manner as to be effective and valid under applicable law but if any provision or portion of any provision of this Agreement is held to be invalid, illegal or unenforceable in any respect under any applicable law or rule in any jurisdiction such invalidity, illegality or unenforceability will not affect any other provision or portion of any provision in such jurisdiction, and this Agreement will be reformed, construed and enforced in such jurisdiction as if such invalid, illegal or unenforceable provision or portion of any provision had never been contained herein.",validity
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall nevertheless remain in full force and effect. Further, the parties agree that any invalid, illegal or unenforceable provision or restriction shall be deemed modified so that it shall be enforced to the greatest extent permissible under law. To the extent that any court of competent jurisdiction determines any provision or restriction herein to be overly broad, or unenforceable, such court is hereby empowered and authorized to limit such provisions or restrictions so that it is enforceable for the longest duration of time, within the largest geographical area and with the broadest scope, as permitted by law.",validity
"Validity. Each Material Contract is valid and binding on the Company or each such Subsidiary of the Company party thereto and is in full force and effect, and none of the Company, any of its Subsidiaries party thereto or, to the Knowledge of the Company, any other party thereto is in breach of or default pursuant to any such Material Contract, except for such failures to be in full force and effect that would not have a Company Material Adverse Effect. No event has occurred that, with notice or lapse of time or both, would constitute such a breach or default pursuant to any Material Contract by the Company Group, or, to the Knowledge of the Company, any other party thereto, except for such breaches and defaults that would not have a Company Material Adverse Effect.",validity
"Validity. This Agreement and all documents required hereby to be executed by Purchaser are and shall be valid, legally binding obligations of and enforceable against Purchaser in accordance with their terms.",validity
"Validity. All contracts, agreements, leases and licenses to which the Company is a party or by which it or any of its properties or assets are bound or affected, are valid and in full force and effect; and no breach or default exists, or upon the giving of notice or lapse of time, or both, would exist, on the part of the Company or by any other party thereto.",validity
"Validity. The invalidity, illegality or unenforceability of any provision herein shall not affect the validity, legality or enforceability of any other provision, all or which shall be valid, legal and enforceable to the fullest extent permitted by applicable law.",validity
"Validity. This Agreement is intended to be valid and enforceable in accordance with its terms to the fullest extent permitted by law. If any provision of this Agreement is found to be invalid or unenforceable by any court of competent Jurisdiction, the invalidity or unenforceability of such provision shall not affect the validity or enforceability of all the remaining provisions hereof.",validity
"Validity. This Amendment and the Credit Agreement as amended hereby have each been duly and validly executed and delivered by the Company and constitutes its legal, valid and binding obligations, enforceable against the Company in accordance with its respective terms, except as enforcement thereof may be subject to the effect of any applicable bankruptcy, insolvency, reorganization, moratorium or similar laws affecting creditors' rights generally and general principles of equity (regardless of whether such enforcement is sought in a proceeding in equity or at law or otherwise).",validity
"Validity. If for any reason any clause or provision of this Agreement, or the application of any such clause or provision in a particular context or to a particular situation, circumstance or person, should be held unenforceable, invalid or in violation of law by any court or other tribunal of competent jurisdiction, then the application of such clause or provision in contexts or to situations, circumstances or persons other than that in or to which it is held unenforceable, invalid or in violation of law shall not be affected thereby, and the remaining clauses and provisions hereof shall nevertheless remain in full force and effect.",validity
"Validity. This Agreement is the legal, valid and binding obligation of the Borrower enforceable against the Borrower in accordance with its terms, subject to the effect of applicable bankruptcy, insolvency, arrangement, moratorium and other similar laws affecting creditors' rights generally and to the application of general principles of equity.",validity
"Validity. The Loan Documents are the binding obligations of the -------- Borrower or other executing Person, if any, enforceable in accordance with their respective terms; except in each case as such enforceability may be limited by bankruptcy, insolvency, reorganization, liquidation, moratorium or other similar laws of general application and equitable principles relating to or affecting creditors' rights.",validity
"Validity. The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement, which shall remain in full force and effect. If any provision of this Agreement is found to be invalid or unenforceable, in whole or in part, then it shall be deemed to be modified or restricted to the extent and in the manner necessary to render it valid and enforceable, or shall be deemed excised from this Agreement, as the case may require, and this Agreement shall be construed and enforced to the maximum extent permitted by law, as if the provision had been originally incorporated herein as so modified or restricted, or as if it had not originally been incorporated herein, as the case may be.",validity
"Validity. This Agreement is duly executed and delivered by it and constitutes its lawful, valid and binding obligation, enforceable in accordance with its terms. The execution and delivery of this Agreement and the consummation of the Transaction by it are not prohibited by, do not violate or conflict with any provision of, and do not result in a default under (a) its charter or bylaws; (b) any material contract, agreement or other instrument to which it is a party or by which it is bound; (c) any order, writ, injunction, decree or judgment of any court or governmental agency applicable to it; or (d) any law, rule or regulation applicable to it, except in each case for such prohibitions, violations, conflicts or defaults that would not have a material adverse consequence to the Transaction.",validity
"Validity. Except as stated in clause 3.1 thereof, there is no investigation, claim, proceeding or litigation of any type pending or, threatened to which Seller is a party that (i) questions or involves the validity or enforceability of any of Seller’s obligations under this Agreement or (ii) seeks (or reasonably might be expected to seek) (A) to prevent or delay the consummation by Seller of the transactions contemplated by this Agreement or (B) damages in connection with any such consummation.",validity
"Validity. This Agreement constitutes the legal, valid and binding obligation of each of Parent and Sub, enforceable in accordance with its terms except as enforcement may be limited by bankruptcy, reorganization, insolvency, moratorium or other similar laws presently or hereafter in effect affecting the enforcement of creditors’ rights generally and subject to general principles of equity.",validity
"Validity. The execution, delivery and performance of this Agreement and the other instruments referred to herein, in each case to which the Purchaser is a party, and the consummation by the Purchaser of the transactions contemplated hereby, have been duly authorized by all necessary corporate, partnership, limited liability or similar actions, as applicable, on the part of such Purchaser. This Agreement has been duly executed and delivered by the Purchaser, and the other instruments referred to herein to which it is a party will be duly executed and delivered by the Purchaser, and each such agreement and other instruments constitutes or will constitute a valid and binding obligation of the Purchaser, enforceable against it in accordance with its terms, except as limited by applicable bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance, and any other laws of general application affecting enforcement of creditors’ rights generally, and as limited by laws relating to the availability of specific performance, injunctive relief, or other equitable remedies.",validity
"Validity. As of the date hereof, the Equity Commitment Letter (in the form delivered by Parent to the Company) is in full force and effect and constitutes the legal, valid and binding obligations of Parent, Merger Sub and the Guarantor, as applicable, enforceable against Parent, Merger Sub and the Guarantor, as applicable, in accordance with its terms, subject to the Enforceability Limitations. Other than as expressly set forth in the Equity Commitment Letter, there are no conditions precedent or other contingencies related to the funding of the full proceeds of the Equity Financing pursuant to any agreement relating to the Equity Financing to which the Guarantor, Parent or Merger Sub, or any of their respective Affiliates, is a party. As of the date hereof, no event has occurred that, with notice or lapse of time or both, would, or would reasonably be expected to, constitute a default or breach on the part of Parent, Merger Sub or the Guarantor pursuant to the Equity Commitment Letter (it being understood that Parent and Merger Sub are not making any representation or warranty regarding the effect of any inaccuracy of the representations and warranties in Article III or the Company’s compliance hereunder). As of the date hereof, Parent has no reason to believe that it will be unable to satisfy on a timely basis any term or condition of the Equity Financing to be satisfied by it, whether or not such term or condition is contained in the Equity Commitment Letter (it being understood that Parent and Merger Sub are not making any representation or warranty regarding the effect of any inaccuracy of the representations and warranties in Article III or the Company’s compliance hereunder). As of the date hereof, Parent and Merger Sub have fully paid, or caused to be fully paid, all commitment or other fees that are due and payable on or prior to the date hereof, in each case pursuant to and in accordance with the terms of the Equity Commitment Letter.",validity
"Validity. If any provision of this Agreement shall be held to be invalid or unenforceable, such provisions shall not affect in any respect the validity or enforceability of the remainder of this Agreement unless the invalidity materially affects the ability of either party to perform as contemplated hereunder.",validity
"Validity. The invalidity or unenforceability of any provision or provisions of this Agreement shall not affect the validity or enforceability of any other provisions of this Agreement, which shall remain in full force and effect. The parties intend for each of the covenants contained in Section 4 to be severable from one another.",validity
"Validity. The invalidity or unenforceability of any provision of this Agreement shall not affect the validity or enforceability of any other provision of this Agreement which shall remain in full force and effect. If any provision of this Agreement shall be held invalid or unenforceable in part, the remaining portion of such provision, together with all other provisions of this Agreement, shall remain valid and enforceable and continue in full force and effect to the fullest extent consistent with law.",validity
Validity. The invalidity or unenforceability of any term or provision of this Agreement in any situation or jurisdiction shall not affect the validity or enforceability of the other terms or provisions hereof or the validity or enforceability of the offending term or provision in any other situation or in any other jurisdiction.,validity
"Validity. This Agreement is, and any Notes when delivered will be, the legal, valid and binding obligations of the Borrower enforceable against the Borrower in accordance with their respective terms, subject to the effect of any applicable bankruptcy, insolvency, reorganization, moratorium or similar law affecting creditors’ rights generally and to the effect of general principles of equity (regardless of whether such enforceability is considered in a proceeding in equity or at law).",validity
"Validity. In case any provision of this Plan shall be illegal or invalid for any reason, said illegality or invalidity shall not affect the remaining parts hereof, but this Plan shall be construed and enforced as if such illegal or invalid provision had never been inserted herein; except to the extent that Section 409A requires that this Section 10.1 be disregarded because it purports to nullify Plan terms that are not in compliance with Section 409A.",validity
"Validity. It is aware of no action, suit or inquiry or investigation instituted by any governmental agency which questions or threatens the validity of this Agreement.",validity
