clause_text,clause_type
"Voting. The vote upon any resolution submitted to any meeting of holders of Debentures with respect to which such meeting is being held shall be by written ballots on which shall be subscribed the signatures of such holders or of their representatives by proxy and the serial number or numbers of the Debentures held or represented by them. The permanent chairman of the meeting shall appoint two inspectors of votes who shall count all votes cast at the meeting for or against any resolution and who shall make and file with the secretary of the meeting their verified written reports in triplicate of all votes cast at the meeting. A record in duplicate of the proceedings of each meeting of Securityholders shall be prepared by the secretary of the meeting and there shall be attached to said record the original reports of the inspectors of votes on any vote by ballot taken thereat and affidavits by one or more Persons having knowledge of the facts setting forth a copy of the notice of the meeting and showing that said notice was mailed as provided in Section 8.2. The record shall show the serial numbers of the Debentures voting in favor of or against any resolution. The record shall be signed and verified by the affidavits of the permanent chairman and secretary of the meeting and one of the duplicates shall be delivered to the Company and the other to the Trustee to be preserved by the Trustee, the latter to have attached thereto the ballots voted at the meeting. Any record so signed and verified shall be conclusive evidence of the matters therein stated.",voting
Voting. The vote upon any resolution submitted to any meeting of Securityholders of a series shall be by written ballots on which shall be subscribed the signatures of the Holders of Securities of such series or of their representatives by proxy and the principal amounts of the Securities of such series held or represented by them. The permanent chairman of the meeting shall appoint two inspectors of votes who shall count all votes cast at the meeting for or against any resolution and who shall make and file with the secretary of the meeting their verified written reports in duplicate of all votes cast at the meeting. A record in duplicate of the proceedings of each meeting of Securityholders shall be prepared by the secretary of the meeting and there shall be attached to said record the original reports of the inspectors of votes on any vote by ballot taken thereat and affidavits by one or more Persons having knowledge of the facts setting forth a copy of the notice of the meeting and showing that said notice was mailed as provided in Section 9.02. The record shall show the principal amounts of the Securities voting in favor of or against any resolution. The record shall be signed and verified by the affidavits of the permanent chairman and secretary of the meeting and one of the duplicates shall be delivered to the Company and the other to the Trustee to be preserved by the Trustee. Any record so signed and verified shall be conclusive evidence of the matters therein stated.,voting
"Voting. Shareholders shall have no power to vote on any matter except matters on which a vote of Shareholders is required by applicable law, this Declaration or resolution of the Trustees. Except as otherwise provided herein, any matter required to be submitted to Shareholders and affecting one or more classes or series of Shares shall require approval by the required vote of all the affected classes and series of Shares voting together as a single class; provided, however, that as to any matter with respect to which a separate vote of any class or series of Shares is required by the 1940 Act, such requirement as to a separate vote by that class or series of Shares shall apply in addition to a vote of all the affected classes and series voting together as a single class. Shareholders of a particular class or series of Shares shall not be entitled to vote on any matter that affects only one or more other classes or series of Shares. There shall be no cumulative voting in the election or removal of Trustees.",voting
"Voting. All Shares of the Trust entitled to vote on a matter shall vote in the aggregate without differentiation between the Shares of the separate Series, if any, or separate Classes, if any; provided that (i) with respect to any matter that affects only the interests of some but not all Series, then only the Shares of such affected Series, voting separately, shall be entitled to vote on the matter, (ii) with respect to any matter that affects only the interests of some but not all Classes, then only the Shares of such affected Classes, voting separately, shall be entitled to vote on the matter; and (iii) notwithstanding the foregoing, with respect to any matter as to which the 1940 Act or other applicable law or regulation requires voting, by Series or by Class, then the Shares of the Trust shall vote as prescribed in such law or regulation.",voting
"Voting. Each member of the Company (if there is only one member of the Company, the “Member”; or if there are more than one, the “Members”) shall have one vote in respect of any vote, approval, consent or ratification of any action (a “Vote”) for each Unit (as defined in Section 7) held by such Member. Any vote, approval, consent or ratification as to any matter under the Act or this Agreement by a Member may be evidenced by such Member’s execution of any document or agreement (including this Agreement or an amendment hereto) which would otherwise require as a precondition to its effectiveness such vote, approval, consent or ratification of the Members.",voting
"Voting. All Shares entitled to vote on a matter shall vote without differentiation between the separate Series on a one-vote-per-each dollar (and a fractional vote for each fractional dollar) of the net asset value of each Share (including fractional shares) basis; provided however, if a matter to be voted on affects only the interests of one or more but not all Series (or one or more but not all of a class of a Series), then only the Shareholders of such affected Series (or class) shall be entitled to vote on the matter.",voting
Voting. 5.1 All Participating Insurance Companies shall have the obligations and responsibilities regarding pass-through voting and conflicts of interest corresponding to those contained in the Shared Funding Order.,voting
"Voting. Every stockholder of record who is entitled to vote shall at every meeting of the stockholders be entitled to one vote for each share of stock held by him on the record date; EXCEPT, HOWEVER, that shares of its own stock belonging to the Corporation or to another corporation, if a majority of the shares entitled to vote in the election of directors of such other corporation is held by the Corporation, shall neither be entitled to vote nor counted for quorum purposes. Nothing in this Section shall be construed as limiting the right of the Corporation to vote its own stock held by it in a fiduciary capacity. At all meetings of the stockholders, a quorum being present, all matters shall be decided by majority vote of the shares of stock entitled to vote held by stockholders present in person or by proxy, except as otherwise required by law or the Certificate of Incorporation. Unless demanded by a stockholder of the Corporation present in person or by proxy at any meeting of the stockholders and entitled to vote thereat or so directed by the chairman of the meeting or required by law, the vote thereat on any question need not be by written ballot. On a vote by written ballot, each ballot shall be signed by the stockholder voting, or in his name by his proxy, if there be such proxy, and shall state the number of shares voted by him and the number of votes to which each share is entitled.",voting
"Voting. 6.1 LIFE COMPANY will provide pass-through voting privileges to all Variable Contract owners so long as and to the extent the SEC continues to interpret the '40 Act as requiring pass-through voting privileges for Variable Contract owners. Accordingly, LIFE COMPANY, where applicable, will vote shares of the Portfolio held in its 40 Act registered Separate Accounts in a manner consistent with voting instructions timely received from its Variable Contract owners. LIFE COMPANY will be responsible for assuring that each of its Separate Accounts that participates in TRUST calculates voting privileges in a manner consistent with other Participating Insurance Companies. LIFE COMPANY will vote shares in a registered Separate Account for which it has not received timely voting instructions in the same proportion as it votes those shares in that Separate Account for which it has received voting instructions.",voting
"Voting. Except as otherwise provided in this Trust Agreement, the consent or approval of the Administrative Trustees shall require consent or approval by not less than a majority of the Administrative Trustees, unless there are only two, in which case both must consent.",voting
