clause_text,clause_type
"Waiver. The Warrant Agent has no right of set-off or any other right, title, interest or claim of any kind (“Claim”) in, or to any distribution of, the Trust Account (as defined in that certain Investment Management Trust Agreement, dated as of the date hereof, by and between the Company and the Warrant Agent as trustee thereunder) and hereby agrees not to seek recourse, reimbursement, payment or satisfaction for any Claim against the Trust Account for any reason whatsoever. The Warrant Agent hereby waives any and all Claims against the Trust Account and any and all rights to seek access to the Trust Account.",waiver
"Waiver. No failure by any party to insist upon the strict performance of any covenant, duty, agreement or condition of this Agreement or to exercise any right or remedy consequent upon a breach thereof shall constitute waiver of any such breach of any other covenant, duty, agreement or condition.",waiver
"Waiver. No provision of this Agreement shall be modified, waived or discharged unless the modification, waiver or discharge is agreed to in writing and signed by the Employee and by an authorized officer of the Company (other than the Employee). No waiver by either party of any breach of, or of compliance with, any condition or provision of this Agreement by the other party shall be considered a waiver of any other condition or provision or of the same condition or provision at another time.",waiver
"Waiver. No waiver of any provision hereof shall be effective unless made in writing and signed by the waiving party. The failure of any party to require the performance of any term or obligation of this Agreement, or the waiver by any party of any breach of this Agreement, shall not prevent any subsequent enforcement of such term or obligation or be deemed a waiver of any subsequent breach.",waiver
"Waiver. The rights and remedies of the parties to this Agreement are cumulative and not alternative. Neither the failure nor any delay by any party in exercising any right, power, or privilege under this Agreement or the documents referred to in this Agreement will operate as a waiver of such right, power, or privilege, and no single or partial exercise of any such right, power, or privilege will preclude any other or further exercise of such right, power, or privilege or the exercise of any other right, power, or privilege. To the maximum extent permitted by applicable law, (a) no claim or right arising out of this Agreement or the documents referred to in this Agreement can be discharged by one party, in whole or in part, by a waiver or renunciation of the claim or right unless in writing signed by the other party; (b) no waiver that may be given by a party will be applicable except in the specific instance for which it is given; and (c) no notice to or demand on one party will be deemed to be a waiver of any obligation of such party or of the right of the party giving such notice or demand to take further action without notice or demand as provided in this Agreement or the documents referred to in this Agreement.",waiver
Waiver. The waiver by any party hereto of a breach of any provision of this Agreement shall not operate or be construed as a waiver of any other or subsequent breach.,waiver
Waiver. Any waiver by either party of a breach of any provision of this Agreement shall not operate as or be construed to be a waiver of any other breach of such provision or of any breach of any other provision of this Agreement. The failure of a party to insist upon strict adherence to any term of this Agreement on one or more occasions shall not be considered a waiver or deprive that party of the right thereafter to insist upon strict adherence to that term or any other term of this Agreement. Any waiver must be in writing.,waiver
"Waiver. No delay or omission of the LEA to exercise any right hereunder shall be construed as a waiver of any such right and the LEA reserves the right to exercise any such right from time to time, as often as may be deemed expedient.",waiver
Waiver. The failure of a party to insist upon strict adherence to any term of this Agreement on any occasion shall not be considered a waiver nor shall it deprive such party of the right thereafter to insist upon strict adherence to that term or any term of this Agreement. Any waiver must be in writing signed by the waiving party.,waiver
"Waiver. Any term or condition of this Agreement may be waived at any time by the party that is entitled to the benefit thereof, but no such waiver shall be effective unless set forth in a written instrument duly executed by or on behalf of the party waiving such term or condition. No waiver by any party of any term or condition of this Agreement, in any one or more instances, shall be deemed to be or construed as a waiver of the same or any other term or condition of this Agreement on any future occasion. All remedies, either under this Agreement or by Law or otherwise afforded, will be cumulative and not alternative.",waiver
"Waiver. No failure on the part of any Person to exercise any power, right, privilege or remedy under this Agreement, and no delay on the part of any Person in exercising any power, right, privilege or remedy under this Agreement, shall operate as a waiver of such power, right, privilege or remedy; and no single or partial exercise of any such power, right, privilege or remedy shall preclude any other or further exercise thereof or of any other power, right, privilege or remedy. No Person shall be deemed to have waived any claim arising out of this Agreement, or any power, right, privilege or remedy under this Agreement, unless the waiver of such claim, power, right, privilege or remedy is expressly set forth in a written instrument duly executed and delivered on behalf of such Person; and any such waiver shall not be applicable or have any effect except in the specific instance in which it is given.",waiver
"Waiver. Any term or condition of this Agreement may be waived at any time by the party which is entitled to the benefit thereof, but only if such waiver is evidenced by a writing signed by such party. No failure on the part of a party hereto to exercise, and no delay in exercising, any right, power or remedy created hereunder, shall operate as a waiver thereof, nor shall any single or partial exercise of any right, power or remedy by any such party preclude any other future exercise thereof or the exercise of any other right, power or remedy. No waiver by any party hereto to any breach of or default in any term or condition of this Agreement shall constitute a waiver of or assent to any succeeding breach of or default in the same or any other term or condition hereof.",waiver
"Waiver. The Company waives, to the fullest extent permitted by law, any claims it may have against the Underwriters for breach of fiduciary duty or alleged breach of fiduciary duty and agrees that the Underwriters shall have no liability (whether direct or indirect) to the Company in respect of such a fiduciary duty claim or to any person asserting a fiduciary duty claim on behalf of or in right of the Company, including shareholders, employees or creditors of the Company.",waiver
"Waiver. (a) No failure on the part of any Person to exercise any power, right, privilege or remedy under this Agreement, and no delay on the part of any Person in exercising any power, right, privilege or remedy under this Agreement, shall operate as a waiver of such power, right, privilege or remedy; and no single or partial exercise of any such power, right, privilege or remedy shall preclude any other or further exercise thereof or of any other power, right, privilege or remedy.",waiver
"Waiver. Neither the failure nor any delay on the part of a party to exercise any right, remedy, power or privilege under this Agreement shall operate as a waiver thereof, nor shall any single or partial exercise of any right, remedy, power or privilege preclude any other or further exercise of the same or of any right, remedy, power or privilege, nor shall any waiver of any right, remedy, power or privilege with respect to any occurrence be construed as a waiver of such right, remedy, power or privilege with respect to any other occurrence. No waiver shall be effective unless it is in writing and is signed by the party asserted to have granted such waiver.",waiver
"Waiver. Failure to insist upon strict compliance with any of the terms, covenants or conditions hereof shall not be deemed a waiver of such term, covenant or condition, nor shall any waiver or relinquishment of any right or power hereunder at any one or more times be deemed a waiver or relinquishment of such right or power at any other time or times.",waiver
